assertion_id	disorder_id	disorder_name	source_file	section	section_index	name	description	category	frequency	diagnostic	context	subtype	role	presence	association	accession	age_range	background	base_model	classification	clinical_significance	consequence	data_type	de_novo_rate	definition_type	duration	effect	expressivity	features	genotype	incubation_days	incubation_years	markers	maximum_value	mean_range	minimum_value	model_format	model_id	model_software	model_type	notes	parent_of_origin_effect	penetrance	percentage	phase	platform	population	publication	repository_url	results	review_notes	sample_count	scope	sequence_length	severity	species	specificity	status	subtype_frequency	title	type	unit	scalar_fields_json	complex_fields_json	raw_json
26	2	ALK-Rearranged Non-Small Cell Lung Cancer	ALK_Rearranged_NSCLC.yaml	histopathology	0	Adenocarcinoma Predominance	Adenocarcinoma is the most common histologic subtype in NSCLC.		VERY_FREQUENT																																																						"{""description"": ""Adenocarcinoma is the most common histologic subtype in NSCLC."", ""frequency"": ""VERY_FREQUENT"", ""name"": ""Adenocarcinoma Predominance""}"	{}	"{""description"": ""Adenocarcinoma is the most common histologic subtype in NSCLC."", ""evidence"": [{""explanation"": ""Abstract reports a NSCLC cohort dominated by adenocarcinoma."", ""reference"": ""PMID:32657049"", ""snippet"": ""Of 256 patients with NSCLC, 219 were adenocarcinoma"", ""supports"": ""SUPPORT""}], ""finding_term"": {""preferred_term"": ""Lung Adenocarcinoma"", ""term"": {""id"": ""NCIT:C3512"", ""label"": ""Lung Adenocarcinoma""}}, ""frequency"": ""VERY_FREQUENT"", ""name"": ""Adenocarcinoma Predominance""}"
44	3	Acute Promyelocytic Leukemia, PML-RARA	APL_PML_RARA.yaml	histopathology	0	Promyelocyte Proliferation	Acute promyelocytic leukemia is characterized by proliferation of promyelocytes.		VERY_FREQUENT																																																						"{""description"": ""Acute promyelocytic leukemia is characterized by proliferation of promyelocytes."", ""frequency"": ""VERY_FREQUENT"", ""name"": ""Promyelocyte Proliferation""}"	{}	"{""description"": ""Acute promyelocytic leukemia is characterized by proliferation of promyelocytes."", ""evidence"": [{""explanation"": ""Abstract notes APL is characterized by proliferation of promyelocytes."", ""reference"": ""PMID:397771"", ""snippet"": ""Acute promyelocytic leukemia (APL) is characterized by proliferation of"", ""supports"": ""SUPPORT""}], ""finding_term"": {""preferred_term"": ""Abnormal cell morphology"", ""term"": {""id"": ""HP:0025461"", ""label"": ""Abnormal cell morphology""}}, ""frequency"": ""VERY_FREQUENT"", ""name"": ""Promyelocyte Proliferation""}"
288	11	Adult T-Cell Leukemia/Lymphoma	Adult_T_Cell_Leukemia_Lymphoma.yaml	histopathology	0	T-Cell Lymphoproliferative Neoplasm	Adult T-cell lymphoma/leukemia is a rare T-cell lymphoproliferative neoplasm.		VERY_FREQUENT																																																						"{""description"": ""Adult T-cell lymphoma/leukemia is a rare T-cell lymphoproliferative neoplasm."", ""frequency"": ""VERY_FREQUENT"", ""name"": ""T-Cell Lymphoproliferative Neoplasm""}"	{}	"{""description"": ""Adult T-cell lymphoma/leukemia is a rare T-cell lymphoproliferative neoplasm."", ""evidence"": [{""explanation"": ""Abstract characterizes ATL as a rare T-cell lymphoproliferative neoplasm."", ""reference"": ""PMID:28796966"", ""snippet"": ""Adult T-cell lymphoma/leukemia (ATL) is a rare T-cell lymphoproliferative"", ""supports"": ""SUPPORT""}], ""finding_term"": {""preferred_term"": ""Adult T-Cell Leukemia/Lymphoma"", ""term"": {""id"": ""NCIT:C3184"", ""label"": ""Adult T-Cell Leukemia/Lymphoma""}}, ""frequency"": ""VERY_FREQUENT"", ""name"": ""T-Cell Lymphoproliferative Neoplasm""}"
313	12	Aflatoxin-Related Hepatocellular Carcinoma	Aflatoxin_Related_HCC.yaml	histopathology	0	Hepatocellular Carcinoma	Hepatocellular carcinoma is the most common primary liver malignancy.		VERY_FREQUENT																																																						"{""description"": ""Hepatocellular carcinoma is the most common primary liver malignancy."", ""frequency"": ""VERY_FREQUENT"", ""name"": ""Hepatocellular Carcinoma""}"	{}	"{""description"": ""Hepatocellular carcinoma is the most common primary liver malignancy."", ""evidence"": [{""explanation"": ""Abstract states that HCC is the most common primary liver malignancy."", ""reference"": ""PMID:27785449"", ""snippet"": ""Hepatocellular carcinoma (HCC) is the most common primary liver malignancy"", ""supports"": ""SUPPORT""}], ""finding_term"": {""preferred_term"": ""Hepatocellular Carcinoma"", ""term"": {""id"": ""NCIT:C3099"", ""label"": ""Hepatocellular Carcinoma""}}, ""frequency"": ""VERY_FREQUENT"", ""name"": ""Hepatocellular Carcinoma""}"
485	20	Alveolar Rhabdomyosarcoma	Alveolar_Rhabdomyosarcoma.yaml	histopathology	0	Rhabdomyosarcoma	Rhabdomyosarcoma is a malignant tumor of mesenchymal origin.		VERY_FREQUENT																																																						"{""description"": ""Rhabdomyosarcoma is a malignant tumor of mesenchymal origin."", ""frequency"": ""VERY_FREQUENT"", ""name"": ""Rhabdomyosarcoma""}"	{}	"{""description"": ""Rhabdomyosarcoma is a malignant tumor of mesenchymal origin."", ""evidence"": [{""explanation"": ""Abstract describes rhabdomyosarcoma as a malignant tumor of mesenchymal origin."", ""reference"": ""PMID:10337369"", ""snippet"": ""Rhabdomyosarcoma (RMS) is a malignant tumor of mesenchymal origin thought to"", ""supports"": ""SUPPORT""}], ""finding_term"": {""preferred_term"": ""Rhabdomyosarcoma"", ""term"": {""id"": ""NCIT:C3359"", ""label"": ""Rhabdomyosarcoma""}}, ""frequency"": ""VERY_FREQUENT"", ""name"": ""Rhabdomyosarcoma""}"
651	27	Arsenic-Related Cancers	Arsenic_Related_Cancers.yaml	histopathology	0	Skin Carcinomas	Common arsenic-induced skin cancers include Bowen's disease, basal cell carcinoma, and squamous cell carcinoma.		COMMON																																																						"{""description"": ""Common arsenic-induced skin cancers include Bowen's disease, basal cell carcinoma, and squamous cell carcinoma."", ""frequency"": ""COMMON"", ""name"": ""Skin Carcinomas""}"	{}	"{""description"": ""Common arsenic-induced skin cancers include Bowen's disease, basal cell carcinoma, and squamous cell carcinoma."", ""evidence"": [{""explanation"": ""Abstract lists common arsenic-induced skin cancers including Bowen's disease, BCC, and SCC."", ""reference"": ""PMID:16807664"", ""snippet"": ""most common arsenic-induced skin cancers are Bowen's disease (carcinoma in"", ""supports"": ""SUPPORT""}], ""finding_term"": {""preferred_term"": ""Skin Carcinoma"", ""term"": {""id"": ""NCIT:C4914"", ""label"": ""Skin Carcinoma""}}, ""frequency"": ""COMMON"", ""name"": ""Skin Carcinomas""}"
834	34	BRAF-Mutant Papillary Thyroid Cancer	BRAF_Mutant_Thyroid_Cancer.yaml	histopathology	0	Papillary Thyroid Carcinoma	Papillary thyroid carcinomas are the most common thyroid cancers.		VERY_FREQUENT																																																						"{""description"": ""Papillary thyroid carcinomas are the most common thyroid cancers."", ""frequency"": ""VERY_FREQUENT"", ""name"": ""Papillary Thyroid Carcinoma""}"	{}	"{""description"": ""Papillary thyroid carcinomas are the most common thyroid cancers."", ""evidence"": [{""explanation"": ""Abstract notes papillary thyroid carcinoma as the most common thyroid cancer."", ""reference"": ""PMID:21221869"", ""snippet"": ""Papillary thyroid carcinomas are the most common thyroid cancers"", ""supports"": ""SUPPORT""}], ""finding_term"": {""preferred_term"": ""Thyroid Gland Papillary Carcinoma"", ""term"": {""id"": ""NCIT:C4035"", ""label"": ""Thyroid Gland Papillary Carcinoma""}}, ""frequency"": ""VERY_FREQUENT"", ""name"": ""Papillary Thyroid Carcinoma""}"
852	35	BRAF V600E-Mutant Colorectal Cancer	BRAF_V600E_Mutant_Colorectal_Cancer.yaml	histopathology	0	Adenocarcinoma	Adenocarcinoma is the most common pathologic subtype of colon cancer.		VERY_FREQUENT																																																						"{""description"": ""Adenocarcinoma is the most common pathologic subtype of colon cancer."", ""frequency"": ""VERY_FREQUENT"", ""name"": ""Adenocarcinoma""}"	{}	"{""description"": ""Adenocarcinoma is the most common pathologic subtype of colon cancer."", ""evidence"": [{""explanation"": ""Abstract reports adenocarcinoma as the most common pathologic subtype of colon cancer."", ""reference"": ""PMID:35613396"", ""snippet"": ""Adenocarcinoma is the most common pathologic subtype of colon cancer"", ""supports"": ""SUPPORT""}], ""finding_term"": {""preferred_term"": ""Adenocarcinoma"", ""term"": {""id"": ""NCIT:C2852"", ""label"": ""Adenocarcinoma""}}, ""frequency"": ""VERY_FREQUENT"", ""name"": ""Adenocarcinoma""}"
870	36	BRAF V600E-Mutant Non-Small Cell Lung Cancer	BRAF_V600E_Mutant_NSCLC.yaml	histopathology	0	Adenocarcinoma Predominance	Adenocarcinoma is the most common histologic subtype in NSCLC.		VERY_FREQUENT																																																						"{""description"": ""Adenocarcinoma is the most common histologic subtype in NSCLC."", ""frequency"": ""VERY_FREQUENT"", ""name"": ""Adenocarcinoma Predominance""}"	{}	"{""description"": ""Adenocarcinoma is the most common histologic subtype in NSCLC."", ""evidence"": [{""explanation"": ""Abstract reports a NSCLC cohort dominated by adenocarcinoma."", ""reference"": ""PMID:32657049"", ""snippet"": ""Of 256 patients with NSCLC, 219 were adenocarcinoma"", ""supports"": ""SUPPORT""}], ""finding_term"": {""preferred_term"": ""Lung Adenocarcinoma"", ""term"": {""id"": ""NCIT:C3512"", ""label"": ""Lung Adenocarcinoma""}}, ""frequency"": ""VERY_FREQUENT"", ""name"": ""Adenocarcinoma Predominance""}"
886	37	BRAF V600 Mutant Melanoma	BRAF_V600_Mutant_Melanoma.yaml	histopathology	0	Melanocytic Neoplasm	Malignant melanoma represents a neoplasm stemming from melanocytes.		VERY_FREQUENT																																																						"{""description"": ""Malignant melanoma represents a neoplasm stemming from melanocytes."", ""frequency"": ""VERY_FREQUENT"", ""name"": ""Melanocytic Neoplasm""}"	{}	"{""description"": ""Malignant melanoma represents a neoplasm stemming from melanocytes."", ""evidence"": [{""explanation"": ""Abstract defines melanoma as a neoplasm stemming from melanocytes."", ""reference"": ""PMID:27268913"", ""snippet"": ""Malignant melanoma represents a neoplasm stemming from melanocytes"", ""supports"": ""SUPPORT""}], ""finding_term"": {""preferred_term"": ""Melanocytic Neoplasm"", ""term"": {""id"": ""NCIT:C7058"", ""label"": ""Melanocytic Neoplasm""}}, ""frequency"": ""VERY_FREQUENT"", ""name"": ""Melanocytic Neoplasm""}"
