evidence_id	assertion_id	disorder_id	disorder_name	source_file	section	section_index	path	evidence_index	reference	supports	evidence_source	snippet	explanation	raw_json
18	26	2	ALK-Rearranged Non-Small Cell Lung Cancer	ALK_Rearranged_NSCLC.yaml	histopathology	0	evidence	0	PMID:32657049	SUPPORT		Of 256 patients with NSCLC, 219 were adenocarcinoma	Abstract reports a NSCLC cohort dominated by adenocarcinoma.	"{""explanation"": ""Abstract reports a NSCLC cohort dominated by adenocarcinoma."", ""reference"": ""PMID:32657049"", ""snippet"": ""Of 256 patients with NSCLC, 219 were adenocarcinoma"", ""supports"": ""SUPPORT""}"
20	44	3	Acute Promyelocytic Leukemia, PML-RARA	APL_PML_RARA.yaml	histopathology	0	evidence	0	PMID:397771	SUPPORT		Acute promyelocytic leukemia (APL) is characterized by proliferation of	Abstract notes APL is characterized by proliferation of promyelocytes.	"{""explanation"": ""Abstract notes APL is characterized by proliferation of promyelocytes."", ""reference"": ""PMID:397771"", ""snippet"": ""Acute promyelocytic leukemia (APL) is characterized by proliferation of"", ""supports"": ""SUPPORT""}"
390	288	11	Adult T-Cell Leukemia/Lymphoma	Adult_T_Cell_Leukemia_Lymphoma.yaml	histopathology	0	evidence	0	PMID:28796966	SUPPORT		Adult T-cell lymphoma/leukemia (ATL) is a rare T-cell lymphoproliferative	Abstract characterizes ATL as a rare T-cell lymphoproliferative neoplasm.	"{""explanation"": ""Abstract characterizes ATL as a rare T-cell lymphoproliferative neoplasm."", ""reference"": ""PMID:28796966"", ""snippet"": ""Adult T-cell lymphoma/leukemia (ATL) is a rare T-cell lymphoproliferative"", ""supports"": ""SUPPORT""}"
400	313	12	Aflatoxin-Related Hepatocellular Carcinoma	Aflatoxin_Related_HCC.yaml	histopathology	0	evidence	0	PMID:27785449	SUPPORT		Hepatocellular carcinoma (HCC) is the most common primary liver malignancy	Abstract states that HCC is the most common primary liver malignancy.	"{""explanation"": ""Abstract states that HCC is the most common primary liver malignancy."", ""reference"": ""PMID:27785449"", ""snippet"": ""Hepatocellular carcinoma (HCC) is the most common primary liver malignancy"", ""supports"": ""SUPPORT""}"
615	485	20	Alveolar Rhabdomyosarcoma	Alveolar_Rhabdomyosarcoma.yaml	histopathology	0	evidence	0	PMID:10337369	SUPPORT		Rhabdomyosarcoma (RMS) is a malignant tumor of mesenchymal origin thought to	Abstract describes rhabdomyosarcoma as a malignant tumor of mesenchymal origin.	"{""explanation"": ""Abstract describes rhabdomyosarcoma as a malignant tumor of mesenchymal origin."", ""reference"": ""PMID:10337369"", ""snippet"": ""Rhabdomyosarcoma (RMS) is a malignant tumor of mesenchymal origin thought to"", ""supports"": ""SUPPORT""}"
835	651	27	Arsenic-Related Cancers	Arsenic_Related_Cancers.yaml	histopathology	0	evidence	0	PMID:16807664	SUPPORT		most common arsenic-induced skin cancers are Bowen's disease (carcinoma in	Abstract lists common arsenic-induced skin cancers including Bowen's disease, BCC, and SCC.	"{""explanation"": ""Abstract lists common arsenic-induced skin cancers including Bowen's disease, BCC, and SCC."", ""reference"": ""PMID:16807664"", ""snippet"": ""most common arsenic-induced skin cancers are Bowen's disease (carcinoma in"", ""supports"": ""SUPPORT""}"
1132	834	34	BRAF-Mutant Papillary Thyroid Cancer	BRAF_Mutant_Thyroid_Cancer.yaml	histopathology	0	evidence	0	PMID:21221869	SUPPORT		Papillary thyroid carcinomas are the most common thyroid cancers	Abstract notes papillary thyroid carcinoma as the most common thyroid cancer.	"{""explanation"": ""Abstract notes papillary thyroid carcinoma as the most common thyroid cancer."", ""reference"": ""PMID:21221869"", ""snippet"": ""Papillary thyroid carcinomas are the most common thyroid cancers"", ""supports"": ""SUPPORT""}"
1134	852	35	BRAF V600E-Mutant Colorectal Cancer	BRAF_V600E_Mutant_Colorectal_Cancer.yaml	histopathology	0	evidence	0	PMID:35613396	SUPPORT		Adenocarcinoma is the most common pathologic subtype of colon cancer	Abstract reports adenocarcinoma as the most common pathologic subtype of colon cancer.	"{""explanation"": ""Abstract reports adenocarcinoma as the most common pathologic subtype of colon cancer."", ""reference"": ""PMID:35613396"", ""snippet"": ""Adenocarcinoma is the most common pathologic subtype of colon cancer"", ""supports"": ""SUPPORT""}"
1137	870	36	BRAF V600E-Mutant Non-Small Cell Lung Cancer	BRAF_V600E_Mutant_NSCLC.yaml	histopathology	0	evidence	0	PMID:32657049	SUPPORT		Of 256 patients with NSCLC, 219 were adenocarcinoma	Abstract reports a NSCLC cohort dominated by adenocarcinoma.	"{""explanation"": ""Abstract reports a NSCLC cohort dominated by adenocarcinoma."", ""reference"": ""PMID:32657049"", ""snippet"": ""Of 256 patients with NSCLC, 219 were adenocarcinoma"", ""supports"": ""SUPPORT""}"
1139	886	37	BRAF V600 Mutant Melanoma	BRAF_V600_Mutant_Melanoma.yaml	histopathology	0	evidence	0	PMID:27268913	SUPPORT		Malignant melanoma represents a neoplasm stemming from melanocytes	Abstract defines melanoma as a neoplasm stemming from melanocytes.	"{""explanation"": ""Abstract defines melanoma as a neoplasm stemming from melanocytes."", ""reference"": ""PMID:27268913"", ""snippet"": ""Malignant melanoma represents a neoplasm stemming from melanocytes"", ""supports"": ""SUPPORT""}"
