file,path,class,slot,populated,total,percentage
kb/disorders/ATTR_Amyloidosis.yaml,(root),Disease,datasets,0,1,0.0
kb/disorders/ATTR_Amyloidosis.yaml,disease_term,DiseaseDescriptor,term,1,1,100.0
kb/disorders/ATTR_Amyloidosis.yaml,has_subtypes[0],Subtype,evidence,1,1,100.0
kb/disorders/ATTR_Amyloidosis.yaml,has_subtypes[1],Subtype,evidence,1,1,100.0
kb/disorders/ATTR_Amyloidosis.yaml,prevalence[0],Prevalence,evidence,1,1,100.0
kb/disorders/ATTR_Amyloidosis.yaml,progression[0],ProgressionInfo,evidence,1,1,100.0
kb/disorders/ATTR_Amyloidosis.yaml,pathophysiology[0],Pathophysiology,evidence,1,1,100.0
kb/disorders/ATTR_Amyloidosis.yaml,pathophysiology[0].biological_processes[0],BiologicalProcessDescriptor,term,1,1,100.0
kb/disorders/ATTR_Amyloidosis.yaml,pathophysiology[0].biological_processes[1],BiologicalProcessDescriptor,term,1,1,100.0
kb/disorders/ATTR_Amyloidosis.yaml,pathophysiology[0].locations[0],AnatomicalEntityDescriptor,term,1,1,100.0
kb/disorders/ATTR_Amyloidosis.yaml,pathophysiology[0].locations[1],AnatomicalEntityDescriptor,term,1,1,100.0
kb/disorders/ATTR_Amyloidosis.yaml,pathophysiology[1],Pathophysiology,evidence,1,1,100.0
kb/disorders/ATTR_Amyloidosis.yaml,pathophysiology[1].biological_processes[0],BiologicalProcessDescriptor,term,1,1,100.0
kb/disorders/ATTR_Amyloidosis.yaml,pathophysiology[1].biological_processes[1],BiologicalProcessDescriptor,term,1,1,100.0
kb/disorders/ATTR_Amyloidosis.yaml,pathophysiology[1].locations[0],AnatomicalEntityDescriptor,term,1,1,100.0
kb/disorders/ATTR_Amyloidosis.yaml,pathophysiology[1].locations[1],AnatomicalEntityDescriptor,term,1,1,100.0
kb/disorders/ATTR_Amyloidosis.yaml,pathophysiology[1].locations[2],AnatomicalEntityDescriptor,term,1,1,100.0
kb/disorders/ATTR_Amyloidosis.yaml,pathophysiology[1].downstream[0],CausalEdge,evidence,1,1,100.0
kb/disorders/ATTR_Amyloidosis.yaml,pathophysiology[2],Pathophysiology,evidence,0,1,0.0
kb/disorders/ATTR_Amyloidosis.yaml,pathophysiology[2].cell_types[0],CellTypeDescriptor,term,1,1,100.0
kb/disorders/ATTR_Amyloidosis.yaml,pathophysiology[2].biological_processes[0],BiologicalProcessDescriptor,term,1,1,100.0
kb/disorders/ATTR_Amyloidosis.yaml,pathophysiology[2].biological_processes[1],BiologicalProcessDescriptor,term,1,1,100.0
kb/disorders/ATTR_Amyloidosis.yaml,pathophysiology[2].locations[0],AnatomicalEntityDescriptor,term,1,1,100.0
kb/disorders/ATTR_Amyloidosis.yaml,pathophysiology[3],Pathophysiology,evidence,0,1,0.0
kb/disorders/ATTR_Amyloidosis.yaml,pathophysiology[3].cell_types[0],CellTypeDescriptor,term,1,1,100.0
kb/disorders/ATTR_Amyloidosis.yaml,pathophysiology[3].biological_processes[0],BiologicalProcessDescriptor,term,1,1,100.0
kb/disorders/ATTR_Amyloidosis.yaml,pathophysiology[3].locations[0],AnatomicalEntityDescriptor,term,1,1,100.0
kb/disorders/ATTR_Amyloidosis.yaml,pathophysiology[4],Pathophysiology,evidence,0,1,0.0
kb/disorders/ATTR_Amyloidosis.yaml,pathophysiology[4].cell_types[0],CellTypeDescriptor,term,1,1,100.0
kb/disorders/ATTR_Amyloidosis.yaml,pathophysiology[4].cell_types[1],CellTypeDescriptor,term,1,1,100.0
