curie,label,retrieved_at
icd11f:1046279423,Benign childhood epilepsy with centro-temporal spikes,2026-08-17T03:53:14.315922
icd11f:1328350091,Transverse myelitis,2026-02-01T14:54:56.393514
icd11f:1369657886,Mitochondrial encephalopathy with lactic acidosis and stroke-like episodes,2026-08-27T00:13:55.571893
icd11f:1502158121,Autosomal recessive multiple pterygium syndrome,2026-08-05T14:42:37.502918
icd11f:1524287677,Fragile X chromosome,2026-05-23T21:09:01.575001
icd11f:1727727812,Epilepsy of infancy with migrating focal seizures,2026-08-17T03:51:35.846145
icd11f:182666470,Epilepsy due to Rasmussen encephalitis,2026-08-17T03:54:44.478243
icd11f:201200685,Rett syndrome,2026-04-26T18:22:55.068243
icd11f:235762608,Fanconi-ichthyosis-dysmorphism syndrome,2026-08-02T01:51:15.078447
icd11f:236564145,Marfan syndrome,2026-05-23T15:20:04.850190
icd11f:337970533,Neurofibromatosis type 1,2026-07-31T06:33:58.876126
icd11f:651135242,Lennox-Gastaut syndrome,2026-08-17T03:48:17.938177
icd11f:66996647,Fabry disease,2026-04-28T22:07:28.220877
