slug	parent_term	status	selection_reason
2-Methylbutyryl-CoA_Dehydrogenase_Deficiency	MONDO:0012392	ELIGIBLE	KB_CATEGORY_MENDELIAN
3-Hydroxy-3-Methylglutaric_Aciduria	MONDO:0009520	ELIGIBLE	KB_CATEGORY_MENDELIAN
3-Hydroxy-3-Methylglutaryl-CoA_Synthase_Deficiency	MONDO:0011614	ELIGIBLE	KB_CATEGORY_MENDELIAN
3-Hydroxyisobutyryl-CoA_Hydrolase_Deficiency	MONDO:0009603	ELIGIBLE	KB_CATEGORY_MENDELIAN
3-M_Syndrome	MONDO:0007477	ELIGIBLE	KB_CATEGORY_MENDELIAN
3-Methylcrotonyl-CoA_Carboxylase_Deficiency	MONDO:0018950	ELIGIBLE	KB_CATEGORY_MENDELIAN
3-Methylglutaconic_Aciduria_Type_I	MONDO:0009610	ELIGIBLE	KB_CATEGORY_MENDELIAN
3-Phosphoglycerate_Dehydrogenase_Deficiency	MONDO:0011152	ELIGIBLE	KB_CATEGORY_MENDELIAN
3-methylglutaconic_Aciduria_With_Deafness_Encephalopathy_And_Leigh-like_Syndrome	MONDO:0013875	ELIGIBLE	KB_CATEGORY_MENDELIAN
3MC_Syndrome	MONDO:0017398	ELIGIBLE	KB_CATEGORY_MENDELIAN
46_XX_Gonadal_Dysgenesis	MONDO:0009299	ELIGIBLE	KB_CATEGORY_MENDELIAN
46_XX_Testicular_DSD	MONDO:0100249	ELIGIBLE	KB_CATEGORY_MENDELIAN
46_XY_DSD_Due_to_17_Beta_Hydroxysteroid_Dehydrogenase_3_Deficiency	MONDO:0009916	ELIGIBLE	KB_CATEGORY_MENDELIAN
46_XY_DSD_Due_to_5_Alpha_Reductase_2_Deficiency	MONDO:0009923	ELIGIBLE	KB_CATEGORY_MENDELIAN
46_XY_Partial_Gonadal_Dysgenesis	MONDO:0016674	ELIGIBLE	KB_CATEGORY_MENDELIAN
46_XY_Sex_Reversal_5	MONDO:0013120	ELIGIBLE	KB_CATEGORY_MENDELIAN
46_XY_complete_gonadal_dysgenesis	MONDO:0010765	ELIGIBLE	KB_CATEGORY_MENDELIAN
5-Oxoprolinase_Deficiency	MONDO:0009825	ELIGIBLE	KB_CATEGORY_MENDELIAN
ABCC9-Related_Intellectual_Disability_and_Myopathy_Syndrome	MONDO:0859224	ELIGIBLE	KB_CATEGORY_MENDELIAN
ACAD9_Deficiency	MONDO:0012624	ELIGIBLE	KB_CATEGORY_MENDELIAN
ACTH-independent_Macronodular_Adrenal_Hyperplasia_3	MONDO:0700299	ELIGIBLE	KB_CATEGORY_MENDELIAN
