file	location	reference	evidence_source	snippet	explanation	explanation_names_partial
kb/disorders/HHV-8-Associated_Multicentric_Castleman_Disease.yaml	treatments[3].evidence[0]	PMID:21555697	HUMAN_CLINICAL	Since 2003, 49 patients with newly diagnosed MCD have been treated with rituximab with (n = 14) or without (n = 35) etoposide.	Shows that the regimens that changed outcomes in this subtype are rituximab-based rather than steroid-based. The quote does not itself address corticosteroids, hence PARTIAL.	yes
kb/disorders/Idiopathic_Multicentric_Castleman_Disease.yaml	discussions[3].evidence[1]	PMID:40931874	HUMAN_CLINICAL	In contrast, IL-6 production in iMCD-TAFRO may be predominantly from vascular endothelial cells, suggesting that elevated serum IL-6 is a secondary phenomenon of the cytokine storm in this subtype.	Argues explicitly for the responder interpretation in at least one subtype, which is why the question is recorded as open rather than settled.	no
kb/disorders/Idiopathic_Multicentric_Castleman_Disease.yaml	mechanistic_hypotheses[3].evidence[1]	PMID:33804823	HUMAN_CLINICAL	However, we continue to lack a foundational understanding of the biological mechanisms driving this disease process.	The same review states that the mechanistic significance of these genetic findings is not established, limiting the hypothesis to EMERGING status.	no
kb/disorders/Idiopathic_Multicentric_Castleman_Disease.yaml	pathophysiology[0].evidence[1]	DOI:10.1038/s41598-025-85193-x	COMPUTATIONAL	These results suggest that active viral infection is unlikely to be a pathological driver of UCD or iMCD.	Argues against the non-HHV-8 virus candidate specifically, leaving the initiating process unresolved.	no
kb/disorders/Idiopathic_Multicentric_Castleman_Disease.yaml	pathophysiology[14].evidence[1]	PMID:34208103	HUMAN_CLINICAL	The role of these cytokines in renal injury, however, is not well understood.	The review states directly that the mediator-to-lesion link is unresolved, which is why the mechanism is hedged here.	no
kb/disorders/Idiopathic_Multicentric_Castleman_Disease.yaml	pathophysiology[14].evidence[2]	PMID:34208103	HUMAN_CLINICAL	Therefore, it is suggested that there are factors other than IL-6 and VEGF, which dominate the glomerular injury.	Argues that the two cytokines this entry models as the systemic drivers are not sufficient to explain the renal lesion, so an unidentified mediator is implied at this node.	no
kb/disorders/Unicentric_Castleman_Disease.yaml	biochemical[0].evidence[0]	PMID:33284946	HUMAN_CLINICAL	The anti-interleukin-6 monoclonal antibody siltuximab should be considered for unresectable UCD patients with an inflammatory syndrome.	Supports the clinical relevance of an IL-6-driven inflammatory syndrome in the symptomatic UCD minority. The quote does not itself report IL-6 levels, hence PARTIAL.	yes
kb/disorders/Unicentric_Castleman_Disease.yaml	imaging_findings[0].evidence[0]	PMID:33284946	HUMAN_CLINICAL	Unresectable UCD that is symptomatic as a result of compression of vital neighboring structures may be rendered amenable to resection by medical therapy (eg, rituximab, steroids), radiotherapy, or embolization.	Supports the clinical purpose of cross-sectional imaging in UCD - determining resectability and compression of neighboring structures. The quote does not describe the imaging appearance itself, hence PARTIAL.	yes
kb/disorders/Unicentric_Castleman_Disease.yaml	mechanistic_hypotheses[1].evidence[1]	PMID:33804823	HUMAN_CLINICAL	However, we continue to lack a foundational understanding of the biological mechanisms driving this disease process.	The same review states that the mechanistic significance of these genetic findings is not established, limiting the hypothesis to EMERGING status.	no
kb/disorders/Unicentric_Castleman_Disease.yaml	phenotypes[7].evidence[0]	DOI:10.1182/bloodadvances.2024013548	HUMAN_CLINICAL	Patients with UCD had lower rates of symptoms and laboratory abnormalities, although these were present in 20% of patients and were particularly pronounced in pediatric UCD.	Supports the pediatric skew of systemic features in UCD. The quote does not name growth delay specifically, hence PARTIAL.	yes
kb/disorders/Unicentric_Castleman_Disease.yaml	treatments[1].evidence[1]	PMID:25042199	HUMAN_CLINICAL	Durable tumour and symptomatic responses occurred in 18 (34%) of 53 patients in the siltuximab group and none of 26 in the placebo group (difference 34·0%, 95% CI 11·1-54·8, p=0·0012).	The efficacy evidence, which comes from multicentric disease rather than UCD - hence PARTIAL for this entry.	yes
