descriptor_id	assertion_id	disorder_id	disorder_name	source_file	section	section_index	section_name	section_description	path	root_field	parent_path	parent_name	parent_description	preferred_term	term_id	term_label	description	raw_json	postcomp_located_in	postcomp_located_in_ids	postcomp_modifier	postcomp_therapeutic_agent	postcomp_therapeutic_agent_ids	qualifier_clinical_course	qualifier_clinical_course_ids	qualifier_clinical_course_predicate_ids	qualifier_has_participant	qualifier_has_participant_ids	qualifier_has_participant_predicate_ids	qualifier_immunologic_factor	qualifier_immunologic_factor_ids	qualifier_immunologic_factor_predicate_ids	qualifier_monoclonal_antibody_predicate_ids	qualifier_route_of_administration	qualifier_route_of_administration_ids	qualifier_route_of_administration_predicate_ids	qualifier_surgical_procedure	qualifier_surgical_procedure_ids	qualifier_surgical_procedure_predicate_ids	qualifier_therapeutic_agent	qualifier_therapeutic_agent_ids	qualifier_therapeutic_agent_predicate_ids	qualifier_therapeutic_procedure	qualifier_therapeutic_procedure_ids	qualifier_therapeutic_procedure_predicate_ids
267	206	9	Acquired Immunodeficiency Syndrome	Acquired_Immunodeficiency_Syndrome.yaml	diagnosis	0	HIV Antibody Test		diagnosis_term	diagnosis_term	$	HIV Antibody Test		serology testing	MAXO:0000609	serology testing		"{""preferred_term"": ""serology testing"", ""term"": {""id"": ""MAXO:0000609"", ""label"": ""serology testing""}}"																											
268	207	9	Acquired Immunodeficiency Syndrome	Acquired_Immunodeficiency_Syndrome.yaml	diagnosis	1	HIV Viral Load Test		diagnosis_term	diagnosis_term	$	HIV Viral Load Test		clinical quantitative reverse transcription PCR testing	MAXO:0000594	clinical quantitative reverse transcription PCR testing		"{""preferred_term"": ""clinical quantitative reverse transcription PCR testing"", ""term"": {""id"": ""MAXO:0000594"", ""label"": ""clinical quantitative reverse transcription PCR testing""}}"																											
399	361	14	Ainhum	Ainhum.yaml	diagnosis	0	Radiographic examination of the feet	Radiography aids early diagnosis and staging.	diagnosis_term	diagnosis_term	$	Radiographic examination of the feet	Radiography aids early diagnosis and staging.	radiograph imaging procedure	MAXO:0000595	radiograph imaging procedure		"{""preferred_term"": ""radiograph imaging procedure"", ""term"": {""id"": ""MAXO:0000595"", ""label"": ""radiograph imaging procedure""}}"																											
3870	4317	182	Laryngotracheoesophageal Cleft	Laryngotracheoesophageal_Cleft.yaml	diagnosis	0	Direct laryngoscopy	Direct laryngoscopy visualizes the interarytenoid region and cleft extent.	diagnosis_term	diagnosis_term	$	Direct laryngoscopy	Direct laryngoscopy visualizes the interarytenoid region and cleft extent.	laryngoscopy	MAXO:0001189	laryngoscopy		"{""preferred_term"": ""laryngoscopy"", ""term"": {""id"": ""MAXO:0001189"", ""label"": ""laryngoscopy""}}"																											
3871	4318	182	Laryngotracheoesophageal Cleft	Laryngotracheoesophageal_Cleft.yaml	diagnosis	1	Bronchoscopy	Bronchoscopy evaluates the airway and defines the extent of the cleft.	diagnosis_term	diagnosis_term	$	Bronchoscopy	Bronchoscopy evaluates the airway and defines the extent of the cleft.	bronchoscopy	MAXO:0001183	bronchoscopy		"{""preferred_term"": ""bronchoscopy"", ""term"": {""id"": ""MAXO:0001183"", ""label"": ""bronchoscopy""}}"																											
3872	4319	182	Laryngotracheoesophageal Cleft	Laryngotracheoesophageal_Cleft.yaml	diagnosis	2	Chest radiograph imaging	Chest radiographs show pulmonary complications that support diagnosis and guide repair.	diagnosis_term	diagnosis_term	$	Chest radiograph imaging	Chest radiographs show pulmonary complications that support diagnosis and guide repair.	chest radiograph procedure	MAXO:0010356	chest radiograph procedure		"{""preferred_term"": ""chest radiograph procedure"", ""term"": {""id"": ""MAXO:0010356"", ""label"": ""chest radiograph procedure""}}"																											
3873	4320	182	Laryngotracheoesophageal Cleft	Laryngotracheoesophageal_Cleft.yaml	diagnosis	3	Flexible endoscopy with sustained pharyngeal inflation	Flexible endoscopy with sustained pharyngeal inflation can improve visualization of laryngeal clefts in infants.	diagnosis_term	diagnosis_term	$	Flexible endoscopy with sustained pharyngeal inflation	Flexible endoscopy with sustained pharyngeal inflation can improve visualization of laryngeal clefts in infants.	laryngoscopy	MAXO:0001189	laryngoscopy		"{""preferred_term"": ""laryngoscopy"", ""term"": {""id"": ""MAXO:0001189"", ""label"": ""laryngoscopy""}}"																											
3874	4321	182	Laryngotracheoesophageal Cleft	Laryngotracheoesophageal_Cleft.yaml	diagnosis	4	Video fluoroscopic swallow study	Video fluoroscopic swallow study evaluates dysphagia severity and guides management of interarytenoid defects.	diagnosis_term	diagnosis_term	$	Video fluoroscopic swallow study	Video fluoroscopic swallow study evaluates dysphagia severity and guides management of interarytenoid defects.	barium swallow radiograph procedure	MAXO:0035082	barium swallow radiograph procedure		"{""preferred_term"": ""barium swallow radiograph procedure"", ""term"": {""id"": ""MAXO:0035082"", ""label"": ""barium swallow radiograph procedure""}}"																											
3875	4322	182	Laryngotracheoesophageal Cleft	Laryngotracheoesophageal_Cleft.yaml	diagnosis	5	Computed tomography imaging	Chest CT may be obtained during evaluation but can miss laryngeal clefts without targeted endoscopic assessment.	diagnosis_term	diagnosis_term	$	Computed tomography imaging	Chest CT may be obtained during evaluation but can miss laryngeal clefts without targeted endoscopic assessment.	computed tomography procedure	MAXO:0000571	computed tomography procedure		"{""preferred_term"": ""computed tomography procedure"", ""term"": {""id"": ""MAXO:0000571"", ""label"": ""computed tomography procedure""}}"																											
5949	6561	280	Pulmonary_hypertension	Pulmonary_hypertension.yaml	diagnosis	0	Echocardiogram		diagnosis_term	diagnosis_term	$	Echocardiogram		echocardiography	MAXO:0010203	echocardiography		"{""preferred_term"": ""echocardiography"", ""term"": {""id"": ""MAXO:0010203"", ""label"": ""echocardiography""}}"																											
5950	6562	280	Pulmonary_hypertension	Pulmonary_hypertension.yaml	diagnosis	1	Right Heart Catheterization		diagnosis_term	diagnosis_term	$	Right Heart Catheterization		right heart catheterization	MAXO:0035118	cardiac catheterization		"{""located_in"": {""preferred_term"": ""right cardiac chamber"", ""term"": {""id"": ""UBERON:0035554"", ""label"": ""right cardiac chamber""}}, ""preferred_term"": ""right heart catheterization"", ""term"": {""id"": ""MAXO:0035118"", ""label"": ""cardiac catheterization""}}"	right cardiac chamber	UBERON:0035554																									
5951	6562	280	Pulmonary_hypertension	Pulmonary_hypertension.yaml	diagnosis	1	Right Heart Catheterization		diagnosis_term.located_in	diagnosis_term	diagnosis_term			right cardiac chamber	UBERON:0035554	right cardiac chamber		"{""preferred_term"": ""right cardiac chamber"", ""term"": {""id"": ""UBERON:0035554"", ""label"": ""right cardiac chamber""}}"																											
6287	6954	298	Scimitar Syndrome	Scimitar_Syndrome.yaml	diagnosis	0	Chest radiograph (scimitar sign)	"The characteristic curvilinear shadow along the right heart border on posteroanterior chest radiograph, representing the anomalous pulmonary vein draining toward the IVC. This finding gives the syndrome its name and is visible in approximately 82% of overall cases, though less frequently in infants.
"	diagnosis_term	diagnosis_term	$	Chest radiograph (scimitar sign)	"The characteristic curvilinear shadow along the right heart border on posteroanterior chest radiograph, representing the anomalous pulmonary vein draining toward the IVC. This finding gives the syndrome its name and is visible in approximately 82% of overall cases, though less frequently in infants.
"	radiograph imaging procedure	MAXO:0000595	radiograph imaging procedure		"{""preferred_term"": ""radiograph imaging procedure"", ""term"": {""id"": ""MAXO:0000595"", ""label"": ""radiograph imaging procedure""}}"																											
6288	6955	298	Scimitar Syndrome	Scimitar_Syndrome.yaml	diagnosis	1	CT angiography or cardiac MRI	"Cross-sectional imaging precisely delineates the anomalous venous drainage, anomalous arterial supply, pulmonary anatomy, and associated cardiac defects. CT angiography with 3D and MIP reconstructions or cardiac MRI have largely replaced invasive catheterization for diagnostic purposes, providing superior anatomic detail for surgical planning.
"	diagnosis_term	diagnosis_term	$	CT angiography or cardiac MRI	"Cross-sectional imaging precisely delineates the anomalous venous drainage, anomalous arterial supply, pulmonary anatomy, and associated cardiac defects. CT angiography with 3D and MIP reconstructions or cardiac MRI have largely replaced invasive catheterization for diagnostic purposes, providing superior anatomic detail for surgical planning.
"	angiography	MAXO:0001259	angiography		"{""preferred_term"": ""angiography"", ""term"": {""id"": ""MAXO:0001259"", ""label"": ""angiography""}}"																											
6289	6956	298	Scimitar Syndrome	Scimitar_Syndrome.yaml	diagnosis	2	Cardiac catheterization	"Invasive hemodynamic assessment quantifies shunt magnitude (Qp:Qs ratio), pulmonary artery pressures, and pulmonary vascular resistance to guide intervention decisions. Selective angiography confirms anomalous venous drainage and identifies aortopulmonary collaterals.
"	diagnosis_term	diagnosis_term	$	Cardiac catheterization	"Invasive hemodynamic assessment quantifies shunt magnitude (Qp:Qs ratio), pulmonary artery pressures, and pulmonary vascular resistance to guide intervention decisions. Selective angiography confirms anomalous venous drainage and identifies aortopulmonary collaterals.
"	cardiac catheterization	MAXO:0035118	cardiac catheterization		"{""preferred_term"": ""cardiac catheterization"", ""term"": {""id"": ""MAXO:0035118"", ""label"": ""cardiac catheterization""}}"																											
6450	7117	306	Silent Sinus Syndrome	Silent_Sinus_Syndrome.yaml	diagnosis	0	CT Scan of Paranasal Sinuses	Shows opacified and contracted maxillary sinus with inward bowing of sinus walls, particularly the orbital floor. Characteristic imaging features include maxillary sinus outlet obstruction, sinus opacification, and sinus volume loss.	diagnosis_term	diagnosis_term	$	CT Scan of Paranasal Sinuses	Shows opacified and contracted maxillary sinus with inward bowing of sinus walls, particularly the orbital floor. Characteristic imaging features include maxillary sinus outlet obstruction, sinus opacification, and sinus volume loss.	computed tomography procedure	MAXO:0000571	computed tomography procedure		"{""preferred_term"": ""computed tomography procedure"", ""term"": {""id"": ""MAXO:0000571"", ""label"": ""computed tomography procedure""}}"																											
