citation,evidence_type,stance,mechanistic_claim_tested,key_finding,disease_context,confidence_and_limitations
PMID:26700326,in vitro,supports,NMD-escaping truncated ASXL1 protein is expressed (not a null),Truncated ASXL1 detected by mass spec + Western blot in cell lines lacking intact ASXL1; authors conclude dominant-negative or gain-of-function,Myeloid leukemia cell lines,High for protein expression; not germline BOS cells
PMID:30515738,review,supports,Last-exon location -> NMD escape -> stable truncated protein hyperactivating BAP1,Mutant ASXL1 gains function enhancing BAP1 DUB activity reducing H2AK119ub,Myeloid neoplasms/CHIP,Review-level synthesis; myeloid context
PMID:34186160,in vitro/model organism,supports,Truncated ASXL1 confers GOF on ASXL1-BAP1 complex; BAP1 hyperactivation is targetable,Reducing hyperactivated BAP1 attenuates mutant-ASXL1 myeloid malignancy in human HSPCs,Myeloid malignancy,High mechanistic; myeloid not BOS neurodevelopment
PMID:31006630,in vitro,supports,A truncated ASXL1 fragment is sufficient to cause BOS phenotypes,Truncated ASXL1 (aa1-900) recapitulated neural crest delamination/emigration defects in vitro and in ovo; reduced ZIC1/NC-GRN,BOS neural crest (hPSC/iPSC),Medium; overexpressed construct not endogenous allele
PMID:42523271,in vitro (preprint),supports,Truncated ASXL1 mislocalizes on chromatin (GOF spreading) rewiring metabolism,BOS fibroblasts: truncated ASXL1/BAP1 aberrant co-occupancy at MPC2; PR-DUB spreading; Warburg-like state; attributed to GOF truncation,BOS patient dermal fibroblasts,Medium; bioRxiv preprint not peer-reviewed; snippet needs full-text validation
PMID:37053013,human/in vitro,qualifies,Cross-tissue epigenome disruption (non-discriminating),ASXL1 mutations drive strong cross-tissue epigenomic effects and canonical/noncanonical Wnt dysregulation,BOS blood + fibroblasts (n=18 vs 49),High for effect; does NOT discriminate LOF vs DN vs GOF (seed evidence)
PMID:40276524,model organism,competing,LOF alone drives a cardinal BOS feature (microcephaly),Asxl1 deletion -> microcephaly via impaired Ezh2/PRC2-dependent NSC survival; 4635 DEGs,Mouse brain development,High; full deletion not the human NMD-escape allele
PMID:24218140,model organism,competing,Constitutive Asxl1 loss recapitulates BOS-like malformations,Asxl1 KO: anophthalmia microcephaly cleft palate; global H3K27me3 reduction,Mouse (germline + hematopoietic),High; models LOF arm not truncated-protein product
PMID:24255920,model organism,competing,Asxl1 haploinsufficiency is pathogenic,Asxl1+/- mice develop MDS-like disease (haploinsufficient effect); KO developmental defects,Mouse,High; hematopoietic readout; germline dominant BOS not directly modeled
PMID:25921057,human clinical,qualifies,Germline BOS variants overlap somatic myeloid drivers; tumor predisposition,8 new BOS cases; 2 bilateral Wilms tumors; same ASXL1 variants seen somatically in myeloid malignancy,BOS clinical cohort,Medium; supports oncogenic-analogy not direct protein mechanism
PMID:41925445,review,supports,Generalized ASXL GOF requires NMD escape + C-terminal degron removal -> increased protein stability,Population-genetics + in vitro synthesis proposes GOF as generalized ASXL mechanism,ASXL1/2/3 cancer + neurodevelopment,Review-level; degron is 'putative' (unconfirmed step)
PMID:30927018,review,supports,WT ASXL1 loss vs mutant GOF have distinct roles,Mutant ASXL1 has dominant-negative and gain-of-function features via epigenetic changes,Myeloid,Review-level; myeloid context
gnomAD_v4_2026-09-07,computational,supports,Population genetics: ASXL1 not LoF-constrained; truncation hotspot = CHIP driver window,pLI=2.5e-16 LOEUF=0.90; 76.8% of pLoF allele burden in aa580-1000 led by p.Gly646fs (CHIP/AML driver = germline BOS allele),Population (blood-derived) vs BOS/myeloid,Medium; CHIP vs germline not separable at variant level via API fields
