curie,label,retrieved_at
NCIT:C2916,Carcinoma,2026-02-09T22:43:23.651985
NCIT:C2852,Adenocarcinoma,2026-02-09T22:43:23.651988
NCIT:C2929,Squamous Cell Carcinoma,2026-02-09T22:43:23.651991
NCIT:C9118,Sarcoma,2026-02-09T22:43:23.651993
NCIT:C3161,Leukemia,2026-02-09T22:43:23.651995
NCIT:C3208,Lymphoma,2026-02-09T22:43:23.651997
NCIT:C3242,Multiple Myeloma,2026-02-09T22:43:23.651999
NCIT:C3224,Melanoma,2026-02-09T22:43:23.652002
NCIT:C3059,Glioma,2026-02-09T22:43:23.652004
NCIT:C9091,Adult Brain Stem Glioma,2026-02-09T22:43:23.652006
NCIT:C3264,Embryonal Neoplasm,2026-02-09T22:43:23.652008
NCIT:C36715,BCR-ABL1 Fusion Protein Expression,2026-02-09T22:43:23.652010
NCIT:C17328,Mast/Stem Cell Growth Factor Receptor Kit,2026-02-09T22:43:23.652012
NCIT:C2281,Calcitonin,2026-02-09T22:43:23.652015
NCIT:C16384,Carcinoembryonic Antigen-Related Cell Adhesion Molecule 5,2026-02-09T22:43:23.652017
NCIT:C16325,BCR/ABL1 Fusion Protein,2026-02-09T22:43:23.652020
NCIT:C18539,Proto-Oncogene Tyrosine-Protein Kinase Receptor Ret,2026-02-09T22:43:23.652022
NCIT:C35950,Fleurette Formation,2026-02-09T22:43:23.652025
NCIT:C53643,Spindle Cell Pattern,2026-02-09T22:43:23.652027
NCIT:C12917,Malignant Cell,2026-02-09T22:43:23.652029
NCIT:C35961,Low Mitotic Activity,2026-02-09T22:43:23.652031
NCIT:C88524,N-Terminal Fragment Brain Natriuretic Protein,2026-02-09T22:43:23.652033
NCIT:C12922,Neoplastic Cell,2026-02-09T22:43:23.652036
NCIT:C35983,Lymphocytic Infiltrate,2026-02-09T22:43:23.652038
NCIT:C21380,Protein BTG2,2026-02-09T22:43:23.652040
NCIT:C20887,Mesothelin,2026-02-09T22:43:23.652042
NCIT:C3099,Hepatocellular Carcinoma,2026-02-09T22:43:23.652044
NCIT:C4194,Invasive Breast Carcinoma of No Special Type,2026-02-09T22:43:23.652047
NCIT:C3512,Lung Adenocarcinoma,2026-02-09T22:43:23.652049
NCIT:C4004,Gastric Adenocarcinoma,2026-02-09T22:43:23.652051
NCIT:C129325,Diffuse Glioma,2026-02-09T22:43:23.652053
NCIT:C60781,Astrocytoma,2026-02-09T22:43:23.652056
NCIT:C178541,Aggressive B-Cell Non-Hodgkin Lymphoma,2026-02-09T22:43:23.652058
NCIT:C4436,Cholangiocarcinoma,2026-02-09T22:43:23.652060
NCIT:C3773,Neuroendocrine Carcinoma,2026-02-09T22:43:23.652062
NCIT:C155995,Myeloblasts Present,2026-02-09T22:43:23.652064
NCIT:C4683,Dermatofibrosarcoma Protuberans,2026-02-09T22:43:23.652067
