assertion_id	disorder_id	disorder_name	source_file	section	section_index	name	description	category	frequency	diagnostic	context	subtype	role	presence	association	accession	age_range	background	base_model	classification	clinical_significance	consequence	data_type	de_novo_rate	definition_type	duration	effect	expressivity	features	genotype	incubation_days	incubation_years	markers	maximum_value	mean_range	minimum_value	model_format	model_id	model_software	model_type	notes	parent_of_origin_effect	penetrance	percentage	phase	platform	population	publication	repository_url	results	review_notes	sample_count	scope	sequence_length	severity	species	specificity	status	subtype_frequency	title	type	unit	scalar_fields_json	complex_fields_json	raw_json
21	2	ALK-Rearranged Non-Small Cell Lung Cancer	ALK_Rearranged_NSCLC.yaml	biochemical	0	ALK Testing																																			ALK testing is required for all advanced non-squamous NSCLC. Methods include FISH (FDA-approved companion diagnostic), immunohistochemistry (screening), and next-generation sequencing (identifies fusion partner and variant). ALK is mutually exclusive with EGFR mutations.																						"{""name"": ""ALK Testing"", ""notes"": ""ALK testing is required for all advanced non-squamous NSCLC. Methods include FISH (FDA-approved companion diagnostic), immunohistochemistry (screening), and next-generation sequencing (identifies fusion partner and variant). ALK is mutually exclusive with EGFR mutations.""}"	{}	"{""name"": ""ALK Testing"", ""notes"": ""ALK testing is required for all advanced non-squamous NSCLC. Methods include FISH (FDA-approved companion diagnostic), immunohistochemistry (screening), and next-generation sequencing (identifies fusion partner and variant). ALK is mutually exclusive with EGFR mutations.""}"
40	3	Acute Promyelocytic Leukemia, PML-RARA	APL_PML_RARA.yaml	biochemical	0	Coagulation Studies																																			Characteristic findings include prolonged PT and PTT, markedly elevated D-dimer, and decreased fibrinogen. Rapid correction with ATRA initiation is essential to prevent fatal hemorrhage.																						"{""name"": ""Coagulation Studies"", ""notes"": ""Characteristic findings include prolonged PT and PTT, markedly elevated D-dimer, and decreased fibrinogen. Rapid correction with ATRA initiation is essential to prevent fatal hemorrhage.""}"	{}	"{""name"": ""Coagulation Studies"", ""notes"": ""Characteristic findings include prolonged PT and PTT, markedly elevated D-dimer, and decreased fibrinogen. Rapid correction with ATRA initiation is essential to prevent fatal hemorrhage.""}"
41	3	Acute Promyelocytic Leukemia, PML-RARA	APL_PML_RARA.yaml	biochemical	1	PML-RARA Fusion Detection																																			RT-PCR detects PML-RARA fusion transcripts and identifies breakpoint location (bcr1, bcr2, or bcr3). Essential for diagnosis confirmation and minimal residual disease monitoring. FISH detects the t(15;17).																						"{""name"": ""PML-RARA Fusion Detection"", ""notes"": ""RT-PCR detects PML-RARA fusion transcripts and identifies breakpoint location (bcr1, bcr2, or bcr3). Essential for diagnosis confirmation and minimal residual disease monitoring. FISH detects the t(15;17).""}"	{}	"{""name"": ""PML-RARA Fusion Detection"", ""notes"": ""RT-PCR detects PML-RARA fusion transcripts and identifies breakpoint location (bcr1, bcr2, or bcr3). Essential for diagnosis confirmation and minimal residual disease monitoring. FISH detects the t(15;17).""}"
61	4	ATTR_Amyloidosis	ATTR_Amyloidosis.yaml	biochemical	0	Serum Transthyretin Levels					Diagnostic indicator			Abnormal (low)																																																	"{""context"": ""Diagnostic indicator"", ""name"": ""Serum Transthyretin Levels"", ""presence"": ""Abnormal (low)""}"	{}	"{""context"": ""Diagnostic indicator"", ""evidence"": [{""explanation"": ""The literature indicates that lower levels of transthyretin are associated with transthyretin amyloidosis, supporting the statement that abnormal (low) serum transthyretin levels can be a diagnostic indicator."", ""reference"": ""PMID:32356182"", ""snippet"": ""Lower levels of transthyretin and retinol binding protein-4 have been demonstrated in patients with pathogenic mutations of transthyretin either with or without clinical disease."", ""supports"": ""SUPPORT""}], ""name"": ""Serum Transthyretin Levels"", ""presence"": ""Abnormal (low)""}"
62	4	ATTR_Amyloidosis	ATTR_Amyloidosis.yaml	biochemical	1	Amyloid P Component								Elevated																											May be used to monitor disease progression																						"{""name"": ""Amyloid P Component"", ""notes"": ""May be used to monitor disease progression"", ""presence"": ""Elevated""}"	{}	"{""evidence"": [{""explanation"": ""The reference indicates that serum amyloid P component scintigraphy can be used to monitor the course of systemic amyloidosis, but it does not specify whether the levels of amyloid P component are elevated in ATTR amyloidosis."", ""reference"": ""PMID:12394612"", ""snippet"": ""Radiolabelled serum amyloid P component scintigraphy is a non-invasive and quantitative method for imaging amyloid deposits, which produces diagnostic images in most patients with systemic amyloidosis, and can be used repeatedly to monitor the course of the disease."", ""supports"": ""PARTIAL""}], ""name"": ""Amyloid P Component"", ""notes"": ""May be used to monitor disease progression"", ""presence"": ""Elevated""}"
151	8	Acne Vulgaris	Acne_Vulgaris.yaml	biochemical	0	Androgens								Elevated																											"Androgens (testosterone, DHT) stimulate sebaceous gland activity through androgen receptor signaling, explaining the onset of acne at puberty and its association with hyperandrogenic states.
"																						"{""name"": ""Androgens"", ""notes"": ""Androgens (testosterone, DHT) stimulate sebaceous gland activity through androgen receptor signaling, explaining the onset of acne at puberty and its association with hyperandrogenic states.\n"", ""presence"": ""Elevated""}"	{}	"{""evidence"": [{""explanation"": ""This paper directly links androgen hormones to excess sebum production in acne pathogenesis."", ""reference"": ""PMID:32748305"", ""snippet"": ""Excess sebum production occurs because of increased activity of androgen hormones and IGF-1"", ""supports"": ""SUPPORT""}], ""name"": ""Androgens"", ""notes"": ""Androgens (testosterone, DHT) stimulate sebaceous gland activity through androgen receptor signaling, explaining the onset of acne at puberty and its association with hyperandrogenic states.\n"", ""presence"": ""Elevated""}"
152	8	Acne Vulgaris	Acne_Vulgaris.yaml	biochemical	1	Sebum lipids								Altered																											"Changes in sebum composition, including altered fatty acid profiles and increased squalene oxidation, contribute to comedogenesis and inflammation.
"																						"{""name"": ""Sebum lipids"", ""notes"": ""Changes in sebum composition, including altered fatty acid profiles and increased squalene oxidation, contribute to comedogenesis and inflammation.\n"", ""presence"": ""Altered""}"	{}	"{""evidence"": [{""explanation"": ""This review describes alterations in sebum fatty acid composition as a key feature in acne pathogenesis."", ""reference"": ""PMID:20871834"", ""snippet"": ""Altered ratio between saturated and unsaturated fatty acids has been indicated as an important feature to be considered in addition to the altered amount of specific fatty acids such as linoleic acid"", ""supports"": ""SUPPORT""}], ""name"": ""Sebum lipids"", ""notes"": ""Changes in sebum composition, including altered fatty acid profiles and increased squalene oxidation, contribute to comedogenesis and inflammation.\n"", ""presence"": ""Altered""}"
153	8	Acne Vulgaris	Acne_Vulgaris.yaml	biochemical	2	IL-17								Decreased																											"Serum IL-17 levels are lower in acne vulgaris compared with controls in a severity-stratified cohort, suggesting altered systemic cytokine signaling.
"																						"{""name"": ""IL-17"", ""notes"": ""Serum IL-17 levels are lower in acne vulgaris compared with controls in a severity-stratified cohort, suggesting altered systemic cytokine signaling.\n"", ""presence"": ""Decreased""}"	{}	"{""evidence"": [{""explanation"": ""This study reports decreased serum IL-17 in acne vulgaris compared with controls."", ""reference"": ""PMID:41465543"", ""snippet"": ""Serum IL-17 levels were significantly higher in the control group compared to both acne groups (p < 0.05), with no gender-related differences."", ""supports"": ""SUPPORT""}], ""name"": ""IL-17"", ""notes"": ""Serum IL-17 levels are lower in acne vulgaris compared with controls in a severity-stratified cohort, suggesting altered systemic cytokine signaling.\n"", ""presence"": ""Decreased""}"
204	9	Acquired Immunodeficiency Syndrome	Acquired_Immunodeficiency_Syndrome.yaml	biochemical	0	CD4 T-cell Count								Decreased																																																	"{""name"": ""CD4 T-cell Count"", ""presence"": ""Decreased""}"	{}	"{""evidence"": [{""explanation"": ""The literature indicates that CD4+ (T helper) cell count is an important marker for staging HIV infection, which correlates with the progression to AIDS, thus implying a decrease in CD4 T-cell count in AIDS."", ""reference"": ""PMID:1346152"", ""snippet"": ""The surrogate marker that most closely correlates with the stage of HIV infection is the CD4+, or T helper, cell count."", ""supports"": ""SUPPORT""}, {""explanation"": ""Low CD4 cell count is mentioned as a major indicator of AIDS, directly supporting the statement."", ""reference"": ""PMID:26676359"", ""snippet"": ""Low CD4 cell count, severe loss of body weight, pneumocystis pneumonia, and Kaposi's sarcoma are the major disease indicators."", ""supports"": ""SUPPORT""}, {""explanation"": ""The study indicates that the proportion of CD4+ T-lymphocytes is a significant prognostic marker for AIDS, implying its decrease in AIDS."", ""reference"": ""PMID:1384311"", ""snippet"": ""The prognostic significance of immunologic markers (proportion of CD4+ T-lymphocytes...)"", ""supports"": ""SUPPORT""}, {""explanation"": ""The death of CD4+ T cells characterizes AIDS, predicting the disease outcome and supporting the decrease in CD4+ T-cell counts."", ""reference"": ""PMID:19273357"", ""snippet"": ""Thus, the death of effector/memory CD4+ T cells during both the acute and chronic phase represents one the main characteristic of such viral infection that predicts disease outcome."", ""supports"": ""SUPPORT""}], ""name"": ""CD4 T-cell Count"", ""presence"": ""Decreased""}"
205	9	Acquired Immunodeficiency Syndrome	Acquired_Immunodeficiency_Syndrome.yaml	biochemical	1	HIV Viral Load								Increased																																																	"{""name"": ""HIV Viral Load"", ""presence"": ""Increased""}"	{}	"{""evidence"": [{""explanation"": ""While the specific mention of HIV Viral Load as a biochemical index linked to AIDS is not explicitly detailed in the provided baseline data differences, the overall context supports that biochemical markers, including viral load, are important factors in AIDS patients."", ""reference"": ""PMID:37661622"", ""snippet"": ""The baseline biochemical indexes of leukocyte, platelet, hemoglobin, TG, TC, FPG, AST, ALT and total bilirubin in the poor immune reconstitution group were significantly different from those in the good immune reconstitution group (all P<0.05)."", ""supports"": ""SUPPORT""}, {""explanation"": ""The study supports that HIV Viral Load (a biochemical measure) remains increased in certain HIV-infected individuals, which can contribute to the spread of the virus."", ""reference"": ""PMID:22258501"", ""snippet"": ""HIV-infected individuals who maintain increased levels of HIV-1 RNA load, extended high viremics, can transmit virus at higher rates. Combinatorial ART decreases HIV replication, thus reducing rates of virus transmission."", ""supports"": ""SUPPORT""}], ""name"": ""HIV Viral Load"", ""presence"": ""Increased""}"
