evidence_id	assertion_id	disorder_id	disorder_name	source_file	section	section_index	path	evidence_index	reference	supports	evidence_source	snippet	explanation	raw_json
168	169	8	Acne Vulgaris	Acne_Vulgaris.yaml	infectious_agent	0	evidence	0	PMID:24062871	SUPPORT		Propionibacterium acnes colonizes the duct of the sebaceous follicle, causing an innate immune response and the progression from a so-called noninflammatory comedo to an inflammatory papule, pustule, or nodule.	This review links C. acnes colonization to inflammatory progression in acne.	"{""explanation"": ""This review links C. acnes colonization to inflammatory progression in acne."", ""reference"": ""PMID:24062871"", ""snippet"": ""Propionibacterium acnes colonizes the duct of the sebaceous follicle, causing an innate immune response and the progression from a so-called noninflammatory comedo to an inflammatory papule, pustule, or nodule."", ""supports"": ""SUPPORT""}"
220	217	9	Acquired Immunodeficiency Syndrome	Acquired_Immunodeficiency_Syndrome.yaml	infectious_agent	0	evidence	0	PMID:1396037	SUPPORT		Acquired immunodeficiency syndrome (AIDS) is caused by infection with a pathogenic human retrovirus known as human immunodeficiency virus (HIV).		"{""reference"": ""PMID:1396037"", ""snippet"": ""Acquired immunodeficiency syndrome (AIDS) is caused by infection with a pathogenic human retrovirus known as human immunodeficiency virus (HIV)."", ""supports"": ""SUPPORT""}"
221	217	9	Acquired Immunodeficiency Syndrome	Acquired_Immunodeficiency_Syndrome.yaml	infectious_agent	0	evidence	1	PMID:28365729	SUPPORT		The human immunodeficiency virus (HIV) is associated with one of the most widespread infectious disease, the acquired immunodeficiency syndrome (AIDS).		"{""reference"": ""PMID:28365729"", ""snippet"": ""The human immunodeficiency virus (HIV) is associated with one of the most widespread infectious disease, the acquired immunodeficiency syndrome (AIDS)."", ""supports"": ""SUPPORT""}"
222	217	9	Acquired Immunodeficiency Syndrome	Acquired_Immunodeficiency_Syndrome.yaml	infectious_agent	0	evidence	2	PMID:29402983	SUPPORT		Human immunodeficiency virus (HIV) is the retroviral agent that causes acquired immune deficiency syndrome (AIDS).		"{""reference"": ""PMID:29402983"", ""snippet"": ""Human immunodeficiency virus (HIV) is the retroviral agent that causes acquired immune deficiency syndrome (AIDS)."", ""supports"": ""SUPPORT""}"
391	289	11	Adult T-Cell Leukemia/Lymphoma	Adult_T_Cell_Leukemia_Lymphoma.yaml	infectious_agent	0	evidence	0	PMID:41553980	SUPPORT		HTLV-1 is a retrovirus associated with adult T cell leukemia/lymphoma (ATL) and inflammatory diseases, including HTLV-1-associated myelopathy (HAM) and HTLV-1-associated bronchopneumonopathy (HAB).	This abstract explicitly links HTLV-1 to adult T-cell leukemia/lymphoma, supporting the infectious etiology.	"{""explanation"": ""This abstract explicitly links HTLV-1 to adult T-cell leukemia/lymphoma, supporting the infectious etiology."", ""reference"": ""PMID:41553980"", ""snippet"": ""HTLV-1 is a retrovirus associated with adult T cell leukemia/lymphoma (ATL) and inflammatory diseases, including HTLV-1-associated myelopathy (HAM) and HTLV-1-associated bronchopneumonopathy (HAB)."", ""supports"": ""SUPPORT""}"
1174	927	39	Bacterial meningitis	Bacterial_meningitis.yaml	infectious_agent	0	evidence	0	PMID:17696042	SUPPORT		Neisseria meningitidis is the most common cause of meningitis in children aged 2-18 with a mortality rate ranging from 4-40% and substantial morbidity in 11-19% of survivors.	The literature states that Neisseria meningitidis is the most common	"{""explanation"": ""The literature states that Neisseria meningitidis is the most common"", ""reference"": ""PMID:17696042"", ""snippet"": ""Neisseria meningitidis is the most common cause of meningitis in children aged 2-18 with a mortality rate ranging from 4-40% and substantial morbidity in 11-19% of survivors."", ""supports"": ""SUPPORT""}"
1175	927	39	Bacterial meningitis	Bacterial_meningitis.yaml	infectious_agent	0	evidence	1	PMID:38524112	SUPPORT		This meningococcal meningitis cluster caused by Neisseria meningitidis serogroup C occurred among non-vaccinated persons mostly aged <18 years in Palorinya Refugee Settlement.	The literature mentions a cluster of meningitis cases caused by Neisseria meningitidis in a population mostly under 18 years old, supporting the statement that it is a common cause of bacterial meningitis in children and young adults.	"{""explanation"": ""The literature mentions a cluster of meningitis cases caused by Neisseria meningitidis in a population mostly under 18 years old, supporting the statement that it is a common cause of bacterial meningitis in children and young adults."", ""reference"": ""PMID:38524112"", ""snippet"": ""This meningococcal meningitis cluster caused by Neisseria meningitidis serogroup C occurred among non-vaccinated persons mostly aged <18 years in Palorinya Refugee Settlement."", ""supports"": ""SUPPORT""}"
1176	928	39	Bacterial meningitis	Bacterial_meningitis.yaml	infectious_agent	1	evidence	0	PMID:9519033	SUPPORT		S pneumoniae is now the most common cause in children and adults overall.	The reference clearly states that Streptococcus pneumoniae is the most common cause of bacterial meningitis in adults.	"{""explanation"": ""The reference clearly states that Streptococcus pneumoniae is the most common cause of bacterial meningitis in adults."", ""reference"": ""PMID:9519033"", ""snippet"": ""S pneumoniae is now the most common cause in children and adults overall."", ""supports"": ""SUPPORT""}"
1177	928	39	Bacterial meningitis	Bacterial_meningitis.yaml	infectious_agent	1	evidence	1	PMID:30873934	SUPPORT		Streptococcus pneumoniae (the pneumoccus) is the leading cause of otitis media, community-acquired pneumonia, and bacterial meningitis.	The reference confirms that Streptococcus pneumoniae is the leading cause of bacterial meningitis.	"{""explanation"": ""The reference confirms that Streptococcus pneumoniae is the leading cause of bacterial meningitis."", ""reference"": ""PMID:30873934"", ""snippet"": ""Streptococcus pneumoniae (the pneumoccus) is the leading cause of otitis media, community-acquired pneumonia, and bacterial meningitis."", ""supports"": ""SUPPORT""}"
1178	928	39	Bacterial meningitis	Bacterial_meningitis.yaml	infectious_agent	1	evidence	2	PMID:24568594	SUPPORT		The most common causative organisms were Neisseria meningitidis (41%) and Streptococcus pneumoniae (30%).	The reference indicates that Streptococcus pneumoniae is one of the most common causes of bacterial meningitis in adults, supporting the statement.	"{""explanation"": ""The reference indicates that Streptococcus pneumoniae is one of the most common causes of bacterial meningitis in adults, supporting the statement."", ""reference"": ""PMID:24568594"", ""snippet"": ""The most common causative organisms were Neisseria meningitidis (41%) and Streptococcus pneumoniae (30%)."", ""supports"": ""SUPPORT""}"
1179	929	39	Bacterial meningitis	Bacterial_meningitis.yaml	infectious_agent	2	evidence	0	PMID:11032188	SUPPORT		Hib was the most common cause of bacterial meningitis and other invasive bacterial diseases in this age group.	The reference indicates that Haemophilus influenzae type b (Hib) was the most common cause of bacterial meningitis in children before the Hib vaccine was introduced.	"{""explanation"": ""The reference indicates that Haemophilus influenzae type b (Hib) was the most common cause of bacterial meningitis in children before the Hib vaccine was introduced."", ""reference"": ""PMID:11032188"", ""snippet"": ""Hib was the most common cause of bacterial meningitis and other invasive bacterial diseases in this age group."", ""supports"": ""SUPPORT""}"
1180	929	39	Bacterial meningitis	Bacterial_meningitis.yaml	infectious_agent	2	evidence	1	PMID:15907145	SUPPORT		Recently, Haemophilus influenzae type b (Hib), once a common cause of meningitis, has virtually disappeared in developed nations, reflecting the overwhelming success of Hib vaccination.	This reference supports the statement by noting that Hib was once a common cause of meningitis before the introduction of the Hib vaccine.	"{""explanation"": ""This reference supports the statement by noting that Hib was once a common cause of meningitis before the introduction of the Hib vaccine."", ""reference"": ""PMID:15907145"", ""snippet"": ""Recently, Haemophilus influenzae type b (Hib), once a common cause of meningitis, has virtually disappeared in developed nations, reflecting the overwhelming success of Hib vaccination."", ""supports"": ""SUPPORT""}"
1181	929	39	Bacterial meningitis	Bacterial_meningitis.yaml	infectious_agent	2	evidence	2	PMID:31981610	SUPPORT		H. influenzae type b is the leading cause of bacterial meningitis in children before introduction of vaccination.	This reference clearly states that Haemophilus influenzae type b was the leading cause of bacterial meningitis in children before the vaccine was introduced.	"{""explanation"": ""This reference clearly states that Haemophilus influenzae type b was the leading cause of bacterial meningitis in children before the vaccine was introduced."", ""reference"": ""PMID:31981610"", ""snippet"": ""H. influenzae type b is the leading cause of bacterial meningitis in children before introduction of vaccination."", ""supports"": ""SUPPORT""}"
1182	930	39	Bacterial meningitis	Bacterial_meningitis.yaml	infectious_agent	3	evidence	0	PMID:13904618	SUPPORT		Listeria monocytogenes meningitis in neonates.	This reference specifically mentions Listeria monocytogenes causing meningitis in neonates.	"{""explanation"": ""This reference specifically mentions Listeria monocytogenes causing meningitis in neonates."", ""reference"": ""PMID:13904618"", ""snippet"": ""Listeria monocytogenes meningitis in neonates."", ""supports"": ""SUPPORT""}"
