cluster,manual_annotation,intracluster_corr,cluster_size,cluster_gene_size,cluster_member,rest_count,stim8hr_count,stim48hr_count,cluster_member_with_condition,complex_corum,overlap_genes_corum,overlap_fraction_corum,raw_p_value_corum,complex_size_corum,overlap_size_corum,cluster_size_corum,fdr_corum,complex_stringdb,overlap_genes_stringdb,overlap_fraction_stringdb,raw_p_value_stringdb,complex_size_stringdb,overlap_size_stringdb,cluster_size_stringdb,fdr_stringdb,best_described_by,complex_kegg,overlap_genes_kegg,overlap_fraction_kegg,raw_p_value_kegg,complex_size_kegg,overlap_size_kegg,cluster_size_kegg,fdr_kegg,complex_reactome,overlap_genes_reactome,overlap_fraction_reactome,raw_p_value_reactome,complex_size_reactome,overlap_size_reactome,cluster_size_reactome,fdr_reactome,corr_rest,corr_stim8hr,corr_stim48hr,corr_shared,condition_specificity
0,Integrator complex,0.398472198,20,7,"['SLC24A1', 'INTS13', 'INTS15', 'FGFR1OP2', 'INTS14', 'INTS10', 'EBF3']",6,7,7,"['SLC24A1_Stim8hr', 'SLC24A1_Rest', 'INTS13_Stim48hr', 'INTS15_Stim8hr', 'FGFR1OP2_Stim8hr', 'INTS14_Rest', 'INTS13_Stim8hr', 'INTS10_Stim8hr', 'INTS13_Rest', 'EBF3_Stim48hr', 'EBF3_Rest', 'INTS14_Stim48hr', 'SLC24A1_Stim48hr', 'FGFR1OP2_Stim48hr', 'INTS14_Stim8hr', 'INTS15_Stim48hr', 'INTS10_Rest', 'EBF3_Stim8hr', 'INTS10_Stim48hr', 'FGFR1OP2_Rest']",BCL6-HDAC4 complex,[],0,1,2,0,7,1,CL:35457,"['INTS13', 'INTS10', 'INTS14']",0.428571429,3.26E-07,5,3,7,0.001981652,Integrator complex,KEGG_ABC_TRANSPORTERS,[],0,1,44,0,7,1,REACTOME_RNA_POLYMERASE_II_TRANSCRIBES_SNRNA_GENES,"['INTS13', 'INTS10', 'INTS14']",0.428571429,0.002454568,81,3,7,1,0.406481573,0.512976082,0.496742848,0.356075909,across_condition
1,RFX1/FOXN2 complex,0.333651754,6,2,"['RFX1', 'FOXN2']",2,2,2,"['RFX1_Stim8hr', 'FOXN2_Stim48hr', 'RFX1_Stim48hr', 'FOXN2_Stim8hr', 'RFX1_Rest', 'FOXN2_Rest']",BCL6-HDAC4 complex,[],0,1,2,0,2,1,CL:39184,[],0,1,7,0,2,1,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",KEGG_ABC_TRANSPORTERS,[],0,1,44,0,2,1,REACTOME_2_LTR_CIRCLE_FORMATION,[],0,1,7,0,2,1,0.38271144,0.411563989,0.292066936,0.327720703,across_condition
2,Ino80 complex,0.243528342,29,11,"['INO80B', 'ACTR5', 'INO80', 'RO60', 'HEY1', 'NFRKB', 'INO80C', 'UCHL5', 'INO80E', 'HIRIP3', 'ACTR8']",9,10,10,"['INO80B_Stim8hr', 'ACTR5_Rest', 'INO80_Rest', 'RO60_Stim48hr', 'HEY1_Stim48hr', 'NFRKB_Stim48hr', 'NFRKB_Stim8hr', 'INO80B_Rest', 'HEY1_Rest', 'INO80C_Stim8hr', 'UCHL5_Rest', 'NFRKB_Rest', 'INO80E_Stim48hr', 'INO80B_Stim48hr', 'HIRIP3_Stim8hr', 'UCHL5_Stim48hr', 'ACTR5_Stim48hr', 'ACTR8_Stim8hr', 'RO60_Rest', 'INO80C_Stim48hr', 'INO80C_Rest', 'ACTR5_Stim8hr', 'RO60_Stim8hr', 'HEY1_Stim8hr', 'UCHL5_Stim8hr', 'ACTR8_Stim48hr', 'ACTR8_Rest', 'INO80_Stim48hr', 'INO80_Stim8hr']",INO80 chromatin remodeling complex,"['INO80B', 'INO80', 'ACTR5', 'INO80E', 'ACTR8', 'NFRKB', 'INO80C']",0.636363636,3.71E-14,13,7,11,5.56E-09,CL:5066,"['INO80', 'INO80B', 'ACTR5', 'INO80E', 'ACTR8', 'NFRKB', 'INO80C']",0.636363636,2.61E-15,10,7,11,1.35E-10,Ino80 complex,KEGG_ABC_TRANSPORTERS,[],0,1,44,0,11,1,REACTOME_DNA_DAMAGE_RECOGNITION_IN_GG_NER,"['INO80', 'INO80B', 'ACTR5', 'INO80E', 'ACTR8', 'NFRKB', 'INO80C']",0.636363636,2.60E-10,38,7,11,5.56E-06,0.261680329,0.304253619,0.281658536,0.207155584,across_condition
3,"STAG2-PAXIP1/PAGR1, genome stability",0.317833529,9,3,"['PAGR1', 'STAG2', 'PAXIP1']",3,3,3,"['PAGR1_Stim48hr', 'PAGR1_Rest', 'PAGR1_Stim8hr', 'STAG2_Stim8hr', 'PAXIP1_Stim8hr', 'STAG2_Stim48hr', 'STAG2_Rest', 'PAXIP1_Stim48hr', 'PAXIP1_Rest']",PAGR1-PAXIP1 complex,"['PAGR1', 'PAXIP1']",0.666666667,1.74E-06,2,2,3,0.016265601,CL:4998,"['PAGR1', 'PAXIP1']",0.666666667,1.73E-05,5,2,3,0.061800604,MLL3/4 complex,KEGG_ABC_TRANSPORTERS,[],0,1,44,0,3,1,REACTOME_FORMATION_OF_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES,"['PAGR1', 'PAXIP1']",0.666666667,0.001472596,42,2,3,1,0.508555392,0.503569748,0.453038086,0.296779719,across_condition
4,unknown,0.371634235,6,2,"['BRMS1', 'SAP130']",2,2,2,"['BRMS1_Stim48hr', 'BRMS1_Rest', 'BRMS1_Stim8hr', 'SAP130_Rest', 'SAP130_Stim8hr', 'SAP130_Stim48hr']",ING2 complex,"['SAP130', 'BRMS1']",1,4.51E-05,13,2,2,0.248311558,CL:5169,"['SAP130', 'BRMS1']",1,0.000109898,20,2,2,0.28839955,Sin3 complex,KEGG_ABC_TRANSPORTERS,[],0,1,44,0,2,1,REACTOME_2_LTR_CIRCLE_FORMATION,[],0,1,7,0,2,1,0.494690507,0.518753997,0.535179584,0.376513589,across_condition
5,MCTS1/DENR complex,0.427679133,6,2,"['MCTS1', 'DENR']",2,2,2,"['MCTS1_Stim8hr', 'DENR_Stim48hr', 'DENR_Stim8hr', 'DENR_Rest', 'MCTS1_Rest', 'MCTS1_Stim48hr']",BCL6-HDAC4 complex,[],0,1,2,0,2,1,CL:24761,"['MCTS1', 'DENR']",1,5.78E-06,5,2,2,0.02354526,"Hydroxycarboxylic acid-binding receptors, and MCT-1/Tma20",KEGG_ABC_TRANSPORTERS,[],0,1,44,0,2,1,REACTOME_2_LTR_CIRCLE_FORMATION,[],0,1,7,0,2,1,0.58384715,0.596078168,0.595940035,0.458554508,across_condition
6,unknown,0.264729993,13,6,"['PHF12', 'SIN3B', 'SLF1', 'GATAD1', 'PIM1', 'UBR4']",4,6,3,"['PHF12_Stim8hr', 'SIN3B_Stim8hr', 'PHF12_Rest', 'SLF1_Stim8hr', 'GATAD1_Stim8hr', 'SIN3B_Stim48hr', 'PHF12_Stim48hr', 'SIN3B_Rest', 'PIM1_Stim8hr', 'GATAD1_Stim48hr', 'GATAD1_Rest', 'UBR4_Stim8hr', 'PIM1_Rest']",BCL6-HDAC4 complex,[],0,1,2,0,6,1,CL:5169,"['PHF12', 'SIN3B', 'GATAD1']",0.5,2.09E-05,20,3,6,0.070941106,Sin3 complex,KEGG_ABC_TRANSPORTERS,[],0,1,44,0,6,1,REACTOME_2_LTR_CIRCLE_FORMATION,[],0,1,7,0,6,1,0.281897765,0.284299859,0.202250406,0.168791823,across_condition
7,nonsense-mediated decay,0.332353988,25,10,"['CASC3', 'SMG7', 'SMG9', 'SRR', 'XRN1', 'UPF2', 'SMG1', 'SMG8', 'TMEM79', 'SMG5']",10,9,6,"['CASC3_Rest', 'SMG7_Stim8hr', 'CASC3_Stim8hr', 'SMG9_Stim48hr', 'SMG9_Rest', 'SRR_Rest', 'XRN1_Stim8hr', 'CASC3_Stim48hr', 'UPF2_Stim48hr', 'SMG1_Stim48hr', 'UPF2_Rest', 'SMG8_Stim8hr', 'UPF2_Stim8hr', 'SMG7_Rest', 'TMEM79_Stim8hr', 'SMG9_Stim8hr', 'SMG8_Rest', 'TMEM79_Rest', 'SMG5_Rest', 'SMG8_Stim48hr', 'SMG1_Rest', 'SRR_Stim8hr', 'XRN1_Rest', 'SMG1_Stim8hr', 'SMG7_Stim48hr']",SMG1 complex,"['SMG1', 'SMG8', 'SMG9']",0.3,1.12E-07,3,3,10,0.001920957,CL:2516,"['SMG9', 'SMG7', 'UPF2', 'SMG1', 'CASC3', 'SMG5', 'SMG8']",0.7,2.68E-12,24,7,10,5.78E-08,"Nonsense-mediated mRNA decay, and ASAP complex",KEGG_ABC_TRANSPORTERS,[],0,1,44,0,10,1,REACTOME_NONSENSE_MEDIATED_DECAY_NMD,"['SMG9', 'SMG7', 'UPF2', 'SMG8', 'SMG1', 'SMG5', 'CASC3']",0.7,3.16E-07,116,7,10,0.001739751,0.375614665,0.41273355,0.25022905,0.273577495,across_condition
8,peptidyl-diphthamide metabolism,0.229311684,11,7,"['DPH5', 'TTC4', 'DPH2', 'DNAJC24', 'TPT1', 'DPH6', 'DPH1']",5,0,6,"['DPH5_Rest', 'TTC4_Rest', 'DPH2_Stim48hr', 'DNAJC24_Stim48hr', 'TPT1_Rest', 'DPH6_Stim48hr', 'DPH1_Stim48hr', 'DPH1_Rest', 'DPH5_Stim48hr', 'DNAJC24_Rest', 'TPT1_Stim48hr']",BCL6-HDAC4 complex,[],0,1,2,0,7,1,CL:7638,"['DPH2', 'DPH5', 'DPH1', 'DPH6']",0.571428571,3.52E-10,5,4,7,5.05E-06,Peptidyl-diphthamide metabolic process,KEGG_ABC_TRANSPORTERS,[],0,1,44,0,7,1,REACTOME_SYNTHESIS_OF_DIPHTHAMIDE_EEF2,"['DPH5', 'DPH2', 'DNAJC24', 'DPH1', 'DPH6']",0.714285714,6.36E-12,8,5,7,2.04E-07,0.287589695,0.344533052,0.272031857,0.156596973,across_condition
9,mediator-SAGA,0.364603722,34,34,"['CD274', 'SUPT7L', 'MEST', 'TADA2B', 'MED13', 'COPRS', 'ECHS1', 'GLIPR2', 'TADA1', 'TAF6L', 'STX16', 'RNFT1', 'MED19', 'PEX6', 'MOSPD2', 'UBE2L3', 'PSMB9', 'SGF29', 'ZNF280D', 'MED1', 'TAF5L', 'SENP5', 'EID2', 'SUPT20H', 'SCYL3', 'MED12', 'MED15', 'POGLUT3', 'CHD7', 'ZNF613', 'ZFPM1', 'CCNC', 'NRAS', 'TSPYL5']",0,0,34,"['CD274_Stim48hr', 'SUPT7L_Stim48hr', 'MEST_Stim48hr', 'TADA2B_Stim48hr', 'MED13_Stim48hr', 'COPRS_Stim48hr', 'ECHS1_Stim48hr', 'GLIPR2_Stim48hr', 'TADA1_Stim48hr', 'TAF6L_Stim48hr', 'STX16_Stim48hr', 'RNFT1_Stim48hr', 'MED19_Stim48hr', 'PEX6_Stim48hr', 'MOSPD2_Stim48hr', 'UBE2L3_Stim48hr', 'PSMB9_Stim48hr', 'SGF29_Stim48hr', 'ZNF280D_Stim48hr', 'MED1_Stim48hr', 'TAF5L_Stim48hr', 'SENP5_Stim48hr', 'EID2_Stim48hr', 'SUPT20H_Stim48hr', 'SCYL3_Stim48hr', 'MED12_Stim48hr', 'MED15_Stim48hr', 'POGLUT3_Stim48hr', 'CHD7_Stim48hr', 'ZNF613_Stim48hr', 'ZFPM1_Stim48hr', 'CCNC_Stim48hr', 'NRAS_Stim48hr', 'TSPYL5_Stim48hr']","STAGA complex, SPT3-linked","['SGF29', 'TADA1', 'TAF6L', 'TADA2B', 'TAF5L', 'SUPT7L', 'SUPT20H']",0.205882353,1.54E-08,19,7,34,0.000297566,CL:6029,"['SGF29', 'TADA1', 'TAF6L', 'TADA2B', 'TAF5L', 'SUPT7L', 'SUPT20H']",0.205882353,1.54E-08,19,7,34,0.000128213,SAGA complex,KEGG_BASAL_TRANSCRIPTION_FACTORS,"['TAF5L', 'TAF6L']",0.058823529,0.132790392,35,2,34,1,REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION,"['MED1', 'MED13', 'MED15', 'MED12', 'MED19', 'CCNC']",0.176470588,0.003444879,84,6,34,1,0.354036653,0.432244282,0.37565232,0.245895864,across_condition
