section_name	count	maxo_label	status	ncit_id	ncit_label	queries_tried	decision_notes
Surgical Resection	27	surgical procedure	MATCH	NCIT:C154430	Definitive Surgical Resection	search:Surgical Resection;info:l~Surgical Resection;search:Resection	Chose explicit surgical-resection concept over generic Resection.
Radiation Therapy	22	radiation therapy	MATCH	NCIT:C15313	Radiation Therapy	search:Radiation Therapy;info:l~Radiation Therapy	Exact label match.
Chemotherapy	21	chemotherapy	MATCH	NCIT:C15632	Chemotherapy	search:Chemotherapy;info:l~Chemotherapy	Exact label match.
Supportive Care	17	supportive care	MATCH	NCIT:C15747	Supportive Care	search:Supportive Care;info:l~Supportive Care	Exact label match.
Genetic Counseling	17	genetic counseling	MATCH	NCIT:C15240	Genetic Counseling	search:Genetic Counseling;info:l~Genetic Counseling;l^Genetic Counsel	Exact label match; user-verified command also confirms.
Physical Therapy	12	physical therapy	MATCH	NCIT:C15302	Physical Therapy	search:Physical Therapy;info:l~Physical Therapy	Exact label match.
Corticosteroids	12	pharmacotherapy	MATCH	NCIT:C211	Therapeutic Corticosteroid	search:Corticosteroids;info:l~Corticosteroids;search:Corticosteroid	Best available class concept is therapeutic corticosteroid.
Immunotherapy	9	pharmacotherapy	MATCH	NCIT:C15262	Immunotherapy	search:Immunotherapy;info:l~Immunotherapy	Exact label match.
Allogeneic Stem Cell Transplantation	8	hematopoietic stem cell transplantation	MATCH	NCIT:C201466	Allogeneic Stem Cell Transplantation	search:Allogeneic Stem Cell Transplantation;info:l~Allogeneic Stem Cell Transplantation	Exact label match (also saw narrower hematopoietic variant).
Immune Checkpoint Inhibitors	8	pharmacotherapy	MATCH	NCIT:C143250	Immune Checkpoint Inhibitor	search:Immune Checkpoint Inhibitors;search:Immune Checkpoint Inhibitor;info:l~Immune Checkpoint Inhibitor	Plural normalized to singular NCIT class.
Supportive care	7	supportive care	MATCH	NCIT:C15747	Supportive Care	search:Supportive care;info:l~Supportive care	Case-variant row mapped to same concept.
Liver Transplantation	6	liver transplantation	MATCH	NCIT:C15271	Liver Transplantation	search:Liver Transplantation;info:l~Liver Transplantation	Exact label match.
