evidence_id	assertion_id	disorder_id	disorder_name	source_file	section	section_index	path	evidence_index	reference	supports	evidence_source	snippet	explanation	raw_json
85	92	4	ATTR_Amyloidosis	ATTR_Amyloidosis.yaml	progression	0	evidence	0	PMID:35717381	PARTIAL		Symptomatic patients were predominantly male (71.4%) and had a mean ... age of symptom onset of 56.3 (17.8) years.	The study provides data on the age of symptom onset for symptomatic patients with ATTR amyloidosis, indicating a mean age of onset within the provided range for hereditary cases. However, it does not specify the exact onset age range for wild-type cases.	"{""explanation"": ""The study provides data on the age of symptom onset for symptomatic patients with ATTR amyloidosis, indicating a mean age of onset within the provided range for hereditary cases. However, it does not specify the exact onset age range for wild-type cases."", ""reference"": ""PMID:35717381"", ""snippet"": ""Symptomatic patients were predominantly male (71.4%) and had a mean ... age of symptom onset of 56.3 (17.8) years."", ""supports"": ""PARTIAL""}"
86	92	4	ATTR_Amyloidosis	ATTR_Amyloidosis.yaml	progression	0	evidence	1	PMID:30199915	PARTIAL		There is a significant increase in the number of patients with cardiac amyloidosis of the ATTR wild-type variety. These patients are often elderly males presenting with predominantly right sided heart failure.	This reference suggests that ATTR wild-type amyloidosis commonly affects elderly males, but it does not provide a specific onset age range of 60-80 years.	"{""explanation"": ""This reference suggests that ATTR wild-type amyloidosis commonly affects elderly males, but it does not provide a specific onset age range of 60-80 years."", ""reference"": ""PMID:30199915"", ""snippet"": ""There is a significant increase in the number of patients with cardiac amyloidosis of the ATTR wild-type variety. These patients are often elderly males presenting with predominantly right sided heart failure."", ""supports"": ""PARTIAL""}"
87	92	4	ATTR_Amyloidosis	ATTR_Amyloidosis.yaml	progression	0	evidence	2	PMID:31731233	PARTIAL		The prevalence of ATTR-wt was 5.8% (32 of the 556), with the prevalence increasing as a function of age. We identified an ATTR-wt-specific morbidity rate of 12.3% for patients over 80 years of age, while the prevalence among individuals over 90 years of age was 34.9%.	This study indicates that the prevalence of wild-type ATTR amyloidosis increases with age, particularly in those over 80 years. It supports the general notion that wild-type ATTR affects older individuals but does not provide a specific onset age range of 60-80 years.	"{""explanation"": ""This study indicates that the prevalence of wild-type ATTR amyloidosis increases with age, particularly in those over 80 years. It supports the general notion that wild-type ATTR affects older individuals but does not provide a specific onset age range of 60-80 years."", ""reference"": ""PMID:31731233"", ""snippet"": ""The prevalence of ATTR-wt was 5.8% (32 of the 556), with the prevalence increasing as a function of age. We identified an ATTR-wt-specific morbidity rate of 12.3% for patients over 80 years of age, while the prevalence among individuals over 90 years of age was 34.9%."", ""supports"": ""PARTIAL""}"
88	92	4	ATTR_Amyloidosis	ATTR_Amyloidosis.yaml	progression	0	evidence	3	PMID:25586652	NO_EVIDENCE		The aim of the study was to evaluate the clinical and genetic predictors of AA amyloidosis in patients with familial Mediterranean fever (FMF).	This study focuses on AA amyloidosis in familial Mediterranean fever and does not provide information on the age of onset for ATTR amyloidosis.	"{""explanation"": ""This study focuses on AA amyloidosis in familial Mediterranean fever and does not provide information on the age of onset for ATTR amyloidosis."", ""reference"": ""PMID:25586652"", ""snippet"": ""The aim of the study was to evaluate the clinical and genetic predictors of AA amyloidosis in patients with familial Mediterranean fever (FMF)."", ""supports"": ""NO_EVIDENCE""}"
264	231	9	Acquired Immunodeficiency Syndrome	Acquired_Immunodeficiency_Syndrome.yaml	progression	0	evidence	0	PMID:2922052	PARTIAL		A non-parametric implementation of this strategy produced an estimate with a median at 9.8 years...	The literature mentions a median incubation period of 9.8 years, which is within the range provided in the statement, but does not explicitly confirm the full range of 2-15 years.	"{""explanation"": ""The literature mentions a median incubation period of 9.8 years, which is within the range provided in the statement, but does not explicitly confirm the full range of 2-15 years."", ""reference"": ""PMID:2922052"", ""snippet"": ""A non-parametric implementation of this strategy produced an estimate with a median at 9.8 years..."", ""supports"": ""PARTIAL""}"
265	231	9	Acquired Immunodeficiency Syndrome	Acquired_Immunodeficiency_Syndrome.yaml	progression	0	evidence	1	PMID:3146367	PARTIAL		In the 10 patients for whom date of exposure to the virus could be established the incubation period was 11-28 days (median 14).	This reference provides a shorter incubation period (11-28 days) than the 2-15 years stated, suggesting the incubation period can vary widely depending on the study population, but does not directly support the 2-15 years range.	"{""explanation"": ""This reference provides a shorter incubation period (11-28 days) than the 2-15 years stated, suggesting the incubation period can vary widely depending on the study population, but does not directly support the 2-15 years range."", ""reference"": ""PMID:3146367"", ""snippet"": ""In the 10 patients for whom date of exposure to the virus could be established the incubation period was 11-28 days (median 14)."", ""supports"": ""PARTIAL""}"
266	231	9	Acquired Immunodeficiency Syndrome	Acquired_Immunodeficiency_Syndrome.yaml	progression	0	evidence	2	PMID:2996395	SUPPORT		The incubation period is long and few persons infected with human T-lymphotropic virus type III/lymphadenopathy-associated virus (HTLV-III/LAV) have AIDS diagnosed within 2 to 5 years of infection.	This reference supports part of the statement (2-5 years), indicating an extended incubation period that falls within the provided range of 2-15 years.	"{""explanation"": ""This reference supports part of the statement (2-5 years), indicating an extended incubation period that falls within the provided range of 2-15 years."", ""reference"": ""PMID:2996395"", ""snippet"": ""The incubation period is long and few persons infected with human T-lymphotropic virus type III/lymphadenopathy-associated virus (HTLV-III/LAV) have AIDS diagnosed within 2 to 5 years of infection."", ""supports"": ""SUPPORT""}"
366	271	10	Addison's Disease	Addisons_Disease.yaml	progression	0	evidence	0	PMID:12072049	NO_EVIDENCE		OBJECTIVE: Estimates of the prevalence of Addison's disease in Caucasians have varied from 39 to 117 per million. We have carried out an epidemiological study to obtain a confident point prevalence estimate in the Norwegian population for the end of 1999, and to find out whether the incidence is changing.	The study provides prevalence and incidence data but does not specify the age range for the onset of Addison's disease.	"{""explanation"": ""The study provides prevalence and incidence data but does not specify the age range for the onset of Addison's disease."", ""reference"": ""PMID:12072049"", ""snippet"": ""OBJECTIVE: Estimates of the prevalence of Addison's disease in Caucasians have varied from 39 to 117 per million. We have carried out an epidemiological study to obtain a confident point prevalence estimate in the Norwegian population for the end of 1999, and to find out whether the incidence is changing."", ""supports"": ""NO_EVIDENCE""}"
367	271	10	Addison's Disease	Addisons_Disease.yaml	progression	0	evidence	1	PMID:33143829	NO_EVIDENCE		OBJECTIVE: To determine the clinical presentation of Addison's disease in order to increase the awareness of presentation in Pakistani children.	The study focuses on the clinical presentation of Addison's disease in children, not in the age range of 30-50 years.	"{""explanation"": ""The study focuses on the clinical presentation of Addison's disease in children, not in the age range of 30-50 years."", ""reference"": ""PMID:33143829"", ""snippet"": ""OBJECTIVE: To determine the clinical presentation of Addison's disease in order to increase the awareness of presentation in Pakistani children."", ""supports"": ""NO_EVIDENCE""}"
368	271	10	Addison's Disease	Addisons_Disease.yaml	progression	0	evidence	2	PMID:23322510	NO_EVIDENCE		INTRODUCTION: Several studies have shown a reduced quality of life in patients with Addison's disease, but little is known about the potential influences.	The study discusses quality of life in Addison's disease patients but does not provide information on the age range of onset.	"{""explanation"": ""The study discusses quality of life in Addison's disease patients but does not provide information on the age range of onset."", ""reference"": ""PMID:23322510"", ""snippet"": ""INTRODUCTION: Several studies have shown a reduced quality of life in patients with Addison's disease, but little is known about the potential influences."", ""supports"": ""NO_EVIDENCE""}"
369	271	10	Addison's Disease	Addisons_Disease.yaml	progression	0	evidence	3	PMID:20400889	NO_EVIDENCE		INTRODUCTION: Little information is available on patients with adrenal insufficiency (AI) in regard to complaints before diagnosis, time until correct diagnosis, false diagnosis, and professional changes due to the diagnosis.	The study discusses the delay in diagnosis of adrenal insufficiency and related complaints but does not specify the age range for the onset of Addison's disease.	"{""explanation"": ""The study discusses the delay in diagnosis of adrenal insufficiency and related complaints but does not specify the age range for the onset of Addison's disease."", ""reference"": ""PMID:20400889"", ""snippet"": ""INTRODUCTION: Little information is available on patients with adrenal insufficiency (AI) in regard to complaints before diagnosis, time until correct diagnosis, false diagnosis, and professional changes due to the diagnosis."", ""supports"": ""NO_EVIDENCE""}"
370	271	10	Addison's Disease	Addisons_Disease.yaml	progression	0	evidence	4	PMID:31791082	NO_EVIDENCE		HISTORY AND CLINICAL FINDINGS: We report the case within a 22-year-old patient, initially seen because of fatigue, weight loss and discoloration of the skin.	The study discusses a case of a 22-year-old patient with Addison's disease, which does not fall within the age range of 30-50 years.	"{""explanation"": ""The study discusses a case of a 22-year-old patient with Addison's disease, which does not fall within the age range of 30-50 years."", ""reference"": ""PMID:31791082"", ""snippet"": ""HISTORY AND CLINICAL FINDINGS: We report the case within a 22-year-old patient, initially seen because of fatigue, weight loss and discoloration of the skin."", ""supports"": ""NO_EVIDENCE""}"
433	375	14	Ainhum	Ainhum.yaml	progression	0	evidence	0	PMID:12500788	SUPPORT	HUMAN_CLINICAL	frequently bilateral, with lesions in different stages.	Radiological survey reports lesions in different stages within patients.	"{""evidence_source"": ""HUMAN_CLINICAL"", ""explanation"": ""Radiological survey reports lesions in different stages within patients."", ""reference"": ""PMID:12500788"", ""snippet"": ""frequently bilateral, with lesions in different stages."", ""supports"": ""SUPPORT""}"
779	603	24	Antiphospholipid Syndrome	Antiphospholipid_Syndrome.yaml	progression	0	evidence	0	PMID:34634966	PARTIAL		We subdivided patients into two groups: youth- (15-24 years) and adult-onset (over 24 years) and compared them regarding demographic characteristics, criteria and non-criteria manifestations, cardiovascular risk factors, and aPL status.	The reference supports that primary APS can indeed onset within the specified age range of 20-50, but it does not provide sufficient evidence to conclude that progression specifically occurs within this exact range.	"{""explanation"": ""The reference supports that primary APS can indeed onset within the specified age range of 20-50, but it does not provide sufficient evidence to conclude that progression specifically occurs within this exact range."", ""reference"": ""PMID:34634966"", ""snippet"": ""We subdivided patients into two groups: youth- (15-24 years) and adult-onset (over 24 years) and compared them regarding demographic characteristics, criteria and non-criteria manifestations, cardiovascular risk factors, and aPL status."", ""supports"": ""PARTIAL""}"
780	603	24	Antiphospholipid Syndrome	Antiphospholipid_Syndrome.yaml	progression	0	evidence	1	PMID:26125104	NO_EVIDENCE		Current innovative treatment options include novel oral anticoagulants and the complement inhibitor eculizumab.	While discussing treatment options for APS, this reference does not address the specific age range of 20-50 or the progression of primary APS.	"{""explanation"": ""While discussing treatment options for APS, this reference does not address the specific age range of 20-50 or the progression of primary APS."", ""reference"": ""PMID:26125104"", ""snippet"": ""Current innovative treatment options include novel oral anticoagulants and the complement inhibitor eculizumab."", ""supports"": ""NO_EVIDENCE""}"
827	641	26	Aromatase Deficiency	Aromatase_Deficiency.yaml	progression	0	evidence	0	PMID:19844120	SUPPORT		Placental aromatization of androgens protects the female fetus against the virilizing action of fetal androgens. After birth, the dual effect of aromatase deficiency, excessive androgens, and insufficient estrogens is responsible for a variable clinical picture.	The abstract explains that aromatase deficiency has implications from birth through adolescence, with effects noticeable from early childhood due to the imbalance of androgens and estrogens. This supports the statement that aromatase deficiency impacts this age range.	"{""explanation"": ""The abstract explains that aromatase deficiency has implications from birth through adolescence, with effects noticeable from early childhood due to the imbalance of androgens and estrogens. This supports the statement that aromatase deficiency impacts this age range."", ""reference"": ""PMID:19844120"", ""snippet"": ""Placental aromatization of androgens protects the female fetus against the virilizing action of fetal androgens. After birth, the dual effect of aromatase deficiency, excessive androgens, and insufficient estrogens is responsible for a variable clinical picture."", ""supports"": ""SUPPORT""}"
