topic_number	title	post_date	expiration_date	participating_icos
43	Advancing Autoimmune Disease Research: Integrating Genetic, Environmental, and Immunological Factors to Improve Diagnosis and Treatment	June 1, 2026	February 12, 2028	Office of Research on Women's Health (ORWH)
45	Optimal Interprofessional Teaming and Care Coordination Strategies for Cancer Care Quality and Outcomes	February 14, 2026	February 13, 2028	National Cancer Institute (NCI)
46	Drug Discovery for Nervous System Disorders	January 28, 2026	January 28, 2028	National Institute on Aging (NIA)
48	Advancing Nutrition Research to Inform Regulatory Practice	March 20, 2026	March 20, 2028	Office of Nutrition Research (ONR)
49	Advancing the Science of Prenatal Dietary Supplements	May 21, 2026	May 21, 2028	Office of Dietary Supplements (ODS)
50	Advancing Nanotechnology Research to Improve Diagnosis and Treatment Options	March 10, 2026	March 10, 2028	National Eye Institute (NEI)
51	Advancing Treatment Options using Targeted Degrader Technologies	March 23, 2026	March 10, 2028	National Eye Institute (NEI)
52	Strengthening Biomedical Research, Promoting Trust, and Improving Health through Bioethics Research	May 29, 2026	January 12, 2028	Office of Science Policy (OSP)
53	Multidisciplinary Studies of HIV/AIDS and Aging	March 20, 2026	March 20, 2028	National Institute on Aging (NIA)
54	Advancing “Science of Science” Research to Understand and Strengthen the Biomedical Research Ecosystem	March 31, 2026	March 31, 2028	National Institute of General Medical Sciences (NIGMS)
55	Advancing Mechanism-driven Translational Research of Beneficial and Detrimental Effect of Psilocybin on Cancer and Other Health Conditions	April 10, 2026	April 10, 2028	National Cancer Institute (NCI)
56	Characterizing Interactions between Biology and Electromagnetic Radiation	April 20, 2026	April 20, 2028	National Institute of Biomedical Imaging and Bioengineering (NIBIB)
57	Quantum Information Science & Technologies for Biomedical Applications	April 29, 2026	April 9, 2028	National Institute of Biomedical Imaging and Bioengineering (NIBIB)
58	Understanding Nutritional Influences on Neurodevelopmental Disorders in Children	March 10, 2026	March 10, 2028	Office of Nutrition Research (ONR)
59	Accelerating Otitis Media Research and Workforce Development	May 26, 2026	May 26, 2028	National Institute on Deafness and Other Communication Disorders (NIDCD)
60	GLP-1s: Implications for Nutritional Status and Metabolic Health Outcomes	April 24, 2026	April 24, 2028	Office of Dietary Supplements (ODS)
61	Accelerating Hidradenitis Suppurativa Research	April 7, 2026	April 7, 2028	Office of Research on Women's Health (ORWH)
62	New Approach Methodologies (NAMs) for Dietary Supplement and Nutrition research	July 1, 2026	May 20, 2028	Office of Dietary Supplements (ODS)
66	Enhancing Scientific Rigor, Transparency and Replicability	April 27, 2026	April 27, 2028	National Institute of Neurological Disorders and Stroke (NINDS)
67	Advancing Research into the Cause and Treatment of Rare Skin Diseases	April 2, 2026	April 2, 2028	National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS)
68	Advancing Childhood and Adolescent & Young Adult (AYA) Cancer Research	April 15, 2026	April 15, 2028	National Cancer Institute (NCI)
69	Health and Extreme Weather: Advancing Critical Research to Address the Direct and Indirect Health Impacts of Weather-Related Natural Disasters and Emerging Weather-Related Harms	June 23, 2026	May 1, 2028	National Institute of Environmental Health Sciences (NIEHS)
70	Research on Chatbots and their Usage	May 8, 2026	April 15, 2028	National Institute on Aging (NIA)
71	Tackling Acquisition of Language in Kids (TALK)	April 21, 2026	April 21, 2028	National Institute on Deafness and Other Communication Disorders (NIDCD)
72	Advancing Toward a Cure for Acquired Neuropathy	April 6, 2026	April 6, 2028	National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)
73	Behavioral and Cognitive Signals of Aging in Real-World Contexts	June 24, 2026	June 24, 2028	National Institute on Aging (NIA)
74	Oral Health and Aging	June 5, 2026	June 5, 2028	National Institute on Aging (NIA)
76	Research on the Role of Post-Translational Modifications in Human Health and Disease	June 26, 2026	June 26, 2028	National Cancer Institute (NCI)
78	Food Is Medicine	June 3, 2026	June 3, 2028	Office of Nutrition Research (ONR)
79	Enhancing Data Usage and Utility to Advance Biomedical Research	June 24, 2026	June 24, 2028	National Cancer Institute (NCI)
82	Breaking Barriers: Integrating Immunology and Neuroscience to Transform AD/ADRD Research and Bring a Better Understanding of the Aging Brain	July 6, 2026	May 1, 2028	National Institute on Aging (NIA)
83	Biology- and Physics-Informed Explainable AI Across the Lifespan	June 2, 2026	June 2, 2028	National Institute on Aging (NIA)
84	Postnatal Human Developmental Stages and Transitions: Relationships to Aging Changes and Outcomes over the Life Course	May 22, 2026	May 22, 2028	National Institute on Aging (NIA)
85	Enhancing the IMPROVE-funded Maternal Health Centers of Excellence	April 7, 2026	April 7, 2028	National Institute of Child Health and Human Development  (NICHD)
86	Biomarker Discovery and Validation for Alcohol-Related Cardiovascular Diseases	May 22, 2026	May 22, 2028	National Institute on Alcohol Abuse and Alcoholism (NIAAA)
88	Unexplained Anemia in Older Persons: Elucidating Etiologies, Improving Diagnoses, and Identifying and Testing Potential Treatment Strategies	May 11, 2026	May 11, 2028	National Institute on Aging (NIA)
89	Cellular Quiescence, Senescence, and Cell Death in Aging and Disease	July 1, 2026	July 1, 2028	National Institute on Aging (NIA)
90	Integrating Environmental Science and Engineering with Biomedical Research for Effective Exposure Prevention and Disease Intervention	June 18, 2026	June 18, 2028	National Institute of Environmental Health Sciences (NIEHS)
93	Implementation Science to Optimize Alcohol Misuse Prevention and Treatment in the Criminal Justice System	July 7, 2026	July 7, 2028	National Institute on Alcohol Abuse and Alcoholism (NIAAA)
94	Increasing Engagement in Treatment for Behavioral Health	July 8, 2026	July 8, 2028	National Institute on Alcohol Abuse and Alcoholism (NIAAA)
95	RNA Metabolism in Aging and Healthy Lifespan	July 10, 2026	July 10, 2028	National Institute on Aging (NIA)
