disorder,node_name,primary_kind,confidence,second_choice_kind,proposes_new_kind,split_suggestion,reasoning
Phenylketonuria,Biallelic PAH Pathogenic Variant Burden,MOLECULAR,4,,,"Split into: (1) Biallelic PAH Pathogenic Variant Burden — the genetic lesion state (variant combinations exist); (2) Variant Severity Classification — the observation that variant type determines disease severity spectrum (classic vs mild PKU vs non-PKU HPA)","Node is primarily a molecular-genetic state (variant burden exists reducing PAH activity) but also bundles a downstream consequence — that severity is graded by residual activity — which is a second mechanistic claim about genotype-phenotype correlation."
Phenylketonuria,Near-Complete PAH Activity Loss,MOLECULAR,5,,,,"Node describes a single molecular state: complete or near-complete loss of PAH enzymatic activity due to severe biallelic variants; well-scoped to one scale and one mechanism."
Phenylketonuria,Residual PAH Activity and BH4 Responsiveness,MOLECULAR,4,,,Split into: (1) Residual PAH Activity — partial retention of phenylalanine hydroxylase function in hypomorphic allele carriers; (2) BH4 Pharmacological Responsiveness — the functionally distinct property that residual-activity enzyme can be activated by tetrahydrobiopterin,"Name uses conjunction 'and' linking two distinct molecular claims: residual activity (enzyme quantity/function state) and BH4 responsiveness (a pharmacodynamic property); clean MOLECULAR for both but each is a separate assertion."
Phenylketonuria,Hepatic PAH Enzyme Deficiency,MOLECULAR,4,CELLULAR,,"","Node sits at the boundary of molecular (enzyme activity loss) and cellular (hepatocyte as the cellular locus); primary scale is molecular because the substrate is enzymatic activity, with hepatocyte as location context rather than the defining feature."
Phenylketonuria,Hyperphenylalaninemia,ORGANISM,5,,,,"Systemic elevation of phenylalanine across blood and tissues is a whole-body metabolite state; the spec explicitly cites 'chronic metabolite elevation' as an ORGANISM-scale state example."
Phenylketonuria,Protein Insufficiency During Dietary Therapy,ORGANISM,4,MOLECULAR,,"","Protein insufficiency is a systemic nutritional-metabolic state spanning multiple organ systems and reflected by plasma prealbumin; categorized ORGANISM rather than MOLECULAR because the deficiency is a whole-body nutritional status, not a single molecular reaction."
Phenylketonuria,Reduced Bone Mineral Density in PKU,TISSUE,5,,,,"Bone mineral density is a tissue-level compositional state within skeletal tissue; the node's substrate is the bone organ compartment and its mineralization process, cleanly TISSUE."
Phenylketonuria,Maternal Hyperphenylalaninemia Teratogenicity,ORGANISM,4,TISSUE,,"Split into: (1) Maternal Hyperphenylalaninemia during Pregnancy — systemic elevated phenylalanine in the mother; (2) Fetal Teratogenic Exposure — the developmental consequence in offspring (heart defects, microcephaly); these are two distinct organisms and two distinct scales","The node bundles the maternal systemic metabolite state with offspring organ-level developmental consequences; etiology (maternal Phe burden) is conflated with consequence (fetal cardiac malformation), two claims that differ in mechanism and organism."
Phenylketonuria,Relative Tyrosine Deficiency,MOLECULAR,5,,,,"Single molecular state: reduced systemic tyrosine due to blocked PAH-mediated conversion; despite systemic distribution, the substrate is a specific metabolite whose depletion is the defining claim."
Phenylketonuria,Competitive Large Neutral Amino Acid Transport at the Blood-Brain Barrier,MOLECULAR,4,TISSUE,,"","Node describes competitive transport mechanism among LNAAs at the BBB transporter; the process is molecular (transporter competition for substrate binding sites), located at a tissue structure but the mechanism is molecular transport."
Phenylketonuria,Reduced Serotonin Biosynthesis,MOLECULAR,5,,,,"Single molecular state: impaired serotonin biosynthetic process due to tryptophan substrate depletion and phenylalanine inhibition; substrate is a specific biosynthetic pathway, cleanly MOLECULAR."
Phenylketonuria,Reduced Dopamine Biosynthesis,MOLECULAR,5,,,,"Single molecular state: impaired dopamine biosynthesis due to tyrosine substrate depletion and phenylalanine inhibition; well-scoped to one molecular pathway, no bundling."
Phenylketonuria,Brain Phenylalanine Toxicity,TISSUE,3,ORGANISM,,"Split into: (1) Elevated Brain Phenylalanine Concentration — the molecular/tissue state of Phe accumulation in CNS; (2) Diffuse Brain Dysfunction — the tissue-level consequence (abnormal brain physiology driving microcephaly, encephalopathy, white matter injury, seizures, etc.)","Node bundles the neurotoxic agent state (high Phe in brain) with multiple distinct downstream tissue-level and organismal consequences spanning white matter injury, microcephaly, encephalopathy, and seizures; mechanism and outcome are merged in one node."
Phenylketonuria,White Matter and Subcortical Structural Injury,TISSUE,5,,,,"Node describes a persistent tissue-level structural state: white matter lesions and subcortical volume loss within the CNS; the substrate is anatomical brain structure, cleanly TISSUE."
Phenylketonuria,Neurocognitive Dysfunction,ORGANISM,4,TISSUE,,"","Neurocognitive impairment is a whole-organism functional state encompassing cognition, executive function, attention, behavior, and intelligence; while neurons (CELLULAR) are the cellular substrate, the clinical phenomenon is systemic/organismal."
Phenylketonuria,Impaired Melanin Biosynthesis,MOLECULAR,5,,,,"Single molecular process: reduced melanin biosynthesis due to tyrosine substrate limitation; the pathway is well-defined and the node is focused on one biosynthetic process."
Phenylketonuria,Phenylketone Accumulation,MOLECULAR,4,ORGANISM,,"","Alternative phenylalanine catabolism producing phenylketones is primarily a molecular-state claim (specific metabolites accumulate); though systemic, the defining feature is the chemical identity of the accumulating metabolites, placing it at MOLECULAR rather than ORGANISM scale."
