disorder,node_name,primary_kind,confidence,second_choice_kind,proposes_new_kind,split_suggestion,reasoning
APL_PML_RARA,PML-RARA Fusion Oncogene Formation,MOLECULAR,4,,,Split into: (1) t(15;17) chromosomal translocation creating the PML-RARA fusion protein; (2) Aberrant corepressor recruitment and altered subnuclear localization by the fusion protein,The primary subject is a molecular fusion protein with aberrant molecular activities; name and description bundle the chromosomal etiology (translocation/fusion formation) with the protein's downstream molecular properties.
APL_PML_RARA,Transcriptional Repression of Differentiation Genes,MOLECULAR,5,,,,PML-RARA binding RARE elements to recruit NCoR/SMRT/HDACs and silence granulocyte differentiation genes is a single coherent molecular mechanism; atomic.
APL_PML_RARA,PML Nuclear Body Disruption,CELLULAR,4,,,,Disruption of subnuclear PML bodies from punctate to microspeckled pattern is a cellular-scale organelle structural state in promyelocytes; downstream consequences are captured as separate nodes.
APL_PML_RARA,Impaired Tumor Suppression,CELLULAR,4,,,Split into: (1) Impaired p53-mediated cellular senescence; (2) Impaired apoptosis in leukemic promyelocytes,Describes two mechanistically distinct tumor suppressor programs (p53-senescence and apoptosis) bundled under one node; each is a distinct cellular process.
APL_PML_RARA,Promyelocyte Accumulation,TISSUE,3,CELLULAR,,Split into: (1) Promyelocyte differentiation arrest and marrow/blood accumulation; (2) Procoagulant factor release from azurophilic granules,Accumulation of an abnormal cell population in bone marrow is primarily a tissue-scale state; description bundles the accumulation state with granule-release activity that drives coagulopathy.
APL_PML_RARA,Coagulopathy,ORGANISM,4,,,Split into: (1) DIC from tissue factor and cancer procoagulant release by promyelocytes; (2) Hyperfibrinolysis from Annexin II-driven plasmin generation,DIC plus hyperfibrinolysis are two mechanistically distinct systemic coagulation pathways bundled under one node; each warrants its own entry.
APL_PML_RARA,Differentiation Syndrome Cytokine Storm,ORGANISM,4,,,,Cytokine-driven capillary leak causing multi-system manifestations is a single coordinated systemic mechanism; the listed symptoms are downstream consequences already captured by the Differentiation Syndrome target node.
Ayme-Gripp_Syndrome,Impaired GSK3-mediated MAF phosphorylation,MOLECULAR,5,,,,The substrate is a single protein phosphorylation event at conserved GSK3 motifs on MAF; entirely molecular scale with no ambiguity.
Ayme-Gripp_Syndrome,Stabilized MAF protein and dysregulated transcriptional programs,MOLECULAR,4,,,"""Split into: (1) Impaired MAF ubiquitination and proteasomal degradation (molecular state — failure of turnover); (2) Dysregulated MAF transcriptional programs (downstream molecular consequence — aberrant TF activity on target genes).""","Both stabilized protein state and transcriptional dysregulation are molecular-scale, but CELLULAR is a plausible second choice since transcriptional program disruption operates within cells."
Ayme-Gripp_Syndrome,"Multisystem developmental defects in lens, ear, brain, and growth",ORGANISM,3,TISSUE,,"Split into: (1) Lens developmental defect producing cataract; (2) Auditory system developmental defect producing sensorineural hearing loss; (3) Neurodevelopmental defect producing developmental delay, seizures, and brain morphology abnormalities; (4) Growth and skeletal developmental defect.","Node explicitly enumerates 4+ organ systems with no unifying sub-mechanism beyond dysregulated MAF dosage, placing it at ORGANISM scale as a multisystem syndromic state; however each downstream effect is individually a TISSUE-scale structural defect."
Blau_Syndrome,NOD2 Gain-of-Function Activation,MOLECULAR,3,TISSUE,,Split into: (1) NOD2 constitutive activation and NF-kB signaling (MOLECULAR); (2) non-caseating granuloma formation in affected tissues (TISSUE — already its own downstream node),The primary substrate is the NOD2 protein gaining aberrant constitutive kinase/signaling activity driving NF-kB transduction; confidence is 3 because the description bundles the molecular etiology with its tissue-scale consequence (granuloma formation).
Blau_Syndrome,Granulomatous Inflammation,TISSUE,3,ORGANISM,,Split into: (1) Granulomatous inflammation in synovial joints; (2) Granulomatous inflammation in uveal tract; (3) Granulomatous inflammation in dermis — each already has a dedicated downstream node and organ-specific description,Granuloma formation is a tissue-scale inflammatory process; confidence is 3 because the node bundles three distinct anatomical sites (joints/skin/uveal tract) each with their own dedicated downstream node rather than describing one unified tissue compartment.
Blau_Syndrome,Joint Destruction,TISSUE,4,,,,Granulomatous synovitis is a tissue-level process localized to synovial tissue; multiple joint sites (wrists/ankles/knees) all share the same granulomatous mechanism so no split is warranted — this is one process realized in one tissue type across anatomically similar structures.
Blau_Syndrome,Ocular Inflammation,TISSUE,3,,,Split into: (1) Granulomatous panuveitis (the primary inflammatory process); (2) downstream structural complications (cataracts/glaucoma/band keratopathy) — each complication is a separate tissue-state already listed as distinct downstream targets,The primary scale is tissue (uveal tract inflammation); confidence is 3 because the description compresses the inflammatory mechanism with multiple distinct complication states that are independently modeled as downstream nodes.
Blau_Syndrome,Cutaneous Granulomatosis,TISSUE,5,,,,Non-caseating granuloma formation in the dermis is a clean single-tissue single-process node with one clinical presentation; fully atomic with no bundling.
Blau_Syndrome,Visceral and Vascular Involvement,TISSUE,2,ORGANISM,,Split into: (1) Visceral organ involvement — granulomatous inflammation of liver/kidney/lung including interstitial lung disease; (2) Vascular involvement — granulomatous vasculitis of large and medium vessels,The node name contains an explicit conjunction (Visceral and Vascular) enumerating two mechanistically distinct expanded manifestation categories; confidence is 2 because visceral organ granulomas and vasculitis are different tissue compartments and pathological processes despite sharing the same upstream driver.
Endometriosis,Ectopic Endometrial Tissue,TISSUE,4,,,Split into: (1) Ectopic Endometrial Tissue on Ovaries; (2) Ectopic Endometrial Tissue on Fallopian Tubes; (3) Ectopic Endometrial Tissue on Pelvic Peritoneum — multi-site enumeration without explicit shared mechanism beyond seeding.,The node describes a persistent ectopic tissue state (endometrial-like tissue growing outside the uterus) which is a tissue-scale anatomical state.
Endometriosis,Retrograde Menstruation,TISSUE,5,,,,The node describes a tissue-scale physiological process — retrograde fluid flow through anatomical structures (fallopian tubes into pelvic cavity) — and is a single atomic causal process with no conjunction or multi-site bundling.
Endometriosis,Chronic Inflammation,TISSUE,4,,,"Split into: (1) Chronic Peritoneal Inflammatory Milieu (elevated cytokines and prostaglandins); (2) Adhesion Formation as inflammatory consequence — the description bundles the inflammatory state with its downstream structural outcome (adhesion formation), which is already a separate node, indicating the two claims are distinct.",The node describes a tissue-scale chronic inflammatory state in pelvic/peritoneal tissue driven by ectopic lesions.
Endometriosis,Estrogen Dependence,MOLECULAR,3,CELLULAR,,Split into: (1) Aberrant Aromatase Expression and Local Estrogen Biosynthesis in Endometriotic Stromal Cells; (2) Progesterone Resistance and Impaired Tissue Regression — these are two distinct molecular mechanisms (ectopic steroid synthesis vs receptor-level hormonal insensitivity) bundled under one node name.,The node centers on molecular-level aberrations in steroidogenic enzyme expression (aromatase) and steroid hormone signaling (progesterone resistance) within endometriotic stromal cells.
Endometriosis,Immune Dysfunction,CELLULAR,4,,,"Split into: (1) Peritoneal Macrophage Activation and Expansion; (2) NK Cell Cytotoxicity Suppression via ESC-Macrophage Crosstalk; (3) T Cell Dysfunction — the description explicitly enumerates three distinct immune cell-type dysfunctions, each of which is a separate cellular-scale claim with independent mechanisms.",The node describes cellular-scale immune cell dysfunction enabling ectopic endometrial cell survival by impairing immune clearance.
Endometriosis,Hypoxia and Angiogenesis,MOLECULAR,2,TISSUE,,Split into: (1) HIF-1alpha Stabilization under Lesion Hypoxia (molecular state); (2) VEGF-Driven Neovascularization and Lesion Angiogenesis (tissue process) — the node name conjunction 'and' marks two distinct scale levels: molecular HIF/VEGF upregulation and tissue-level vascular remodeling.,The node's primary mechanism is HIF-1alpha stabilization driving VEGF upregulation — a molecular regulatory cascade — though angiogenesis as the downstream tissue outcome pulls toward TISSUE scale.
Endometriosis,Adhesion Formation,TISSUE,5,,,,The node describes a single tissue-scale structural outcome — fibrous adhesions distorting pelvic anatomy — with one stated cause (chronic inflammation) and no conjunction or multi-mechanism bundling.
Endometriosis,Lesion-Peritoneal Neuroangiogenesis,TISSUE,3,CELLULAR,,"Split into: (1) Lesion-Associated Nerve Fiber Recruitment and Neurogenesis; (2) Lesion-Associated Vascular Remodeling — the node name combines 'neuro' and 'angio' processes that are mechanistically distinct (neurotrophin-driven axon ingrowth vs VEGF-driven vessel formation), each warranting its own node.",The node describes tissue-scale anatomical remodeling of nerve and vascular structures in and around endometriotic implants and peritoneum.
