disorder,node_name,primary_kind,confidence,second_choice_kind,proposes_new_kind,split_suggestion,reasoning
APL_PML_RARA,PML-RARA Fusion Oncogene Formation,MOLECULAR,5,,,,The substrate is the fusion gene/protein itself — a chromosomal translocation produces a novel molecular entity with aberrant corepressor-recruiting and subnuclear-localization properties; the description centers entirely on the fusion protein's molecular attributes.
APL_PML_RARA,Transcriptional Repression of Differentiation Genes,MOLECULAR,4,CELLULAR,,,
APL_PML_RARA,PML Nuclear Body Disruption,CELLULAR,5,,,,"The substrate is the promyelocyte cell whose subnuclear organelle (PML nuclear body) is structurally disrupted into a microspeckled pattern — per v2 spec, subcellular structural disruption is CELLULAR because the substrate is the cell whose organelles are affected."
APL_PML_RARA,Impaired Tumor Suppression,CELLULAR,4,MOLECULAR,,,
APL_PML_RARA,Promyelocyte Accumulation,TISSUE,4,CELLULAR,,,
APL_PML_RARA,Coagulopathy,ORGANISM,5,,,,"Granule-released tissue factor and annexin II trigger simultaneous disseminated intravascular coagulation and hyperfibrinolysis — a systemic disorder of the coagulation cascade affecting the whole organism's hemostatic balance; the downstream targets (DIC, bleeding, thrombocytopenia) are organism-wide."
APL_PML_RARA,Differentiation Syndrome Cytokine Storm,ORGANISM,5,,,,"Rapid differentiation of leukemic promyelocytes releases cytokines causing systemic capillary leak with multi-organ manifestations (respiratory distress, fever, edema, hypotension, acute kidney injury) — a classic whole-organism cytokine storm pattern spanning multiple organ systems."
Ayme-Gripp_Syndrome,Impaired GSK3-mediated MAF phosphorylation,MOLECULAR,5,,,,Substrate is the MAF protein at conserved GSK3 phosphorylation motifs; the node describes a specific post-translational modification process operating at molecular scale.
Ayme-Gripp_Syndrome,Stabilized MAF protein and dysregulated transcriptional programs,MOLECULAR,4,CELLULAR,,,Node centers on molecular-scale mechanism — impaired ubiquitination and proteasomal degradation producing an abnormally persistent TF with excess dosage; CELLULAR is a real second choice because dysregulated transcriptional programs manifest as a cell-level state in primary fibroblasts and in vivo.
Ayme-Gripp_Syndrome,"Multisystem developmental defects in lens, ear, brain, and growth",ORGANISM,4,TISSUE,,"Could split into TISSUE nodes per organ system (lens/cataract, auditory system, brain/CNS, skeletal/growth)","Node explicitly bundles defects across multiple non-contiguous organ systems (lens, ear, brain, skeleton) as a coordinated developmental syndrome outcome; substrate is the whole organism rather than any single tissue."
Blau_Syndrome,NOD2 Gain-of-Function Activation,MOLECULAR,4,CELLULAR,,,"Gain-of-function mutations in the NOD2/CARD15 protein lead to constitutive NF-kB activation — substrate is a receptor protein and its downstream signaling cascade at the molecular scale, though the cellular context (macrophage) is named."
Blau_Syndrome,Granulomatous Inflammation,TISSUE,4,CELLULAR,,,"Non-caseating granuloma formation in joints, skin, and uveal tract is a tissue-level inflammatory process characterized by structured cellular aggregates (epithelioid macrophages, multinucleated giant cells) remodeling anatomical compartments."
