disorder,node_name,primary_kind,confidence,second_choice_kind,proposes_new_kind,split_suggestion,reasoning
Parkinsons_Disease,Dopaminergic Neuron Loss,TISSUE,4,CELLULAR,,,"The node describes progressive degeneration of a neuron population in a specific anatomical region (substantia nigra pars compacta); the substrate is a tissue-level lesion — the collective loss of a neuron population — rather than a single-cell process."
Parkinsons_Disease,Striatal Dopamine Deficiency,MOLECULAR,4,TISSUE,,,"The node is anchored on a chemical deficiency state (depleted dopamine concentration) in the striatum; although spatially located in a tissue, the mechanistic entity being described is the molecular/neurotransmitter deficit that drives downstream signaling changes."
Parkinsons_Disease,Basal Ganglia Circuit Dysfunction,TISSUE,5,,,"Split into: (1) Indirect-pathway hyperactivity node; (2) Direct-pathway hypoactivity node — the description explicitly names two distinct circuit-level imbalances (indirect hyperactive, direct hypoactive) that could be separate mechanistic claims, though they share the same dopamine-depletion cause.","The node describes a circuit-level aberrant state spanning an anatomical structure (basal ganglia), making TISSUE the clear primary kind; the substrate is the multi-cell ensemble circuit, not a single molecular species or single cell."
Parkinsons_Disease,Alpha-Synuclein Aggregation,MOLECULAR,4,TISSUE,,,"The node centers on the molecular process of a protein misfold-and-aggregate event (inclusion body assembly of alpha-synuclein); even though propagation is described, the primary claim is about molecular-scale protein state transitions."
Parkinsons_Disease,Mitochondrial Dysfunction,CELLULAR,4,MOLECULAR,,,"The node describes organelle-level impairment (complex I deficiency, mitochondrial quality control failure) within dopaminergic neurons; this is a cellular/organelle-scale state, even though individual gene products are named."
Parkinsons_Disease,Neuroinflammation,TISSUE,5,,,,"The node describes a tissue-level inflammatory process driven by activated microglia and astrocytes across CNS tissue; individual cell types are named but the mechanism is the coordinated tissue response, not a single-cell phenomenon."
Parkinsons_Disease,Complement C3-C3aR Activation in Depression,MOLECULAR,3,CELLULAR,"","Split into: (1) Complement cascade molecular activation node (C3-C3aR signaling pathway upregulation); (2) Microglial synaptic pruning node (cellular phagocytosis of synapses); (3) Depression phenotypic outcome node — the description bundles a molecular pathway activation with a cellular effector mechanism and a behavioral outcome.","The primary mechanistic claim is a specific molecular signaling axis (C3-C3aR), but microglial synaptic engulfment is a distinct cellular-scale process also embedded in this node; confidence is moderate because the node straddles molecular and cellular scales."
Parkinsons_Disease,Autophagy-Lysosome Pathway Dysfunction,CELLULAR,5,,,,"The node describes organelle-system dysfunction (autophagy and lysosomal pathways) within dopaminergic neurons; this is a canonical cellular-scale process (protein degradation machinery impairment) even though multiple genes are named."
Parkinsons_Disease,Gut Microbiome Dysbiosis,ORGANISM,4,TISSUE,,,"The node describes a systemic-scale state — composition shift of the entire gut microbial community — that spans the intestinal tract; this is an organism-level ecological state, not a tissue or cell process."
Parkinsons_Disease,Intestinal Inflammation and Barrier Dysfunction,TISSUE,3,ORGANISM,"","Split into: (1) Intestinal inflammation node (inflammatory response in gut tissue); (2) Intestinal barrier permeability node (tight junction/barrier integrity loss) — the name and description explicitly bundle two distinct tissue-level pathological states that have separable molecular and cellular mechanisms.","The node spans a tissue-level process (gut mucosal inflammation) and a structural tissue property (barrier permeability); both are TISSUE-scale but they are mechanistically distinct claims warranting separate nodes."
Parkinsons_Disease,Enteric Alpha-Synuclein Seeding,MOLECULAR,4,CELLULAR,,,"The node describes the initiation of a protein misfolding/templating event (alpha-synuclein inclusion body assembly) in enteric neurons; the primary mechanistic claim is the molecular seeding event, localized to the enteric nervous system."
Parkinsons_Disease,Vagal-Brainstem Alpha-Synuclein Propagation,TISSUE,4,MOLECULAR,,,"The node describes trans-anatomical propagation of alpha-synuclein pathology through an anatomical conduit (vagus nerve to brainstem); the substrate is the multi-region propagation pathway through tissue structures, making TISSUE the best fit over the molecular protein state."
Parkinsons_Disease,Central Alpha-Synuclein Initiation,TISSUE,3,MOLECULAR,"","Split into: (1) CNS site-of-initiation node (olfactory bulb or amygdala origin); (2) Central network propagation node (spread through connected brain regions) — the description bundles the initiation event in one or two sites with subsequent centrifugal propagation across brain networks, which are mechanistically separable steps.","The node describes both a site-of-initiation (olfactory bulb/amygdala, tissue-scale) and propagation through central networks; the two locations listed (olfactory bulb, amygdala) also suggest a possible multi-site bundle."
Parkinsons_Disease,Oxidative Stress,CELLULAR,4,MOLECULAR,,,"The node describes the cellular consequences of ROS excess (lipid peroxidation, protein carbonylation, DNA damage) within dopaminergic neurons; although ROS are molecular species, the process being described is the cellular oxidative stress response and damage cascade."
