disorder,node_name,primary_kind,confidence,second_choice_kind,proposes_new_kind,split_suggestion,reasoning
Endometriosis,Ectopic Endometrial Tissue,TISSUE,4,,,"Split into: (1) Ectopic Endometrial Tissue on Ovaries; (2) Ectopic Endometrial Tissue on Fallopian Tubes; (3) Ectopic Endometrial Tissue on Pelvic Peritoneum — multi-site enumeration without explicit shared mechanism beyond seeding.",The node describes a persistent ectopic tissue state (endometrial-like tissue growing outside the uterus) which is a tissue-scale anatomical state.
Endometriosis,Retrograde Menstruation,TISSUE,5,,,,"The node describes a tissue-scale physiological process — retrograde fluid flow through anatomical structures (fallopian tubes into pelvic cavity) — and is a single atomic causal process with no conjunction or multi-site bundling."
Endometriosis,Chronic Inflammation,TISSUE,4,,,"Split into: (1) Chronic Peritoneal Inflammatory Milieu (elevated cytokines and prostaglandins); (2) Adhesion Formation as inflammatory consequence — the description bundles the inflammatory state with its downstream structural outcome (adhesion formation), which is already a separate node, indicating the two claims are distinct.",The node describes a tissue-scale chronic inflammatory state in pelvic/peritoneal tissue driven by ectopic lesions.
Endometriosis,Estrogen Dependence,MOLECULAR,3,CELLULAR,,"Split into: (1) Aberrant Aromatase Expression and Local Estrogen Biosynthesis in Endometriotic Stromal Cells; (2) Progesterone Resistance and Impaired Tissue Regression — these are two distinct molecular mechanisms (ectopic steroid synthesis vs receptor-level hormonal insensitivity) bundled under one node name.",The node centers on molecular-level aberrations in steroidogenic enzyme expression (aromatase) and steroid hormone signaling (progesterone resistance) within endometriotic stromal cells.
Endometriosis,Immune Dysfunction,CELLULAR,4,,,"Split into: (1) Peritoneal Macrophage Activation and Expansion; (2) NK Cell Cytotoxicity Suppression via ESC-Macrophage Crosstalk; (3) T Cell Dysfunction — the description explicitly enumerates three distinct immune cell-type dysfunctions, each of which is a separate cellular-scale claim with independent mechanisms.",The node describes cellular-scale immune cell dysfunction enabling ectopic endometrial cell survival by impairing immune clearance.
Endometriosis,Hypoxia and Angiogenesis,MOLECULAR,2,TISSUE,,"Split into: (1) HIF-1alpha Stabilization under Lesion Hypoxia (molecular state); (2) VEGF-Driven Neovascularization and Lesion Angiogenesis (tissue process) — the node name conjunction 'and' marks two distinct scale levels: molecular HIF/VEGF upregulation and tissue-level vascular remodeling.",The node's primary mechanism is HIF-1alpha stabilization driving VEGF upregulation — a molecular regulatory cascade — though angiogenesis as the downstream tissue outcome pulls toward TISSUE scale.
Endometriosis,Adhesion Formation,TISSUE,5,,,,"The node describes a single tissue-scale structural outcome — fibrous adhesions distorting pelvic anatomy — with one stated cause (chronic inflammation) and no conjunction or multi-mechanism bundling."
Endometriosis,Lesion-Peritoneal Neuroangiogenesis,TISSUE,3,CELLULAR,,"Split into: (1) Lesion-Associated Nerve Fiber Recruitment and Neurogenesis; (2) Lesion-Associated Vascular Remodeling — the node name combines 'neuro' and 'angio' processes that are mechanistically distinct (neurotrophin-driven axon ingrowth vs VEGF-driven vessel formation), each warranting its own node.",The node describes tissue-scale anatomical remodeling of nerve and vascular structures in and around endometriotic implants and peritoneum.
Endometriosis,Peripheral Nociceptor Sensitization,CELLULAR,4,,,"Split into: (1) Inflammatory Mediator-Driven Nociceptor Sensitization; (2) Prolactin/Prolactin-Receptor-Mediated Nociceptor Sensitization — the description identifies two distinct upstream signaling pathways converging on the same cellular outcome; splitting would clarify the independent mediator contributions and enable separate evidence tracking.",The node describes a cellular-scale state — altered threshold of pelvic sensory neurons — driven by peritoneal and lesion-derived signals acting on nociceptor cells.
Endometriosis,Central Sensitization and Nociplastic Pain,TISSUE,3,ORGANISM,,"Split into: (1) Central Sensitization (spinal/supraspinal amplification of nociceptive input — tissue/CNS scale); (2) Nociplastic Pain as a Chronic Pain State (organism-level clinical phenotype) — the node name conjunction 'and' marks a mechanistic process (central sensitization) bundled with its clinical label (nociplastic pain), which are related but analytically distinct.",The node describes CNS tissue-level sensitization — altered pain processing in spinal and supraspinal structures — which operates at the tissue (neural tissue) scale rather than whole-organism systemic.
