disorder,node_name,primary_kind,confidence,second_choice_kind,proposes_new_kind,split_suggestion,reasoning
Wilms_Tumor,WT1 Inactivation,MOLECULAR_ACTIVITY,3,CELLULAR_PROCESS,,"Split into (1) WT1 loss-of-function as a molecular event and (2) blocked nephron progenitor differentiation as the cellular consequence","The defining claim is loss of a transcription factor (molecular-scale gene product inactivation), but the node simultaneously asserts a developmental cellular outcome (failed differentiation), making the molecular primary defensible but contested."
Wilms_Tumor,WTX (AMER1) Inactivation,MOLECULAR_ACTIVITY,4,CELLULAR_PROCESS,,,The node centers on loss of a specific protein component of the beta-catenin destruction complex enabling Wnt pathway derepression — a protein-scale molecular regulatory event.
Wilms_Tumor,CTNNB1 Activating Mutation,MOLECULAR_ACTIVITY,4,CELLULAR_PROCESS,,,Exon 3 gain-of-function mutation stabilizes beta-catenin protein and activates canonical Wnt signaling — a prototypical molecular activity node centered on a specific gene product's altered function.
Wilms_Tumor,Canonical Wnt Signaling Hyperactivation,MOLECULAR_ACTIVITY,3,CELLULAR_PROCESS,,,Aberrant beta-catenin pathway signaling is pathway-level molecular activity acting within nephrogenic progenitor cells to sustain an undifferentiated state — the signaling cascade itself is molecular but the framing of cell-state maintenance pulls toward cellular.
Wilms_Tumor,Blocked Nephron Differentiation,CELLULAR_PROCESS,4,TISSUE_PROCESS,,,The node describes failure of a specific cell population (nephrogenic rests / blastemal cells) to undergo terminal differentiation into mature nephrons — a canonical cell-intrinsic developmental process.
Wilms_Tumor,IGF2 Loss of Imprinting,MOLECULAR_ACTIVITY,4,CELLULAR_PROCESS,,,Biallelic IGF2 expression arising from epigenetic loss of imprinting at 11p15 is an epigenetic-regulatory molecular event producing excess growth factor signaling.
Wilms_Tumor,MicroRNA Processing Defect,MOLECULAR_ACTIVITY,4,CELLULAR_PROCESS,,"Split into (1) DROSHA loss-of-function and (2) DICER1 loss-of-function, as two distinct miRNA biogenesis enzyme mutations that may have partially distinct target profiles","DROSHA and DICER1 mutations disrupt the molecular miRNA biogenesis machinery (RNA processing enzymes), making this a molecular-scale enzymatic defect — the downstream cellular effects are consequential rather than the defining claim."
Wilms_Tumor,Nephron Progenitor Self-Renewal,CELLULAR_PROCESS,4,MOLECULAR_ACTIVITY,,,SIX1/SIX2 hotspot mutations reinforce a cell-intrinsic transcriptional program maintaining progenitor identity and proliferative capacity — the unit of description is the self-renewing progenitor cell and its behavioral state.
Wilms_Tumor,Persistent Blastemal Progenitor State,CELLULAR_PROCESS,3,TISSUE_PROCESS,"CELLULAR_STATE — this node describes an emergent maintained condition of a cell population (high proliferative capacity plus failed differentiation) rather than an ongoing process; the process-centric enum fits poorly",,Multiple upstream drivers converge on persistence of a cell population state rather than a discrete ongoing process — CELLULAR_PROCESS is the least-bad fit but the node is fundamentally a state description.
Wilms_Tumor,Wilms Tumor Outgrowth,TISSUE_PROCESS,5,,,,"Expansion of embryonal renal progenitors into overt nephroblastoma is neoplastic growth at the kidney organ level — a tissue/organ-scale process with an anatomical location anchor."
Wilms_Tumor,TP53-Deficient Anaplastic Progression,TISSUE_PROCESS,3,MOLECULAR_ACTIVITY,,"Split into (1) TP53 loss-of-function (molecular: impaired DNA repair and apoptosis signaling) and (2) anaplastic tumor progression (tissue: aggressive clonal expansion with nuclear atypia)","The node bundles a molecular driver (TP53 dysfunction affecting DNA repair and apoptosis pathways) with a tissue-level outcome (anaplastic tumor evolution), making either scale defensible — the title 'Progression' tilts toward tissue-level."
