disorder,node_name,primary_kind,confidence,second_choice_kind,proposes_new_kind,split_suggestion,reasoning
Endometriosis,Ectopic Endometrial Tissue,TISSUE,5,,,,"Persistent ectopic tissue growing at anatomical sites outside the uterus is a tissue-scale state; v2 explicitly names ectopic tissue persistence as a TISSUE exemplar."
Endometriosis,Retrograde Menstruation,TISSUE,4,ORGANISM,,,"Menstrual fluid flowing backward through fallopian tubes into the pelvic cavity is an anatomical/organ-scale process; the substrate is the reproductive tract and pelvic cavity rather than the whole organism."
Endometriosis,Chronic Inflammation,TISSUE,4,CELLULAR,,,"Peritoneal cytokine/prostaglandin milieu and adhesion formation are driven by tissue-level inflammatory response in the pelvic compartment; cellular contributors (macrophages) are present but the node describes the tissue-scale inflammatory state."
Endometriosis,Estrogen Dependence,MOLECULAR,4,CELLULAR,,,"Aberrant aromatase expression, PGE2 autocrine feedback loop, and 17beta-HSD2 deficiency are enzyme/molecular-level biochemical aberrations in stromal cells; CELLULAR is a real second choice because the overall cell is in an autonomously estrogen-producing state."
Endometriosis,Immune Dysfunction,CELLULAR,4,TISSUE,,,"Impaired NK cell cytotoxicity, macrophage/T cell alterations, and IL-10/TGF-beta crosstalk are cell-population-level functional states that enable immune escape; substrate is immune cell populations rather than the peritoneal tissue as a whole."
Endometriosis,Hypoxia and Angiogenesis,TISSUE,4,MOLECULAR,,,"Lesion-scale neovascularization and HIF/VEGF-driven vascular remodeling are tissue processes; HIF-1alpha stabilization is molecular but serves the node's primary claim of tissue angiogenesis."
Endometriosis,Adhesion Formation,TISSUE,5,,,,"Fibrous adhesions distorting pelvic anatomy are a tissue-structural state at the organ/anatomical-structure scale with no significant scale ambiguity."
Endometriosis,Lesion-Peritoneal Neuroangiogenesis,TISSUE,4,CELLULAR,"","Split: nerve-fiber recruitment is arguably cellular (neurogenesis involves individual neurons/progenitors) while vascular remodeling is tissue-scale; together they describe a tissue-level neuroangiogenic remodeling process at the lesion/peritoneum site.","Nerve-fiber ingrowth and vascular remodeling co-occurring in lesions and peritoneum are tissue-scale structural changes; CELLULAR is a secondary option given the cellular basis of neurogenesis."
Endometriosis,Peripheral Nociceptor Sensitization,CELLULAR,4,MOLECULAR,,,"Pelvic sensory neurons in a sensitized functional state are the substrate; prolactin-receptor signaling and inflammatory mediator effects describe molecular inputs but the node's claim is about the cell-level nociceptor threshold state."
Endometriosis,Central Sensitization and Nociplastic Pain,TISSUE,3,ORGANISM,,,"CNS amplification of pain signals involves brain and spinal cord tissue; ORGANISM is a real second choice because pain processing involves distributed multi-region CNS networks, but the substrate is still nervous system tissue rather than whole-body systemic physiology."
