disorder,node_name,primary_kind,confidence,second_choice_kind,proposes_new_kind,split_suggestion,reasoning
Familial_Hypercholesterolemia,LDLR Functional Defect,MOLECULAR,4,CELLULAR,,,"Node describes pathogenic LDLR variants reducing receptor synthesis, trafficking, ligand binding, internalization, or recycling — these are all molecular-scale defects in a specific protein/gene; the hepatocyte cell type is context not the scale of the mechanism."
Familial_Hypercholesterolemia,APOB-LDLR Binding Defect,MOLECULAR,5,,,,"Node is entirely about defective protein-protein binding between apoB-containing LDL particles and the LDLR — a single molecular interaction failure; atomic and cleanly MOLECULAR."
Familial_Hypercholesterolemia,PCSK9 Gain-of-Function,MOLECULAR,4,CELLULAR,,,Node describes a gain-of-function variant state in the PCSK9 gene product causing increased protein activity — a molecular-level gain-of-function state; the downstream effect (LDLR degradation) is a separate node.
Familial_Hypercholesterolemia,LDLRAP1-Related LDL Uptake Defect,MOLECULAR,4,CELLULAR,,,Biallelic LDLRAP1 loss-of-function is a molecular/protein defect disrupting clathrin-mediated adaptor function; the cell-level consequence is a separate downstream node.
Familial_Hypercholesterolemia,APOE-Related Lipoprotein Clearance Defect,MOLECULAR,3,ORGANISM,,,"Node describes a rare APOE variant disrupting lipoprotein-receptor binding (molecular), but the clearance phenotype is systemic (organism-scale); the description bundles the variant mechanism with its systemic consequence, making this a borderline MOLECULAR/ORGANISM case."
Familial_Hypercholesterolemia,PCSK9-Mediated LDLR Degradation,CELLULAR,4,MOLECULAR,,,"Node describes the intracellular post-endocytic fate of mature LDLR in hepatocytes — the process (accelerated lysosomal degradation after endocytosis) happens within a single cell and results in fewer surface receptors; this is a cellular-scale process, though the triggering molecule (PCSK9) is molecular."
Familial_Hypercholesterolemia,Reduced Hepatic LDL Clearance,CELLULAR,4,TISSUE,,,"Node describes the convergent failure of receptor-mediated endocytosis and lysosomal processing in hepatocytes — a cellular process; the organ label (liver/hepatocyte) is the site, and the mechanism is explicitly at single-cell receptor-level function."
Familial_Hypercholesterolemia,Elevated Circulating LDL Cholesterol,ORGANISM,5,,,,Node describes a lifelong whole-body state of elevated circulating LDL-C — a systemic chemical accumulation state spanning the entire organism; canonical ORGANISM-scale state.
Familial_Hypercholesterolemia,Oxidized LDL Infiltration of Arterial Intima,TISSUE,4,ORGANISM,,,"Node describes oxidized LDL accumulating in the arterial intima (a specific anatomical structure) and the resulting lipid milieu — the scale is a defined anatomical layer (tunica intima), making this TISSUE."
Familial_Hypercholesterolemia,Macrophage Recruitment to Arterial Intima,TISSUE,4,CELLULAR,,,"Node describes inflammatory signaling within the lipid-rich intima recruiting macrophages — this is a tissue-level process (leukocyte trafficking into an anatomical compartment); the cell types are participants, not the scale of the event."
Familial_Hypercholesterolemia,Macrophage-Derived Foam Cell Formation,CELLULAR,5,,,,"Node describes macrophages internalizing oxidized lipoproteins and differentiating into foam cells — a canonical cellular differentiation process happening within individual macrophages; single cell-type, single process, atomic."
Familial_Hypercholesterolemia,Atherosclerotic Plaque Development,TISSUE,4,ORGANISM,,,Node describes chronic intimal lipid retention and inflammation producing plaque at a defined arterial anatomical site — the substrate is the vessel wall tissue (tunica intima) and the lesion is a tissue-level structure.
Familial_Hypercholesterolemia,Premature Atherosclerotic Cardiovascular Disease,ORGANISM,4,TISSUE,,"Split into: (1) Premature Coronary Artery Disease (coronary arterial territory); (2) Cerebrovascular Atherosclerotic Disease (cerebrovascular territory); (3) Peripheral Arterial Disease (peripheral vascular territory)","Node lists CAD, angina, MI, stroke, and peripheral arterial disease — multiple distinct organ-territory manifestations of atherosclerosis enumerated together; however the description frames them as a systemic multi-organ clinical endpoint, so ORGANISM is justified, but the multi-organ enumeration in the downstream targets (coronary, cerebrovascular, peripheral) suggests this node bundles what could be separate per-territory outcome nodes."
Familial_Hypercholesterolemia,Extra-arterial Cholesterol Deposition,TISSUE,3,ORGANISM,,"Split into: (1) Tendon and Cutaneous Cholesterol Deposition; (2) Corneal Cholesterol Deposition; (3) Aortic Valve Lipid Deposition and Calcification","Node explicitly enumerates distinct anatomical sites — tendons, skin, cornea, aortic valve — without a shared mechanism beyond chronic LDL excess; these are already separated as downstream child nodes, so this parent node is a redundant bundle of three separate tissue-level processes."
Familial_Hypercholesterolemia,Tendon and Cutaneous Cholesterol Deposition,TISSUE,4,ORGANISM,,"Split into: (1) Tendon Cholesterol Deposition (Achilles and hand tendons); (2) Cutaneous Cholesterol Deposition and Xanthelasma (skin and eyelid)","Node combines tendon and cutaneous (skin + eyelid) sites; tendons and skin/eyelid are anatomically distinct; the downstream targets already separate these into Tendon Xanthomas, Cutaneous Xanthomas, and Xanthelasma, suggesting the node is a bundle of two+ distinct tissue processes."
Familial_Hypercholesterolemia,Corneal Cholesterol Deposition,TISSUE,5,,,,"Node describes lipid deposition at a single anatomical site (peripheral cornea) producing corneal arcus — single location, single process, atomic TISSUE-scale node."
Familial_Hypercholesterolemia,Aortic Valve Lipid Deposition and Calcification,TISSUE,4,ORGANISM,,"Split into: (1) Aortic Valve Lipid Deposition; (2) Fibrocalcific Remodeling of Aortic Valve","Node name and description bundle the initial lipid retention event with the downstream fibrocalcific remodeling — these are mechanistically sequential distinct steps (lipid deposition → calcification); the intermediate mechanism field already notes 'valvular lipid retention followed by fibrocalcific remodeling,' confirming two steps are compressed into one node."
