evidence_id	assertion_id	disorder_id	disorder_name	source_file	section	section_index	path	evidence_index	reference	supports	evidence_source	snippet	explanation	raw_json
35	67	4	ATTR_Amyloidosis	ATTR_Amyloidosis.yaml	environmental	0	evidence	0	PMID:21463231	WRONG_STATEMENT		Transthyretin (TTR) Val30Met-associated familial amyloid polyneuropathy (FAP ATTR Val30Met) is the most common form of FAP.	The statement that ATTR amyloidosis is 'None Applicable' is incorrect as it is associated with specific conditions such as familial amyloid polyneuropathy.	"{""explanation"": ""The statement that ATTR amyloidosis is 'None Applicable' is incorrect as it is associated with specific conditions such as familial amyloid polyneuropathy."", ""reference"": ""PMID:21463231"", ""snippet"": ""Transthyretin (TTR) Val30Met-associated familial amyloid polyneuropathy (FAP ATTR Val30Met) is the most common form of FAP."", ""supports"": ""WRONG_STATEMENT""}"
36	67	4	ATTR_Amyloidosis	ATTR_Amyloidosis.yaml	environmental	0	evidence	1	PMID:37907148	WRONG_STATEMENT		CARS (Cardiac Amyloidosis Registry Study) is a multicenter registry established in 2019 that includes patients with transthyretin (ATTR, wild-type and variant) and light chain (AL) cardiac amyloidosis (CA).	The statement 'None Applicable' is incorrect because ATTR amyloidosis is a recognized condition included in the Cardiac Amyloidosis Registry Study.	"{""explanation"": ""The statement 'None Applicable' is incorrect because ATTR amyloidosis is a recognized condition included in the Cardiac Amyloidosis Registry Study."", ""reference"": ""PMID:37907148"", ""snippet"": ""CARS (Cardiac Amyloidosis Registry Study) is a multicenter registry established in 2019 that includes patients with transthyretin (ATTR, wild-type and variant) and light chain (AL) cardiac amyloidosis (CA)."", ""supports"": ""WRONG_STATEMENT""}"
130	131	7	Achoo Syndrome	Achoo_Syndrome.yaml	environmental	0	evidence	0	PMID:31287245	SUPPORT		Photic sneeze syndrome (PSS) is a condition that causes sneezing when the eye is exposed to sudden bright light.	Light is the essential triggering environmental factor.	"{""explanation"": ""Light is the essential triggering environmental factor."", ""reference"": ""PMID:31287245"", ""snippet"": ""Photic sneeze syndrome (PSS) is a condition that causes sneezing when the eye is exposed to sudden bright light."", ""supports"": ""SUPPORT""}"
158	162	8	Acne Vulgaris	Acne_Vulgaris.yaml	environmental	0	evidence	0	PMID:32748305	SUPPORT		Several studies have evaluated the significance of the glycemic index of various foods and glycemic load in patients with acne, demonstrating individuals with acne who consume diets with a low glycemic load have reduced acne lesions compared with individuals on high glycemic load diets.	This review provides evidence for the association between high glycemic load diets and acne severity.	"{""explanation"": ""This review provides evidence for the association between high glycemic load diets and acne severity."", ""reference"": ""PMID:32748305"", ""snippet"": ""Several studies have evaluated the significance of the glycemic index of various foods and glycemic load in patients with acne, demonstrating individuals with acne who consume diets with a low glycemic load have reduced acne lesions compared with individuals on high glycemic load diets."", ""supports"": ""SUPPORT""}"
159	162	8	Acne Vulgaris	Acne_Vulgaris.yaml	environmental	0	evidence	1	PMID:32748305	SUPPORT		Dairy has also been a focus of study regarding dietary influences on acne; whey proteins responsible for the insulinotropic effects of milk may contribute more to acne development than the actual fat or dairy content.	The paper describes the mechanism by which dairy consumption may influence acne through insulinotropic effects.	"{""explanation"": ""The paper describes the mechanism by which dairy consumption may influence acne through insulinotropic effects."", ""reference"": ""PMID:32748305"", ""snippet"": ""Dairy has also been a focus of study regarding dietary influences on acne; whey proteins responsible for the insulinotropic effects of milk may contribute more to acne development than the actual fat or dairy content."", ""supports"": ""SUPPORT""}"
160	163	8	Acne Vulgaris	Acne_Vulgaris.yaml	environmental	1	evidence	0	PMID:28871928	SUPPORT		Even though emotional stress has long been suspected to trigger or exacerbate acne, its influence on acne severity has been mostly underestimated until recently when studies have brought new data about the different mechanisms and possible factors involved in this interaction.	This review examines the link between psychological stress and acne exacerbation.	"{""explanation"": ""This review examines the link between psychological stress and acne exacerbation."", ""reference"": ""PMID:28871928"", ""snippet"": ""Even though emotional stress has long been suspected to trigger or exacerbate acne, its influence on acne severity has been mostly underestimated until recently when studies have brought new data about the different mechanisms and possible factors involved in this interaction."", ""supports"": ""SUPPORT""}"
161	163	8	Acne Vulgaris	Acne_Vulgaris.yaml	environmental	1	evidence	1	PMID:28871928	SUPPORT		The basis for the association between emotional stress and the onset or exacerbation of acne is in several cutaneous neurogenic factors which interact with a pathogenic cascade in acne.	The paper describes neurogenic mechanisms linking stress to acne pathogenesis.	"{""explanation"": ""The paper describes neurogenic mechanisms linking stress to acne pathogenesis."", ""reference"": ""PMID:28871928"", ""snippet"": ""The basis for the association between emotional stress and the onset or exacerbation of acne is in several cutaneous neurogenic factors which interact with a pathogenic cascade in acne."", ""supports"": ""SUPPORT""}"
162	164	8	Acne Vulgaris	Acne_Vulgaris.yaml	environmental	2	evidence	0	PMID:41464454	SUPPORT		Psoriasis, acne vulgaris, atopic dermatitis, photoaging, melasma, and skin cancers have been associated with repeated exposure to rising levels of pollutants.	This review links acne vulgaris with pollutant exposure among climate-sensitive skin conditions.	"{""explanation"": ""This review links acne vulgaris with pollutant exposure among climate-sensitive skin conditions."", ""reference"": ""PMID:41464454"", ""snippet"": ""Psoriasis, acne vulgaris, atopic dermatitis, photoaging, melasma, and skin cancers have been associated with repeated exposure to rising levels of pollutants."", ""supports"": ""SUPPORT""}"
317	243	10	Addison's Disease	Addisons_Disease.yaml	environmental	0	evidence	0	PMID:1946105	SUPPORT		In most cases, autoimmune destruction of the adrenal cortex is the cause of Addison's disease; however, as in the patient described here, tuberculosis is a possible cause.	The reference mentions tuberculosis as a possible cause of Addison's disease, supporting the statement that infections can lead to this condition.	"{""explanation"": ""The reference mentions tuberculosis as a possible cause of Addison's disease, supporting the statement that infections can lead to this condition."", ""reference"": ""PMID:1946105"", ""snippet"": ""In most cases, autoimmune destruction of the adrenal cortex is the cause of Addison's disease; however, as in the patient described here, tuberculosis is a possible cause."", ""supports"": ""SUPPORT""}"
318	243	10	Addison's Disease	Addisons_Disease.yaml	environmental	0	evidence	1	PMID:30144040	PARTIAL		AAD is thought to be caused by an unfortunate combination of genetic and environmental factors. ... A major environmental factor commonly proposed for autoimmune diseases ... is viral infections.	While this reference discusses viral infections as a potential environmental factor for autoimmune Addison's disease, it does not confirm the role of infections in general.	"{""explanation"": ""While this reference discusses viral infections as a potential environmental factor for autoimmune Addison's disease, it does not confirm the role of infections in general."", ""reference"": ""PMID:30144040"", ""snippet"": ""AAD is thought to be caused by an unfortunate combination of genetic and environmental factors. ... A major environmental factor commonly proposed for autoimmune diseases ... is viral infections."", ""supports"": ""PARTIAL""}"
