PMID,evidence_type,stance,mechanistic_claim_tested,key_finding,context,confidence_limitations
30597182,in_vitro,support,aripiprazole preserves pAkt-pGSK3b under D2R hyperactivity vs haloperidol,"Unlike haloperidol, aripiprazole prevented pAkt-pGSK3b downregulation",cortical neurons DISC1/schizophrenia,LOAD-BEARING but INDIRECT; neurite readout not tau; no AD
41192583,in_vitro,support/qualify,aripiprazole arrestin ligand profile at D2/D3,"weak/no agonist, potent antagonist at arrestin",recombinant human D2/D3,INDIRECT; recombinant cells; not neurons/AD
39174788,model_organism,support(premise),chronic aripiprazole benefits AD model,improved NORT; +7-8% glutamate PET; glutamatergic recovery,5xFAD 1mg/kg x2mo n=6/grp,Small n; glutamatergic not tau; explicit author safety caveat
34173272,human_clinical,refute,antipsychotic class effect on AD cognition,APs -> faster cognitive decline & dementia progression; worse in APOE e4,NILVAD n=509 mild-moderate AD,Class-level not aripiprazole-specific; confounding by indication
17681085,in_vitro/human,support(backbone),DRD2 -> AKT1/PP2A/barr2 -> GSK-3b activation,complex dephosphorylates AKT1 activating GSK-3b,schizophrenia cells/postmortem brain,Backbone edge; not AD/tau
23188793,model_organism,support(backbone),barr2/Akt/PP2A/GSK3b in D2R neurons,D2GSK3b KO mimics antipsychotic action,mouse D2R neurons,Backbone; behavior not tau
23380502,model_organism,support(backbone),D2R barr2/PP2A/Akt complex dephosphorylates Akt,apomorphine recruits PP2A-C to Akt,mouse striatum,Backbone; striatum not AD
23321003,in_vitro/model,support(terminal),GSK-3b is principal tau kinase; PP2A balance,shifts GSK-3b/PP2A balance and lowers Ab-induced tau,cortical neurons + rat/Tg mouse,Supports terminal edge GSK3b->tau
22025698,in_vitro/model,support(reagent),UNC9994 identity and pharmacology,arrestin-biased D2R agonist from aripiprazole scaffold; effect barr2-dependent,recombinant + mice,Enables discriminating test; not AD/tau
22845053,in_vitro,support(reagent),UNC9994 structure-functional-selectivity,arrestin-biased D2R agonists from aripiprazole scaffold,recombinant,Reagent characterization only
26129680,model_organism,support(reagent),UNC9994 in vivo behavior,improves NORT in hypoglutamatergic mice,mice,Schizophrenia model not AD
28367951,model_organism,competing,VTA DA neuron loss drives AD memory deficit,pre-plaque VTA DA loss lowers hippocampal/NAc DA; impairs memory,Tg2576,Opposes D2R over-activation premise (hypodopaminergia)
29778899,model_organism,competing,DA loss impairs hippocampus-NAc; levodopa rescues,levodopa or chemogenetic depolarization rescue deficits,Tg2576,DA restoration is beneficial
29630556,review/human,competing,VTA volume associates with AD cognition,human VTA-cognition link,human prodromal AD,Orientation-level
33684513,model_organism,competing,c-Abl drives VTA DA degeneration,nilotinib prevents DA loss and lowers Ab and restores memory,Tg2576,Alternative upstream (c-Abl/autophagy)
31156177,human_clinical,qualify/refute,GSK-3 inhibition improves AD cognition,GSK-3 inhibitors ineffective; tideglusib subgroup null SMD=-0.02 p=0.89,5 RCTs N=568,Terminal-node therapeutic rationale weak; target engagement uncertain
22299660,review/human,competing,PP2A failure drives AD tau,multiple PP2A deficits documented in AD brain,human AD brain,Parallel D2R-independent tau driver
28720530,in_vitro,competing,APOE downregulates PP2A,ApoE lowers PP2A,AD relevance,Links tau-phosphatase deficit to APOE e4
26484916,in_vitro,qualify,PP2A dephosphorylates GSK-3b-Ser9,PP2A suppresses GSK-3b Ser9 phosphorylation,brain extracts/HEK293FT,Complicates seed one-way use of PP2A
38350636,review,competing,amyloid + tau kinases (GSK3b/CDK5) + PP2A,tau-centric therapies; CDK5 parallel kinase,AD review,Orientation; multiple convergent kinases
36760217,model_organism,competing,Ab42 lowers pAkt/pGSK3b and raises pTau,Ab drives Akt/GSK3b/tau axis,Ab42 icv mice,Amyloid upstream of GSK3b without D2R
41930581,review,contradict(direction),dopamine DEPLETION activates GSK-3b/tau,DA depletion -> increased GSK-3b activity,2026 narrative review,Opposite dopamine direction to seed; review-level
28965318,human_genetic,contradict(direction),DRD2 function vs AD risk,DRD2 Taq1A A1 (low D2 density) may magnify AD risk; worse LTM,aging African-Americans,Association; not a tau readout
27647283,human_genetic,contradict(direction),dopamine-receptor efficacy vs memory,higher D2/D1/D3 efficacy alleles predict better associative memory,population n=525 age 60,Cognition phenotype not tau
