disorder_slug	search_name	pmid	title	journal	pub_year	pubdate	doi	publication_types	guideline_count_for_disorder
Epidermolysis_Bullosa	epidermolysis bullosa	41678328	European S2k guidelines on management of autoimmune blistering diseases in children and adolescents	J Eur Acad Dermatol Venereol	2026	2026 Jul	10.1111/jdv.70308	Journal Article; Practice Guideline	11
Epidermolysis_Bullosa	epidermolysis bullosa	40899465	Orthodontic Treatment in Patients With Epidermolysis Bullosa (EB)-Clinical Practice Guidelines (CPG)	Spec Care Dentist	2025	2025 Sep-Oct	10.1111/scd.70084	Journal Article; Practice Guideline; Systematic Review	11
Epidermolysis_Bullosa	epidermolysis bullosa	40393138	Management of oesophageal strictures in inherited epidermolysis bullosa: a clinical practice guideline	Br J Dermatol	2025	2025 Aug 18	10.1093/bjd/ljaf191	Journal Article; Practice Guideline; Review	11
Epidermolysis_Bullosa	epidermolysis bullosa	39878243	Quality-of-Life Measurement in Epidermolysis Bullosa. Position Statement of the European Academy of Dermatology and Venereology Task Force on Quality of Life and Patient-Oriented Outcomes and External Experts	Int J Dermatol	2025	2025 Sep	10.1111/ijd.17668	Journal Article; Practice Guideline; Review	11
Epidermolysis_Bullosa	epidermolysis bullosa	38175636	Neonatal epidermolysis bullosa: a clinical practice guideline	Br J Dermatol	2024	2024 Apr 17	10.1093/bjd/ljae006	Journal Article; Practice Guideline; Systematic Review	11
Epidermolysis_Bullosa	epidermolysis bullosa	37667330	Consensus-based guidelines for the provision of palliative and end-of-life care for people living with epidermolysis bullosa	Orphanet J Rare Dis	2023	2023 Sep 4	10.1186/s13023-023-02870-8	Consensus Statement; Journal Article; Practice Guideline; Research Support, Non-U.S. Gov't	11
Epidermolysis_Bullosa	epidermolysis bullosa	36345025	Hand surgery and hand therapy clinical practice guideline for epidermolysis bullosa	Orphanet J Rare Dis	2022	2022 Nov 7	10.1186/s13023-022-02282-0	Journal Article; Review; Research Support, Non-U.S. Gov't; Practice Guideline	11
Epidermolysis_Bullosa	epidermolysis bullosa	35717492	Appraisal of Clinical Practice Guideline: Physiotherapy for epidermolysis bullosa	J Physiother	2022	2022 Jul	10.1016/j.jphys.2022.05.001	Practice Guideline; Journal Article	11
Epidermolysis_Bullosa	epidermolysis bullosa	34687549	Recommendations on pregnancy, childbirth and aftercare in epidermolysis bullosa: a consensus-based guideline	Br J Dermatol	2022	2022 Apr	10.1111/bjd.20809	Journal Article; Practice Guideline	11
Epidermolysis_Bullosa	epidermolysis bullosa	31646663	Japanese guidelines for the management of pemphigoid (including epidermolysis bullosa acquisita)	J Dermatol	2019	2019 Dec	10.1111/1346-8138.15111	Journal Article; Practice Guideline	11
Epidermolysis_Bullosa	epidermolysis bullosa	31397882	Foot care in epidermolysis bullosa: evidence-based guideline	Br J Dermatol	2020	2020 Mar	10.1111/bjd.18381	Journal Article; Practice Guideline; Research Support, Non-U.S. Gov't; Systematic Review	11
Kawasaki_Disease	Kawasaki Disease	40784605	Society for cardiovascular magnetic resonance expert consensus statement on quantitative myocardial perfusion cardiovascular magnetic resonance imaging	J Cardiovasc Magn Reson	2025	2025 Winter	10.1016/j.jocmr.2025.101940	Journal Article; Practice Guideline; Review; Consensus Statement	11
Kawasaki_Disease	Kawasaki Disease	39060924	Guideline for the diagnosis and treatment of incomplete Kawasaki disease in children in China	BMC Pediatr	2024	2024 Jul 26	10.1186/s12887-024-04961-2	Journal Article; Practice Guideline	11
Kawasaki_Disease	Kawasaki Disease	35257507	2021 American College of Rheumatology/Vasculitis Foundation Guideline for the Management of Kawasaki Disease	Arthritis Care Res (Hoboken)	2022	2022 Apr	10.1002/acr.24838	Journal Article; Research Support, Non-U.S. Gov't; Practice Guideline	11
Kawasaki_Disease	Kawasaki Disease	35257501	2021 American College of Rheumatology/Vasculitis Foundation Guideline for the Management of Kawasaki Disease	Arthritis Rheumatol	2022	2022 Apr	10.1002/art.42041	Journal Article; Research Support, Non-U.S. Gov't; Practice Guideline	11
Kawasaki_Disease	Kawasaki Disease	34794595	ACR Appropriateness Criteria® Noncerebral Vasculitis	J Am Coll Radiol	2021	2021 Nov	10.1016/j.jacr.2021.08.005	Practice Guideline; Journal Article	11
Kawasaki_Disease	Kawasaki Disease	34076713	Multisystem Inflammatory Syndrome Associated with COVID-19 Anti-thrombosis Guideline of Care for Children by Action	Pediatr Cardiol	2021	2021 Oct	10.1007/s00246-021-02651-9	Journal Article; Practice Guideline	11
Kawasaki_Disease	Kawasaki Disease	33494789	Revised recommendations of the Italian Society of Pediatrics about the general management of Kawasaki disease	Ital J Pediatr	2021	2021 Jan 25	10.1186/s13052-021-00962-4	Journal Article; Practice Guideline; Review	11
Kawasaki_Disease	Kawasaki Disease	32641591	JCS/JSCS 2020 Guideline on Diagnosis and Management of Cardiovascular Sequelae in Kawasaki Disease	Circ J	2020	2020 Jul 22	10.1253/circj.CJ-19-1094	Journal Article; Practice Guideline; Review	11
Kawasaki_Disease	Kawasaki Disease	29778491	[National consensus on the cardiological treatment and follow-up of Kawasaki disease]	An Pediatr (Engl Ed)	2018	2018 Sep	10.1016/j.anpedi.2018.04.003	Consensus Statement; Journal Article; Practice Guideline	11
Kawasaki_Disease	Kawasaki Disease	28356445	Diagnosis, Treatment, and Long-Term Management of Kawasaki Disease: A Scientific Statement for Health Professionals From the American Heart Association	Circulation	2017	2017 Apr 25	10.1161/CIR.0000000000000484	Journal Article; Practice Guideline; Review	11
Kawasaki_Disease	Kawasaki Disease	27399018	[Kawasaki disease: interdisciplinary and intersocieties consensus (clinical guidelines). Brief version]	Arch Argent Pediatr	2016	2016 Aug 1	10.5546/aap.2016.385	Journal Article; Practice Guideline	11
Dermatomyositis	Dermatomyositis	40410052	Treating juvenile dermatomyositis to target: Paediatric Rheumatology European Society/Childhood Arthritis and Rheumatology Research Alliance-endorsed recommendations from an international task force	Ann Rheum Dis	2025	2025 Jul	10.1016/j.ard.2025.04.024	Journal Article; Practice Guideline	8
Dermatomyositis	Dermatomyositis	31601261	The Brazilian Society of Rheumatology recommendations on investigation and diagnosis of systemic autoimmune myopathies	Adv Rheumatol	2019	2019 Oct 10	10.1186/s42358-019-0085-5	Journal Article; Practice Guideline; Research Support, Non-U.S. Gov't; Systematic Review	8
Dermatomyositis	Dermatomyositis	30670098	Position article and guidelines 2018 recommendations of the Brazilian Society of Rheumatology for the indication, interpretation and performance of nailfold capillaroscopy	Adv Rheumatol	2019	2019 Jan 22	10.1186/s42358-018-0046-4	Journal Article; Practice Guideline; Research Support, Non-U.S. Gov't; Systematic Review	8
Dermatomyositis	Dermatomyositis	30670084	Guidelines of the Brazilian Society of Rheumatology for the treatment of systemic autoimmune myopathies	Adv Rheumatol	2019	2019 Jan 22	10.1186/s42358-019-0048-x	Journal Article; Practice Guideline; Research Support, Non-U.S. Gov't; Systematic Review	8
Dermatomyositis	Dermatomyositis	30638764	French expert opinion for the management of juvenile dermatomyositis	Arch Pediatr	2019	2019 Feb	10.1016/j.arcped.2018.12.002	Journal Article; Practice Guideline	8
Dermatomyositis	Dermatomyositis	29079590	2017 European League Against Rheumatism/American College of Rheumatology classification criteria for adult and juvenile idiopathic inflammatory myopathies and their major subgroups	Ann Rheum Dis	2017	2017 Dec	10.1136/annrheumdis-2017-211468	Consensus Statement; Journal Article; Practice Guideline; Validation Study	8
Dermatomyositis	Dermatomyositis	28385805	2016 American College of Rheumatology/European League Against Rheumatism criteria for minimal, moderate, and major clinical response in adult dermatomyositis and polymyositis: An International Myositis Assessment and Clinical Studies Group/Paediatric Rheumatology International Trials Organisation Collaborative Initiative	Ann Rheum Dis	2017	2017 May	10.1136/annrheumdis-2017-211400	Consensus Statement; Journal Article; Practice Guideline; Validation Study	8
Dermatomyositis	Dermatomyositis	28385804	2016 American College of Rheumatology/European League Against Rheumatism Criteria for Minimal, Moderate, and Major Clinical Response in Juvenile Dermatomyositis: An International Myositis Assessment and Clinical Studies Group/Paediatric Rheumatology International Trials Organisation Collaborative Initiative	Ann Rheum Dis	2017	2017 May	10.1136/annrheumdis-2017-211401	Consensus Statement; Journal Article; Practice Guideline; Validation Study	8
Takayasu_Arteritis	Takayasu Arteritis	40658482	Turkish Society for Rheumatology (Turkish Takayasu Arteritis Study Group) recommendations for the diagnosis, follow-up and the treatment of Takayasu's arteritis	Clin Exp Rheumatol	2025	2025 Nov	10.55563/clinexprheumatol/lptjx1	Journal Article; Practice Guideline	7
Takayasu_Arteritis	Takayasu Arteritis	40462247	2025 Chinese guideline for the imaging diagnosis and evaluation of Takayasu arteritis	Adv Rheumatol	2025	2025 Jun 3	10.1186/s42358-025-00460-9	Journal Article; Practice Guideline; Research Support, Non-U.S. Gov't	7
