mondo_id	disease_name	linking_pages_count	linking_pages
MONDO:0004496	myocarditis	4	arrhythmogenic right ventricular cardiomyopathy; Fabry disease; Lyme Disease; Naxos disease
MONDO:0044970	mitochondrial disease	3	ABCC9-Related Intellectual Disability and Myopathy Syndrome; Adenosine Kinase Deficiency; AFG2A-Related Encephalopathy
MONDO:0006373	pituitary gland adenoma	3	GNAS-related pituitary adenoma 3; GPR101-related pituitary adenoma 2; USP8-related pituitary adenoma 4
MONDO:0018564	3p25.3 microdeletion syndrome	2	BRPF1-Related Intellectual Disability; SETD5 Haploinsufficiency Syndrome
MONDO:0003709	agoraphobia	2	Panic Disorder; Social Anxiety Disorder
MONDO:0011786	Allergic rhinitis	2	Achoo Syndrome; Empty Nose Syndrome
MONDO:0001164	antisocial personality disorder	2	Borderline Personality Disorder; Conduct Disorder
MONDO:0008842	ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia	2	ADPRS-Related Stress-Induced Neurodegeneration; Ataxia-telangiectasia
MONDO:0024557	ataxia-telangiectasia-like disorder 1	2	Ataxia-telangiectasia; Nijmegen Breakage Syndrome-like Disorder
MONDO:0000914	CADASIL	2	CADASIL Type 1; Migraine with aura
MONDO:0011484	catecholaminergic polymorphic ventricular tachycardia 1	2	CASQ2 CPVT; RYR2 CPVT
MONDO:0005230	cellulitis	2	Lyme Disease; Sweet Syndrome
MONDO:0009837	choroid plexus papilloma	2	Choroid Plexus Carcinoma; Choroid Plexus Neoplasm
MONDO:0017843	congenital pulmonary sequestration	2	Congenital Diaphragmatic Hernia; Scimitar Syndrome
MONDO:0008021	Cowden syndrome	2	Peutz-Jeghers polyp; Peutz-Jeghers syndrome
MONDO:0015474	cryptosporidiosis	2	Cyclosporiasis; Giardiasis
MONDO:0015612	Dent disease	2	Adenine Phosphoribosyltransferase Deficiency; Fanconi Renotubular Syndrome
MONDO:0005359	drug-induced liver injury	2	Acetaminophen Hepatotoxicity; Acute Hepatitis C Virus Infection
MONDO:0019956	encephalitis	2	Acute Disseminated Encephalomyelitis; Bacterial meningitis
MONDO:0016698	ependymoma	2	Choroid Plexus Carcinoma; Choroid Plexus Neoplasm
MONDO:0007163	episodic ataxia type 2	2	ADPRS-Related Stress-Induced Neurodegeneration; Paroxysmal Dyskinesia
