cosine	status	entry	node	suggested_conforms_to	existing_conforms_to
1.000	ACTIONABLE	Autosomal_Dominant_Cerebellar_Ataxia_Type_I	Purkinje Cell Degeneration and Cerebellar Cortical Atrophy	cerebellar_purkinje_degeneration#Purkinje Neuron Degeneration	
1.000	ACTIONABLE	HPV_Positive_Head_and_Neck_Cancer	Immune Evasion	immune_checkpoint_blockade#Adaptive Immune Resistance	
1.000	ACTIONABLE	Hypotonia-Cystinuria_Syndrome	Urinary cystine supersaturation	nephrolithiasis_crystal_nucleation#Urinary Supersaturation	
0.981	ACTIONABLE	Hypochondrogenesis	Failed Endochondral Ossification	fgfr_gain_of_function_skeletal_dysplasia#Impaired Endochondral Ossification and Chondrodysplasia	
0.974	ACTIONABLE	Brachyolmia	Impaired vertebral endochondral ossification	fgfr_gain_of_function_skeletal_dysplasia#Impaired Endochondral Ossification and Chondrodysplasia	
0.971	ACTIONABLE	Duchenne_Muscular_Dystrophy	Myocardial Fibrosis	cardiomyopathy_maladaptive_remodeling#Ventricular Remodeling	
0.970	ACTIONABLE	Central_Retinal_Artery_Occlusion	Retinal Ganglion Cell Death	glaucoma_optic_neuropathy#Retinal Ganglion Cell Apoptosis	
0.967	NODE_GONE	Atelosteogenesis_Type_II	Disrupted Endochondral Ossification	fgfr_gain_of_function_skeletal_dysplasia#Impaired Endochondral Ossification and Chondrodysplasia	
0.963	ALREADY_CONFORMS	RPGR-Related_Retinopathy	Progressive photoreceptor loss and retinal remodeling	photoreceptor_degeneration#Rod Photoreceptor Apoptosis	photoreceptor_degeneration#Progressive Visual Field Loss and Blindness
0.960	ACTIONABLE	Multiple_Endocrine_Neoplasia_Type_2	Downstream Signaling Cascade Activation	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	
0.955	ACTIONABLE	Diastrophic_Dysplasia	Impaired Endochondral Ossification	fgfr_gain_of_function_skeletal_dysplasia#Impaired Endochondral Ossification and Chondrodysplasia	
0.954	ACTIONABLE	Glaucoma	Trabecular Meshwork Dysfunction	glaucoma_optic_neuropathy#Trabecular Meshwork Outflow Dysfunction	
0.954	ACTIONABLE	Meckel_Syndrome	Loss of primary cilia (failed ciliogenesis)	ciliopathy_dysfunction#Basal Body and Transition Zone Dysfunction	
0.948	ACTIONABLE	Congenital_Hypothyroidism	Thyroid Gland Dysgenesis	hypothyroidism_thyroid_hormone_deficiency#Thyroid Hormone Insufficiency	
0.947	ACTIONABLE	Spondyloepimetaphyseal_Dysplasia_Strudwick_Type	Disrupted Endochondral Ossification	fgfr_gain_of_function_skeletal_dysplasia#Impaired Endochondral Ossification and Chondrodysplasia	
0.946	ACTIONABLE	Systemic_Sclerosis	Fibroblast Activation and Fibrosis	fibrotic_response#Mesenchymal Cell Activation	
0.945	NODE_GONE	Bloom_Syndrome	Excessive homologous recombination	meiotic_prophase_failure#Homologous Recombination Repair of Meiotic DNA Breaks	
0.942	ACTIONABLE	MET_Exon_14_Skipping_NSCLC	Prolonged MET Signaling	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	
0.942	ACTIONABLE	Meckel_Syndrome	Defective cilia formation across multiple tissues	ciliopathy_dysfunction#Basal Body and Transition Zone Dysfunction	
0.940	ALREADY_CONFORMS	Osteoglophonic_Dysplasia	Premature Cranial Suture Fusion	fgfr_gain_of_function_skeletal_dysplasia#Premature Suture Fusion and Craniosynostosis	fgfr_gain_of_function_skeletal_dysplasia#Premature Suture Fusion and Craniosynostosis
0.938	ALREADY_CONFORMS	Stargardt_Disease	Secondary macular photoreceptor degeneration	ciliopathy_dysfunction#Photoreceptor Connecting Cilium Degeneration	retinoid_visual_cycle_disruption#Progressive Photoreceptor and Retinal Pigment Epithelium Degeneration
0.934	ACTIONABLE	Metaphyseal_Chondrodysplasia_Schmid_Type	PERK-Mediated Disruption of Chondrocyte Differentiation	fgfr_gain_of_function_skeletal_dysplasia#Growth-Plate Chondrocyte Dysregulation	
0.933	ACTIONABLE	Left_Ventricular_Noncompaction	Arrhythmogenic myocardial substrate	cardiac_ion_channel_repolarization#Arrhythmogenic Substrate and Triggered Activity	
0.932	ACTIONABLE	BRCA_Mutant_Prostate_Cancer	BRCA Reversion-Mediated PARP Resistance	dna_repair_synthetic_lethality#Restored HRR and Acquired Resistance	
0.931	ACTIONABLE	SADDAN	Constitutive FGFR3 kinase activity	fgfr_gain_of_function_skeletal_dysplasia#Constitutive FGFR Activation	
0.931	ACTIONABLE	Opsismodysplasia	Impaired chondrocyte differentiation and endochondral ossification	fgfr_gain_of_function_skeletal_dysplasia#Growth-Plate Chondrocyte Dysregulation	
0.929	ACTIONABLE	Beta_Thalassemia	Chronic Hemolysis	hemolytic_anemia_erythrocyte_destruction#Premature Erythrocyte Destruction	
0.928	ALREADY_CONFORMS	Hypertensive_Heart_Disease	Cardiac Fibrosis	cardiomyopathy_maladaptive_remodeling#Ventricular Remodeling	cardiomyopathy_maladaptive_remodeling#Ventricular Remodeling
0.927	ACTIONABLE	Noonan_Syndrome	Growth Plate Chondrocyte Differentiation Defect	fgfr_gain_of_function_skeletal_dysplasia#Growth-Plate Chondrocyte Dysregulation	
0.923	ACTIONABLE	Fanconi_Anemia	Homologous Recombination Impairment	meiotic_prophase_failure#Homologous Recombination Repair of Meiotic DNA Breaks	
0.922	ACTIONABLE	EGFR_Mutant_NSCLC	Constitutive EGFR Signaling	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	
