# Seed table: GO biological_process term -> candidate pathograph node class.
# Top 640 GO BP terms by usage in kb/disorders + kb/modules, extended by target (see note 6 in pathograph_node_classes.txt).
# confidence HIGH = safe to auto-seed;  LOW = suggest only, curator decides.
# Classes: GENOMIC ACTIVITY SUBSTANCE PATHWAY CELLULAR TISSUE SYSTEMIC OUTCOME
go_id	n	class	confidence	label
GO:0006954	428	TISSUE	LOW	inflammatory response
GO:0008283	289	CELLULAR	HIGH	cell population proliferation
GO:0030198	220	TISSUE	HIGH	extracellular matrix organization
GO:0006915	189	CELLULAR	HIGH	apoptotic process
GO:0006979	158	CELLULAR	HIGH	response to oxidative stress
GO:0000165	106	PATHWAY	HIGH	MAPK cascade
GO:0007268	90	CELLULAR	HIGH	chemical synaptic transmission
GO:0006914	88	CELLULAR	HIGH	autophagy
GO:0006119	87	CELLULAR	HIGH	oxidative phosphorylation
GO:0051402	81	CELLULAR	HIGH	neuron apoptotic process
GO:0006357	70	GENOMIC	HIGH	regulation of transcription by RNA polymerase II
GO:0001525	67	TISSUE	HIGH	angiogenesis
GO:0043491	66	PATHWAY	HIGH	phosphatidylinositol 3-kinase/protein kinase B signal transduction
GO:0007596	64	SYSTEMIC	LOW	blood coagulation
GO:0001764	62	CELLULAR	HIGH	neuron migration
GO:0007179	60	PATHWAY	HIGH	transforming growth factor beta receptor signaling pathway
GO:0006457	58	ACTIVITY	HIGH	protein folding
GO:0042552	57	TISSUE	HIGH	myelination
GO:0007224	57	PATHWAY	HIGH	smoothened signaling pathway
GO:0006325	56	GENOMIC	HIGH	chromatin organization
GO:0030199	56	TISSUE	HIGH	collagen fibril organization
GO:0006955	56	SYSTEMIC	LOW	immune response
GO:0007399	52	TISSUE	LOW	nervous system development
GO:0061337	52	TISSUE	HIGH	cardiac conduction
GO:0006956	49	SYSTEMIC	HIGH	complement activation
GO:0042391	47	CELLULAR	HIGH	regulation of membrane potential
GO:0001958	47	TISSUE	HIGH	endochondral ossification
GO:0006974	46	GENOMIC	HIGH	DNA damage response
GO:0002250	46	SYSTEMIC	HIGH	adaptive immune response
GO:0006338	45	GENOMIC	HIGH	chromatin remodeling
GO:0001503	45	TISSUE	HIGH	ossification
GO:0007259	45	PATHWAY	HIGH	cell surface receptor signaling pathway via JAK-STAT
GO:0001666	45	CELLULAR	LOW	response to hypoxia
GO:0001649	45	CELLULAR	HIGH	osteoblast differentiation
GO:0060271	44	CELLULAR	HIGH	cilium assembly
GO:0016055	42	PATHWAY	HIGH	Wnt signaling pathway
GO:0002377	42	SYSTEMIC	HIGH	immunoglobulin production
GO:0031929	40	PATHWAY	HIGH	TOR signaling
GO:0016477	40	CELLULAR	HIGH	cell migration
GO:0021987	40	TISSUE	HIGH	cerebral cortex development
GO:0010468	39	GENOMIC	HIGH	regulation of gene expression
GO:0034976	38	CELLULAR	HIGH	response to endoplasmic reticulum stress
GO:0030282	38	TISSUE	HIGH	bone mineralization
GO:0007265	37	PATHWAY	HIGH	Ras protein signal transduction
GO:0006281	37	GENOMIC	HIGH	DNA repair
GO:0006412	37	ACTIVITY	HIGH	translation
GO:0022008	36	CELLULAR	LOW	neurogenesis
GO:0006487	36	ACTIVITY	LOW	protein N-linked glycosylation
GO:0001837	36	CELLULAR	HIGH	epithelial to mesenchymal transition
GO:0007005	36	CELLULAR	HIGH	mitochondrion organization
GO:0019221	35	PATHWAY	HIGH	cytokine-mediated signaling pathway
GO:0042775	35	CELLULAR	HIGH	mitochondrial ATP synthesis coupled electron transport
GO:0006096	34	SUBSTANCE	HIGH	glycolytic process
GO:0007214	33	PATHWAY	HIGH	gamma-aminobutyric acid signaling pathway
GO:0008543	33	PATHWAY	HIGH	fibroblast growth factor receptor signaling pathway
GO:0042110	33	CELLULAR	HIGH	T cell activation
GO:0002710	33	SYSTEMIC	LOW	negative regulation of T cell mediated immunity
GO:0070371	32	PATHWAY	HIGH	ERK1 and ERK2 cascade
GO:0045087	32	SYSTEMIC	HIGH	innate immune response
GO:0006635	32	SUBSTANCE	HIGH	fatty acid beta-oxidation
GO:0032964	31	SUBSTANCE	LOW	collagen biosynthetic process
GO:0016567	31	ACTIVITY	HIGH	protein ubiquitination
GO:0007249	31	PATHWAY	HIGH	canonical NF-kappaB signal transduction
GO:0030182	30	CELLULAR	HIGH	neuron differentiation
GO:0048167	29	CELLULAR	HIGH	regulation of synaptic plasticity
GO:0060337	29	PATHWAY	HIGH	type I interferon-mediated signaling pathway
GO:0001913	29	CELLULAR	HIGH	T cell mediated cytotoxicity
GO:0030154	29	CELLULAR	HIGH	cell differentiation
GO:0060070	28	PATHWAY	HIGH	canonical Wnt signaling pathway
GO:0001816	28	CELLULAR	HIGH	cytokine production
GO:0046849	28	TISSUE	HIGH	bone remodeling
GO:0051216	28	TISSUE	HIGH	cartilage development
GO:0007165	28	PATHWAY	HIGH	signal transduction
GO:0000050	27	SUBSTANCE	HIGH	urea cycle
GO:0030509	27	PATHWAY	HIGH	BMP signaling pathway
GO:0006508	27	ACTIVITY	HIGH	proteolysis
GO:0006355	27	GENOMIC	HIGH	regulation of DNA-templated transcription
GO:0046718	27	CELLULAR	HIGH	symbiont entry into host cell
GO:0019079	27	GENOMIC	LOW	viral genome replication
GO:0007219	27	PATHWAY	HIGH	Notch signaling pathway
GO:0001755	27	CELLULAR	HIGH	neural crest cell migration
GO:0006123	27	CELLULAR	HIGH	mitochondrial electron transport, cytochrome c to oxygen
GO:0050900	26	CELLULAR	HIGH	leukocyte migration
GO:0008380	26	GENOMIC	HIGH	RNA splicing
GO:0000075	26	CELLULAR	HIGH	cell cycle checkpoint signaling
GO:0033617	26	CELLULAR	HIGH	mitochondrial respiratory chain complex IV assembly
GO:0002062	25	CELLULAR	HIGH	chondrocyte differentiation
GO:0051607	25	SYSTEMIC	LOW	defense response to virus
GO:0007215	25	PATHWAY	HIGH	glutamate receptor signaling pathway
GO:0072593	25	SUBSTANCE	HIGH	reactive oxygen species metabolic process
GO:0001974	25	TISSUE	HIGH	blood vessel remodeling
GO:0040029	24	GENOMIC	HIGH	epigenetic regulation of gene expression
GO:0086001	24	CELLULAR	HIGH	cardiac muscle cell action potential
GO:0045494	24	CELLULAR	HIGH	photoreceptor cell maintenance
GO:0007041	24	CELLULAR	HIGH	lysosomal transport
GO:0045453	24	TISSUE	HIGH	bone resorption
GO:0150076	24	TISSUE	HIGH	neuroinflammatory response
GO:0071805	23	ACTIVITY	HIGH	potassium ion transmembrane transport
GO:0070841	23	CELLULAR	HIGH	inclusion body assembly
GO:0009410	23	CELLULAR	LOW	response to xenobiotic stimulus
GO:0007169	23	PATHWAY	HIGH	cell surface receptor protein tyrosine kinase signaling pathway
GO:0006629	23	SUBSTANCE	HIGH	lipid metabolic process
GO:0031424	23	TISSUE	HIGH	keratinization
GO:0045944	23	GENOMIC	HIGH	positive regulation of transcription by RNA polymerase II
GO:0007155	23	CELLULAR	HIGH	cell adhesion
GO:0001501	22	TISSUE	HIGH	skeletal system development
GO:0006468	22	ACTIVITY	HIGH	protein phosphorylation
GO:0055074	22	CELLULAR	LOW	calcium ion homeostasis
GO:0090398	22	CELLULAR	HIGH	cellular senescence
GO:0051932	22	CELLULAR	HIGH	synaptic transmission, GABAergic
GO:0030168	22	CELLULAR	HIGH	platelet activation
GO:0019882	22	CELLULAR	HIGH	antigen processing and presentation
GO:0030036	22	CELLULAR	HIGH	actin cytoskeleton organization
GO:0006909	22	CELLULAR	HIGH	phagocytosis
GO:0043161	22	ACTIVITY	HIGH	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0042113	22	CELLULAR	HIGH	B cell activation
GO:0003300	22	TISSUE	HIGH	cardiac muscle hypertrophy
GO:0042060	21	TISSUE	HIGH	wound healing
GO:0098609	21	CELLULAR	HIGH	cell-cell adhesion
GO:0070588	20	ACTIVITY	HIGH	calcium ion transmembrane transport
GO:0030968	20	CELLULAR	HIGH	endoplasmic reticulum unfolded protein response
GO:0006879	20	SUBSTANCE	LOW	intracellular iron ion homeostasis
GO:0042593	20	SYSTEMIC	HIGH	glucose homeostasis
GO:0045214	20	CELLULAR	HIGH	sarcomere organization
GO:0046677	20	CELLULAR	LOW	response to antibiotic
GO:0000398	20	GENOMIC	HIGH	mRNA splicing, via spliceosome
GO:0003009	19	TISSUE	HIGH	skeletal muscle contraction
GO:0009060	19	CELLULAR	HIGH	aerobic respiration
GO:0042116	19	CELLULAR	HIGH	macrophage activation
GO:0030216	19	CELLULAR	HIGH	keratinocyte differentiation
GO:0000724	19	GENOMIC	HIGH	double-strand break repair via homologous recombination
GO:0032611	19	CELLULAR	HIGH	interleukin-1 beta production
GO:0006099	19	SUBSTANCE	HIGH	tricarboxylic acid cycle
GO:0060363	19	TISSUE	HIGH	cranial suture morphogenesis
GO:0141156	18	PATHWAY	HIGH	cAMP/PKA signal transduction
GO:0022617	18	TISSUE	HIGH	extracellular matrix disassembly
GO:0019915	18	SUBSTANCE	HIGH	lipid storage
GO:0006783	18	SUBSTANCE	HIGH	heme biosynthetic process
GO:0005977	18	SUBSTANCE	HIGH	glycogen metabolic process
GO:0050808	18	CELLULAR	HIGH	synapse organization
GO:0001654	18	TISSUE	HIGH	eye development
GO:0006694	17	SUBSTANCE	HIGH	steroid biosynthetic process
GO:0034599	17	CELLULAR	HIGH	cellular response to oxidative stress
GO:0008219	17	CELLULAR	HIGH	cell death
GO:0007601	17	SYSTEMIC	LOW	visual perception
GO:0042073	17	CELLULAR	HIGH	intraciliary transport
GO:0000082	17	CELLULAR	HIGH	G1/S transition of mitotic cell cycle
GO:0007059	17	GENOMIC	HIGH	chromosome segregation
GO:0043114	17	TISSUE	HIGH	regulation of vascular permeability
GO:0000226	16	CELLULAR	HIGH	microtubule cytoskeleton organization
GO:0030183	16	CELLULAR	HIGH	B cell differentiation
GO:0030097	16	TISSUE	LOW	hemopoiesis
GO:0030593	16	CELLULAR	HIGH	neutrophil chemotaxis
GO:0006094	16	SUBSTANCE	HIGH	gluconeogenesis
GO:0007040	16	CELLULAR	HIGH	lysosome organization
GO:0061512	16	CELLULAR	HIGH	protein localization to cilium
GO:0006939	16	TISSUE	HIGH	smooth muscle contraction
GO:0009273	16	SUBSTANCE	HIGH	peptidoglycan-based cell wall biogenesis
GO:0006936	16	TISSUE	HIGH	muscle contraction
GO:0006898	16	CELLULAR	HIGH	receptor-mediated endocytosis
GO:0000723	16	GENOMIC	HIGH	telomere maintenance
GO:0032543	15	ACTIVITY	HIGH	mitochondrial translation
GO:0035249	15	CELLULAR	HIGH	synaptic transmission, glutamatergic
GO:0060021	15	TISSUE	HIGH	roof of mouth development
GO:0006958	15	SYSTEMIC	HIGH	complement activation, classical pathway
GO:0050804	15	CELLULAR	HIGH	modulation of chemical synaptic transmission
GO:0034101	15	SYSTEMIC	HIGH	erythrocyte homeostasis
GO:0030218	15	CELLULAR	HIGH	erythrocyte differentiation
GO:0030316	15	CELLULAR	HIGH	osteoclast differentiation
GO:0007507	15	TISSUE	HIGH	heart development
GO:0060048	15	TISSUE	HIGH	cardiac muscle contraction
GO:0050777	15	SYSTEMIC	LOW	negative regulation of immune response
GO:0009617	15	CELLULAR	LOW	response to bacterium
GO:0060348	15	TISSUE	HIGH	bone development
GO:0042310	15	TISSUE	HIGH	vasoconstriction
GO:0042476	15	TISSUE	HIGH	odontogenesis
GO:0009083	14	SUBSTANCE	HIGH	branched-chain amino acid catabolic process
GO:0006260	14	GENOMIC	HIGH	DNA replication
GO:0030324	14	TISSUE	HIGH	lung development
GO:0071456	14	CELLULAR	HIGH	cellular response to hypoxia
GO:0019228	14	CELLULAR	HIGH	neuronal action potential
GO:0002474	14	CELLULAR	HIGH	antigen processing and presentation of peptide antigen via MHC class I
GO:0006516	14	SUBSTANCE	HIGH	glycoprotein catabolic process
GO:0051726	14	CELLULAR	HIGH	regulation of cell cycle
GO:0061351	14	CELLULAR	HIGH	neural precursor cell proliferation
GO:0016192	14	CELLULAR	HIGH	vesicle-mediated transport
GO:0022010	14	TISSUE	HIGH	central nervous system myelination
GO:0001942	14	TISSUE	HIGH	hair follicle development
GO:0016079	14	CELLULAR	HIGH	synaptic vesicle exocytosis
GO:0048593	14	TISSUE	HIGH	camera-type eye morphogenesis
GO:0060047	14	TISSUE	HIGH	heart contraction
GO:0030520	13	PATHWAY	HIGH	estrogen receptor signaling pathway
GO:0030521	13	PATHWAY	HIGH	androgen receptor signaling pathway
GO:1990000	13	SUBSTANCE	HIGH	amyloid fibril formation
GO:0006488	13	SUBSTANCE	HIGH	dolichol-linked oligosaccharide biosynthetic process
GO:0030900	13	TISSUE	HIGH	forebrain development
GO:0001774	13	CELLULAR	HIGH	microglial cell activation
GO:0002224	13	PATHWAY	HIGH	toll-like receptor signaling pathway
GO:0006809	13	SUBSTANCE	HIGH	nitric oxide biosynthetic process
GO:0042416	13	SUBSTANCE	HIGH	dopamine biosynthetic process
GO:0016264	13	CELLULAR	HIGH	gap junction assembly
GO:0050673	13	CELLULAR	HIGH	epithelial cell proliferation
GO:0006816	13	ACTIVITY	LOW	calcium ion transport
GO:0007052	13	CELLULAR	HIGH	mitotic spindle organization
GO:0051701	13	CELLULAR	LOW	biological process involved in interaction with host
GO:0032274	12	SYSTEMIC	HIGH	gonadotropin secretion
GO:0006702	12	SUBSTANCE	HIGH	androgen biosynthetic process
GO:0000422	12	CELLULAR	HIGH	autophagy of mitochondrion
GO:0042119	12	CELLULAR	HIGH	neutrophil activation
GO:0014032	12	CELLULAR	LOW	neural crest cell development
GO:0006264	12	GENOMIC	HIGH	mitochondrial DNA replication
GO:0007269	12	CELLULAR	HIGH	neurotransmitter secretion
GO:0051276	12	GENOMIC	HIGH	chromosome organization
GO:0007010	12	CELLULAR	HIGH	cytoskeleton organization
GO:0042632	12	SUBSTANCE	HIGH	cholesterol homeostasis
GO:0048592	12	TISSUE	HIGH	eye morphogenesis
GO:0043066	12	CELLULAR	HIGH	negative regulation of apoptotic process
GO:0000122	12	GENOMIC	HIGH	negative regulation of transcription by RNA polymerase II
GO:0030326	12	TISSUE	HIGH	embryonic limb morphogenesis
GO:0034332	12	CELLULAR	HIGH	adherens junction organization
GO:0099504	12	CELLULAR	HIGH	synaptic vesicle cycle
GO:0030073	12	CELLULAR	HIGH	insulin secretion
GO:0035725	12	ACTIVITY	HIGH	sodium ion transmembrane transport
GO:0006027	12	SUBSTANCE	HIGH	glycosaminoglycan catabolic process
GO:0000266	11	CELLULAR	HIGH	mitochondrial fission
GO:0007281	11	CELLULAR	LOW	germ cell development
GO:0008584	11	TISSUE	HIGH	male gonad development
GO:0070102	11	PATHWAY	HIGH	interleukin-6-mediated signaling pathway
GO:0007160	11	CELLULAR	HIGH	cell-matrix adhesion
GO:0048709	11	CELLULAR	HIGH	oligodendrocyte differentiation
GO:0006749	11	SUBSTANCE	HIGH	glutathione metabolic process
GO:0016032	11	CELLULAR	LOW	viral process
GO:0070269	11	CELLULAR	HIGH	pyroptotic inflammatory response
GO:0006957	11	SYSTEMIC	HIGH	complement activation, alternative pathway
GO:0007411	11	CELLULAR	HIGH	axon guidance
GO:0035108	11	TISSUE	HIGH	limb morphogenesis
GO:0044546	11	CELLULAR	HIGH	NLRP3 inflammasome complex assembly
GO:0048701	11	TISSUE	HIGH	embryonic cranial skeleton morphogenesis
GO:0043312	11	CELLULAR	HIGH	neutrophil degranulation
GO:0030335	11	CELLULAR	HIGH	positive regulation of cell migration
GO:1902476	11	ACTIVITY	HIGH	chloride transmembrane transport
GO:0008544	11	TISSUE	HIGH	epidermis development
GO:0007049	11	CELLULAR	HIGH	cell cycle
GO:0006298	11	GENOMIC	HIGH	mismatch repair
GO:0044409	11	CELLULAR	LOW	symbiont entry into host
GO:0042127	11	CELLULAR	HIGH	regulation of cell population proliferation
GO:0007420	11	TISSUE	HIGH	brain development
GO:0048661	11	CELLULAR	HIGH	positive regulation of smooth muscle cell proliferation
GO:0006511	11	ACTIVITY	HIGH	ubiquitin-dependent protein catabolic process
GO:0038202	11	PATHWAY	HIGH	TORC1 signaling
GO:0007018	11	CELLULAR	HIGH	microtubule-based movement
GO:0006644	10	SUBSTANCE	HIGH	phospholipid metabolic process
GO:0006120	10	CELLULAR	HIGH	mitochondrial electron transport, NADH to ubiquinone
GO:0006304	10	GENOMIC	HIGH	DNA modification
GO:0060996	10	CELLULAR	HIGH	dendritic spine development
GO:0001822	10	TISSUE	HIGH	kidney development
GO:0045444	10	CELLULAR	HIGH	fat cell differentiation
GO:0009615	10	CELLULAR	LOW	response to virus
GO:0019827	10	CELLULAR	HIGH	stem cell population maintenance
GO:0002495	10	CELLULAR	HIGH	antigen processing and presentation of peptide antigen via MHC class II
GO:0006814	10	ACTIVITY	LOW	sodium ion transport
GO:0006813	10	ACTIVITY	LOW	potassium ion transport
GO:0006826	10	ACTIVITY	LOW	iron ion transport
GO:0072538	10	SYSTEMIC	HIGH	T-helper 17 type immune response
GO:0070254	10	CELLULAR	HIGH	mucus secretion
GO:0072331	10	PATHWAY	HIGH	signal transduction by p53 class mediator
GO:0008286	10	PATHWAY	HIGH	insulin receptor signaling pathway
GO:0055062	10	SYSTEMIC	LOW	phosphate ion homeostasis
GO:0042092	10	SYSTEMIC	HIGH	type 2 immune response
GO:0007015	10	CELLULAR	HIGH	actin filament organization
GO:0006959	10	SYSTEMIC	HIGH	humoral immune response
GO:0072539	10	CELLULAR	HIGH	T-helper 17 cell differentiation
GO:0031175	10	CELLULAR	HIGH	neuron projection development
GO:0006874	10	CELLULAR	HIGH	intracellular calcium ion homeostasis
GO:0098930	10	CELLULAR	HIGH	axonal transport
GO:0007416	10	CELLULAR	HIGH	synapse assembly
