maxo_id	action	ncit_id	ncit_label
MAXO:0000001	BLANK		
MAXO:0000002	REMAP	NCIT:C49236	Therapeutic Procedure
MAXO:0000003	REMAP	NCIT:C18020	Diagnostic Procedure
MAXO:0000004	REMAP	NCIT:C15329	Surgical Procedure
MAXO:0000005	REMAP	NCIT:C17369	Imaging Procedure
MAXO:0000006	REMAP	NCIT:C25294	Laboratory Procedure
MAXO:0000009	REMAP	NCIT:C67022	Nutritional Intervention
MAXO:0000010	REMAP	NCIT:C15184	Behavioral Intervention
MAXO:0000011	REMAP	NCIT:C15302	Physical Therapy
MAXO:0000014	REMAP	NCIT:C15313	Radiation Therapy
MAXO:0000015	REMAP	NCIT:C15187	Biological Therapy
MAXO:0000016	REMAP	NCIT:C70601	Cellular Therapy
MAXO:0000017	REMAP	NCIT:C15843	Preventive Intervention
MAXO:0000018	REMAP	NCIT:C63333	Biomarker Analysis
MAXO:0000021	REMAP	NCIT:C15292	Palliative Therapy
MAXO:0000049	REMAP	NCIT:C15184	Behavioral Intervention
MAXO:0000053	REMAP	NCIT:C15900	Lifestyle Therapy
MAXO:0000055	REMAP	NCIT:C15900	Lifestyle Therapy
MAXO:0000058	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0000061	REMAP	NCIT:C15620	Antibiotic Therapy
MAXO:0000065	REMAP	NCIT:C15302	Physical Therapy
MAXO:0000066	REMAP	NCIT:C94624	Oxygen Therapy
MAXO:0000068	REMAP	NCIT:C15342	Transplantation
MAXO:0000071	REMAP	NCIT:C15900	Lifestyle Therapy
MAXO:0000072	REMAP	NCIT:C19337	Diagnostic Ultrasound
MAXO:0000077	REMAP	NCIT:C181743	Behavioral Counseling
MAXO:0000079	REMAP	NCIT:C15240	Genetic Counseling
MAXO:0000081	REMAP	NCIT:C101244	Tobacco Cessation Counseling
MAXO:0000088	REMAP	NCIT:C15447	Dietary Intervention
MAXO:0000106	REMAP	NCIT:C15433	Nutritional Support
MAXO:0000109	REMAP	NCIT:C15433	Nutritional Support
MAXO:0000110	REMAP	NCIT:C15425	Nutritional Supplementation
MAXO:0000114	REMAP	NCIT:C29484	Total Parenteral Nutrition
MAXO:0000121	REMAP	NCIT:C15259	Passive Immunization
MAXO:0000124	REMAP	NCIT:C15419	Disease Screening
MAXO:0000125	REMAP	NCIT:C38036	Audiometric Test
MAXO:0000126	REMAP	NCIT:C15406	Cancer Screening
