postcomposition_id	descriptor_id	assertion_id	disorder_id	disorder_name	source_file	section	section_index	section_name	section_description	descriptor_path	descriptor_preferred_term	descriptor_term_id	descriptor_term_label	relation_type	relation_index	relation_path	predicate_preferred_term	predicate_term_id	predicate_term_label	value_preferred_term	value_term_id	value_term_label	value_literal	raw_json
12	62	56	3	Acute Promyelocytic Leukemia, PML-RARA	APL_PML_RARA.yaml	treatments	0	All-Trans Retinoic Acid (ATRA)	Pharmacological doses of ATRA (45 mg/m2/day) overcome PML-RARA-mediated transcriptional repression, inducing differentiation of leukemic promyelocytes into mature granulocytes. Must be started immediately upon clinical suspicion, even before molecular confirmation. Foundation of APL treatment.	treatment_term	pharmacotherapy	MAXO:0000058	pharmacotherapy	therapeutic_agent	0	treatment_term.therapeutic_agent[0]	therapeutic_agent			all-trans-retinoic acid	CHEBI:15367	all-trans-retinoic acid		"{""preferred_term"": ""all-trans-retinoic acid"", ""term"": {""id"": ""CHEBI:15367"", ""label"": ""all-trans-retinoic acid""}}"
13	64	57	3	Acute Promyelocytic Leukemia, PML-RARA	APL_PML_RARA.yaml	treatments	1	Arsenic Trioxide (ATO)	ATO induces degradation of PML-RARA fusion protein through SUMOylation and ubiquitination, restoring PML nuclear bodies and eliminating the leukemic clone. Synergizes with ATRA for curative therapy. Also induces apoptosis at higher concentrations.	treatment_term	pharmacotherapy	MAXO:0000058	pharmacotherapy	therapeutic_agent	0	treatment_term.therapeutic_agent[0]	therapeutic_agent			arsenic trioxide	CHEBI:30621	diarsenic trioxide		"{""preferred_term"": ""arsenic trioxide"", ""term"": {""id"": ""CHEBI:30621"", ""label"": ""diarsenic trioxide""}}"
15	195	186	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	0	Topical retinoids	"First-line treatment that normalizes follicular keratinization, reduces comedone formation, and has anti-inflammatory effects. Examples include tretinoin, adapalene, and tazarotene.
"	treatment_term	retinoid agent therapy	MAXO:0000237	retinoid agent therapy	qualifier	0	treatment_term.qualifiers[0]	therapeutic agent	NCIT:C2259	Therapeutic Agent	retinoid	NCIT:C68299	Retinoid		"{""predicate"": {""preferred_term"": ""therapeutic agent"", ""term"": {""id"": ""NCIT:C2259"", ""label"": ""Therapeutic Agent""}}, ""value"": {""preferred_term"": ""retinoid"", ""term"": {""id"": ""NCIT:C68299"", ""label"": ""Retinoid""}}}"
16	198	187	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	1	Trifarotene	"Topical retinoid selective for retinoic acid receptor gamma with evidence for reducing comedonal and inflammatory lesions, including truncal acne.
"	treatment_term	retinoid agent therapy	MAXO:0000237	retinoid agent therapy	qualifier	0	treatment_term.qualifiers[0]	therapeutic agent	NCIT:C2259	Therapeutic Agent	trifarotene	NCIT:C118577	Trifarotene		"{""predicate"": {""preferred_term"": ""therapeutic agent"", ""term"": {""id"": ""NCIT:C2259"", ""label"": ""Therapeutic Agent""}}, ""value"": {""preferred_term"": ""trifarotene"", ""term"": {""id"": ""NCIT:C118577"", ""label"": ""Trifarotene""}}}"
17	201	188	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	2	Benzoyl peroxide	"Antimicrobial agent that kills C. acnes through oxidative damage without promoting antibiotic resistance. Also has mild comedolytic activity.
"	treatment_term	antimicrobial agent therapy	MAXO:0001021	antimicrobial agent therapy	qualifier	0	treatment_term.qualifiers[0]	therapeutic agent	NCIT:C2259	Therapeutic Agent	benzoyl peroxide	NCIT:C47411	Benzoyl Peroxide		"{""predicate"": {""preferred_term"": ""therapeutic agent"", ""term"": {""id"": ""NCIT:C2259"", ""label"": ""Therapeutic Agent""}}, ""value"": {""preferred_term"": ""benzoyl peroxide"", ""term"": {""id"": ""NCIT:C47411"", ""label"": ""Benzoyl Peroxide""}}}"
18	204	189	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	3	Topical antibiotics	"Clindamycin and erythromycin reduce C. acnes populations and have anti-inflammatory effects. Should be combined with benzoyl peroxide to prevent resistance.
"	treatment_term	antibacterial agent therapy	MAXO:0000061	antibacterial agent therapy	qualifier	0	treatment_term.qualifiers[0]	therapeutic agent	NCIT:C2259	Therapeutic Agent	antibiotic	NCIT:C258	Antibiotic		"{""predicate"": {""preferred_term"": ""therapeutic agent"", ""term"": {""id"": ""NCIT:C2259"", ""label"": ""Therapeutic Agent""}}, ""value"": {""preferred_term"": ""antibiotic"", ""term"": {""id"": ""NCIT:C258"", ""label"": ""Antibiotic""}}}"
19	207	190	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	4	Clindamycin/adapalene/benzoyl peroxide gel	"Triple-combination topical therapy for moderate to severe acne, combining clindamycin phosphate, adapalene, and benzoyl peroxide for long-term use.
"	treatment_term	pharmacotherapy	MAXO:0000058	pharmacotherapy	qualifier	0	treatment_term.qualifiers[0]	therapeutic agent	NCIT:C2259	Therapeutic Agent	clindamycin phosphate	NCIT:C47978	Clindamycin Phosphate		"{""predicate"": {""preferred_term"": ""therapeutic agent"", ""term"": {""id"": ""NCIT:C2259"", ""label"": ""Therapeutic Agent""}}, ""value"": {""preferred_term"": ""clindamycin phosphate"", ""term"": {""id"": ""NCIT:C47978"", ""label"": ""Clindamycin Phosphate""}}}"
20	207	190	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	4	Clindamycin/adapalene/benzoyl peroxide gel	"Triple-combination topical therapy for moderate to severe acne, combining clindamycin phosphate, adapalene, and benzoyl peroxide for long-term use.
"	treatment_term	pharmacotherapy	MAXO:0000058	pharmacotherapy	qualifier	1	treatment_term.qualifiers[1]	therapeutic agent	NCIT:C2259	Therapeutic Agent	adapalene	NCIT:C28989	Adapalene		"{""predicate"": {""preferred_term"": ""therapeutic agent"", ""term"": {""id"": ""NCIT:C2259"", ""label"": ""Therapeutic Agent""}}, ""value"": {""preferred_term"": ""adapalene"", ""term"": {""id"": ""NCIT:C28989"", ""label"": ""Adapalene""}}}"
21	207	190	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	4	Clindamycin/adapalene/benzoyl peroxide gel	"Triple-combination topical therapy for moderate to severe acne, combining clindamycin phosphate, adapalene, and benzoyl peroxide for long-term use.
"	treatment_term	pharmacotherapy	MAXO:0000058	pharmacotherapy	qualifier	2	treatment_term.qualifiers[2]	therapeutic agent	NCIT:C2259	Therapeutic Agent	benzoyl peroxide	NCIT:C47411	Benzoyl Peroxide		"{""predicate"": {""preferred_term"": ""therapeutic agent"", ""term"": {""id"": ""NCIT:C2259"", ""label"": ""Therapeutic Agent""}}, ""value"": {""preferred_term"": ""benzoyl peroxide"", ""term"": {""id"": ""NCIT:C47411"", ""label"": ""Benzoyl Peroxide""}}}"
22	214	191	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	5	Oral antibiotics	"Tetracyclines (doxycycline, minocycline) are used for moderate-to-severe inflammatory acne. Have both antimicrobial and anti-inflammatory effects, but prolonged use contributes to antimicrobial resistance and requires stewardship.
"	treatment_term	antibacterial agent therapy	MAXO:0000061	antibacterial agent therapy	qualifier	0	treatment_term.qualifiers[0]	therapeutic agent	NCIT:C2259	Therapeutic Agent	tetracycline antibiotic	NCIT:C1595	Tetracycline Antibiotic		"{""predicate"": {""preferred_term"": ""therapeutic agent"", ""term"": {""id"": ""NCIT:C2259"", ""label"": ""Therapeutic Agent""}}, ""value"": {""preferred_term"": ""tetracycline antibiotic"", ""term"": {""id"": ""NCIT:C1595"", ""label"": ""Tetracycline Antibiotic""}}}"
