cluster,disease,gene_set,odds_ratio,ci_low,ci_high,p_value,p_adj_fdr,cluster_size,in_cluster_in_disease,in_cluster_not_disease,not_cluster_in_disease,not_cluster_not_disease,intersecting_genes,negative_control_disease
89,autoimmune disease,downstream_Stim8hr,3.0405225358384027,1.9691552104741554,4.65689611021601,2.970369035926655e-07,5.049627361075314e-06,100,41.0,59.0,591.0,2587.0,"['TMEM50A', 'ATP8B4', 'PHLDA1', 'TYMP', 'UBASH3B', 'TRAT1', 'P4HA2', 'GRAMD1B', 'CRIM1', 'DOT1L', 'IGSF9B', 'STAT1', 'GPR183', 'FYB1', 'SMAD3', 'GZMB', 'KLF3', 'AHI1', 'CSF2', 'ALPK1', 'ADGRG5', 'RASA3', 'GATA3', 'FUT8', 'EDARADD', 'ITPR1', 'CALHM6', 'SF3A3', 'PRPF40A', 'SEPTIN9', 'VEGFB', 'PTGIR', 'JARID2', 'ATP8B2', 'IFI30', 'NLRC5', 'IL7R', 'ADA2', 'CDK6', 'MYB', 'ORMDL3']",False
110,asthma,downstream_Stim8hr,20.424027847445146,5.526674839070344,82.34114433983439,2.9242644442248613e-06,4.971249555182264e-05,12,7.0,5.0,209.0,3057.0,"['ITK', 'EAF2', 'CHD7', 'ZBTB25', 'EGR2', 'NFKBIA', 'ADO']",False
78,Crohn's disease,downstream_Rest,4.650951748172822,2.408148197316022,8.466730884244956,7.218316163144861e-06,0.00012271137477346263,100,15.0,85.0,102.0,2691.0,"['PRKCB', 'PTPN22', 'PGAP3', 'MSRA', 'IKZF1', 'B3GNT2', 'BCL2L11', 'GPR18', 'LGALS9', 'NCOR2', 'RNASET2', 'CD244', 'TNFRSF14', 'SATB1', 'CYLD']",False
110,atopic eczema,downstream_Stim8hr,24.268941989334316,5.958756741545584,90.71572463344071,1.446682696579037e-05,0.00012296802920921815,12,5.0,7.0,93.0,3173.0,"['CHD7', 'ZBTB25', 'EGR2', 'NFKBIA', 'ADO']",False
110,psoriasis,downstream_Stim8hr,17.60136850807565,4.342953832678731,65.43376770157569,6.192757339680862e-05,0.00026319218693643664,12,5.0,7.0,127.0,3139.0,"['MAP3K8', 'CHD7', 'EGR2', 'NFKBIA', 'ADO']",False
110,Crohn's disease,downstream_Stim8hr,18.506592408706492,4.56325806105262,68.84999666404084,4.943496148298482e-05,0.00026319218693643664,12,5.0,7.0,121.0,3145.0,"['MAP3K8', 'EGR2', 'NFKBIA', 'IQCN', 'ADO']",False
79,Crohn's disease,regulators,58.173477172272825,8.162206347994369,654.6201584651884,1.9370076467566555e-05,0.0003292912999486314,6,4.0,2.0,61.0,1793.0,"['IRF4', 'BATF', 'STAT3', 'IPMK']",False
59,autoimmune disease,downstream_Stim8hr,2.5486606624519657,1.634008045017721,3.926905544261971,1.9859976846687572e-05,0.00033761960639368873,100,37.0,63.0,595.0,2583.0,"['RRAS2', 'IRF8', 'DUSP16', 'S1PR4', 'FAS', 'TIAM1', 'NPEPPS', 'MICOS10', 'DUSP5', 'BACH2', 'SPATS2L', 'REL', 'CTLA4', 'STING1', 'CXCR4', 'NCALD', 'IL10', 'CHD3', 'ANXA4', 'FAR1', 'ASXL1', 'FOSL2', 'GPR174', 'ACVR2A', 'CD47', 'MBNL1', 'GLS', 'DPP4', 'KIF7', 'RASGRP1', 'PDE4D', 'PRDM1', 'F5', 'IFI30', 'REXO2', 'CD28', 'NRN1']",False
85,atopic eczema,downstream_Stim8hr,4.8979139168821915,2.3488865700868407,9.430314439483261,3.073048811050706e-05,0.0005224182978786201,100,12.0,88.0,86.0,3092.0,"['AFF1', 'SOCS1', 'STAT6', 'TESPA1', 'LRRC32', 'IL2RA', 'MAP3K14', 'SLAMF1', 'TARS2', 'PLXNC1', 'AQP3', 'GATA3']",False
85,asthma,downstream_Stim8hr,3.301829550513217,1.8274193979800295,5.683848503300537,6.483644489516186e-05,0.0005511097816088759,100,18.0,82.0,198.0,2980.0,"['SMAD2', 'STAT6', 'SOCS1', 'TESPA1', 'LRRC32', 'IL2RA', 'SCRN2', 'ADAM19', 'NAMPT', 'RNF125', 'SLC39A8', 'CEP57', 'MAP3K14', 'PLXNC1', 'TNFRSF14', 'AKAP11', 'CYLD', 'GATA3']",False
88,Crohn's disease,downstream_Stim48hr,3.955971094541887,2.0603654976949217,7.14900061516419,3.8248336472500636e-05,0.0006502217200325108,100,15.0,85.0,124.0,2782.0,"['ACTN1', 'CD226', 'TNFSF11', 'LITAF', 'PSMG1', 'ATP2A2', 'CD6', 'MCL1', 'TRIM22', 'FADS2', 'DUSP5', 'IL2', 'SATB1', 'STAT3', 'APEH']",False
88,inflammatory bowel disease,downstream_Stim48hr,2.9916518972329347,1.7026040381976706,5.0424936962444455,0.00010253373511973353,0.000871536748517735,100,20.0,80.0,224.0,2682.0,"['CD6', 'DUSP5', 'SATB1', 'PSMG1', 'STAT3', 'TNFSF11', 'MYO3B', 'ACTN1', 'IL2', 'LITAF', 'APEH', 'RYBP', 'C12orf75', 'PSAT1', 'CDKN1A', 'CD226', 'FADS2', 'ATP2A2', 'MCL1', 'TRIM22']",False
78,inflammatory bowel disease,downstream_Rest,2.9079003697933135,1.6544483850750378,4.903029308571485,0.0001458804820521644,0.0012399840974433975,100,20.0,80.0,221.0,2572.0,"['PRKCB', 'PGAP3', 'MSRA', 'BCL2L11', 'GPR18', 'RNASET2', 'SATB1', 'CYLD', 'TSPAN18', 'B3GNT2', 'NCOR2', 'CTSW', 'RNF145', 'IKZF1', 'LGALS9', 'CD244', 'TNFRSF14', 'FAM13A', 'PTPN22', 'REXO2']",False
79,rheumatoid arthritis,downstream_Stim8hr,3.0477842816807383,1.7139528427117863,5.180773585867634,0.00011224523444640758,0.0018402815779978887,100,19.0,81.0,227.0,2951.0,"['SH2B3', 'IRF8', 'TNIP2', 'PDE4A', 'CIITA', 'FOXO1', 'CTLA4', 'SBF2', 'UBE2E3', 'STAT4', 'JADE2', 'P2RY10', 'LRBA', 'GPR174', 'TCF7', 'PDE7A', 'CD28', 'CD83', 'IFNG']",False
79,asthma,downstream_Stim8hr,3.0644729828272164,1.6709591596876696,5.331553067831301,0.00021650371505857515,0.0018402815779978887,100,17.0,83.0,199.0,2979.0,"['SH2B3', 'FOSL1', 'FOXO1', 'RYBP', 'IKBKE', 'STAT4', 'RNF125', 'SPSB1', 'TCF7', 'TET2', 'TNFAIP8', 'MYO1B', 'SESN1', 'CD28', 'ZC3H12D', 'STAT5A', 'CYLD']",False
54,autoimmune disease,downstream_Stim48hr,2.3196385274119375,1.4816280532792823,3.583525945021464,0.00011933095794830272,0.0020286262851211463,100,36.0,64.0,567.0,2339.0,"['PRKCB', 'CCDC6', 'DST', 'SLC44A2', 'BATF3', 'P4HA2', 'CPPED1', 'MGAT5', 'CADM1', 'DRAM1', 'SLC12A7', 'CTLA4', 'TSPAN3', 'ACTN1', 'RASA3', 'IL10', 'CD44', 'SAMHD1', 'ANXA3', 'CDYL2', 'IFITM2', 'IKZF1', 'FOSL2', 'SUCLG2', 'NFKBIZ', 'ELMO1', 'ADPRH', 'JAM2', 'SEPTIN9', 'KCNQ1', 'MBD2', 'ZC3H12C', 'MEAK7', 'ETS1', 'CD28', 'ELOVL4']",False
59,inflammatory bowel disease,downstream_Stim8hr,2.893395395630753,1.6048339721217686,4.967888273956992,0.00028248804242107616,0.0024011483605791474,100,18.0,82.0,224.0,2954.0,"['IL10', 'IRF8', 'DUSP16', 'ASXL1', 'FAS', 'RASGRP1', 'FOSL2', 'REL', 'PRDM1', 'F5', 'REXO2', 'NPEPPS', 'ACVR2A', 'CD28', 'DUSP5', 'BACH2', 'NCALD', 'SPATS2L']",False
89,rheumatoid arthritis,downstream_Stim48hr,2.8071041733876374,1.5780442176311016,4.773633406674685,0.00029460298455121273,0.0025041253686853083,100,19.0,81.0,224.0,2682.0,"['KIF21B', 'BCL2L11', 'NFKBIA', 'STAP1', 'SATB1', 'STAT1', 'SPEF2', 'DDX6', 'CSF2', 'RASA3', 'CYRIB', 'FUT8', 'ARSB', 'CDC42EP3', 'PSMB9', 'ARID5B', 'CCR2', 'JAK2', 'IL7R']",False
89,autoimmune disease,downstream_Stim48hr,2.2156999448245855,1.410450300174991,3.430571495844877,0.0002805989749485663,0.0025041253686853083,100,35.0,65.0,568.0,2338.0,"['LRRC32', 'ATP8B4', 'KIF21B', 'BCL2L11', 'NFKBIA', 'SATB1', 'STAP1', 'STAT1', 'ANXA2', 'GZMB', 'DDX6', 'SPEF2', 'CSF2', 'AGPAT4', 'CLEC2D', 'TP53INP1', 'RASA3', 'CXCR4', 'PHF12', 'CYRIB', 'FUT8', 'PSAT1', 'ARSB', 'CDC42EP3', 'SAT1', 'CALHM6', 'PSMB9', 'ARID5B', 'SYNE2', 'CCR2', 'MBNL1', 'JAK2', 'GADD45G', 'NLRC5', 'IL7R']",False
54,rheumatoid arthritis,downstream_Stim48hr,2.8071041733876374,1.5780442176311016,4.773633406674685,0.00029460298455121273,0.0025041253686853083,100,19.0,81.0,224.0,2682.0,"['PRKCB', 'CCDC6', 'CPPED1', 'CTLA4', 'TSPAN3', 'RASA3', 'IL10', 'ANXA3', 'SUCLG2', 'IKZF1', 'FOSL2', 'ELMO1', 'JAM2', 'SEPTIN9', 'ZC3H12C', 'MEAK7', 'ETS1', 'CD28', 'ELOVL4']",False
100,systemic lupus erythematosus,downstream_Stim8hr,3.740315479905186,1.862592560343676,6.974275828872,0.00018039700674627552,0.0025247850560383566,100,13.0,87.0,122.0,3056.0,"['TRAF1', 'IRF8', 'PTPN22', 'IL18RAP', 'REL', 'EGR2', 'ETS1', 'CSK', 'CD226', 'ADO', 'HIVEP3', 'BACH2', 'CD47']",False
100,autoimmune disease,downstream_Stim8hr,2.22189572669999,1.4100521987094288,3.446412930647298,0.0002970335360045125,0.0025247850560383566,100,34.0,66.0,598.0,2580.0,"['IRF8', 'RCC1', 'IL21R', 'GNB2', 'ADGRE5', 'APPL1', 'UFM1', 'ADO', 'BACH2', 'CRY1', 'VSIR', 'RNF19A', 'BCL6', 'REL', 'EGR2', 'CSF2', 'CSK', 'NR3C1', 'TRAF1', 'AGO2', 'SAMHD1', 'IL18RAP', 'HCFC1', 'GNG4', 'CD200', 'CD226', 'FYN', 'HIVEP3', 'CD47', 'PIM3', 'PTPN22', 'RCAN1', 'ETS1', 'ZEB2']",False
78,ulcerative colitis,downstream_Rest,3.3850046967993404,1.6839134498979798,6.319980876909374,0.0004492488570132748,0.002545743523075224,100,13.0,87.0,118.0,2675.0,"['TSPAN18', 'PRKCB', 'PTPN22', 'PGAP3', 'IKZF1', 'B3GNT2', 'BCL2L11', 'GPR18', 'REXO2', 'NCOR2', 'TNFRSF14', 'FAM13A', 'SATB1']",False
110,ankylosing spondylitis,downstream_Stim8hr,12.745236958940264,2.7706922045854387,48.352177272893364,0.0008353075533937379,0.002630943868761983,12,4.0,8.0,123.0,3143.0,"['MAP3K8', 'ADO', 'NFKBIA', 'EGR2']",False
110,inflammatory bowel disease,downstream_Stim8hr,9.11489807745721,2.2631641767886763,33.65127256021143,0.0010833298283137577,0.002630943868761983,12,5.0,7.0,237.0,3029.0,"['MAP3K8', 'EGR2', 'NFKBIA', 'IQCN', 'ADO']",False
110,ulcerative colitis,downstream_Stim8hr,12.329116367377365,2.6813236916922625,46.750491334109974,0.0009394696131422213,0.002630943868761983,12,4.0,8.0,127.0,3139.0,"['MAP3K8', 'ADO', 'NFKBIA', 'EGR2']",False
79,atopic eczema,regulators,38.062948655534896,4.968082254956049,291.7369274618531,0.00034566203883652845,0.0027377421887066853,6,3.0,3.0,47.0,1807.0,"['IRF4', 'BATF', 'STAT3']",False
79,inflammatory bowel disease,regulators,24.005572545633807,3.4073451659508094,267.5192448243167,0.0004831309744776504,0.0027377421887066853,6,4.0,2.0,142.0,1712.0,"['IRF4', 'BATF', 'STAT3', 'IPMK']",False
100,atopic eczema,downstream_Stim8hr,3.898532169880283,1.747982451189671,7.844852306353346,0.0006664092050106115,0.0028322391212950992,100,10.0,90.0,88.0,3090.0,"['AGO2', 'NAB2', 'TBC1D10C', 'IL18RAP', 'REL', 'EGR2', 'CSF2', 'ETS1', 'ADO', 'BACH2']",False
100,ulcerative colitis,downstream_Stim8hr,3.5030347170268046,1.6965179819202616,6.659592747811472,0.0005184323600080209,0.0028322391212950992,100,12.0,88.0,119.0,3059.0,"['PIM3', 'IRF8', 'PTPN22', 'VSIR', 'RNF19A', 'IL18RAP', 'REL', 'EGR2', 'ETS1', 'CD200', 'ADO', 'BACH2']",False
79,celiac disease,downstream_Stim8hr,5.23463135087713,1.9396101331581757,12.115280580929975,0.0008633460180050709,0.002935376461217241,100,7.0,93.0,45.0,3133.0,"['SH2B3', 'CIITA', 'STAT4', 'CTLA4', 'UBE2E3', 'CD28', 'AEBP2']",False
79,Hashimoto's thyroiditis,downstream_Stim8hr,4.203137997100115,1.7921608449714015,8.775492379480117,0.0007350120361195155,0.002935376461217241,100,9.0,91.0,73.0,3105.0,"['SH2B3', 'TRIB2', 'FOXO1', 'STAT4', 'TCF7', 'CTLA4', 'SESN1', 'GPR174', 'ADGRG5']",False
79,autoimmune disease,downstream_Stim8hr,2.1200334683348845,1.3400647739936418,3.2973209846306646,0.0006711616567956609,0.002935376461217241,100,33.0,67.0,599.0,2579.0,"['SH2B3', 'IRF8', 'TNIP2', 'PDE4A', 'CYLD', 'CIITA', 'FOXO1', 'CTLA4', 'SBF2', 'UBE2E3', 'STING1', 'ADGRG5', 'RYBP', 'STAT4', 'TNFAIP8', 'JADE2', 'P2RY10', 'LRBA', 'GPR174', 'TRIB2', 'IKBKE', 'CAMK4', 'PTGIR', 'TCF7', 'TET2', 'SESN1', 'PDE7A', 'CD28', 'CD83', 'IFNG', 'AEBP2', 'TYMP', 'PTP4A3']",False
83,Crohn's disease,downstream_Stim8hr,3.662512658831115,1.771749026217569,6.9729082060108905,0.00036134313357243515,0.003071416635365699,100,12.0,88.0,114.0,3064.0,"['ACTB', 'IRF8', 'PTPN22', 'TNFAIP3', 'IL21R', 'EGR2', 'FADS2', 'NDFIP1', 'IL7R', 'FEN1', 'DUSP5', 'STAT3']",False
83,inflammatory bowel disease,downstream_Stim8hr,2.893395395630753,1.6048339721217686,4.967888273956992,0.00028248804242107616,0.003071416635365699,100,18.0,82.0,224.0,2954.0,"['ACTB', 'IRF8', 'PTPN22', 'TNFAIP3', 'ZEB2', 'IL21R', 'ANK3', 'RNF19A', 'NR4A3', 'C12orf75', 'EGR2', 'FADS2', 'F5', 'NDFIP1', 'IL7R', 'FEN1', 'DUSP5', 'STAT3']",False
100,rheumatoid arthritis,downstream_Stim8hr,2.636467303744057,1.4409990378251671,4.573792709761712,0.0010018963334821535,0.0034064475338393217,100,17.0,83.0,229.0,2949.0,"['TRAF1', 'IRF8', 'FYN', 'PTPN22', 'IL21R', 'RNF19A', 'HCFC1', 'GNG4', 'REL', 'EGR2', 'CSF2', 'RCAN1', 'ETS1', 'CD226', 'NR3C1', 'ADO', 'BACH2']",False
94,atopic eczema,downstream_Stim48hr,4.563876736586396,2.028372292128352,9.292620057351908,0.00022505272478821818,0.003825896321399709,100,10.0,90.0,69.0,2837.0,"['IL4', 'IL3', 'IL2RA', 'LEF1', 'ZBTB1', 'CSF2', 'IL13', 'RAD50', 'STAT3', 'GATA3']",False
79,psoriasis,regulators,26.89847550376517,3.536026126831482,204.65801073536252,0.00090255575545435,0.0038358619606809873,6,3.0,3.0,66.0,1788.0,"['IRF4', 'STAT3', 'IPMK']",False
38,rheumatoid arthritis,downstream_Rest,2.9229352160098308,1.616953698696435,5.034413754898807,0.0002635841079778799,0.004480929835623959,100,18.0,82.0,195.0,2598.0,"['PTGER4', 'ATP5MG', 'IL21R', 'SELL', 'GSE1', 'LEF1', 'PIK3R1', 'CD6', 'ETS2', 'PREX1', 'IL12RB2', 'ETS1', 'PDE7A', 'CD28', 'FKBP5', 'TPP2', 'SATB1', 'IGSF9B']",False
