assertion_id	disorder_id	disorder_name	source_file	section	section_index	name	description	category	frequency	diagnostic	context	subtype	role	presence	association	accession	age_range	background	base_model	classification	clinical_significance	consequence	data_type	de_novo_rate	definition_type	duration	effect	expressivity	features	genotype	incubation_days	incubation_years	markers	maximum_value	mean_range	minimum_value	model_format	model_id	model_software	model_type	notes	parent_of_origin_effect	penetrance	percentage	phase	platform	population	publication	repository_url	results	review_notes	sample_count	scope	sequence_length	severity	species	specificity	status	subtype_frequency	title	type	unit	scalar_fields_json	complex_fields_json	raw_json
923	39	Bacterial meningitis	Bacterial_meningitis.yaml	epidemiology	0	Incidence, Developed Countries																												1		0.1																										cases per 100,000 population per year	"{""maximum_value"": 1, ""minimum_value"": 0.1, ""name"": ""Incidence, Developed Countries"", ""unit"": ""cases per 100,000 population per year""}"	{}	"{""evidence"": [{""explanation"": ""The incidence of invasive meningococcal disease in the Tel Aviv District falls within the range of 0.1 to 1 cases per 100,000 population per year mentioned in the statement, but it slightly exceeds the maximum value of 1 in some years."", ""reference"": ""PMID:31495596"", ""snippet"": ""In the Tel Aviv District, the incidence rates ranged from 0.4 to 1.4 cases per 100,000 population per year during 2007-2017."", ""supports"": ""PARTIAL""}, {""explanation"": ""The statement is partially supported as the incidence in developed countries is generally low but can exceed the maximum value of 1 case per 100,000 population per year in some regions."", ""reference"": ""PMID:26453240"", ""snippet"": ""Most countries had a yearly invasive NmB incidence of less than 2 per 100,000 people. Within these relatively low incidence rates (compared with common causes of invasive bacterial diseases), substantial variation was detected between countries, with a notably higher incidence in Australia, Europe, North America, and South America."", ""supports"": ""PARTIAL""}], ""maximum_value"": 1, ""minimum_value"": 0.1, ""name"": ""Incidence, Developed Countries"", ""unit"": ""cases per 100,000 population per year""}"
924	39	Bacterial meningitis	Bacterial_meningitis.yaml	epidemiology	1	Incidence, Developing Countries																												10		1					Higher incidence due to lower vaccination rates and crowded living conditions																					cases per 100,000 population per year	"{""maximum_value"": 10, ""minimum_value"": 1, ""name"": ""Incidence, Developing Countries"", ""notes"": ""Higher incidence due to lower vaccination rates and crowded living conditions"", ""unit"": ""cases per 100,000 population per year""}"	{}	"{""evidence"": [{""explanation"": ""The incidence rate of bacterial meningitis in the Nottingham District Health Authority area is higher than the stated range of 1 to 10 cases per 100,000 population per year. However, this reference does not specifically address developing countries."", ""reference"": ""PMID:8333768"", ""snippet"": ""This 10 year retrospective study of all causes of bacterial meningitis for children resident in Nottingham District Health Authority area reports an annual incidence rate per 100,000 children aged 0-16 years of 16.0 (95% confidence interval 14.0 to 18.1)."", ""supports"": ""PARTIAL""}, {""explanation"": ""The incidence rate of Hib meningitis in Pacific island countries is significantly higher than the stated range of 1 to 10 cases per 100,000 population per year. This suggests that bacterial meningitis can have a higher incidence in certain developing regions, though it does not provide a comprehensive view across all developing countries."", ""reference"": ""PMID:18181445"", ""snippet"": ""The Hib meningitis annual incidence in three PICs was 70 to 84 per 100,000 children under five years."", ""supports"": ""PARTIAL""}, {""explanation"": ""The average annual incidences for different bacterial causes of meningitis in the African meningitis belt fall within the stated range of 1 to 10 cases per 100,000 population per year, supporting the statement partially."", ""reference"": ""PMID:31671441"", ""snippet"": ""Average annual incidences for N. meningitidis, S. pneumoniae, and H. influenzae, respectively, were 7.5, 2.5, and 0.3."", ""supports"": ""PARTIAL""}], ""maximum_value"": 10, ""minimum_value"": 1, ""name"": ""Incidence, Developing Countries"", ""notes"": ""Higher incidence due to lower vaccination rates and crowded living conditions"", ""unit"": ""cases per 100,000 population per year""}"
925	39	Bacterial meningitis	Bacterial_meningitis.yaml	epidemiology	2	Case Fatality Rate, Treated																												15		10																										percentage	"{""maximum_value"": 15, ""minimum_value"": 10, ""name"": ""Case Fatality Rate, Treated"", ""unit"": ""percentage""}"	{}	"{""evidence"": [{""explanation"": ""The study focuses on Listeria monocytogenes infections and does not provide specific information on the overall case fatality rate for bacterial meningitis."", ""reference"": ""PMID:27345176"", ""snippet"": ""Invasive Listeria monocytogenes infections carry a high mortality despite antibiotic treatment."", ""supports"": ""NO_EVIDENCE""}, {""explanation"": ""The study mentions a case fatality rate of 15-20% in adults, which does not directly support the statement that the treated case fatality rate is between 10% and 15%."", ""reference"": ""PMID:24568594"", ""snippet"": ""INTRODUCTION: Bacterial meningitis is a serious disease with a mortality rate of 15-20% in adults."", ""supports"": ""NO_EVIDENCE""}, {""explanation"": ""The study provides a case fatality rate of 32% for neonatal meningitis, which is not within the range specified in the statement."", ""reference"": ""PMID:34343128"", ""snippet"": ""The crude CFR of neonatal meningitis was 32%."", ""supports"": ""NO_EVIDENCE""}], ""maximum_value"": 15, ""minimum_value"": 10, ""name"": ""Case Fatality Rate, Treated"", ""unit"": ""percentage""}"
926	39	Bacterial meningitis	Bacterial_meningitis.yaml	epidemiology	3	Case Fatality Rate, Untreated																												100		70																										percentage	"{""maximum_value"": 100, ""minimum_value"": 70, ""name"": ""Case Fatality Rate, Untreated"", ""unit"": ""percentage""}"	{}	"{""evidence"": [{""explanation"": ""This study provides data on treated cases of bacterial meningitis, not untreated cases."", ""reference"": ""PMID:36190396"", ""snippet"": ""The observed mortality was 33% (38/114 patients)."", ""supports"": ""NO_EVIDENCE""}, {""explanation"": ""This study provides data on treated cases of bacterial meningitis, not untreated cases."", ""reference"": ""PMID:24568594"", ""snippet"": ""Bacterial meningitis is a serious disease with a mortality rate of 15-20% in adults."", ""supports"": ""NO_EVIDENCE""}, {""explanation"": ""This study provides data on treated cases of bacterial meningitis, not untreated cases."", ""reference"": ""PMID:27345176"", ""snippet"": ""Invasive Listeria monocytogenes infections carry a high mortality despite antibiotic treatment."", ""supports"": ""NO_EVIDENCE""}, {""explanation"": ""This study provides data on treated cases of bacterial meningitis, not untreated cases."", ""reference"": ""PMID:25442861"", ""snippet"": ""A total of 175 children with confirmed bacterial meningitis were enrolled."", ""supports"": ""NO_EVIDENCE""}, {""explanation"": ""This study provides data on treated cases of bacterial meningitis, not untreated cases."", ""reference"": ""PMID:18254060"", ""snippet"": ""Acute bacterial meningitis remains a disease with high mortality and morbidity rates."", ""supports"": ""NO_EVIDENCE""}, {""explanation"": ""This study provides data on treated cases of bacterial meningitis, not untreated cases."", ""reference"": ""PMID:34343128"", ""snippet"": ""The crude CFR of neonatal meningitis was 32%."", ""supports"": ""NO_EVIDENCE""}, {""explanation"": ""This study provides data on treated cases of bacterial meningitis, not untreated cases."", ""reference"": ""PMID:20485712"", ""snippet"": ""Meningococcal disease remains a significant illness with an overall mortality of around 8%."", ""supports"": ""NO_EVIDENCE""}, {""explanation"": ""This study provides data on treated cases of bacterial meningitis, not untreated cases."", ""reference"": ""PMID:20453662"", ""snippet"": ""BM in cirrhotic patients is associated with a high mortality rate."", ""supports"": ""NO_EVIDENCE""}, {""explanation"": ""This study provides data on treated cases of bacterial meningitis, not untreated cases."", ""reference"": ""PMID:22029523"", ""snippet"": ""Despite targeted therapy, case-fatality rates and neurologic sequelae of bacterial meningitis remain unacceptably high."", ""supports"": ""NO_EVIDENCE""}], ""maximum_value"": 100, ""minimum_value"": 70, ""name"": ""Case Fatality Rate, Untreated"", ""unit"": ""percentage""}"
1138	47	Bird Fancier's Lung	Bird_Fanciers_Lung.yaml	epidemiology	0	High prevalence among pigeon fanciers	Pigeon fanciers have a high prevalence of bird fancier's lung in regional cohort studies.																																																								"{""description"": ""Pigeon fanciers have a high prevalence of bird fancier's lung in regional cohort studies."", ""name"": ""High prevalence among pigeon fanciers""}"	{}	"{""description"": ""Pigeon fanciers have a high prevalence of bird fancier's lung in regional cohort studies."", ""evidence"": [{""evidence_source"": ""HUMAN_CLINICAL"", ""explanation"": ""The study documents a high prevalence among exposed pigeon fanciers."", ""reference"": ""PMID:1053441"", ""snippet"": ""Among fifty-three Salt Lake City, Utah area pigeon fanciers, 21% were found to have the clinical picture of pigeon breeders' disease."", ""supports"": ""SUPPORT""}], ""name"": ""High prevalence among pigeon fanciers""}"
1139	47	Bird Fancier's Lung	Bird_Fanciers_Lung.yaml	epidemiology	1	Common form of hypersensitivity pneumonitis	Bird fancier's lung is a common form of hypersensitivity pneumonitis among exposed populations.																																																								"{""description"": ""Bird fancier's lung is a common form of hypersensitivity pneumonitis among exposed populations."", ""name"": ""Common form of hypersensitivity pneumonitis""}"	{}	"{""description"": ""Bird fancier's lung is a common form of hypersensitivity pneumonitis among exposed populations."", ""evidence"": [{""evidence_source"": ""HUMAN_CLINICAL"", ""explanation"": ""The review describes BFL as a very common form of HP."", ""reference"": ""PMID:21870048"", ""snippet"": ""Bird fancier's lung (BFL) resulting from avian antigen exposure is a very common form of hypersensitivity pneumonitis."", ""supports"": ""SUPPORT""}], ""name"": ""Common form of hypersensitivity pneumonitis""}"
1402	61	Cholera	Cholera.yaml	epidemiology	0	Basic Reproduction Number (R0)	The average number of secondary infections caused by one infected individual in a completely susceptible population.																											20		1					Highly variable depending on environmental and population factors. Higher in areas with poor sanitation and during initial outbreak phases.																						"{""description"": ""The average number of secondary infections caused by one infected individual in a completely susceptible population."", ""maximum_value"": 20, ""minimum_value"": 1, ""name"": ""Basic Reproduction Number (R0)"", ""notes"": ""Highly variable depending on environmental and population factors. Higher in areas with poor sanitation and during initial outbreak phases.""}"	"{""factors"": [""Population density"", ""Sanitation conditions"", ""Water quality"", ""Hygiene practices""]}"	"{""description"": ""The average number of secondary infections caused by one infected individual in a completely susceptible population."", ""evidence"": [{""explanation"": ""The abstract discusses the use of R0 in understanding disease spread but does not detail specific values or factors affecting R0 for cholera."", ""reference"": ""PMID:21860658"", ""snippet"": ""R(0) has been widely used as a measure of disease strength to estimate the effectiveness of control measures and to form the backbone of disease-management policy."", ""supports"": ""NO_EVIDENCE""}, {""explanation"": ""The abstract provides an overview of cholera's epidemiology but does not mention specific R0 values or the factors affecting R0."", ""reference"": ""PMID:22937199"", ""snippet"": ""The two most distinguishing epidemiologic features of the disease are its tendency to appear in explosive outbreaks and its predisposition to causing pandemics."", ""supports"": ""NO_EVIDENCE""}, {""explanation"": ""The abstract discusses the calculation of the basic reproduction number (R0) for a cholera model but does not mention specific values or the exact factors listed."", ""reference"": ""PMID:36654005"", ""snippet"": ""the basic reproduction number is calculated. When the basic reproduction number is less than one, the disease-free equilibrium is locally stable."", ""supports"": ""PARTIAL""}, {""explanation"": ""The abstract provides an estimated R0 value for cholera in Peru, mentioning spatial variability and correlation with geographic factors but not detailing all the factors listed in the statement."", ""reference"": ""PMID:32663235"", ""snippet"": ""The overall R0 across departments was estimated at 2.1 (95% CI: 0.8, 7.3)"", ""supports"": ""PARTIAL""}, {""explanation"": ""The abstract discusses the R0 for COVID-19, not cholera."", ""reference"": ""PMID:32678037"", ""snippet"": ""RESULTS: We estimated the exponential growth rate as 0.22 per day (95% CI: 0.20-0.24), and the basic reproduction number, R0, as 2.37 (95% CI: 2.22-2.51) based on the assumption that the exponential growth starting from 1 March 2020"", ""supports"": ""NO_EVIDENCE""}, {""explanation"": ""The abstract discusses the effect of rainfall on cholera incidence but does not provide specific R0 values or detail the factors affecting R0."", ""reference"": ""PMID:18091420"", ""snippet"": ""The incidence of cholera in Bangladesh shows clear seasonality, suggesting that weather factors could play a role in its epidemiology."", ""supports"": ""NO_EVIDENCE""}], ""factors"": [""Population density"", ""Sanitation conditions"", ""Water quality"", ""Hygiene practices""], ""maximum_value"": 20, ""minimum_value"": 1, ""name"": ""Basic Reproduction Number (R0)"", ""notes"": ""Highly variable depending on environmental and population factors. Higher in areas with poor sanitation and during initial outbreak phases.""}"
1403	61	Cholera	Cholera.yaml	epidemiology	1	Effective Reproduction Number (R or Rt)	The average number of secondary cases per infectious case in a population made up of both susceptible and non-susceptible individuals.																											8		0.5					Changes over time as control measures are implemented and population immunity increases. Rt < 1 indicates declining epidemic.																						"{""description"": ""The average number of secondary cases per infectious case in a population made up of both susceptible and non-susceptible individuals."", ""maximum_value"": 8, ""minimum_value"": 0.5, ""name"": ""Effective Reproduction Number (R or Rt)"", ""notes"": ""Changes over time as control measures are implemented and population immunity increases. Rt < 1 indicates declining epidemic.""}"	"{""factors"": [""Proportion of susceptible individuals"", ""Control measures (e.g., improved sanitation, vaccination)"", ""Changes in behavior (e.g., increased hygiene practices)""]}"	"{""description"": ""The average number of secondary cases per infectious case in a population made up of both susceptible and non-susceptible individuals."", ""evidence"": [{""explanation"": ""The provided literature discusses cholera outbreaks and prevention but does not provide specific information on the effective reproduction number (R or Rt) for cholera."", ""reference"": ""PMID:34550374"", ""snippet"": ""Cholera outbreaks currently account for 1.3 to 4.0 million cases and cause between 21 000 and 143 000 deaths worldwide. Cholera is preventable by proper sanitization and immunization; however, in many developing nations such as India, cholera disease is endemic."", ""supports"": ""NO_EVIDENCE""}, {""explanation"": ""While the literature defines the basic reproduction number for cholera, it does not provide specific values for the effective reproduction number (R or Rt) or discuss the factors affecting it."", ""reference"": ""PMID:24245619"", ""snippet"": ""A new model for the dynamics of cholera is formulated that incorporates both the infection age of infectious individuals and biological age of pathogen in the environment. The basic reproduction number is defined and proved to be a sharp threshold determining whether or not cholera dies out."", ""supports"": ""NO_EVIDENCE""}], ""factors"": [""Proportion of susceptible individuals"", ""Control measures (e.g., improved sanitation, vaccination)"", ""Changes in behavior (e.g., increased hygiene practices)""], ""maximum_value"": 8, ""minimum_value"": 0.5, ""name"": ""Effective Reproduction Number (R or Rt)"", ""notes"": ""Changes over time as control measures are implemented and population immunity increases. Rt < 1 indicates declining epidemic.""}"
1404	61	Cholera	Cholera.yaml	epidemiology	2	Serial Interval	The time between the onset of symptoms in a primary case and the onset of symptoms in secondary cases.																											10	3-5	1					Important for estimating R and modeling the speed of epidemic spread.																					days	"{""description"": ""The time between the onset of symptoms in a primary case and the onset of symptoms in secondary cases."", ""maximum_value"": 10, ""mean_range"": ""3-5"", ""minimum_value"": 1, ""name"": ""Serial Interval"", ""notes"": ""Important for estimating R and modeling the speed of epidemic spread."", ""unit"": ""days""}"	{}	"{""description"": ""The time between the onset of symptoms in a primary case and the onset of symptoms in secondary cases."", ""evidence"": [{""explanation"": ""The reference discusses the change in reported cholera cases following a natural disaster, but does not provide information about the serial interval of cholera."", ""reference"": ""PMID:30594260"", ""snippet"": ""To evaluate the change in reported cholera cases following Hurricane Matthew on reported cholera cases, we used interrupted time series regression models of daily reported cholera cases, controlling for the impact of both rainfall, following a 4-week lag, and seasonality, from 2013 through 2016."", ""supports"": ""NO_EVIDENCE""}, {""explanation"": ""Although the reference discusses cholera transmission models, it does not provide data on the serial interval of cholera."", ""reference"": ""PMID:36654005"", ""snippet"": ""In this paper, we consider an age-structured cholera model with saturation incidence, vaccination age of vaccinated individuals, infection age of infected individuals, and biological age of pathogens."", ""supports"": ""NO_EVIDENCE""}, {""explanation"": ""This reference addresses the impact of incubation periods on the spread and predictability of outbreaks, but does not detail the serial interval for cholera."", ""reference"": ""PMID:32054785"", ""snippet"": ""We develop a simulation model of the spatial spread of an epidemic in order to examine the impact of a pathogen's incubation period on the dynamics of spread and the predictability of outbreaks."", ""supports"": ""NO_EVIDENCE""}, {""explanation"": ""The study provides data on influenza epidemiology, not cholera, and does not mention serial interval."", ""reference"": ""PMID:30114215"", ""snippet"": ""We use approximate Bayesian computation to estimate parameters in a climate-driven stochastic epidemic model, including the basic reproduction number R0."", ""supports"": ""NO_EVIDENCE""}, {""explanation"": ""Although this refers to cholera research, it does not provide specific information about the serial interval of cholera."", ""reference"": ""PMID:21415490"", ""snippet"": ""The enormity of human sufferings led clinicians and scientists to carry out extensive research on cholera and Vibrio cholerae (the causative bacterium of the disease), leading to major discoveries."", ""supports"": ""NO_EVIDENCE""}, {""explanation"": ""This reference discusses real-time disease modeling with a focus on HIV/AIDS and COVID-19, not cholera."", ""reference"": ""PMID:34995131"", ""snippet"": ""We review methods, applications, challenges and opportunities for real-time infectious disease modeling during public health emergencies, with examples drawn from the two deadliest pandemics in recent history: HIV/AIDS and coronavirus disease 2019 (COVID-19)."", ""supports"": ""NO_EVIDENCE""}], ""maximum_value"": 10, ""mean_range"": ""3-5"", ""minimum_value"": 1, ""name"": ""Serial Interval"", ""notes"": ""Important for estimating R and modeling the speed of epidemic spread."", ""unit"": ""days""}"
1405	61	Cholera	Cholera.yaml	epidemiology	3	Generation Time	The time between the infection of a primary case and the infection of secondary cases.																											9	2-4	1					Often shorter than the serial interval due to potential pre-symptomatic transmission.																					days	"{""description"": ""The time between the infection of a primary case and the infection of secondary cases."", ""maximum_value"": 9, ""mean_range"": ""2-4"", ""minimum_value"": 1, ""name"": ""Generation Time"", ""notes"": ""Often shorter than the serial interval due to potential pre-symptomatic transmission."", ""unit"": ""days""}"	{}	"{""description"": ""The time between the infection of a primary case and the infection of secondary cases."", ""evidence"": [{""explanation"": ""The literature provides information about the generation time and incubation period of measles, not cholera."", ""reference"": ""PMID:21704640"", ""snippet"": ""We have quantified a joint distribution of generation time and incubation period by a novel estimation method for household data with two susceptible individuals, consisting of time intervals between disease onsets of two measles cases."", ""supports"": ""NO_EVIDENCE""}], ""maximum_value"": 9, ""mean_range"": ""2-4"", ""minimum_value"": 1, ""name"": ""Generation Time"", ""notes"": ""Often shorter than the serial interval due to potential pre-symptomatic transmission."", ""unit"": ""days""}"
