descriptor_id	assertion_id	disorder_id	disorder_name	source_file	section	section_index	section_name	section_description	path	root_field	parent_path	parent_name	parent_description	preferred_term	term_id	term_label	description	raw_json	postcomp_located_in	postcomp_located_in_ids	postcomp_modifier	postcomp_therapeutic_agent	postcomp_therapeutic_agent_ids	qualifier_clinical_course	qualifier_clinical_course_ids	qualifier_clinical_course_predicate_ids	qualifier_has_participant	qualifier_has_participant_ids	qualifier_has_participant_predicate_ids	qualifier_immunologic_factor	qualifier_immunologic_factor_ids	qualifier_immunologic_factor_predicate_ids	qualifier_monoclonal_antibody_predicate_ids	qualifier_route_of_administration	qualifier_route_of_administration_ids	qualifier_route_of_administration_predicate_ids	qualifier_surgical_procedure	qualifier_surgical_procedure_ids	qualifier_surgical_procedure_predicate_ids	qualifier_therapeutic_agent	qualifier_therapeutic_agent_ids	qualifier_therapeutic_agent_predicate_ids	qualifier_therapeutic_procedure	qualifier_therapeutic_procedure_ids	qualifier_therapeutic_procedure_predicate_ids
171	159	8	Acne Vulgaris	Acne_Vulgaris.yaml	differential_diagnoses	0	PAPASH syndrome	"Autoinflammatory syndrome combining acne with pyoderma gangrenosum, hidradenitis suppurativa, and inflammatory arthritis.
"	disease_term	disease_term	$	PAPASH syndrome	"Autoinflammatory syndrome combining acne with pyoderma gangrenosum, hidradenitis suppurativa, and inflammatory arthritis.
"	PAPASH syndrome	MONDO:0958343	PAPASH syndrome		"{""preferred_term"": ""PAPASH syndrome"", ""term"": {""id"": ""MONDO:0958343"", ""label"": ""PAPASH syndrome""}}"																											
172	160	8	Acne Vulgaris	Acne_Vulgaris.yaml	differential_diagnoses	1	Rosacea	"Chronic inflammatory facial dermatosis with papules and pustules but no comedones. Central facial erythema, flushing, and telangiectasias can mimic inflammatory acne on the face.
"	disease_term	disease_term	$	Rosacea	"Chronic inflammatory facial dermatosis with papules and pustules but no comedones. Central facial erythema, flushing, and telangiectasias can mimic inflammatory acne on the face.
"	rosacea	MONDO:0006604	rosacea		"{""preferred_term"": ""rosacea"", ""term"": {""id"": ""MONDO:0006604"", ""label"": ""rosacea""}}"																											
173	161	8	Acne Vulgaris	Acne_Vulgaris.yaml	differential_diagnoses	2	Bacterial folliculitis	"Infection or inflammation of hair follicles producing papules and pustules on hair-bearing skin, often the trunk or extremities, that can resemble acne lesions but lacks comedones and is frequently pruritic.
"	disease_term	disease_term	$	Bacterial folliculitis	"Infection or inflammation of hair follicles producing papules and pustules on hair-bearing skin, often the trunk or extremities, that can resemble acne lesions but lacks comedones and is frequently pruritic.
"	folliculitis	MONDO:0006552	folliculitis		"{""preferred_term"": ""folliculitis"", ""term"": {""id"": ""MONDO:0006552"", ""label"": ""folliculitis""}}"																											
400	363	14	Ainhum	Ainhum.yaml	differential_diagnoses	1	Vohwinkel syndrome	Hereditary keratoderma with ainhumoid constriction bands that can mimic true ainhum.	disease_term	disease_term	$	Vohwinkel syndrome	Hereditary keratoderma with ainhumoid constriction bands that can mimic true ainhum.	Vohwinkel syndrome	MONDO:0007422	keratoderma hereditarium mutilans		"{""preferred_term"": ""Vohwinkel syndrome"", ""term"": {""id"": ""MONDO:0007422"", ""label"": ""keratoderma hereditarium mutilans""}}"																											
401	364	14	Ainhum	Ainhum.yaml	differential_diagnoses	2	Olmsted syndrome	Mutilating palmoplantar keratoderma with ainhum and digital autoamputation.	disease_term	disease_term	$	Olmsted syndrome	Mutilating palmoplantar keratoderma with ainhum and digital autoamputation.	Olmsted syndrome	MONDO:0031421	Olmsted syndrome		"{""preferred_term"": ""Olmsted syndrome"", ""term"": {""id"": ""MONDO:0031421"", ""label"": ""Olmsted syndrome""}}"																											
402	365	14	Ainhum	Ainhum.yaml	differential_diagnoses	3	Critical limb ischemia	Critical limb ischemia can cause spontaneous sub-amputation and may mimic advanced ainhum.	disease_term	disease_term	$	Critical limb ischemia	Critical limb ischemia can cause spontaneous sub-amputation and may mimic advanced ainhum.	limb ischemia	MONDO:0000491	limb ischemia		"{""preferred_term"": ""limb ischemia"", ""term"": {""id"": ""MONDO:0000491"", ""label"": ""limb ischemia""}}"																											
412	377	15	Akinetopsia	Akinetopsia.yaml	differential_diagnoses	0	Parkinson's disease	Parkinson's disease can present with visual illusions including akinetopsia, and should be considered when evaluating motion blindness.	disease_term	disease_term	$	Parkinson's disease	Parkinson's disease can present with visual illusions including akinetopsia, and should be considered when evaluating motion blindness.	Parkinson disease	MONDO:0005180	Parkinson disease		"{""preferred_term"": ""Parkinson disease"", ""term"": {""id"": ""MONDO:0005180"", ""label"": ""Parkinson disease""}}"																											
413	378	15	Akinetopsia	Akinetopsia.yaml	differential_diagnoses	1	Posterior cortical atrophy	Posterior cortical atrophy (visual-variant Alzheimer's disease) can present with higher visual processing deficits including akinetopsia.	disease_term	disease_term	$	Posterior cortical atrophy	Posterior cortical atrophy (visual-variant Alzheimer's disease) can present with higher visual processing deficits including akinetopsia.	posterior cortical atrophy	MONDO:0018899	posterior cortical atrophy		"{""preferred_term"": ""posterior cortical atrophy"", ""term"": {""id"": ""MONDO:0018899"", ""label"": ""posterior cortical atrophy""}}"																											
414	379	15	Akinetopsia	Akinetopsia.yaml	differential_diagnoses	2	Occipital or occipito-parietal infarction (stroke)	Occipital or occipito-parietal infarction can present with visual disorders including akinetopsia and should be considered in the differential.	disease_term	disease_term	$	Occipital or occipito-parietal infarction (stroke)	Occipital or occipito-parietal infarction can present with visual disorders including akinetopsia and should be considered in the differential.	stroke disorder	MONDO:0005098	stroke disorder		"{""preferred_term"": ""stroke disorder"", ""term"": {""id"": ""MONDO:0005098"", ""label"": ""stroke disorder""}}"																											
531	456	19	Alpha-1 Antitrypsin Deficiency	Alpha_1_Antitrypsin_Deficiency.yaml	differential_diagnoses	0	Smoking-Related COPD	"Smoking-related COPD and AAT deficiency both present with emphysema, airway obstruction, and progressive lung disease. The key overlap is that smokers with AAT deficiency develop much earlier and more severe disease. Distinguishing between primary smoking-related COPD and AAT deficiency is critical because AAT-deficient patients benefit from augmentation therapy.
"	disease_term	disease_term	$	Smoking-Related COPD	"Smoking-related COPD and AAT deficiency both present with emphysema, airway obstruction, and progressive lung disease. The key overlap is that smokers with AAT deficiency develop much earlier and more severe disease. Distinguishing between primary smoking-related COPD and AAT deficiency is critical because AAT-deficient patients benefit from augmentation therapy.
"	chronic obstructive pulmonary disease	MONDO:0005002	chronic obstructive pulmonary disease		"{""preferred_term"": ""chronic obstructive pulmonary disease"", ""term"": {""id"": ""MONDO:0005002"", ""label"": ""chronic obstructive pulmonary disease""}}"																											
