assertion_id	disorder_id	disorder_name	source_file	section	section_index	name	description	category	frequency	diagnostic	context	subtype	role	presence	association	accession	age_range	background	base_model	classification	clinical_significance	consequence	data_type	de_novo_rate	definition_type	duration	effect	expressivity	features	genotype	incubation_days	incubation_years	markers	maximum_value	mean_range	minimum_value	model_format	model_id	model_software	model_type	notes	parent_of_origin_effect	penetrance	percentage	phase	platform	population	publication	repository_url	results	review_notes	sample_count	scope	sequence_length	severity	species	specificity	status	subtype_frequency	title	type	unit	scalar_fields_json	complex_fields_json	raw_json
7	1	22q11.2 Deletion Syndrome	22q11.2_Deletion_Syndrome.yaml	phenotypes	0	Conotruncal heart defect	"Cardiac malformations occur in 75% of patients, most commonly tetralogy of Fallot, interrupted aortic arch type B, ventricular septal defect, and truncus arteriosus.
"		FREQUENT																																																						"{""description"": ""Cardiac malformations occur in 75% of patients, most commonly tetralogy of Fallot, interrupted aortic arch type B, ventricular septal defect, and truncus arteriosus.\n"", ""frequency"": ""FREQUENT"", ""name"": ""Conotruncal heart defect""}"	{}	"{""description"": ""Cardiac malformations occur in 75% of patients, most commonly tetralogy of Fallot, interrupted aortic arch type B, ventricular septal defect, and truncus arteriosus.\n"", ""evidence"": [{""evidence_source"": ""HUMAN_CLINICAL"", ""explanation"": ""GeneReviews documents the spectrum of conotruncal defects."", ""reference"": ""PMID:20301696"", ""snippet"": ""congenital heart disease, particularly conotruncal malformations (ventricular septal defect, tetralogy of Fallot, interrupted aortic arch, and truncus arteriosus)"", ""supports"": ""SUPPORT""}], ""frequency"": ""FREQUENT"", ""name"": ""Conotruncal heart defect"", ""phenotype_term"": {""preferred_term"": ""Conotruncal defect"", ""term"": {""id"": ""HP:0001710"", ""label"": ""Conotruncal defect""}}}"
8	1	22q11.2 Deletion Syndrome	22q11.2_Deletion_Syndrome.yaml	phenotypes	1	Hypocalcemia	"Neonatal hypocalcemia due to parathyroid hypoplasia occurs in 50-60% of patients and may cause seizures.
"		FREQUENT																																																						"{""description"": ""Neonatal hypocalcemia due to parathyroid hypoplasia occurs in 50-60% of patients and may cause seizures.\n"", ""frequency"": ""FREQUENT"", ""name"": ""Hypocalcemia""}"	{}	"{""description"": ""Neonatal hypocalcemia due to parathyroid hypoplasia occurs in 50-60% of patients and may cause seizures.\n"", ""evidence"": [{""evidence_source"": ""HUMAN_CLINICAL"", ""explanation"": ""Calcium monitoring is recommended due to hypocalcemia risk."", ""reference"": ""PMID:20301696"", ""snippet"": ""serum ionized calcium every three to six months in infancy"", ""supports"": ""SUPPORT""}], ""frequency"": ""FREQUENT"", ""name"": ""Hypocalcemia"", ""phenotype_term"": {""preferred_term"": ""Hypocalcemia"", ""term"": {""id"": ""HP:0002901"", ""label"": ""Hypocalcemia""}}}"
9	1	22q11.2 Deletion Syndrome	22q11.2_Deletion_Syndrome.yaml	phenotypes	2	Thymic hypoplasia	"Reduced or absent thymus leading to T-cell lymphopenia and increased susceptibility to infections.
"		FREQUENT																																																						"{""description"": ""Reduced or absent thymus leading to T-cell lymphopenia and increased susceptibility to infections.\n"", ""frequency"": ""FREQUENT"", ""name"": ""Thymic hypoplasia""}"	{}	"{""description"": ""Reduced or absent thymus leading to T-cell lymphopenia and increased susceptibility to infections.\n"", ""frequency"": ""FREQUENT"", ""name"": ""Thymic hypoplasia"", ""phenotype_term"": {""preferred_term"": ""Aplasia of the thymus"", ""term"": {""id"": ""HP:0005359"", ""label"": ""Aplasia of the thymus""}}}"
10	1	22q11.2 Deletion Syndrome	22q11.2_Deletion_Syndrome.yaml	phenotypes	3	Velopharyngeal insufficiency	"Velopharyngeal insufficiency, cleft palate, or submucous cleft palate causing hypernasal speech.
"		FREQUENT																																																						"{""description"": ""Velopharyngeal insufficiency, cleft palate, or submucous cleft palate causing hypernasal speech.\n"", ""frequency"": ""FREQUENT"", ""name"": ""Velopharyngeal insufficiency""}"	{}	"{""description"": ""Velopharyngeal insufficiency, cleft palate, or submucous cleft palate causing hypernasal speech.\n"", ""evidence"": [{""evidence_source"": ""HUMAN_CLINICAL"", ""explanation"": ""Palatal abnormalities are a major manifestation."", ""reference"": ""PMID:20301696"", ""snippet"": ""palatal abnormalities (velopharyngeal incompetence, submucosal cleft palate, bifid uvula, and cleft palate)"", ""supports"": ""SUPPORT""}], ""frequency"": ""FREQUENT"", ""name"": ""Velopharyngeal insufficiency"", ""phenotype_term"": {""preferred_term"": ""Velopharyngeal insufficiency"", ""term"": {""id"": ""HP:0000220"", ""label"": ""Velopharyngeal insufficiency""}}}"
11	1	22q11.2 Deletion Syndrome	22q11.2_Deletion_Syndrome.yaml	phenotypes	4	Cleft palate	"Cleft palate or submucous cleft palate occurs in a subset of patients.
"		OCCASIONAL																																																						"{""description"": ""Cleft palate or submucous cleft palate occurs in a subset of patients.\n"", ""frequency"": ""OCCASIONAL"", ""name"": ""Cleft palate""}"	{}	"{""description"": ""Cleft palate or submucous cleft palate occurs in a subset of patients.\n"", ""evidence"": [{""evidence_source"": ""MODEL_ORGANISM"", ""explanation"": ""Cleft palate is observed in Tbx1 knockout mice."", ""reference"": ""PMID:11242110"", ""snippet"": ""cleft palate"", ""supports"": ""SUPPORT""}], ""frequency"": ""OCCASIONAL"", ""name"": ""Cleft palate"", ""phenotype_term"": {""preferred_term"": ""Cleft palate"", ""term"": {""id"": ""HP:0000175"", ""label"": ""Cleft palate""}}}"
12	1	22q11.2 Deletion Syndrome	22q11.2_Deletion_Syndrome.yaml	phenotypes	5	Intellectual disability	"Mild to moderate intellectual disability and learning difficulties occur in most patients.
"		FREQUENT																																																						"{""description"": ""Mild to moderate intellectual disability and learning difficulties occur in most patients.\n"", ""frequency"": ""FREQUENT"", ""name"": ""Intellectual disability""}"	{}	"{""description"": ""Mild to moderate intellectual disability and learning difficulties occur in most patients.\n"", ""evidence"": [{""evidence_source"": ""HUMAN_CLINICAL"", ""explanation"": ""Learning difficulties are documented as a major manifestation."", ""reference"": ""PMID:20301696"", ""snippet"": ""learning difficulties"", ""supports"": ""SUPPORT""}], ""frequency"": ""FREQUENT"", ""name"": ""Intellectual disability"", ""phenotype_term"": {""preferred_term"": ""Intellectual disability"", ""term"": {""id"": ""HP:0001249"", ""label"": ""Intellectual disability""}}}"
13	1	22q11.2 Deletion Syndrome	22q11.2_Deletion_Syndrome.yaml	phenotypes	6	Schizophrenia	"Approximately 20-30% of patients develop schizophrenia spectrum disorders in late adolescence or early adulthood, representing a 20-25 fold increase over the general population risk.
"		OCCASIONAL																																																						"{""description"": ""Approximately 20-30% of patients develop schizophrenia spectrum disorders in late adolescence or early adulthood, representing a 20-25 fold increase over the general population risk.\n"", ""frequency"": ""OCCASIONAL"", ""name"": ""Schizophrenia""}"	{}	"{""description"": ""Approximately 20-30% of patients develop schizophrenia spectrum disorders in late adolescence or early adulthood, representing a 20-25 fold increase over the general population risk.\n"", ""evidence"": [{""evidence_source"": ""HUMAN_CLINICAL"", ""explanation"": ""Psychiatric illness including schizophrenia is elevated."", ""reference"": ""PMID:20301696"", ""snippet"": ""Psychiatric illness and autoimmune disorders are more common in individuals with 22q11.2DS"", ""supports"": ""SUPPORT""}], ""frequency"": ""OCCASIONAL"", ""name"": ""Schizophrenia"", ""phenotype_term"": {""preferred_term"": ""Schizophrenia"", ""term"": {""id"": ""HP:0100753"", ""label"": ""Schizophrenia""}}}"
14	1	22q11.2 Deletion Syndrome	22q11.2_Deletion_Syndrome.yaml	phenotypes	7	Hypoparathyroidism	"Congenital hypoparathyroidism due to parathyroid gland hypoplasia.
"		FREQUENT																																																						"{""description"": ""Congenital hypoparathyroidism due to parathyroid gland hypoplasia.\n"", ""frequency"": ""FREQUENT"", ""name"": ""Hypoparathyroidism""}"	{}	"{""description"": ""Congenital hypoparathyroidism due to parathyroid gland hypoplasia.\n"", ""frequency"": ""FREQUENT"", ""name"": ""Hypoparathyroidism"", ""phenotype_term"": {""preferred_term"": ""Congenital hypoparathyroidism"", ""term"": {""id"": ""HP:0008198"", ""label"": ""Congenital hypoparathyroidism""}}}"
15	1	22q11.2 Deletion Syndrome	22q11.2_Deletion_Syndrome.yaml	phenotypes	8	T-cell immunodeficiency	"Severe T-cell immunodeficiency occurs in complete DiGeorge syndrome; partial immunodeficiency is more common.
"		FREQUENT																																																						"{""description"": ""Severe T-cell immunodeficiency occurs in complete DiGeorge syndrome; partial immunodeficiency is more common.\n"", ""frequency"": ""FREQUENT"", ""name"": ""T-cell immunodeficiency""}"	{}	"{""description"": ""Severe T-cell immunodeficiency occurs in complete DiGeorge syndrome; partial immunodeficiency is more common.\n"", ""frequency"": ""FREQUENT"", ""name"": ""T-cell immunodeficiency"", ""phenotype_term"": {""preferred_term"": ""Severe T-cell immunodeficiency"", ""term"": {""id"": ""HP:0005352"", ""label"": ""Severe T-cell immunodeficiency""}}}"
31	2	ALK-Rearranged Non-Small Cell Lung Cancer	ALK_Rearranged_NSCLC.yaml	phenotypes	0	Lung Adenocarcinoma	ALK-rearranged NSCLC is almost exclusively adenocarcinoma histology, often with signet ring or cribriform patterns. Typically presents in younger patients.	Neoplastic	VERY_FREQUENT																																																						"{""category"": ""Neoplastic"", ""description"": ""ALK-rearranged NSCLC is almost exclusively adenocarcinoma histology, often with signet ring or cribriform patterns. Typically presents in younger patients."", ""frequency"": ""VERY_FREQUENT"", ""name"": ""Lung Adenocarcinoma""}"	{}	"{""category"": ""Neoplastic"", ""description"": ""ALK-rearranged NSCLC is almost exclusively adenocarcinoma histology, often with signet ring or cribriform patterns. Typically presents in younger patients."", ""frequency"": ""VERY_FREQUENT"", ""name"": ""Lung Adenocarcinoma"", ""phenotype_term"": {""preferred_term"": ""Lung adenocarcinoma"", ""term"": {""id"": ""HP:0030078"", ""label"": ""Lung adenocarcinoma""}}}"
