descriptor_id	assertion_id	disorder_id	disorder_name	source_file	section	section_index	section_name	section_description	path	root_field	parent_path	parent_name	parent_description	preferred_term	term_id	term_label	description	raw_json	postcomp_located_in	postcomp_located_in_ids	postcomp_modifier	postcomp_therapeutic_agent	postcomp_therapeutic_agent_ids	qualifier_clinical_course	qualifier_clinical_course_ids	qualifier_clinical_course_predicate_ids	qualifier_has_participant	qualifier_has_participant_ids	qualifier_has_participant_predicate_ids	qualifier_immunologic_factor	qualifier_immunologic_factor_ids	qualifier_immunologic_factor_predicate_ids	qualifier_monoclonal_antibody_predicate_ids	qualifier_route_of_administration	qualifier_route_of_administration_ids	qualifier_route_of_administration_predicate_ids	qualifier_surgical_procedure	qualifier_surgical_procedure_ids	qualifier_surgical_procedure_predicate_ids	qualifier_therapeutic_agent	qualifier_therapeutic_agent_ids	qualifier_therapeutic_agent_predicate_ids	qualifier_therapeutic_procedure	qualifier_therapeutic_procedure_ids	qualifier_therapeutic_procedure_predicate_ids
17	7	1	22q11.2 Deletion Syndrome	22q11.2_Deletion_Syndrome.yaml	phenotypes	0	Conotruncal heart defect	"Cardiac malformations occur in 75% of patients, most commonly tetralogy of Fallot, interrupted aortic arch type B, ventricular septal defect, and truncus arteriosus.
"	phenotype_term	phenotype_term	$	Conotruncal heart defect	"Cardiac malformations occur in 75% of patients, most commonly tetralogy of Fallot, interrupted aortic arch type B, ventricular septal defect, and truncus arteriosus.
"	Conotruncal defect	HP:0001710	Conotruncal defect		"{""preferred_term"": ""Conotruncal defect"", ""term"": {""id"": ""HP:0001710"", ""label"": ""Conotruncal defect""}}"																											
18	8	1	22q11.2 Deletion Syndrome	22q11.2_Deletion_Syndrome.yaml	phenotypes	1	Hypocalcemia	"Neonatal hypocalcemia due to parathyroid hypoplasia occurs in 50-60% of patients and may cause seizures.
"	phenotype_term	phenotype_term	$	Hypocalcemia	"Neonatal hypocalcemia due to parathyroid hypoplasia occurs in 50-60% of patients and may cause seizures.
"	Hypocalcemia	HP:0002901	Hypocalcemia		"{""preferred_term"": ""Hypocalcemia"", ""term"": {""id"": ""HP:0002901"", ""label"": ""Hypocalcemia""}}"																											
19	9	1	22q11.2 Deletion Syndrome	22q11.2_Deletion_Syndrome.yaml	phenotypes	2	Thymic hypoplasia	"Reduced or absent thymus leading to T-cell lymphopenia and increased susceptibility to infections.
"	phenotype_term	phenotype_term	$	Thymic hypoplasia	"Reduced or absent thymus leading to T-cell lymphopenia and increased susceptibility to infections.
"	Aplasia of the thymus	HP:0005359	Aplasia of the thymus		"{""preferred_term"": ""Aplasia of the thymus"", ""term"": {""id"": ""HP:0005359"", ""label"": ""Aplasia of the thymus""}}"																											
20	10	1	22q11.2 Deletion Syndrome	22q11.2_Deletion_Syndrome.yaml	phenotypes	3	Velopharyngeal insufficiency	"Velopharyngeal insufficiency, cleft palate, or submucous cleft palate causing hypernasal speech.
"	phenotype_term	phenotype_term	$	Velopharyngeal insufficiency	"Velopharyngeal insufficiency, cleft palate, or submucous cleft palate causing hypernasal speech.
"	Velopharyngeal insufficiency	HP:0000220	Velopharyngeal insufficiency		"{""preferred_term"": ""Velopharyngeal insufficiency"", ""term"": {""id"": ""HP:0000220"", ""label"": ""Velopharyngeal insufficiency""}}"																											
21	11	1	22q11.2 Deletion Syndrome	22q11.2_Deletion_Syndrome.yaml	phenotypes	4	Cleft palate	"Cleft palate or submucous cleft palate occurs in a subset of patients.
"	phenotype_term	phenotype_term	$	Cleft palate	"Cleft palate or submucous cleft palate occurs in a subset of patients.
"	Cleft palate	HP:0000175	Cleft palate		"{""preferred_term"": ""Cleft palate"", ""term"": {""id"": ""HP:0000175"", ""label"": ""Cleft palate""}}"																											
22	12	1	22q11.2 Deletion Syndrome	22q11.2_Deletion_Syndrome.yaml	phenotypes	5	Intellectual disability	"Mild to moderate intellectual disability and learning difficulties occur in most patients.
"	phenotype_term	phenotype_term	$	Intellectual disability	"Mild to moderate intellectual disability and learning difficulties occur in most patients.
"	Intellectual disability	HP:0001249	Intellectual disability		"{""preferred_term"": ""Intellectual disability"", ""term"": {""id"": ""HP:0001249"", ""label"": ""Intellectual disability""}}"																											
23	13	1	22q11.2 Deletion Syndrome	22q11.2_Deletion_Syndrome.yaml	phenotypes	6	Schizophrenia	"Approximately 20-30% of patients develop schizophrenia spectrum disorders in late adolescence or early adulthood, representing a 20-25 fold increase over the general population risk.
"	phenotype_term	phenotype_term	$	Schizophrenia	"Approximately 20-30% of patients develop schizophrenia spectrum disorders in late adolescence or early adulthood, representing a 20-25 fold increase over the general population risk.
"	Schizophrenia	HP:0100753	Schizophrenia		"{""preferred_term"": ""Schizophrenia"", ""term"": {""id"": ""HP:0100753"", ""label"": ""Schizophrenia""}}"																											
24	14	1	22q11.2 Deletion Syndrome	22q11.2_Deletion_Syndrome.yaml	phenotypes	7	Hypoparathyroidism	"Congenital hypoparathyroidism due to parathyroid gland hypoplasia.
"	phenotype_term	phenotype_term	$	Hypoparathyroidism	"Congenital hypoparathyroidism due to parathyroid gland hypoplasia.
"	Congenital hypoparathyroidism	HP:0008198	Congenital hypoparathyroidism		"{""preferred_term"": ""Congenital hypoparathyroidism"", ""term"": {""id"": ""HP:0008198"", ""label"": ""Congenital hypoparathyroidism""}}"																											
25	15	1	22q11.2 Deletion Syndrome	22q11.2_Deletion_Syndrome.yaml	phenotypes	8	T-cell immunodeficiency	"Severe T-cell immunodeficiency occurs in complete DiGeorge syndrome; partial immunodeficiency is more common.
"	phenotype_term	phenotype_term	$	T-cell immunodeficiency	"Severe T-cell immunodeficiency occurs in complete DiGeorge syndrome; partial immunodeficiency is more common.
"	Severe T-cell immunodeficiency	HP:0005352	Severe T-cell immunodeficiency		"{""preferred_term"": ""Severe T-cell immunodeficiency"", ""term"": {""id"": ""HP:0005352"", ""label"": ""Severe T-cell immunodeficiency""}}"																											
38	31	2	ALK-Rearranged Non-Small Cell Lung Cancer	ALK_Rearranged_NSCLC.yaml	phenotypes	0	Lung Adenocarcinoma	ALK-rearranged NSCLC is almost exclusively adenocarcinoma histology, often with signet ring or cribriform patterns. Typically presents in younger patients.	phenotype_term	phenotype_term	$	Lung Adenocarcinoma	ALK-rearranged NSCLC is almost exclusively adenocarcinoma histology, often with signet ring or cribriform patterns. Typically presents in younger patients.	Lung adenocarcinoma	HP:0030078	Lung adenocarcinoma		"{""preferred_term"": ""Lung adenocarcinoma"", ""term"": {""id"": ""HP:0030078"", ""label"": ""Lung adenocarcinoma""}}"																											
