gene_symbol	g2p_id	g2p_disease_name	g2p_disease_mondo	g2p_confidence	g2p_mechanism	g2p_reviewed_pmid_count	dismech_candidate_count	dismech_direct_candidate_count	best_dismech_match_class	best_dismech_file	best_dismech_disease_name	best_dismech_disease_mondo	best_match_reasons	best_shared_hpo_count	best_shared_section_reviewed_pmid_count	best_shared_disease_reviewed_pmid_count	related_direct_disorders	related_direct_match_count	row_status	curation_priority	curation_action	curation_note
AAAS	G2P00650	AAAS-related chalasia-addisonianism-alacrima syndrome	MONDO:0009279	definitive	loss of function	5	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
AAGAB	G2P03606	AAGAB-related palmoplantar keratoderma, punctate type	MONDO:0007858	definitive	undetermined	3	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
AARS1	G2P00811	AARS1-related early-onset epileptic encephalopathy with persistent myelination defect	MONDO:0014593	strong	loss of function	2	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
AASS	G2P00701	AASS-related hyperlysinemia	MONDO:0009388	strong	loss of function	3	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ABAT	G2P02973	ABAT-related GABA-transaminase deficiency		definitive	loss of function	3	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ABCA1	G2P02074	ABCA1-related Tangier disease	MONDO:0008783	definitive	loss of function	4	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ABCA12	G2P02723	ABCA12-related ichthyosis harlequin	MONDO:0009443	definitive	loss of function	3	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ABCA2	G2P03715	ABCA2-related intellectual developmental disorder with poor growth and with or without seizures or ataxia	MONDO:0032930	moderate	loss of function	5	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ABCA5	G2P03618	ABCA5-related hypertrichosis, congenital generalised, with gingival hyperplasia	MONDO:0007610	limited	undetermined	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ABCB11	G2P00547	ABCB11-related intrahepatic cholestasis	MONDO:0011156	definitive	loss of function	3	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ABCB6	G2P03684	ABCB6-related dyschromatosis universalis hereditaria	MONDO:0014169	strong	undetermined	2	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ABCB6	G2P00318	ABCB6-related microphthalmia, isolated, with coloboma	MONDO:0013783	limited	undetermined	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ABCB7	G2P00928	ABCB7-related anemia, sideroblastic, with ataxia		definitive	undetermined	5	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ABCC6	G2P00120	ABCC6-related arterial calcification, generalized, of infancy	MONDO:0013768	definitive	loss of function	4	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ABCC6	G2P02075	ABCC6-related pseudoxanthoma elasticum	MONDO:0009925	definitive	loss of function	7	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ABCC9	G2P03442	ABCC9-related Cantu Syndrome	MONDO:0009406	definitive	gain of function	7	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ABCC9	G2P03825	ABCC9-related dilated cardiomyopathy	MONDO:0016333	limited	undetermined	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ABCC9	G2P03920	ABCC9-related intellectual disability, myopathy and white matter abnormalities	MONDO:0859224	moderate	loss of function	2	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ABCD1	G2P00786	ABCD1-related adrenoleukodystrophy	MONDO:0018544	definitive	loss of function	3	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ABCD4	G2P00488	ABCD4-related methylmalonic aciduria and homocystinuria, cblJ type		strong	loss of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ABCG5	G2P02507	ABCG5-related sitosterolemia	MONDO:0020748	definitive	loss of function	3	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ABCG8	G2P02508	ABCG8-related sitosterolemia	MONDO:0020747	definitive	loss of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ABHD12	G2P01945	ABHD12-related polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract	MONDO:0012984	definitive	loss of function	6	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ABHD16A	G2P03211	ABHD16A-related spastic paraplegia, intellectual disability and thin corpus callosum	MONDO:0030673	strong	loss of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ABHD5	G2P00888	ABHD5-related ichthyotic neutral lipid storage disease	MONDO:0010155	definitive	loss of function	20	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ABL1	G2P02256	ABL1-related congenital heart defects and skeletal malformations	MONDO:0060532	strong	gain of function	2	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ACAD9	G2P01143	ACAD9-related acyl-CoA dehydrogenase family member type 9 deficiency		definitive	loss of function	2	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ACADM	G2P00491	ACADM-related medium chain acyl-CoA dehydrogenase deficiency	MONDO:0008721	definitive	loss of function	8	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ACADS	G2P00672	ACADS-related short chain acyl-CoA dehydrogenase deficiency	MONDO:0008722	definitive	undetermined	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ACAN	G2P01488	ACAN-related spondyloepimetaphyseal dysplasia, aggrecan type	MONDO:0013014	definitive	undetermined	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ACAN	G2P00055	ACAN-related spondyloepiphyseal dysplasia	MONDO:0012019	definitive	loss of function	14	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ACBD5	G2P01946	ACBD5-related deficiency	MONDO:0030026	strong	loss of function	3	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ACBD6	G2P00748	ACBD6-related intellectual developmental disorder	MONDO:0968976	strong	loss of function	4	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ACD	G2P03362	ACD-related dyskeratosis congenita	MONDO:0014690	moderate	loss of function	2	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ACER3	G2P03230	ACER3-related leukodystrophy		strong	undetermined	3	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ACO2	G2P00900	ACO2-related infantile cerebellar-retinal degeneration	MONDO:0013802	definitive	loss of function	5	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ACO2	G2P02046	ACO2-related optic atrophy	MONDO:0014571	strong	undetermined	2	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ACOX1	G2P00625	ACOX1-related adrenoleukodystrophy pseudoneonatal	MONDO:0009919	definitive	loss of function	5	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ACP5	G2P01177	ACP5-related spondyloenchondrodysplasia with immune dysregulation	MONDO:0011939	definitive	loss of function	5	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ACSL4	G2P01199	ACSL4-related intellectual developmental disorder	MONDO:0010313	strong	loss of function	2	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
