gene,gene_set,in_universe,in_Supp3_DepressionAstro,in_Supp3_AstroWIF1_up,in_Supp3_OligoOPALIN_down,in_Supp7_ADAstro
C3,Inflammatory,1,0,0,0,0
CD44,Inflammatory,1,0,0,0,1
CHI3L1,Inflammatory,1,1,0,0,1
CXCL8,Inflammatory,1,0,0,0,0
IL1B,Inflammatory,1,0,0,0,0
IL6,Inflammatory,1,0,0,0,0
NFKBIA,Inflammatory,1,0,1,0,0
SERPINA3,Inflammatory,1,0,0,0,0
SOCS3,Inflammatory,1,0,0,0,0
STAT3,Inflammatory,1,0,0,0,0
TNF,Inflammatory,1,0,0,0,0
ATF4,UPR_ERstress,1,0,0,0,0
ATF6,UPR_ERstress,1,0,0,0,0
CALR,UPR_ERstress,1,0,1,0,1
DDIT3,UPR_ERstress,1,0,0,0,0
DNAJB9,UPR_ERstress,1,0,1,0,0
EIF2AK3,UPR_ERstress,1,0,0,1,0
ERN1,UPR_ERstress,1,0,0,0,0
HERPUD1,UPR_ERstress,1,0,0,0,0
HSP90B1,UPR_ERstress,1,0,0,0,0
HSPA5,UPR_ERstress,1,0,1,0,1
MANF,UPR_ERstress,1,0,0,0,0
PDIA4,UPR_ERstress,1,0,0,0,0
PDIA6,UPR_ERstress,1,0,0,0,0
SEL1L,UPR_ERstress,1,0,0,0,0
XBP1,UPR_ERstress,1,0,0,0,0
