pmid,year,evidence_type,stance,mechanistic_claim_tested,key_finding,subtype_context,confidence_and_limitations
7367089,1980,human clinical (case report),qualifies/support,Moyamoya is a congenital FA malformation rather than acquired,"First FA+moyamoya case; right-sided moyamoya pattern; authors suggest congenital FA vascular anomaly beyond bleeding tendency",Pediatric FA (subtype ungenotyped),Very low (n=1); no molecular data; pre-transplant era
7746424,1995,human clinical (case series + genetics),support,FANCC genotype predisposes to primary congenital vascular anomaly,"2/434 FA patients with moyamoya; both compound heterozygous FANCC 322delG+R185X, absent in 174 other families",FANCC (upstream complex),Low (n=2, single genotype); RNF213 not tested; strongest direct support
9409403,1997,human clinical (surgical series),qualifies,Moyamoya in FA is treatable but FA worsens outcome,"1 FA child within 30-child moyamoya surgical cohort; died of FA 7 yr post-EDAS",Pediatric FA,Very low (n=1); incidental within a surgical series
25719591,2015,human clinical (case report),support (seed),FA-moyamoya is a rare congenital defect,"10-yr-old with FA and moyamoya; moyamoya diagnosed before SCT; died post-SCT",FA (ungenotyped),Very low (n=1); seed reference; no mechanism proposed
38510908,2024,human clinical (case report),qualifies,Uncertain whether moyamoya is FA malformation or bleeding sequela,"9-yr-old FA with right ICA stenosis + basal-ganglia collaterals; authors question congenital vs bleeding etiology",Pediatric FA,Very low (n=1); explicitly raises alternative (recurrent bleeding)
27028275,2016,human clinical (cohort),qualifies/against-framing,Moyamoya is not part of the recognized FA malformation spectrum,"VACTERL-H (8 features) defined; moyamoya not listed; VACTERL-H in 33% of FA (18/54, P<0.0001)",FA cohort (NCI IBMFS),Moderate; defines canonical anomaly set that excludes moyamoya
35417938,2023,human clinical (genotype-phenotype cohort),qualifies,FA structural anomalies map to specific complexes,"ID complex assoc with VACTERL-H; upstream complex less severe, lacked VACTERL-H (n=203)",Genotype strata,Moderate; FANCC(upstream)=milder, tension with FANCC moyamoya cases
27053300,2016,model organism + in vitro,support (mechanism plausibility),Hyperactive TGF-beta drives FA progenitor attrition,"Genome-wide shRNA screen: TGF-beta growth suppression causes BMF; inhibition rescues HSPC survival",FA HSPCs (mouse+human),High for HSPC; NOT shown in vascular cells
36441774,2022,model organism,support (mechanism plausibility),FA/TGF-beta axis governs embryonic viability,"Fancd2-/- embryos gain genomic instability; Fancd2-/-Smad3-/- high embryonic lethality via TGFbeta-NHEJ",FA embryos (mouse),High for embryo; not vascular-specific
37627314,2023,review,support (mechanism plausibility),TP53-dependent apoptosis of progenitors underlies IBMFS,"Overarching model: stresses elicit TP53 growth arrest/apoptosis of stem/progenitor cells",IBMFS incl FA,Review-level; hematopoietic focus
12034935,2002,human clinical (imaging),competing,Radiation arteritis is radiologically distinct from idiopathic moyamoya,"Radiation-induced arteritis shows prominent wall ring enhancement vs moyamoya (P=0.003)",Radiation vs idiopathic MMD,Moderate; provides discriminating imaging biomarker
36057476,2024,review/meta-analysis,competing,Cranial irradiation causes dose-dependent cerebral vasculopathy,"Cerebrovascular toxicity 0.2% at 30Gy, 1.3% at 45Gy, 4.4% at 54Gy to circle of Willis",Pediatric RT patients,Moderate-high; iatrogenic alternative to intrinsic FA arteriopathy
17357039,2006,human clinical (case report),competing,Transplant-conditioning cranial irradiation can cause moyamoya,"Moyamoya 1.5 yr after cranial irradiation for BMT",Post-BMT irradiation,Low (n=1); relevant to transplanted FA patients
40467938,2025,in vitro,competing,RNF213 loss drives angiogenesis + VSMC phenotype switch,"RNF213 knockdown promotes EC proliferation/migration/angiogenesis via JAK2/STAT3, VSMC switching",RNF213 vasculopathy,Moderate; supports competing RNF213 model
42193873,2026,in vitro + patient tissue,competing,RNF213/EC-VSMC crosstalk underlies moyamoya angiopathy,"RNF213-RNAi impairs EC angiogenesis; EC-VSMC crosstalk key; patient vessel arrays altered",Moyamoya angiopathy,Moderate; competing mechanistic model with human-tissue data
21048783,2011,computational (GWAS),competing,RNF213 is the principal moyamoya susceptibility gene,"RNF213 sole reported gene (GCST000860); no FA gene at any moyamoya locus (this analysis)",Moyamoya GWAS,High for common-variant; cannot capture rare Mendelian FA co-segregation
NA_GTEx,2026,computational (this study),qualifies,FA genes expressed in artery (necessary condition),"FA-pathway genes expressed in artery but mid/low percentile; RNF213 artery-high (50-78 pct)",Healthy adult artery (GTEx v8),"Weak/non-specific; bulk not single-cell; non-FA donors; no cerebral artery"
