cosine	suggested_conforms_to	node	nearest_labelled_node
1.000	cerebellar_purkinje_degeneration#Purkinje Neuron Degeneration	Autosomal_Dominant_Cerebellar_Ataxia_Type_I::Purkinje Cell Degeneration and Cerebellar Cortical Atrophy	Autosomal_Dominant_Cerebellar_Ataxia_Type_III::Purkinje Cell Degeneration and Cerebellar Cortical Atrophy
1.000	immune_checkpoint_blockade#Adaptive Immune Resistance	HPV_Positive_Head_and_Neck_Cancer::Immune Evasion	Laryngeal_Squamous_Cell_Carcinoma::Immune Evasion
1.000	nephrolithiasis_crystal_nucleation#Urinary Supersaturation	Hypotonia-Cystinuria_Syndrome::Urinary cystine supersaturation	Cystinuria::Urinary Cystine Supersaturation
0.981	fgfr_gain_of_function_skeletal_dysplasia#Impaired Endochondral Ossification and Chondrodysplasia	Hypochondrogenesis::Failed Endochondral Ossification	Hypochondroplasia::Impaired endochondral ossification
0.974	fgfr_gain_of_function_skeletal_dysplasia#Impaired Endochondral Ossification and Chondrodysplasia	Brachyolmia::Impaired vertebral endochondral ossification	Hypochondroplasia::Impaired endochondral ossification
0.971	cardiomyopathy_maladaptive_remodeling#Ventricular Remodeling	Duchenne_Muscular_Dystrophy::Myocardial Fibrosis	Dilated_Cardiomyopathy::Myocardial Fibrosis
0.970	glaucoma_optic_neuropathy#Retinal Ganglion Cell Apoptosis	Central_Retinal_Artery_Occlusion::Retinal Ganglion Cell Death	Glaucoma::Retinal Ganglion Cell Death
0.967	fgfr_gain_of_function_skeletal_dysplasia#Impaired Endochondral Ossification and Chondrodysplasia	Atelosteogenesis_Type_II::Disrupted Endochondral Ossification	Hypochondroplasia::Impaired endochondral ossification
0.963	photoreceptor_degeneration#Rod Photoreceptor Apoptosis	RPGR-Related_Retinopathy::Progressive photoreceptor loss and retinal remodeling	CRB1_Retinal_Dystrophies::Progressive photoreceptor degeneration and visual loss
0.960	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	Multiple_Endocrine_Neoplasia_Type_2::Downstream Signaling Cascade Activation	HER2_Positive_Breast_Cancer::Downstream Oncogenic Signaling
0.955	fgfr_gain_of_function_skeletal_dysplasia#Impaired Endochondral Ossification and Chondrodysplasia	Diastrophic_Dysplasia::Impaired Endochondral Ossification	Hypochondroplasia::Impaired endochondral ossification
0.954	glaucoma_optic_neuropathy#Trabecular Meshwork Outflow Dysfunction	Glaucoma::Trabecular Meshwork Dysfunction	Juvenile_Open_Angle_Glaucoma::Trabecular Meshwork Immaturity and Outflow Obstruction
0.954	ciliopathy_dysfunction#Basal Body and Transition Zone Dysfunction	Meckel_Syndrome::Loss of primary cilia (failed ciliogenesis)	Meckel_Syndrome::Basal body localization without proper ciliogenesis
0.948	hypothyroidism_thyroid_hormone_deficiency#Thyroid Hormone Insufficiency	Congenital_Hypothyroidism::Thyroid Gland Dysgenesis	Congenital_Hypothyroidism::Defective Thyroid Hormone Biosynthesis
0.947	fgfr_gain_of_function_skeletal_dysplasia#Impaired Endochondral Ossification and Chondrodysplasia	Spondyloepimetaphyseal_Dysplasia_Strudwick_Type::Disrupted Endochondral Ossification	Hypochondroplasia::Impaired endochondral ossification
