name	anchor_state	mondo_id	stored_label	oak_flag	mondo_mapping_preds	shared_anchor_n
15q11q13_Microduplication_Syndrome	MONDO	MONDO:0012081	15q11q13 microduplication syndrome			1
2-Methylbutyryl-CoA_Dehydrogenase_Deficiency	MONDO	MONDO:0012392	2-methylbutyryl-CoA dehydrogenase deficiency			1
22q11.2_Deletion_Syndrome	MONDO	MONDO:0018923	22q11.2 deletion syndrome			1
2q37_Microdeletion_Syndrome	MONDO	MONDO:0010886	2q37 microdeletion syndrome			1
3-Hydroxy-3-Methylglutaric_Aciduria	MONDO	MONDO:0009520	3-hydroxy-3-methylglutaric aciduria			1
3-Hydroxy-3-Methylglutaryl-CoA_Synthase_Deficiency	MONDO	MONDO:0011614	3-hydroxy-3-methylglutaryl-CoA synthase deficiency			1
3-Hydroxyisobutyryl-CoA_Hydrolase_Deficiency	MONDO	MONDO:0009603	3-hydroxyisobutyryl-CoA hydrolase deficiency		exactMatch:1	1
3-Methylcrotonyl-CoA_Carboxylase_Deficiency	MONDO	MONDO:0018950	3-methylcrotonyl-CoA carboxylase deficiency			1
3-Methylglutaconic_Aciduria_Type_I	MONDO	MONDO:0009610	3-methylglutaconic aciduria type 1			1
3-Phosphoglycerate_Dehydrogenase_Deficiency	MONDO	MONDO:0011152	PHGDH deficiency			1
46_XX_Gonadal_Dysgenesis	MONDO	MONDO:0009299	46 XX gonadal dysgenesis		exactMatch:1	1
46_XX_Testicular_DSD	MONDO	MONDO:0100249	46,XX testicular disorder of sex development		exactMatch:1	1
46_XY_DSD_Due_to_17_Beta_Hydroxysteroid_Dehydrogenase_3_Deficiency	MONDO	MONDO:0009916	46,XY disorder of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency		exactMatch:1	1
46_XY_DSD_Due_to_5_Alpha_Reductase_2_Deficiency	MONDO	MONDO:0009923	46,XY disorder of sex development due to 5-alpha-reductase 2 deficiency		exactMatch:1	1
46_XY_complete_gonadal_dysgenesis	MONDO	MONDO:0010765	46,XY complete gonadal dysgenesis		exactMatch:1	1
5-Oxoprolinase_Deficiency	MONDO	MONDO:0009825	5-oxoprolinase deficiency			1
ACAD9_Deficiency	MONDO	MONDO:0012624	acyl-CoA dehydrogenase 9 deficiency			1
ADGRG1_Bilateral_Frontoparietal_Polymicrogyria	MONDO	MONDO:0011738	bilateral frontoparietal polymicrogyria			1
ADNP-Related_Syndrome	MONDO	MONDO:0014379	ADNP-related multiple congenital anomalies - intellectual disability - autism spectrum disorder			1
ADan_amyloidosis	MONDO	MONDO:0007297	ADan amyloidosis			1
AGAT_Deficiency	MONDO	MONDO:0012996	AGAT deficiency			1
AIP-related_pituitary_adenoma_predisposition	NO_ID				closeMatch:1,relatedMatch:1	
ALDH18A1_Cutis_Laxa	MONDO	MONDO:0014706	cutis laxa, autosomal dominant 3			1
ALDH18A1_De_Barsy_Spectrum	MONDO	MONDO:0100126	P5CS deficiency			1
ALG12_Congenital_Disorder_of_Glycosylation	MONDO	MONDO:0011783	ALG12-congenital disorder of glycosylation			1
ALG9-congenital_disorder_of_glycosylation	MONDO	MONDO:0012117	ALG9-congenital disorder of glycosylation			1
ALK_Rearranged_NSCLC	MONDO	MONDO:0005233	non-small cell lung carcinoma			4
AL_Amyloidosis	MONDO	MONDO:0017816	primary systemic amyloidosis			1
ANK2_Ankyrin_B_Syndrome	MONDO	MONDO:0010958	cardiac arrhythmia, ankyrin-B-related			1
ANK2_Related_Complex_Neurodevelopmental_Disorder	MONDO	MONDO:0100038	complex neurodevelopmental disorder			2
APL_PML_RARA	MONDO	MONDO:0012883	acute promyelocytic leukemia			1
ARX-Related_Lissencephaly_and_Interneuronopathy	MONDO	MONDO:0010268	X-linked lissencephaly with abnormal genitalia			1
AR_Cerebellar_Ataxia-Saccadic_Intrusion_Syndrome	MONDO	MONDO:0011811	autosomal recessive cerebellar ataxia-saccadic intrusion syndrome		exactMatch:1	1
ATRX_Syndrome	MONDO	MONDO:0016980	ATR-X-related syndrome			1
ATTR_Amyloidosis	MONDO	MONDO:0007100	familial amyloid neuropathy			1
Abdominal_Aortic_Aneurysm	MONDO	MONDO:0005350	abdominal aortic aneurysm			1
Abetalipoproteinemia	MONDO	MONDO:0008692	abetalipoproteinemia		exactMatch:1	1
Acatalasia	MONDO	MONDO:0013571	acatalasia		exactMatch:1	1
Acetaminophen_Hepatotoxicity	MONDO	MONDO:0018741	paracetamol poisoning		broadMatch:1,closeMatch:1	1
Achondrogenesis_Type_II	MONDO	MONDO:0008702	achondrogenesis type II			1
Achondroplasia	MONDO	MONDO:0007037	achondroplasia			1
Achoo_Syndrome	MONDO	MONDO:0007038	Achoo syndrome			1
Achromatopsia	MONDO	MONDO:0018852	achromatopsia			1
Acne_Vulgaris	MONDO	MONDO:0011438	acne			1
Acoustic_Neuroma	MONDO	MONDO:0001569	acoustic neuroma			1
Acquired_Angioedema	MONDO	MONDO:0019624	acquired angioedema			1
Acquired_Immunodeficiency_Syndrome	MONDO	MONDO:0012268	AIDS			1
Acquired_Partial_Lipodystrophy	MONDO	MONDO:0012104	acquired partial lipodystrophy			1
Acquired_Thrombotic_Thrombocytopenic_Purpura	MONDO	MONDO:0019740	acquired thrombotic thrombocytopenic purpura			1
Acrocallosal_Syndrome	MONDO	MONDO:0008708	acrocallosal syndrome			1
Acrodysostosis	MONDO	MONDO:0019797	acrodysostosis			1
Acromesomelic_Dysplasia_Maroteaux_Type	MONDO	MONDO:0011275	acromesomelic dysplasia 1, Maroteaux type			1
Activated_PI3K-delta_Syndrome	MONDO	MONDO:0018338	activated PI3K-delta syndrome			1
Acute_Annular_Outer_Retinopathy	MONDO	MONDO:0017299	acute annular outer retinopathy			1
Acute_Disseminated_Encephalomyelitis	MONDO	MONDO:0019383	acute disseminated encephalomyelitis			1
Acute_Flaccid_Myelitis	MONDO	MONDO:0100115	acute flaccid myelitis			1
Acute_Hepatitis_C_Virus_Infection	MONDO	MONDO:0100371	acute hepatitis C virus infection			1
Acute_Hypotension	MONDO	MONDO:0005174	acute hypotension			1
Acute_Intermittent_Porphyria	MONDO	MONDO:0008294	acute intermittent porphyria			1
Acute_Lichenoid_Pityriasis	MONDO	MONDO:0024250	acute lichenoid pityriasis			1
Acute_Lymphoblastic_Leukemia	MONDO	MONDO:0004967	acute lymphoblastic leukemia			1
Acute_Megakaryoblastic_Leukemia	MONDO	MONDO:0018872	acute megakaryoblastic leukemia			1
Acute_Motor_and_Sensory_Axonal_Neuropathy	MONDO	MONDO:0020348	acute motor and sensory axonal neuropathy			1
Acute_Myeloid_Leukemia_with_CEBPA_Somatic_Mutations	MONDO	MONDO:0017894	acute myeloid leukemia with CEBPA somatic mutations			1
Acute_Post-Surgical_Pain	NO_ID					
Adams-Oliver_Syndrome	MONDO	MONDO:0007034	Adams-Oliver syndrome			1
Addisons_Disease	MONDO	MONDO:0015128	primary adrenal insufficiency			1
Adenine_Phosphoribosyltransferase_Deficiency	MONDO	MONDO:0013869	adenine phosphoribosyltransferase deficiency		exactMatch:1	1
Adenosine_Kinase_Deficiency	MONDO	MONDO:0100255	adenosine kinase deficiency			1
Adenovirus_Respiratory_Infection	NO_TERM					
Adenylosuccinate_Lyase_Deficiency	MONDO	MONDO:0007068	adenylosuccinate lyase deficiency			1
Adult-Onset_Autosomal_Dominant_Demyelinating_Leukodystrophy	MONDO	MONDO:0008215	adult-onset autosomal dominant demyelinating leukodystrophy			1
Adult-Onset_Still_Disease	MONDO	MONDO:0019355	adult-onset Still disease			1
