citation_pmid,evidence_type,stance,mechanistic_claim_tested,key_finding,disease_subtype_context,confidence,limitations
18454466,human clinical,supports,Beta-cell secretory defect precedes/exceeds insulin resistance in FA children,"46% of 39 FA children had abnormal glucose metabolism; insulinogenic index reduced (FA-AGM 44 vs REF 173 pM/mM) and disposition index reduced, while HOMA-IR unchanged","Pediatric FA, mostly pre-transplant, no prior diabetes dx",High for secretion<->sensitivity dissociation,"Cross-sectional; OGTT surrogate indices not IVGTT/clamp; younger FA vs older REF controls; no genotype/beta-cell-mass data"
29901137,in vitro,supports,FA-pathway (FANCC) loss causes cell-autonomous beta-cell oxidative-stress apoptosis and lowers insulin/glucokinase,"siRNA FANCC knockdown abolished protection vs oxidative-stress apoptosis; FANCC overexpression protective; insulin and glucokinase mRNA decreased","Human 1.1B4 beta-cell line",Moderate,"Single immortalized cell line; cytoplasmic anti-apoptotic FANCC role partly DNA-repair-independent; no p53 readout; no in vivo mass/first-phase data"
19833883,model organism,supports (proxy),Endogenous DNA damage -> p53/p21 -> beta-cell senescence & reduced islet mass -> diabetes,"NHEJ-deficient p53R172P mice accumulate DNA damage, upregulate p53/p21, lose beta-cell proliferation, develop senescence, reduced islet mass, severe diabetes at 3-5 mo","Mouse DNA-repair/DSB model (NOT FA/ICL pathway)",Moderate for chain plausibility,"Different repair pathway (NHEJ) than FA (ICL); phenotype is senescence not apoptosis; not FA genes"
23321474,in vitro,supports (proxy),Oxidative stress activates p53 in beta cells,"H2O2 stabilizes p53 and activates PARP in pancreatic beta cells; ROS/RNS induce DNA damage and reduce viability","Rodent beta cells",Moderate,"Generic oxidative stress, not FA-specific"
27255381,in vitro,supports (proxy),Genotoxic/crosslinking agents impair GSIS and induce beta-cell apoptosis,"Doxorubicin (topo II/crosslinker) impaired glucose-stimulated insulin secretion and viability; induced caspase-3/7 and p53-linked apoptosis","INS-1 beta cells and mouse islets",Low-moderate,"Pharmacologic genotoxin, not FA genetic model"
22482891,model organism,competing,Primary lesion is ROS-driven peripheral insulin resistance, not beta-cell secretion,"Fanca-/Fancc-deficient mice: hyperglycemia, hyperinsulinemia, weight gain on HFD; reduced IR tyrosine phosphorylation, increased IRS-1 serine phosphorylation; Quercetin rescues","FA mouse models (Fanca, Fancc), HFD challenge",High for IR phenotype,"Diet-dependent; does not measure first-phase secretion or beta-cell mass; hyperinsulinemia argues against pure secretory failure"
11335753,human clinical,qualifies,Endocrine survey of FA quantifies glucose/insulin abnormalities,"Hyperinsulinemia in 28/39 (72%), impaired glucose tolerance 25%, overt diabetes present; broad endocrinopathy (81%)","IFAR registry, mixed pediatric/adult",Moderate,"Hyperinsulinemia suggests insulin resistance component; heterogeneous ages; older cohort methods"
36513378,human clinical,qualifies,Adult FA glucose phenotype and transplant context,"Diabetes 10%, hypothyroidism 42%, low BMI 31% in 52 adults; 69% had HSCT","Adult FA, majority transplanted",Moderate,"Retrospective single-center; transplant confounds adult diabetes attribution"
25575015,review,supports (orientation),Endocrine screening consensus recognizing abnormal glucose/insulin metabolism in FA,"~80% of FA have >=1 endocrine abnormality incl. abnormal glucose/insulin metabolism; screening recommended","FA all ages (consensus)",Review-level,"Consensus/review; not primary mechanistic evidence"
41313766,human clinical,qualifies,Systemic metabolic reprogramming in FA,"Stable-isotope study: compromised glucose oxidation, enhanced ketogenesis, metabolic inflexibility","FA patients (2025)",Moderate (abstract only),"Abstract truncated; systemic not beta-cell-specific; supports metabolic vulnerability context"
26017459,human clinical,competing (confounder),HSCT/TBI causes early insulin resistance independent of FA,"7/45 (15.6%) non-obese pediatric HSCT survivors had abnormal glucose tolerance with central fat redistribution; TBI associated","Childhood HSCT survivors (non-FA)",Moderate,"Non-FA cohort; establishes transplant as alternative cause of later glucose abnormality"
19308039,human clinical,competing (confounder),TBI-based HSCT drives insulin resistance in survivors,"5/10 young adults post-HSCT+TBI had insulin resistance; abdominal obesity in all","HSCT+TBI survivors (non-FA)",Low-moderate,"Small pilot; non-FA; relevant to adult-diabetes attribution"
