evidence_id	assertion_id	disorder_id	disorder_name	source_file	section	section_index	path	evidence_index	reference	supports	evidence_source	snippet	explanation	raw_json
1473	1165	47	Bird Fancier's Lung	Bird_Fanciers_Lung.yaml	stages	0	evidence	0	PMID:6761066	SUPPORT	HUMAN_CLINICAL	Symptoms usually begin 4 to 6 hr after exposure to large quantities of causative organic dust.	Rapid symptom onset is characteristic of acute disease.	"{""evidence_source"": ""HUMAN_CLINICAL"", ""explanation"": ""Rapid symptom onset is characteristic of acute disease."", ""reference"": ""PMID:6761066"", ""snippet"": ""Symptoms usually begin 4 to 6 hr after exposure to large quantities of causative organic dust."", ""supports"": ""SUPPORT""}"
1474	1166	47	Bird Fancier's Lung	Bird_Fanciers_Lung.yaml	stages	1	evidence	0	PMID:6761066	SUPPORT	HUMAN_CLINICAL	Chronically, these diseases may present with the gradual onset of cough, dyspnea on exertion, fatigue, anorexia, and weight loss which may progress to pulmonary fibrosis or severe pulmonary insufficiency.	The review describes chronic progression with fibrotic outcomes.	"{""evidence_source"": ""HUMAN_CLINICAL"", ""explanation"": ""The review describes chronic progression with fibrotic outcomes."", ""reference"": ""PMID:6761066"", ""snippet"": ""Chronically, these diseases may present with the gradual onset of cough, dyspnea on exertion, fatigue, anorexia, and weight loss which may progress to pulmonary fibrosis or severe pulmonary insufficiency."", ""supports"": ""SUPPORT""}"
1801	1564	66	Chronic Myeloid Leukemia, BCR-ABL1 Positive	Chronic_Myeloid_Leukemia.yaml	stages	2	evidence	0	PMID:11423618	SUPPORT		Clinical studies with the Abl tyrosine kinase inhibitor STI-571 in chronic myeloid leukemia demonstrate that many patients with advanced stage disease respond initially but then relapse.	This paper demonstrates that advanced phase CML (blast crisis) has poor outcomes even with TKI therapy, reflecting disease progression.	"{""explanation"": ""This paper demonstrates that advanced phase CML (blast crisis) has poor outcomes even with TKI therapy, reflecting disease progression."", ""reference"": ""PMID:11423618"", ""snippet"": ""Clinical studies with the Abl tyrosine kinase inhibitor STI-571 in chronic myeloid leukemia demonstrate that many patients with advanced stage disease respond initially but then relapse."", ""supports"": ""SUPPORT""}"
3771	3757	158	Human African trypanosomiasis	Human_African_Trypanosomiasis.yaml	stages	0	evidence	0	PMID:23829907	SUPPORT		The disease evolves in two stages, the hemolymphatic and meningoencephalitic stages	The abstract defines the hemolymphatic stage as one of the two stages.	"{""explanation"": ""The abstract defines the hemolymphatic stage as one of the two stages."", ""reference"": ""PMID:23829907"", ""snippet"": ""The disease evolves in two stages, the hemolymphatic and meningoencephalitic stages"", ""supports"": ""SUPPORT""}"
3772	3758	158	Human African trypanosomiasis	Human_African_Trypanosomiasis.yaml	stages	1	evidence	0	PMID:23829907	SUPPORT		the latter being defined by central nervous system infection after trypanosomal traversal of the blood-brain barrier.	The abstract defines the CNS stage by BBB traversal and infection.	"{""explanation"": ""The abstract defines the CNS stage by BBB traversal and infection."", ""reference"": ""PMID:23829907"", ""snippet"": ""the latter being defined by central nervous system infection after trypanosomal traversal of the blood-brain barrier."", ""supports"": ""SUPPORT""}"
6625	6457	275	Primary_Tonsillar_Lymphoma	Primary_Tonsillar_Lymphoma.yaml	stages	0	evidence	0	PMID:6690005	SUPPORT		All cases were non-Hodgkin's lymphomas, with the majority being diffuse large cell lymphoma (85%). Initial therapy was radiotherapy alone in 54 patients, radiotherapy combined with chemotherapy in 8 patients, and chemotherapy alone in 3 patients. Stage was the most important prognostic factor, with 86% and 41% 5-year survivals for Stages IE and IIE, respectively (P = 0.006).	The literature supports the statement that primary tonsillar lymphoma can be classified as Stage I when it is localized to a single region (the tonsil). The study indicates that Stage IE involves a single extralymphatic organ like the tonsil.	"{""explanation"": ""The literature supports the statement that primary tonsillar lymphoma can be classified as Stage I when it is localized to a single region (the tonsil). The study indicates that Stage IE involves a single extralymphatic organ like the tonsil."", ""reference"": ""PMID:6690005"", ""snippet"": ""All cases were non-Hodgkin's lymphomas, with the majority being diffuse large cell lymphoma (85%). Initial therapy was radiotherapy alone in 54 patients, radiotherapy combined with chemotherapy in 8 patients, and chemotherapy alone in 3 patients. Stage was the most important prognostic factor, with 86% and 41% 5-year survivals for Stages IE and IIE, respectively (P = 0.006)."", ""supports"": ""SUPPORT""}"
6626	6458	275	Primary_Tonsillar_Lymphoma	Primary_Tonsillar_Lymphoma.yaml	stages	1	evidence	0	PMID:6690005	SUPPORT		Stage was the most important prognostic factor, with 86% and 41% 5-year survivals for Stages IE and IIE, respectively (P = 0.006).	The literature supports the definition of Stage II lymphoma, specifically mentioning Stage IIE, which involves cancer spreading to nearby organs or tissues.	"{""explanation"": ""The literature supports the definition of Stage II lymphoma, specifically mentioning Stage IIE, which involves cancer spreading to nearby organs or tissues."", ""reference"": ""PMID:6690005"", ""snippet"": ""Stage was the most important prognostic factor, with 86% and 41% 5-year survivals for Stages IE and IIE, respectively (P = 0.006)."", ""supports"": ""SUPPORT""}"
6627	6458	275	Primary_Tonsillar_Lymphoma	Primary_Tonsillar_Lymphoma.yaml	stages	1	evidence	1	PMID:9157474	SUPPORT		Primary extranodal lymphoma manifestation in the narrow sense is the term used to define the primary organ manifestation of a malignant lymphoma, excluding the thymus, spleen, Waldeyer's tonsillar ring, the appendix and Peyer's patches.	The literature provides context on extranodal manifestations, which aligns with the description of Stage IIE involving non-lymphatic tissue adjacent to involved lymph nodes.	"{""explanation"": ""The literature provides context on extranodal manifestations, which aligns with the description of Stage IIE involving non-lymphatic tissue adjacent to involved lymph nodes."", ""reference"": ""PMID:9157474"", ""snippet"": ""Primary extranodal lymphoma manifestation in the narrow sense is the term used to define the primary organ manifestation of a malignant lymphoma, excluding the thymus, spleen, Waldeyer's tonsillar ring, the appendix and Peyer's patches."", ""supports"": ""SUPPORT""}"
6628	6459	275	Primary_Tonsillar_Lymphoma	Primary_Tonsillar_Lymphoma.yaml	stages	2	evidence	0	PMID:16613685	PARTIAL		Stage I-II patients received radiochemotherapy-predominant treatment, whereas stage III-IV patients received chemotherapy-predominant treatment.	The reference confirms that there are Stage III-IV classifications for primary non-Hodgkin's lymphoma of the tonsil, which implies that Stage III involves cancer found in lymph node regions or organs on both sides of the diaphragm. However, it does not provide specific details about the pathophysiology described in the statement.	"{""explanation"": ""The reference confirms that there are Stage III-IV classifications for primary non-Hodgkin's lymphoma of the tonsil, which implies that Stage III involves cancer found in lymph node regions or organs on both sides of the diaphragm. However, it does not provide specific details about the pathophysiology described in the statement."", ""reference"": ""PMID:16613685"", ""snippet"": ""Stage I-II patients received radiochemotherapy-predominant treatment, whereas stage III-IV patients received chemotherapy-predominant treatment."", ""supports"": ""PARTIAL""}"
6629	6459	275	Primary_Tonsillar_Lymphoma	Primary_Tonsillar_Lymphoma.yaml	stages	2	evidence	1	PMID:31785002	PARTIAL		Patients with abdominal nodal disease had inferior lymphoma-specific survival (P = .04) and presented with higher age-adjusted IPI (P < .001), lactate dehydrogenase (P < .001) and more often advanced stage (P < .001), bulky disease (P < .001), B symptoms (P < .001), and double expression of MYC and BCL2 (P = .02) compared to patients without nodal abdominal involvement.	The reference indicates that advanced stages of diffuse large B-cell lymphomas (which can include primary tonsillar lymphoma) involve more aggressive behavior and systemic symptoms, which aligns with some aspects of the pathophysiology described. However, it does not explicitly confirm the spread of cancer to both sides of the diaphragm as described for Stage III.	"{""explanation"": ""The reference indicates that advanced stages of diffuse large B-cell lymphomas (which can include primary tonsillar lymphoma) involve more aggressive behavior and systemic symptoms, which aligns with some aspects of the pathophysiology described. However, it does not explicitly confirm the spread of cancer to both sides of the diaphragm as described for Stage III."", ""reference"": ""PMID:31785002"", ""snippet"": ""Patients with abdominal nodal disease had inferior lymphoma-specific survival (P = .04) and presented with higher age-adjusted IPI (P < .001), lactate dehydrogenase (P < .001) and more often advanced stage (P < .001), bulky disease (P < .001), B symptoms (P < .001), and double expression of MYC and BCL2 (P = .02) compared to patients without nodal abdominal involvement."", ""supports"": ""PARTIAL""}"
