assertion_id	disorder_id	disorder_name	source_file	section	section_index	name	description	category	frequency	diagnostic	context	subtype	role	presence	association	accession	age_range	background	base_model	classification	clinical_significance	consequence	data_type	de_novo_rate	definition_type	duration	effect	expressivity	features	genotype	incubation_days	incubation_years	markers	maximum_value	mean_range	minimum_value	model_format	model_id	model_software	model_type	notes	parent_of_origin_effect	penetrance	percentage	phase	platform	population	publication	repository_url	results	review_notes	sample_count	scope	sequence_length	severity	species	specificity	status	subtype_frequency	title	type	unit	scalar_fields_json	complex_fields_json	raw_json
1165	47	Bird Fancier's Lung	Bird_Fanciers_Lung.yaml	stages	0	Acute/Inflammatory	Acute hypersensitivity pneumonitis with rapid symptom onset after high-level antigen exposure.																																																								"{""description"": ""Acute hypersensitivity pneumonitis with rapid symptom onset after high-level antigen exposure."", ""name"": ""Acute/Inflammatory""}"	{}	"{""description"": ""Acute hypersensitivity pneumonitis with rapid symptom onset after high-level antigen exposure."", ""evidence"": [{""evidence_source"": ""HUMAN_CLINICAL"", ""explanation"": ""Rapid symptom onset is characteristic of acute disease."", ""reference"": ""PMID:6761066"", ""snippet"": ""Symptoms usually begin 4 to 6 hr after exposure to large quantities of causative organic dust."", ""supports"": ""SUPPORT""}], ""name"": ""Acute/Inflammatory""}"
1166	47	Bird Fancier's Lung	Bird_Fanciers_Lung.yaml	stages	1	Chronic/Fibrotic	Chronic hypersensitivity pneumonitis with gradual onset and risk of pulmonary fibrosis.																																																								"{""description"": ""Chronic hypersensitivity pneumonitis with gradual onset and risk of pulmonary fibrosis."", ""name"": ""Chronic/Fibrotic""}"	{}	"{""description"": ""Chronic hypersensitivity pneumonitis with gradual onset and risk of pulmonary fibrosis."", ""evidence"": [{""evidence_source"": ""HUMAN_CLINICAL"", ""explanation"": ""The review describes chronic progression with fibrotic outcomes."", ""reference"": ""PMID:6761066"", ""snippet"": ""Chronically, these diseases may present with the gradual onset of cough, dyspnea on exertion, fatigue, anorexia, and weight loss which may progress to pulmonary fibrosis or severe pulmonary insufficiency."", ""supports"": ""SUPPORT""}], ""name"": ""Chronic/Fibrotic""}"
1562	66	Chronic Myeloid Leukemia, BCR-ABL1 Positive	Chronic_Myeloid_Leukemia.yaml	stages	0	Chronic Phase	Initial indolent phase characterized by mature granulocyte expansion with less than 10% blasts in blood or bone marrow. Most patients are diagnosed in this phase and respond well to tyrosine kinase inhibitors.																																																								"{""description"": ""Initial indolent phase characterized by mature granulocyte expansion with less than 10% blasts in blood or bone marrow. Most patients are diagnosed in this phase and respond well to tyrosine kinase inhibitors."", ""name"": ""Chronic Phase""}"	{}	"{""description"": ""Initial indolent phase characterized by mature granulocyte expansion with less than 10% blasts in blood or bone marrow. Most patients are diagnosed in this phase and respond well to tyrosine kinase inhibitors."", ""name"": ""Chronic Phase""}"
1563	66	Chronic Myeloid Leukemia, BCR-ABL1 Positive	Chronic_Myeloid_Leukemia.yaml	stages	1	Accelerated Phase	Transitional phase marked by increasing blast counts (10-19%), basophilia, thrombocytopenia or thrombocytosis, and additional cytogenetic abnormalities. Indicates disease progression and decreased TKI responsiveness.																																																								"{""description"": ""Transitional phase marked by increasing blast counts (10-19%), basophilia, thrombocytopenia or thrombocytosis, and additional cytogenetic abnormalities. Indicates disease progression and decreased TKI responsiveness."", ""name"": ""Accelerated Phase""}"	{}	"{""description"": ""Transitional phase marked by increasing blast counts (10-19%), basophilia, thrombocytopenia or thrombocytosis, and additional cytogenetic abnormalities. Indicates disease progression and decreased TKI responsiveness."", ""name"": ""Accelerated Phase""}"
1564	66	Chronic Myeloid Leukemia, BCR-ABL1 Positive	Chronic_Myeloid_Leukemia.yaml	stages	2	Blast Crisis	Terminal phase resembling acute leukemia with 20% or more blasts in blood or bone marrow. May be myeloid or lymphoid lineage. Poor prognosis with limited treatment options.																																																								"{""description"": ""Terminal phase resembling acute leukemia with 20% or more blasts in blood or bone marrow. May be myeloid or lymphoid lineage. Poor prognosis with limited treatment options."", ""name"": ""Blast Crisis""}"	{}	"{""description"": ""Terminal phase resembling acute leukemia with 20% or more blasts in blood or bone marrow. May be myeloid or lymphoid lineage. Poor prognosis with limited treatment options."", ""evidence"": [{""explanation"": ""This paper demonstrates that advanced phase CML (blast crisis) has poor outcomes even with TKI therapy, reflecting disease progression."", ""reference"": ""PMID:11423618"", ""snippet"": ""Clinical studies with the Abl tyrosine kinase inhibitor STI-571 in chronic myeloid leukemia demonstrate that many patients with advanced stage disease respond initially but then relapse."", ""supports"": ""SUPPORT""}], ""name"": ""Blast Crisis""}"
3757	158	Human African trypanosomiasis	Human_African_Trypanosomiasis.yaml	stages	0	Hemolymphatic stage	Early stage with bloodstream and lymphatic involvement before CNS invasion.																																																								"{""description"": ""Early stage with bloodstream and lymphatic involvement before CNS invasion."", ""name"": ""Hemolymphatic stage""}"	{}	"{""description"": ""Early stage with bloodstream and lymphatic involvement before CNS invasion."", ""evidence"": [{""explanation"": ""The abstract defines the hemolymphatic stage as one of the two stages."", ""reference"": ""PMID:23829907"", ""snippet"": ""The disease evolves in two stages, the hemolymphatic and meningoencephalitic stages"", ""supports"": ""SUPPORT""}], ""name"": ""Hemolymphatic stage""}"
3758	158	Human African trypanosomiasis	Human_African_Trypanosomiasis.yaml	stages	1	Meningoencephalitic stage	CNS stage defined by trypanosomal traversal of the blood-brain barrier.																																																								"{""description"": ""CNS stage defined by trypanosomal traversal of the blood-brain barrier."", ""name"": ""Meningoencephalitic stage""}"	{}	"{""description"": ""CNS stage defined by trypanosomal traversal of the blood-brain barrier."", ""evidence"": [{""explanation"": ""The abstract defines the CNS stage by BBB traversal and infection."", ""reference"": ""PMID:23829907"", ""snippet"": ""the latter being defined by central nervous system infection after trypanosomal traversal of the blood-brain barrier."", ""supports"": ""SUPPORT""}], ""name"": ""Meningoencephalitic stage""}"
6402	272	Primary Myelofibrosis	Primary_Myelofibrosis.yaml	stages	0	Prefibrotic PMF	Early stage characterized by hypercellular marrow with megakaryocyte proliferation and atypia, but minimal or absent reticulin fibrosis (grade 0-1). Often presents with thrombocytosis and may be mistaken for essential thrombocythemia.																																																								"{""description"": ""Early stage characterized by hypercellular marrow with megakaryocyte proliferation and atypia, but minimal or absent reticulin fibrosis (grade 0-1). Often presents with thrombocytosis and may be mistaken for essential thrombocythemia."", ""name"": ""Prefibrotic PMF""}"	{}	"{""description"": ""Early stage characterized by hypercellular marrow with megakaryocyte proliferation and atypia, but minimal or absent reticulin fibrosis (grade 0-1). Often presents with thrombocytosis and may be mistaken for essential thrombocythemia."", ""name"": ""Prefibrotic PMF""}"
6403	272	Primary Myelofibrosis	Primary_Myelofibrosis.yaml	stages	1	Overt PMF	Advanced stage with significant reticulin or collagen fibrosis (grade 2-3), progressive cytopenias, splenomegaly, and constitutional symptoms. Leukoerythroblastic blood picture and tear-drop cells are characteristic.																																																								"{""description"": ""Advanced stage with significant reticulin or collagen fibrosis (grade 2-3), progressive cytopenias, splenomegaly, and constitutional symptoms. Leukoerythroblastic blood picture and tear-drop cells are characteristic."", ""name"": ""Overt PMF""}"	{}	"{""description"": ""Advanced stage with significant reticulin or collagen fibrosis (grade 2-3), progressive cytopenias, splenomegaly, and constitutional symptoms. Leukoerythroblastic blood picture and tear-drop cells are characteristic."", ""name"": ""Overt PMF""}"
6457	275	Primary_Tonsillar_Lymphoma	Primary_Tonsillar_Lymphoma.yaml	stages	0	Stage I	Cancer is found in a single region of lymph nodes or a single extralymphatic organ.																																																								"{""description"": ""Cancer is found in a single region of lymph nodes or a single extralymphatic organ."", ""name"": ""Stage I""}"	"{""pathophysiology"": [{""cell_types"": [{""preferred_term"": ""B-cell Lymphocyte""}, {""preferred_term"": ""T-cell Lymphocyte""}], ""description"": ""Abnormal growth and accumulation of malignant lymphocytes confined to a single site."", ""name"": ""Localized Lymphocyte Proliferation""}, {""description"": ""Limited alteration of surrounding tissue architecture due to localized nature of the disease."", ""name"": ""Minimal Tissue Disruption""}, {""description"": ""Presence of B symptoms in IB indicates more aggressive disease biology with systemic effects."", ""name"": ""Systemic Effects in IB""}], ""substages"": [{""description"": ""A single lymph node region is involved, without B symptoms."", ""name"": ""Stage IA""}, {""description"": ""A single lymph node region is involved, with B symptoms."", ""name"": ""Stage IB""}, {""description"": ""A single extralymphatic organ is involved (e.g., the tonsil)."", ""name"": ""Stage IE""}]}"	"{""description"": ""Cancer is found in a single region of lymph nodes or a single extralymphatic organ."", ""evidence"": [{""explanation"": ""The literature supports the statement that primary tonsillar lymphoma can be classified as Stage I when it is localized to a single region (the tonsil). The study indicates that Stage IE involves a single extralymphatic organ like the tonsil."", ""reference"": ""PMID:6690005"", ""snippet"": ""All cases were non-Hodgkin's lymphomas, with the majority being diffuse large cell lymphoma (85%). Initial therapy was radiotherapy alone in 54 patients, radiotherapy combined with chemotherapy in 8 patients, and chemotherapy alone in 3 patients. Stage was the most important prognostic factor, with 86% and 41% 5-year survivals for Stages IE and IIE, respectively (P = 0.006)."", ""supports"": ""SUPPORT""}], ""name"": ""Stage I"", ""pathophysiology"": [{""cell_types"": [{""preferred_term"": ""B-cell Lymphocyte""}, {""preferred_term"": ""T-cell Lymphocyte""}], ""description"": ""Abnormal growth and accumulation of malignant lymphocytes confined to a single site."", ""name"": ""Localized Lymphocyte Proliferation""}, {""description"": ""Limited alteration of surrounding tissue architecture due to localized nature of the disease."", ""name"": ""Minimal Tissue Disruption""}, {""description"": ""Presence of B symptoms in IB indicates more aggressive disease biology with systemic effects."", ""name"": ""Systemic Effects in IB""}], ""substages"": [{""description"": ""A single lymph node region is involved, without B symptoms."", ""name"": ""Stage IA""}, {""description"": ""A single lymph node region is involved, with B symptoms."", ""name"": ""Stage IB""}, {""description"": ""A single extralymphatic organ is involved (e.g., the tonsil)."", ""name"": ""Stage IE""}]}"
