disease_name,disease_id,claim_type,claim_class,source_path,claim_kind,claim_text,subject_label,subject_id,predicate_label,predicate_id,object_label,object_id,qualifier_name,qualifier_value,qualifier_value_id,qualifiers_json,is_subclaim,qualifier_evidence_missing,evidence_reference,evidence_reference_title,evidence_supports,evidence_source,evidence_snippet,evidence_explanation
Asthma,MONDO:0004979,subtype,Subtype,has_subtypes[0],base,Asthma has subtype Allergic Asthma,Asthma,MONDO:0004979,has subtype,has_subtypes,Allergic Asthma,,,,,,False,False,PMID:32037107,Allergic Endotypes and Phenotypes of Asthma.,SUPPORT,,"Allergic asthma is defined as asthma associated with sensitization to aeroallergens, which leads to asthma symptoms and airway inflammation.",The literature explicitly states that allergic asthma is triggered by allergens.
Asthma,MONDO:0004979,subtype,Subtype,has_subtypes[0],base,Asthma has subtype Allergic Asthma,Asthma,MONDO:0004979,has subtype,has_subtypes,Allergic Asthma,,,,,,False,False,PMID:24925403,Mites and allergy.,SUPPORT,,"Allergic diseases triggered by mite allergens include allergic rhinoconjunctivitis, asthma, atopic dermatitis and other skin diseases.","This literature confirms asthma can be triggered by mite allergens, consistent with the definition of allergic asthma."
Asthma,MONDO:0004979,subtype,Subtype,has_subtypes[0],base,Asthma has subtype Allergic Asthma,Asthma,MONDO:0004979,has subtype,has_subtypes,Allergic Asthma,,,,,,False,False,PMID:32589303,The effects of climate change on respiratory allergy and asthma induced by pollen and mold allergens.,PARTIAL,,"Respiratory health can be particularly affected by climate change, which contributes to the development of allergic respiratory diseases and asthma.","The document indicates that climate change contributes to the development of asthma, supporting the statement."
Asthma,MONDO:0004979,subtype,Subtype,has_subtypes[0],base,Asthma has subtype Allergic Asthma,Asthma,MONDO:0004979,has subtype,has_subtypes,Allergic Asthma,,,,,,False,False,PMID:30725285,N/OFQ-NOP System and Airways.,SUPPORT,,"Asthma is a heterogeneous chronic inflammatory disease of the airways. The most prevalent form is atopic asthma, which is initiated by the exposure to (inhaled) allergens.","This literature identifies atopic (allergic) asthma as initiated by allergens, which supports the statement."
Asthma,MONDO:0004979,subtype,Subtype,has_subtypes[1],base,Asthma has subtype Non-Allergic Asthma,Asthma,MONDO:0004979,has subtype,has_subtypes,Non-Allergic Asthma,,,,,,False,False,PMID:11678516,Exercise-induced asthma: an overview.,PARTIAL,,"Asthmatic attack in exercise-induced asthma is brought about by hyperventilation (not necessarily to exercise), cold air, and low humidity of the air breathed.","The reference discusses asthma subtypes triggered by exercise, cold air, and respiratory conditions, but does not explicitly mention stress or classify it specifically as 'Non-Allergic Asthma'."
Asthma,MONDO:0004979,subtype,Subtype,has_subtypes[1],base,Asthma has subtype Non-Allergic Asthma,Asthma,MONDO:0004979,has subtype,has_subtypes,Non-Allergic Asthma,,,,,,False,False,PMID:25439356,Developing and emerging clinical asthma phenotypes.,PARTIAL,,"First, asthma phenotypes that are associated with environmental exposures (occupational agents, cigarette smoke, air pollution, cold dry air)...","The reference mentions environmental exposures like cold dry air and non-allergic triggers, but does not explicitly identify stress or exercise specifically in relation to 'Non-Allergic Asthma'."
Asthma,MONDO:0004979,subtype,Subtype,has_subtypes[1],base,Asthma has subtype Non-Allergic Asthma,Asthma,MONDO:0004979,has subtype,has_subtypes,Non-Allergic Asthma,,,,,,False,False,PMID:20176257,Environmental and occupational allergies.,PARTIAL,,Indoor and outdoor air pollutants trigger airway inflammation and increase the severity of asthma.,The reference corroborates that environmental pollutants are triggers for asthma exacerbations.
Asthma,MONDO:0004979,subtype,Subtype,has_subtypes[2],base,Asthma has subtype Adult-Onset Asthma,Asthma,MONDO:0004979,has subtype,has_subtypes,Adult-Onset Asthma,,,,,,False,False,PMID:36833767,Subtypes of Adult-Onset Asthma at the Time of Diagnosis: A Latent Class Analysis.,NO_EVIDENCE,,"Only a few previous studies have investigated the subtypes of adult-onset asthma. No previous study has assessed whether these subtypes are different between men and women, or whether these subtypes have different risk factors.","The reference discusses subtypes of adult-onset asthma and emphasizes the importance of different risk factors, which supports that adult-onset asthma could have environmental triggers."
Asthma,MONDO:0004979,subtype,Subtype,has_subtypes[2],base,Asthma has subtype Adult-Onset Asthma,Asthma,MONDO:0004979,has subtype,has_subtypes,Adult-Onset Asthma,,,,,,False,False,PMID:30240884,New-Onset Asthma in Adults: What Does the Trigger History Tell Us?,SUPPORT,,"Adult-onset asthma is an important asthma phenotype and, in contrast to childhood asthma, is often associated with specific triggers of onset.","This study indicates that adult-onset asthma is often associated with specific triggers of onset, which aligns with the statement that it is often triggered by environmental factors."
Asthma,MONDO:0004979,subtype,Subtype,has_subtypes[2],base,Asthma has subtype Adult-Onset Asthma,Asthma,MONDO:0004979,has subtype,has_subtypes,Adult-Onset Asthma,,,,,,False,False,PMID:20176257,Environmental and occupational allergies.,SUPPORT,,"Exposure to unusual substances at work causes occupational asthma, accounting for about 5% of asthma in adults. Indoor and outdoor air pollutants trigger airway inflammation and increase the severity of asthma.","The literature specifies that environmental factors such as pollutants can trigger adult asthma, further supporting the statement about environmental triggers."
