pmid,year,evidence_type,stance,mechanistic_claim_tested,key_finding,disease_context,confidence_and_limitations
35360980,2022,human_clinical,supports,Radial-ray predominance of FA limb malformations,"28/28 limb-affected FA patients had thumb hypoplasia; radial dysplasia and thumb duplication common; screen for FA in all radial-ray anomalies",FA upper-limb phenotype (NCI cohort n=48),"Descriptive, no inferential stats; establishes explanandum but does not test mechanism"
22683204,2012,human_clinical/model,supports,p53/p21 hyperactivation eliminates FA progenitors,"p53 hyperactivated on replicative stress -> p21-dependent G0/G1 arrest depletes HSPCs; p53 knockdown rescues defect",FA marrow failure (patient cells + models),"Strong mechanistic evidence but hematopoietic; limb-bud step not tested (extrapolation)"
33723374,2021,review,qualifies,FA as p53-p21 senescence syndrome driving developmental abnormality,"FA cells show p53-p21 axis activation; senescence can drive developmental abnormalities",FA general,"Review-level synthesis; orientation not primary limb evidence"
21734703,2011,model_organism,supports,Endogenous aldehydes + FA loss cause developmental defects,"Aldh2 essential for development of Fancd2-/- embryos; in-utero ethanol sensitivity; abnormal development",Mouse FA/aldehyde model,"Developmental defects not specifically radial-ray; strong causal aldehyde link"
22922648,2012,model_organism,supports,Aldehyde + FA loss catastrophically depletes progenitors,">600-fold reduction in HSC pool in Aldh2-/-Fancd2-/- mice; only HSPCs need Aldh2 protection",Mouse hematopoiesis,"Hematopoietic not limb; demonstrates progenitor-specific vulnerability principle"
37348497,2023,model_organism,supports,Aldehyde stress drives p53-dependent progenitor loss,"Endogenous formaldehyde requires ALDH2/ADH5 + FA pathway; ages HSCs in a p53-driven manner",Mouse HSC,"Unifies aldehyde + p53 arms; hematopoietic context"
33512438,2021,in_vitro,supports,Aldehyde-detox loss impairs human progenitor expansion,"ADH5/ALDH2-deficient iPSC show drastically defective expansion on hematopoietic differentiation",Human FA-like iPSC,"In vitro hematopoietic differentiation; no limb model"
35417938,2023,human_clinical,qualifies,Malformation burden scales with FA-pathway depth,"ID-complex genotypes associated with VACTERL-H (limb); upstream-complex lack VACTERL-H",FA genotype-phenotype (NCI n=203),"Consistent with dose-dependent progenitor loss; does not localize to anterior field"
41984002,2026,human_clinical/review,competing,SHH patterning underlies radial-ray anomalies,"SHH expression associated with induction of both RLD and radial polydactyly in animal studies",Radial longitudinal deficiency (CoULD registry),"Supports patterning alternative; SHH is posterior morphogen — anterior effect indirect"
33086350,2020,human_clinical,qualifies,Radius and thumb deficiency severity co-vary,"Radial and thumb severity correlated (Kendall tau=0.49, 95% CI 0.40-0.57, p<0.05); syndromic 2x more bilateral",Radial longitudinal deficiency (CoULD n=259),"Consistent with a shared anterior field effect (either mechanism)"
8922533,1996,model_organism,context,Posterior-to-anterior gradient of polarizing activity in limb,"Anterior radius has weaker/later polarizing (Shh/Ihh) activity than posterior ulna",Chick limb development,"Background on A-P asymmetry; not FA-specific"
41733882,2026,human_clinical,qualifies,FANCA can present with ectrodactyly not classic radial ray,"FANCA family with ectrodactyly; modifier EHMT1 variant co-segregated",FA case/pedigree,"Shows limb phenotype heterogeneity beyond radial ray; modifier effects"
41017074,2026,human_clinical,qualifies,RAD51-FA strongly associated with VACTERL limb anomalies,"De novo RAD51 variant with VACTERL + PHENOS including limb anomalies",FA (RAD51) case,"Reinforces genotype-limb association; single case"
15096952,2004,review,competing,TBX5 patterning mechanism for preaxial radial ray,"Holt-Oram = preaxial radial ray + cardiac via TBX5 haploinsufficiency (transcription factor)",Holt-Oram syndrome,"Patterning route, not apoptosis; parallel radial-ray convergence"
16917909,2006,human_clinical,competing,TBX5 haploinsufficiency causes radial ray,"TBX5 mutations cause anterior/radial ray upper-limb malformations + cardiac",Holt-Oram syndrome,"Patterning-gene mechanism competing with progenitor apoptosis"
36829172,2023,human_clinical,competing,SALL4 transcription factor radial ray,"SALL4 nonsense mutation causes Duane-radial-ray; radial ray defects + absent thumbs",SALL4-related (DRR/Okihiro),"TF/patterning mechanism; thumb involvement like FA but via transcription"
42147171,2026,model_organism,competing,RBM8A drives radial ray via Hedgehog/bone development,"RBM8A critical for embryonic bone development and proper Hedgehog signaling (title-level claim; abstract truncated in tool)",TAR syndrome (zebrafish/mouse),"Patterning/Hedgehog route; snippet from title not abstract (unvalidated)"
40907933,2025,model_organism,competing,RBM8A radial ray via LPM Wnt/PCP patterning,"rbm8a perturbation impairs lateral-plate-mesoderm architecture via non-canonical Wnt/PCP; forelimb+hematopoietic progenitors affected",TAR syndrome (zebrafish),"Patterning/mesoderm-architecture mechanism, not apoptosis"
41925074,2026,human_clinical,competing,TAR obligately preserves thumb (clinical rule),"TAR = bilateral radial aplasia with preserved thumbs (clinical/diagnostic rule)",TAR syndrome case,"Discriminator is penetrance/obligate-presence; NOT supported at HPO annotation level (see Monarch query row)"
Monarch:MONDO:0019391,2026,computational,supports,FA annotated limb phenotype = radial-ray field,"Monarch/HPO D->P query: FA (668 assoc) annotated with radius + 1st metacarpal + thumb terms incl HP:0006433 Radial ray deficiency; spans reduction AND duplication",FA ontology annotation,"Ontology-annotation check not mechanism; counts=curation depth not frequency; verified 2026-09-13 (artifact monarch_hpo_query.json)"
Monarch:MONDO:0010121,2026,computational,qualifies,TAR thumb-sparing NOT clean at annotation level,"Monarch query: TAR (115 assoc) carries thumb annotations (Absent/Short/Broad/Adducted thumb); Holt-Oram (132) extensive thumb+radius set",TAR/Holt-Oram ontology,"Corrects prior thumb-sparing discriminator; overlap across all three disorders; verified 2026-09-13"
