evidence_id	assertion_id	disorder_id	disorder_name	source_file	section	section_index	path	evidence_index	reference	supports	evidence_source	snippet	explanation	raw_json
153	154	8	Acne Vulgaris	Acne_Vulgaris.yaml	clinical_trials	0	evidence	0	clinicaltrials:NCT00421993	SUPPORT		This is a multi-center, randomized, double-blind, parallel group study with 12 weeks of treatment of acne vulgaris.	The trial evaluates a combination topical therapy specifically in participants with acne vulgaris.	"{""explanation"": ""The trial evaluates a combination topical therapy specifically in participants with acne vulgaris."", ""reference"": ""clinicaltrials:NCT00421993"", ""snippet"": ""This is a multi-center, randomized, double-blind, parallel group study with 12 weeks of treatment of acne vulgaris."", ""supports"": ""SUPPORT""}"
154	155	8	Acne Vulgaris	Acne_Vulgaris.yaml	clinical_trials	1	evidence	0	clinicaltrials:NCT02249767	SUPPORT		Normal, healthy male and female children and adults (i.e., ages 12 to 40 years) with at least Grade 2 (i.e., mild severity) acne vulgaris were treated on the full face once daily for 84 days with the Tretinoin Gel 0.05%, Brand (tretinoin) Gel 0.05%, or Gel Vehicle.	This study explicitly enrolls participants with acne vulgaris and evaluates topical tretinoin treatment.	"{""explanation"": ""This study explicitly enrolls participants with acne vulgaris and evaluates topical tretinoin treatment."", ""reference"": ""clinicaltrials:NCT02249767"", ""snippet"": ""Normal, healthy male and female children and adults (i.e., ages 12 to 40 years) with at least Grade 2 (i.e., mild severity) acne vulgaris were treated on the full face once daily for 84 days with the Tretinoin Gel 0.05%, Brand (tretinoin) Gel 0.05%, or Gel Vehicle."", ""supports"": ""SUPPORT""}"
854	673	28	Asthma	Asthma.yaml	clinical_trials	0	evidence	0	clinicaltrials:NCT05813288	SUPPORT		The objective of this clinical study is to investigate the safety, tolerability, and efficacy of dexpramipexole in participants with inadequately controlled severe eosinophilic asthma.	This trial directly evaluates a therapeutic approach for severe eosinophilic asthma, a well-defined phenotype of asthma, and represents current research into treatment options for this severe form of the disease.	"{""explanation"": ""This trial directly evaluates a therapeutic approach for severe eosinophilic asthma, a well-defined phenotype of asthma, and represents current research into treatment options for this severe form of the disease."", ""reference"": ""clinicaltrials:NCT05813288"", ""snippet"": ""The objective of this clinical study is to investigate the safety, tolerability, and efficacy of dexpramipexole in participants with inadequately controlled severe eosinophilic asthma."", ""supports"": ""SUPPORT""}"
1143	913	39	Bacterial meningitis	Bacterial_meningitis.yaml	clinical_trials	0	evidence	0	clinicaltrials:NCT02591290	SUPPORT		evaluate and describe the immune responses to meningococcal antigens (serogroups A,C, Y and W-135) at 28 days following each vaccination with SP284 vaccine	MenACWY conjugate vaccine immune response data relevant to bacterial meningitis prevention.	"{""explanation"": ""MenACWY conjugate vaccine immune response data relevant to bacterial meningitis prevention."", ""reference"": ""clinicaltrials:NCT02591290"", ""snippet"": ""evaluate and describe the immune responses to meningococcal antigens (serogroups A,C, Y and W-135) at 28 days following each vaccination with SP284 vaccine"", ""supports"": ""SUPPORT""}"
1144	914	39	Bacterial meningitis	Bacterial_meningitis.yaml	clinical_trials	1	evidence	0	clinicaltrials:NCT07062445	SUPPORT		Prospective, multicenter, observational clinical registry of pediatric patients with acute infectious meningitis	Real-world registry to characterize management and outcomes in pediatric meningitis, informing care protocols.	"{""explanation"": ""Real-world registry to characterize management and outcomes in pediatric meningitis, informing care protocols."", ""reference"": ""clinicaltrials:NCT07062445"", ""snippet"": ""Prospective, multicenter, observational clinical registry of pediatric patients with acute infectious meningitis"", ""supports"": ""SUPPORT""}"
1418	1124	47	Bird Fancier's Lung	Bird_Fanciers_Lung.yaml	clinical_trials	0	evidence	0	clinicaltrials:NCT02958917	SUPPORT	HUMAN_CLINICAL	Patients are being offered participation in this pirfenidone trial because They have been diagnosed with fibrotic hypersensitivity pneumonitis (FHP), a type of interstitial lung disease (ILD).	The registry entry specifies the trial population and disease focus.	"{""evidence_source"": ""HUMAN_CLINICAL"", ""explanation"": ""The registry entry specifies the trial population and disease focus."", ""reference"": ""clinicaltrials:NCT02958917"", ""snippet"": ""Patients are being offered participation in this pirfenidone trial because They have been diagnosed with fibrotic hypersensitivity pneumonitis (FHP), a type of interstitial lung disease (ILD)."", ""supports"": ""SUPPORT""}"
1419	1125	47	Bird Fancier's Lung	Bird_Fanciers_Lung.yaml	clinical_trials	1	evidence	0	clinicaltrials:NCT02496182	SUPPORT	HUMAN_CLINICAL	the investigators propose to evaluate the addition of Pirfenidone to the actual treatment with Prednisone and Azathioprine in the treatment of patients with Pulmonary Fibrosis secondary to a Chronic Hypersensitivity Pneumonitis.	The registry summary outlines treatment strategy and target population.	"{""evidence_source"": ""HUMAN_CLINICAL"", ""explanation"": ""The registry summary outlines treatment strategy and target population."", ""reference"": ""clinicaltrials:NCT02496182"", ""snippet"": ""the investigators propose to evaluate the addition of Pirfenidone to the actual treatment with Prednisone and Azathioprine in the treatment of patients with Pulmonary Fibrosis secondary to a Chronic Hypersensitivity Pneumonitis."", ""supports"": ""SUPPORT""}"
1420	1126	47	Bird Fancier's Lung	Bird_Fanciers_Lung.yaml	clinical_trials	2	evidence	0	clinicaltrials:NCT04844359	SUPPORT	HUMAN_CLINICAL	Up to 150 patients with hypersensitivity pneumonitis will be enrolled at 7 clinical centers across the United States. Patients will be followed for 24 months to determine if biomarkers in the blood can predict disease progression.	The registry summary describes enrollment and biomarker-focused outcomes.	"{""evidence_source"": ""HUMAN_CLINICAL"", ""explanation"": ""The registry summary describes enrollment and biomarker-focused outcomes."", ""reference"": ""clinicaltrials:NCT04844359"", ""snippet"": ""Up to 150 patients with hypersensitivity pneumonitis will be enrolled at 7 clinical centers across the United States. Patients will be followed for 24 months to determine if biomarkers in the blood can predict disease progression."", ""supports"": ""SUPPORT""}"
2016	1770	75	Coronary Artery Disease	Coronary_Artery_Disease.yaml	clinical_trials	0	evidence	0	clinicaltrials:NCT05018247	SUPPORT		To compare the impact of revascularization and Optimal Medical Treatment (OMT) on the extent of severely reduced coronary flow capacity in stable ischemic heart disease.	The trial directly tests a revascularization strategy for stable ischemic coronary disease, informing interventional management.	"{""explanation"": ""The trial directly tests a revascularization strategy for stable ischemic coronary disease, informing interventional management."", ""reference"": ""clinicaltrials:NCT05018247"", ""snippet"": ""To compare the impact of revascularization and Optimal Medical Treatment (OMT) on the extent of severely reduced coronary flow capacity in stable ischemic heart disease."", ""supports"": ""SUPPORT""}"
2637	2520	111	FICUS syndrome	FICUS_syndrome.yaml	clinical_trials	0	evidence	0	clinicaltrials:NCT05280691	SUPPORT		The primary study endpoint is quality of family care, operationalized as family members' satisfaction with ICU care at discharge.	This trial evaluates a family support intervention and targets family outcomes relevant to FICUS.	"{""explanation"": ""This trial evaluates a family support intervention and targets family outcomes relevant to FICUS."", ""reference"": ""clinicaltrials:NCT05280691"", ""snippet"": ""The primary study endpoint is quality of family care, operationalized as family members' satisfaction with ICU care at discharge."", ""supports"": ""SUPPORT""}"
