pmid,year,evidence_type,stance,species,cohort_n,nk_count,nk_cytotox,b_count,perforin_granzyme,proliferation,mechanistic_claim,key_finding,context
21542827,2011,human_clinical,support,human,10,reduced,reduced,reduced,reduced,mixed,Intrinsic NK cytotoxic-machinery + B numeric defect,"Reduced B (P=0.048) and NK (P=0.0002) counts; NK perforin (P<1e-5) and granzyme (P=0.0057) reduced; NK cytotoxicity reduced (P<0.001); CTL reduced (P<1e-4); tetanus proliferation reduced (P=0.008) but PHA/candida normal",Children with FA (seed reference)
28557197,2017,human_clinical,support,human,29,reduced,reduced,reduced,NA,NA,Defect present without transplant or malignancy,"Lower total B (P<0.001), memory B (P<0.001), decreased IgM (P<0.001), decreased NK (P<0.001) and NK cytotoxicity (P<0.001); cohort had NO BMT and NO malignancy",FA no-BMT/no-malignancy cohort
30949167,2019,human_clinical,support,human,NA,NA,reduced,NA,NA,NA,NK degranulation defect drives impaired cytotoxicity,First report of defective NK degranulation causing abnormal NK cytotoxicity; links to hyperinflammation/HLH,FA patients (mechanistic)
24240977,2014,human_clinical,support,human,42,reduced,NA,NA,NA,NA,Quantitative + differentiation NK defect,"Decreased CD8+ T and CD56dim CD16+ NK; NK subset imbalance; impaired NK differentiation",FA patients (large sample)
26895835,2016,model_organism,support,mouse,NA,NA,NA,defect_function,NA,NA,Cell-intrinsic B-cell class-switch/ASC defect via Wnt/beta-catenin,"Fancc-/- B cells: defective IgG2a switch and impaired ASC differentiation; hyperactive Wnt/beta-catenin represses Blimp1; intrinsic to B cells",Fancc-/- mouse (no overt marrow failure)
34348001,2021,review,support,human,NA,reduced,reduced,NA,NA,NA,NK cells dysfunctional in cytotoxicity and cytokine production,"Review: FA NK cells dysfunctional in cytotoxicity and cytokine production; molecular basis undefined",Review/orientation
25963299,2015,human_clinical,qualify,human,118,reduced,NA,reduced,NA,normal,B/NK low but proliferation normal; Ig/CD4 adult-associated,"Children with FA normal Ig; both children+adults lower B and NK (P<0.01); lymphoproliferation and cytokines (TNF-a,IFN-g) similar to relatives; adult Ig/CD4/lymphocyte deficits",IBMFS incl FA vs 202 relatives (BMF-adjusted)
22683204,2012,human_clinical,competing,human,NA,NA,NA,NA,NA,NA,p53/p21 pan-HSPC attrition before BMF,"Profound HSPC defect present before clinical BMF; p53 hyperactivation -> p21 G0/G1 arrest; p53 knockdown rescues HSPCs (pan-lineage, not lymphoid-specific)",FA patients / models
35671096,2022,model_organism,competing,human_mouse,NA,NA,NA,NA,NA,NA,NKG2D-ligand-mediated NK clearance of FA HSPCs,"FA CD34+ HSPCs upregulate NKG2D ligands correlating inversely with %CD34+; blocking NKG2D-NKG2D-L improves clonogenicity and ameliorates anemia in FA mouse",FA HSPC/BM (immune-mediated BMF)
27720904,2016,model_organism,qualify,mouse,NA,NA,NA,NA,NA,NA,Fetal HSPC fitness deficit is p53-INDEPENDENT,"Fetal Fancd2 HSPC replicative-fitness deficits occur independently of p53",Fetal murine Fancd2 model
18055871,2008,in_vitro,competing,human,NA,NA,NA,NA,NA,NA,TNF-a oversecretion via MAPK/NF-kB/MMP-7 (microenvironmental myelosuppression),"FANC loss aberrantly activates NF-kB and MAPKs; MMP-7-dependent TNF-a shedding; MAPK inhibition normalizes TNF-a",FA cells (cell-extrinsic BMF axis)
19850743,2009,in_vitro,competing,human_mouse,NA,NA,NA,NA,NA,NA,FANCC suppresses TLR8-driven TNF-a independent of crosslink repair,"FANCC suppresses TNF-a in mononuclear phagocytes via TLR8; repair-independent immune function",FA-C monocytes/macrophages
24046015,2013,in_vitro,competing,human_mouse,NA,NA,NA,NA,NA,NA,FANCA/FANCC macrophages overproduce TNF-a and IL-1b (p38); IL-1b suppresses progenitors,"p38-dependent TNF-a/IL-1b overproduction; IL-1b suppresses Fancc-/- multipotent progenitor expansion",FA macrophages/BM progenitors
23889587,2013,human_clinical,qualify,human,NA,NA,NA,normal_BM_proportion,NA,NA,BM lymphocyte proportions normal; no T-cell TNF-a/IFN-g overproduction in FA BM,"FA BM: T/B lymphocyte proportions similar to controls; no TNF-a/IFN-g overproduction by T cells; monocytes hypersensitive to low-dose LPS",FA bone marrow mononuclear cells
NA_GEO_2026,2026,computational,qualify,NA,NA,NA,NA,NA,NA,NA,Verified absence of FA NK/B immune omics in GEO; no trial targets intrinsic lymphoid defect,"GEO gds: FA+NK=0 datasets; FA+Bcell=1 false match; 5 FANC datasets all non-immune. ClinicalTrials.gov: 50 studies all HSCT/GVHD context",Source-level data absence (2026-09-13)
