count	maxo_id	maxo_label	ncit_id	ncit_label	confidence	note
654	MAXO:0000950	supportive care	NCIT:C15747	Supportive Care	HIGH	known-good exact
360	MAXO:0000004	surgical procedure	NCIT:C15329	Surgical Procedure	HIGH	known-good exact
284	MAXO:0000533	molecular genetic testing	NCIT:C19770	Molecular Analysis	MED	no exact molecular-genetic-testing term; molecular analysis
198	MAXO:0000003	diagnostic procedure	NCIT:C18020	Diagnostic Procedure	HIGH	exact
179	MAXO:0000127	genetic testing	NCIT:C15709	Genetic Testing	HIGH	exact
158	MAXO:0000088	dietary intervention	NCIT:C15447	Dietary Intervention	HIGH	known-good exact
156	MAXO:0000487	clinical assessment	NCIT:C124351	Clinical Evaluation	HIGH	synonym match
134	MAXO:0000011	physical therapy	NCIT:C15302	Physical Therapy	HIGH	known-good exact
108	MAXO:0000647	chemotherapy	NCIT:C15632	Chemotherapy	HIGH	known-good exact
87	MAXO:0001001	gene therapy	NCIT:C15238	Gene Therapy	HIGH	known-good exact
74	MAXO:0000079	genetic counseling	NCIT:C15240	Genetic Counseling	HIGH	known-good exact
71	MAXO:0000424	magnetic resonance imaging procedure	NCIT:C16809	Magnetic Resonance Imaging	HIGH	known-good exact
59	MAXO:0010039	organ transplantation	NCIT:C15289	Organ Transplantation	HIGH	exact
57	MAXO:0000747	hematopoietic stem cell transplantation	NCIT:C15431	Hematopoietic Cell Transplantation	HIGH	known-good exact
47	MAXO:0000930	speech therapy	NCIT:C159273	Speech Language Therapy	HIGH	synonym match
46	MAXO:0000124	disease screening	NCIT:C15419	Disease Screening	HIGH	exact
43	MAXO:0000014	radiation therapy	NCIT:C15313	Radiation Therapy	HIGH	known-good exact
43	MAXO:0000006	clinical laboratory procedure	NCIT:C25294	Laboratory Procedure	MED	broader; no clinical-lab-procedure term
42	MAXO:0000167	anticonvulsant agent therapy	NCIT:C64172	Anticonvulsant Therapy	HIGH	known-good exact
42	MAXO:0000106	nutritional supplementation	NCIT:C15433	Nutritional Support	MED	broader; no generic supplementation-procedure term
40	MAXO:0001017	vaccination	NCIT:C15346	Vaccination	HIGH	known-good exact
27	MAXO:0000077	behavioral counseling	NCIT:C181743	Behavioral Counseling	HIGH	exact
26	MAXO:0001480	immunoglobulin infusion therapy	NCIT:C62710	Immunoglobulin Therapy	HIGH	generic immunoglobulin therapy
26	MAXO:0001155	eye examination	NCIT:C38060	Eye Examination	HIGH	exact
26	MAXO:0009030	hearing aid usage	NCIT:C183182	Hearing Aid	MED	device, not a procedure; no hearing-aid-usage action term
26	MAXO:0000932	electroencephalography	NCIT:C38054	Electroencephalography	HIGH	exact
23	MAXO:0000283	hormone modifying therapy	NCIT:C15445	Hormone Therapy	HIGH	known-good exact
23	MAXO:0001002	immunotherapy procedure	NCIT:C15262	Immunotherapy	HIGH	known-good exact
22	MAXO:0001351	occupational therapy	NCIT:C121351	Occupational Therapy	HIGH	exact
20	MAXO:0010006	carnitine supplementation	NCIT:C15433	Nutritional Support	LOW	carnitine is a drug/supplement substance; no carnitine-supplementation procedure term
20	MAXO:0000297	immune suppressant agent therapy	NCIT:C15261	Immunosuppressive Therapy	HIGH	known-good exact
20	MAXO:0001492	surveillance for malignancies	NCIT:C15406	Cancer Screening	MED	malignancy surveillance approx screening
19	MAXO:0000703	ophthalmologist evaluation	NCIT:C38060	Eye Examination	MED	ophthalmology evaluation approx eye exam
19	MAXO:0000933	enzyme replacement or supplementation therapy	NCIT:C16221	Protein Replacement Therapy	MED	broader; enzyme replacement is protein replacement
19	MAXO:0000005	clinical imaging procedure	NCIT:C17369	Imaging Procedure	HIGH	known-good
18	MAXO:0000640	corticosteroid agent therapy	NCIT:C122080	Systemic Corticosteroid Therapy	MED	no generic corticosteroid-therapy term; systemic chosen
18	MAXO:0000126	cancer screening	NCIT:C15406	Cancer Screening	HIGH	exact
17	MAXO:0000168	antiviral agent therapy	NCIT:C16119	Antiviral Therapy	HIGH	exact
17	MAXO:0000571	computed tomography procedure	NCIT:C17204	Computed Tomography	HIGH	known-good exact
17	MAXO:0001175	liver transplantation	NCIT:C15271	Liver Transplantation	HIGH	known-good exact
16	MAXO:0000527	physical examination	NCIT:C20989	Physical Examination	HIGH	exact
16	MAXO:0010203	echocardiography	NCIT:C16525	Echocardiography Test	HIGH	exact
16	MAXO:0000595	radiograph imaging procedure	NCIT:C38101	X-Ray Imaging	HIGH	known-good
15	MAXO:0000883	cognitive behavior therapy	NCIT:C64345	Cognitive Behavior Therapy	HIGH	exact
15	MAXO:0009025	cochlear device implantation	NCIT:C157820	Cochlear Implant	MED	device; no primary cochlear-implantation procedure term
14	MAXO:0000900	electrocardiography	NCIT:C38053	Electrocardiography	HIGH	exact
14	MAXO:0000018	biomarker analysis	NCIT:C63333	Biomarker Analysis	HIGH	exact
14	MAXO:0000943	deep brain stimulation	NCIT:C21024	Deep Brain Stimulation	HIGH	known-good exact
14	MAXO:0035055	flow cytometry procedure	NCIT:C16585	Flow Cytometry	HIGH	exact (generic)
13	MAXO:0001573	topical pharmacotherapy	NCIT:C15986	Pharmacotherapy	MED	no topical-pharmacotherapy term; generic drug therapy
13	MAXO:0009004	clinical whole-exome sequencing	NCIT:C101295	Whole Exome Sequencing	HIGH	exact
13	MAXO:0000780	human growth hormone replacement therapy	NCIT:C15599	Hormone Replacement Therapy	MED	broader; no GH-specific replacement-therapy term
12	MAXO:0000609	serology testing	NCIT:C25294	Laboratory Procedure	LOW	broader; no generic serologic-test term (only analyte-specific)
12	MAXO:0000016	cellular therapy	NCIT:C70601	Cellular Therapy	HIGH	exact
12	MAXO:0000789	urine chemistry measurement	NCIT:C61044	Urine Chemistry Measurement	HIGH	exact
12	MAXO:0000427	MRI of the brain	NCIT:C16809	Magnetic Resonance Imaging	MED	brain-specific; only contrast-qualified brain-MRI terms exist, used generic MRI
11	MAXO:0001021	antimicrobial agent therapy	NCIT:C15620	Antibiotic Therapy	MED	closest; no antimicrobial-therapy parent (antibiotic is narrower)
11	MAXO:0000969	optical coherence tomography	NCIT:C20828	Optical Coherence Tomography	HIGH	exact
11	MAXO:0001223	chelator agent therapy	NCIT:C15986	Pharmacotherapy	LOW	no chelation-therapy term in NCIT; generic drug therapy
10	MAXO:0030010	ketogenic diet intake	NCIT:C173168	Ketogenic Diet	HIGH	exact
10	MAXO:0000447	surgical excision	NCIT:C15232	Excision	HIGH	known-good
10	MAXO:0000423	biopsy of skin	NCIT:C51692	Skin Biopsy	HIGH	known-good
10	MAXO:0000503	artificial respiration	NCIT:C70909	Mechanical Ventilation	MED	artificial respiration=mechanical ventilation
10	MAXO:0001479	allogeneic hematopoietic stem cell transplantation	NCIT:C46089	Allogeneic Hematopoietic Stem Cell Transplantation	HIGH	known-good
9	MAXO:0009072	surgical repair	NCIT:C53611	Repair	MED	generic surgical repair
