citation,evidence_type,stance,mechanistic_claim_tested,key_finding,disease_subtype_context,confidence_limitations
PMID:30245513,human clinical,supports,Late-truncating (exon 16-17) variants cause more severe phenotype,Late-truncating variants significantly more prevalent among core severe features (ID/speech/microcephaly/cardiac/GI); 95% late-truncating moderate/severe vs 60% early-truncating mild,ARTHS full cohort n=76,Cross-sectional; categorical severity; correlation not molecular mechanism
PMID:35892268,human clinical,supports,Last-two-exon truncations worsen communication/adaptive outcomes,Truncating variants in last two exons associated with poorer communication/daily-living/socialization,ARTHS communication cohort n=49,Survey/telehealth; small n; no NMD assay
PMID:38741077,human clinical,qualifies,Late-truncating vs missense severity gradient,Late-truncating variants associated with more severe ID; PTV worse than missense on nonverbal/receptive measures,ARTHS neuropsych cohort n=15,Very small n; trend-level; no caregiver-rating effect
PMID:33552646,human clinical,qualifies,Specific frameshift KAT6A variant phenotype,Novel frameshift associated with pancraniosynostosis (phenotype expansion),Single/few cases,Case-level; abstract truncated by provider
Ensembl:ENST00000265713;UniProt:Q92794,computational,supports,Exon 16-17 truncations escape NMD and retain HAT but lose C-terminal TAD,17 exons; terminal exon 5389 nt; stop at cDNA 6427 in exon 17; last EEJ at aa ~1117; late truncation retains PHD+MYST-HAT(504-810) loses RUNX1-2 activation(1913-1948)+PML(1517-1741),Molecular architecture (all subtypes),Prediction from 50-nt rule; not an experimental NMD assay in patient RNA
gnomAD:KAT6A,computational,competing,KAT6A LoF intolerance = haploinsufficiency baseline,pLI=1.0; LOEUF=0.079; obs/exp LoF 9/198 (o/e 0.045); mis_z=3.69,Population constraint (NMD-competent PTCs),Constraint dominated by NMD-competent variants; does not directly measure late-truncating alleles
PMID:22921202,model organism,competing,MOZ dosage loss (haploinsufficiency) drives DiGeorge-like defects via Tbx1,Moz-null phenocopies DiGeorge; MOZ occupies/activates Tbx1; het Moz+Tbx1 haploinsufficiency -> anomalies,Mouse; cardiac/pharyngeal,Loss-of-function model; does not test truncated-protein toxicity
PMID:25912687,model organism,competing,MOZ required for cardiac septation via Tbx1/Tbx5,Mesodermal Moz deletion -> VSD + reduced Tbx1/Tbx5,Mouse; heart,Conditional null; dosage mechanism
PMID:25605372,model organism,competing,Moz haploinsufficiency alters progenitor/Meis1-Hox programs,One Moz allele loss retards MYC lymphoma; reduced B-progenitors,Mouse; hematopoietic,Haploinsufficiency (not neural); relevance to CNS inferred
PMID:41702672,model organism,competing,Heterozygous Kat6a LoF causes behavioral deficits rescued by acetyl-carnitine,Het Kat6a mouse shows hyperactivity/learning deficits improved by acetyl-carnitine,Mouse; neurobehavioral,Abstract truncated by provider; models haploinsufficiency not late-truncation
PMID:19264921,in vitro/model organism,supports,MOZ has separable RUNX1 coactivation domains; HAT dispensable for coactivation,2 RUNX1 coactivation domains + HAT; HAT not required for RUNX1 coactivation,Hematopoietic (mechanistic),Not an ARTHS variant assay; supports domain-loss rationale by analogy
PMID:12771199,in vitro,supports,MOZ activates RUNX1-dependent transcription,MOZ activates MIP-1alpha promoter via proximal RUNX site,Cell line (Jurkat),Target-gene specific; not neural; supports RUNX1 coactivator role
PMID:29806701,review,qualifies,KAT6A C-terminus participates in oncogenic fusions (context),t(8;16) KAT6A-CREBBP fusion in neonatal AML,Leukemia (not ARTHS),Review; shows C-terminal region is functionally potent when altered
