postcomposition_id	descriptor_id	assertion_id	disorder_id	disorder_name	source_file	section	section_index	section_name	section_description	descriptor_path	descriptor_preferred_term	descriptor_term_id	descriptor_term_label	relation_type	relation_index	relation_path	predicate_preferred_term	predicate_term_id	predicate_term_label	value_preferred_term	value_term_id	value_term_label	value_literal	raw_json
1	32	27	2	ALK-Rearranged Non-Small Cell Lung Cancer	ALK_Rearranged_NSCLC.yaml	pathophysiology	0	ALK Gene Rearrangement	ALK rearrangements result from chromosomal inversions or translocations that fuse the ALK kinase domain to an N-terminal partner gene (usually EML4). The partner provides a dimerization domain, causing constitutive ALK kinase activation independent of ligand.	biological_processes[0]	protein kinase activity	GO:0004672	protein kinase activity	modifier	0	biological_processes[0].modifier	modifier						INCREASED	"""INCREASED"""
2	33	28	2	ALK-Rearranged Non-Small Cell Lung Cancer	ALK_Rearranged_NSCLC.yaml	pathophysiology	1	Constitutive ALK Signaling	The EML4-ALK fusion protein is constitutively dimerized and auto-phosphorylated, activating downstream signaling including RAS-MAPK, PI3K-AKT, and JAK-STAT3 pathways. These pathways promote cell proliferation, survival, and migration.	biological_processes[0]	MAPK cascade	GO:0000165	MAPK cascade	modifier	0	biological_processes[0].modifier	modifier						INCREASED	"""INCREASED"""
3	34	28	2	ALK-Rearranged Non-Small Cell Lung Cancer	ALK_Rearranged_NSCLC.yaml	pathophysiology	1	Constitutive ALK Signaling	The EML4-ALK fusion protein is constitutively dimerized and auto-phosphorylated, activating downstream signaling including RAS-MAPK, PI3K-AKT, and JAK-STAT3 pathways. These pathways promote cell proliferation, survival, and migration.	biological_processes[1]	phosphatidylinositol 3-kinase signaling	GO:0014065	phosphatidylinositol 3-kinase signaling	modifier	0	biological_processes[1].modifier	modifier						INCREASED	"""INCREASED"""
4	35	28	2	ALK-Rearranged Non-Small Cell Lung Cancer	ALK_Rearranged_NSCLC.yaml	pathophysiology	1	Constitutive ALK Signaling	The EML4-ALK fusion protein is constitutively dimerized and auto-phosphorylated, activating downstream signaling including RAS-MAPK, PI3K-AKT, and JAK-STAT3 pathways. These pathways promote cell proliferation, survival, and migration.	biological_processes[2]	JAK-STAT cascade	GO:0007259	JAK-STAT cascade	modifier	0	biological_processes[2].modifier	modifier						INCREASED	"""INCREASED"""
5	36	29	2	ALK-Rearranged Non-Small Cell Lung Cancer	ALK_Rearranged_NSCLC.yaml	pathophysiology	2	Oncogene Addiction	ALK-rearranged tumors exhibit oncogene addiction, becoming dependent on continued ALK signaling for survival. ALK inhibition leads to dramatic tumor responses, often within days to weeks of starting therapy.	biological_processes[0]	cell population proliferation	GO:0008283	cell population proliferation	modifier	0	biological_processes[0].modifier	modifier						INCREASED	"""INCREASED"""
6	37	30	2	ALK-Rearranged Non-Small Cell Lung Cancer	ALK_Rearranged_NSCLC.yaml	pathophysiology	3	ALK TKI Resistance	Resistance to ALK TKIs develops through ALK-dependent mechanisms (secondary mutations like G1202R, compound mutations) or ALK-independent bypass pathways (MET, EGFR, KRAS). Later-generation TKIs (lorlatinib) overcome most single ALK mutations.	biological_processes[0]	response to drug	GO:0042493	response to drug	modifier	0	biological_processes[0].modifier	modifier						ABNORMAL	"""ABNORMAL"""
7	49	45	3	Acute Promyelocytic Leukemia, PML-RARA	APL_PML_RARA.yaml	pathophysiology	0	PML-RARA Fusion Oncogene Formation	The t(15;17)(q24;q21) translocation fuses the PML gene on chromosome 15 with the retinoic acid receptor alpha (RARA) gene on chromosome 17. The resulting fusion protein retains the DNA-binding and ligand-binding domains of RARA but gains aberrant properties from PML, including enhanced corepressor recruitment and altered subnuclear localization.	biological_processes[0]	myeloid cell differentiation	GO:0030099	myeloid cell differentiation	modifier	0	biological_processes[0].modifier	modifier						DECREASED	"""DECREASED"""
8	51	46	3	Acute Promyelocytic Leukemia, PML-RARA	APL_PML_RARA.yaml	pathophysiology	1	Transcriptional Repression of Differentiation Genes	PML-RARA binds retinoic acid response elements but recruits corepressor complexes (NCoR, SMRT, HDACs) at physiological retinoic acid concentrations. This silences RARA target genes required for granulocyte differentiation, causing a differentiation block at the promyelocyte stage. Pharmacological doses of ATRA overcome this block.	biological_processes[0]	granulocyte differentiation	GO:0030851	granulocyte differentiation	modifier	0	biological_processes[0].modifier	modifier						DECREASED	"""DECREASED"""
9	52	47	3	Acute Promyelocytic Leukemia, PML-RARA	APL_PML_RARA.yaml	pathophysiology	2	PML Nuclear Body Disruption	Wild-type PML organizes nuclear bodies that regulate multiple cellular processes including apoptosis and senescence. PML-RARA disrupts PML nuclear bodies into a microspeckled pattern, impairing PML tumor suppressor functions. Arsenic trioxide restores PML nuclear bodies and induces PML-RARA degradation.	biological_processes[0]	apoptotic process	GO:0006915	apoptotic process	modifier	0	biological_processes[0].modifier	modifier						DECREASED	"""DECREASED"""
10	53	48	3	Acute Promyelocytic Leukemia, PML-RARA	APL_PML_RARA.yaml	pathophysiology	3	Impaired Tumor Suppression	Disruption of PML nuclear bodies impairs p53-mediated senescence and apoptosis pathways. This contributes to the survival and accumulation of leukemic promyelocytes.	biological_processes[0]	cell cycle checkpoint signaling	GO:0000075	cell cycle checkpoint signaling	modifier	0	biological_processes[0].modifier	modifier						DECREASED	"""DECREASED"""
11	56	50	3	Acute Promyelocytic Leukemia, PML-RARA	APL_PML_RARA.yaml	pathophysiology	5	Coagulopathy	APL promyelocytes release tissue factor and cancer procoagulant from azurophilic granules, triggering disseminated intravascular coagulation. Annexin II expression promotes plasmin generation causing hyperfibrinolysis. This combination causes severe, often fatal bleeding before and during early treatment.	biological_processes[0]	blood coagulation	GO:0007596	blood coagulation	modifier	0	biological_processes[0].modifier	modifier						ABNORMAL	"""ABNORMAL"""
12	62	56	3	Acute Promyelocytic Leukemia, PML-RARA	APL_PML_RARA.yaml	treatments	0	All-Trans Retinoic Acid (ATRA)	Pharmacological doses of ATRA (45 mg/m2/day) overcome PML-RARA-mediated transcriptional repression, inducing differentiation of leukemic promyelocytes into mature granulocytes. Must be started immediately upon clinical suspicion, even before molecular confirmation. Foundation of APL treatment.	treatment_term	pharmacotherapy	MAXO:0000058	pharmacotherapy	therapeutic_agent	0	treatment_term.therapeutic_agent[0]	therapeutic_agent			all-trans-retinoic acid	CHEBI:15367	all-trans-retinoic acid		"{""preferred_term"": ""all-trans-retinoic acid"", ""term"": {""id"": ""CHEBI:15367"", ""label"": ""all-trans-retinoic acid""}}"
13	64	57	3	Acute Promyelocytic Leukemia, PML-RARA	APL_PML_RARA.yaml	treatments	1	Arsenic Trioxide (ATO)	ATO induces degradation of PML-RARA fusion protein through SUMOylation and ubiquitination, restoring PML nuclear bodies and eliminating the leukemic clone. Synergizes with ATRA for curative therapy. Also induces apoptosis at higher concentrations.	treatment_term	pharmacotherapy	MAXO:0000058	pharmacotherapy	therapeutic_agent	0	treatment_term.therapeutic_agent[0]	therapeutic_agent			arsenic trioxide	CHEBI:30621	diarsenic trioxide		"{""preferred_term"": ""arsenic trioxide"", ""term"": {""id"": ""CHEBI:30621"", ""label"": ""diarsenic trioxide""}}"
14	123	117	6	Achondroplasia	Achondroplasia.yaml	pathophysiology	0	FGFR3 gain-of-function signaling	"The FGFR3 G380R mutation causes constitutive activation of the receptor, leading to enhanced downstream signaling through STAT1, MAPK, and other pathways. This results in premature cell cycle arrest of growth plate chondrocytes, reduced chondrocyte proliferation and hypertrophy, and impaired endochondral bone formation. The receptor normally serves as a negative regulator of bone growth; its overactivation leads to the shortened long bones characteristic of achondroplasia.
"	gene	FGFR3	hgnc:3690	FGFR3	modifier	0	gene.modifier	modifier						INCREASED	"""INCREASED"""
