assertion_id	disorder_id	disorder_name	source_file	section	section_index	name	description	category	frequency	diagnostic	context	subtype	role	presence	association	accession	age_range	background	base_model	classification	clinical_significance	consequence	data_type	de_novo_rate	definition_type	duration	effect	expressivity	features	genotype	incubation_days	incubation_years	markers	maximum_value	mean_range	minimum_value	model_format	model_id	model_software	model_type	notes	parent_of_origin_effect	penetrance	percentage	phase	platform	population	publication	repository_url	results	review_notes	sample_count	scope	sequence_length	severity	species	specificity	status	subtype_frequency	title	type	unit	scalar_fields_json	complex_fields_json	raw_json
156	8	Acne Vulgaris	Acne_Vulgaris.yaml	datasets	0		Transcriptomic profiling of C. acnes-driven inflammation with microbiome- derived tryptophan metabolites highlighting AHR pathway modulation.									geo:GSE315350																									Summary describes human keratinocyte stimulation and a C. acnes mouse model.																			Microbiome-Derived Indole-3-lactic Acid Attenuates Cutibacterium acnes-Induced Inflammation via the Aryl Hydrocarbon Receptor Pathway			"{""accession"": ""geo:GSE315350"", ""description"": ""Transcriptomic profiling of C. acnes-driven inflammation with microbiome- derived tryptophan metabolites highlighting AHR pathway modulation."", ""notes"": ""Summary describes human keratinocyte stimulation and a C. acnes mouse model."", ""title"": ""Microbiome-Derived Indole-3-lactic Acid Attenuates Cutibacterium acnes-Induced Inflammation via the Aryl Hydrocarbon Receptor Pathway""}"	{}	"{""accession"": ""geo:GSE315350"", ""description"": ""Transcriptomic profiling of C. acnes-driven inflammation with microbiome- derived tryptophan metabolites highlighting AHR pathway modulation."", ""notes"": ""Summary describes human keratinocyte stimulation and a C. acnes mouse model."", ""title"": ""Microbiome-Derived Indole-3-lactic Acid Attenuates Cutibacterium acnes-Induced Inflammation via the Aryl Hydrocarbon Receptor Pathway""}"
157	8	Acne Vulgaris	Acne_Vulgaris.yaml	datasets	1		Spatial transcriptomics of healthy, non-lesional, comedonal, and pustular acne skin using a panel targeting sebaceous differentiation, lipid metabolism, and retinoid signaling.									geo:GSE301280							SPATIAL_TRANSCRIPTOMICS																		Identifies altered sebogenesis and retinoid signaling across lesion types.																			Spatial transcriptomics reveals dysfunctional lipid metabolism and abnormal pilosebaceous differentiation in acne vulgaris			"{""accession"": ""geo:GSE301280"", ""data_type"": ""SPATIAL_TRANSCRIPTOMICS"", ""description"": ""Spatial transcriptomics of healthy, non-lesional, comedonal, and pustular acne skin using a panel targeting sebaceous differentiation, lipid metabolism, and retinoid signaling."", ""notes"": ""Identifies altered sebogenesis and retinoid signaling across lesion types."", ""title"": ""Spatial transcriptomics reveals dysfunctional lipid metabolism and abnormal pilosebaceous differentiation in acne vulgaris""}"	"{""conditions"": [""healthy skin"", ""non-lesional acne skin"", ""comedonal acne skin"", ""pustular acne skin""]}"	"{""accession"": ""geo:GSE301280"", ""conditions"": [""healthy skin"", ""non-lesional acne skin"", ""comedonal acne skin"", ""pustular acne skin""], ""data_type"": ""SPATIAL_TRANSCRIPTOMICS"", ""description"": ""Spatial transcriptomics of healthy, non-lesional, comedonal, and pustular acne skin using a panel targeting sebaceous differentiation, lipid metabolism, and retinoid signaling."", ""notes"": ""Identifies altered sebogenesis and retinoid signaling across lesion types."", ""organism"": {""preferred_term"": ""human"", ""term"": {""id"": ""NCBITaxon:9606"", ""label"": ""Homo sapiens""}}, ""title"": ""Spatial transcriptomics reveals dysfunctional lipid metabolism and abnormal pilosebaceous differentiation in acne vulgaris""}"
158	8	Acne Vulgaris	Acne_Vulgaris.yaml	datasets	2		Spatial transcriptomics and MERFISH profiling of human facial sebaceous glands to map sebocyte differentiation stages.									geo:GSE292394							SPATIAL_TRANSCRIPTOMICS																		Integrates spatial transcriptomics with single-cell profiling of sebaceous glands.																			High-Resolution Spatial Map of the Human Facial Sebaceous Gland Reveals Marker Genes and Decodes Sebocyte Differentiation [MERFISH]			"{""accession"": ""geo:GSE292394"", ""data_type"": ""SPATIAL_TRANSCRIPTOMICS"", ""description"": ""Spatial transcriptomics and MERFISH profiling of human facial sebaceous glands to map sebocyte differentiation stages."", ""notes"": ""Integrates spatial transcriptomics with single-cell profiling of sebaceous glands."", ""title"": ""High-Resolution Spatial Map of the Human Facial Sebaceous Gland Reveals Marker Genes and Decodes Sebocyte Differentiation [MERFISH]""}"	{}	"{""accession"": ""geo:GSE292394"", ""data_type"": ""SPATIAL_TRANSCRIPTOMICS"", ""description"": ""Spatial transcriptomics and MERFISH profiling of human facial sebaceous glands to map sebocyte differentiation stages."", ""notes"": ""Integrates spatial transcriptomics with single-cell profiling of sebaceous glands."", ""organism"": {""preferred_term"": ""human"", ""term"": {""id"": ""NCBITaxon:9606"", ""label"": ""Homo sapiens""}}, ""title"": ""High-Resolution Spatial Map of the Human Facial Sebaceous Gland Reveals Marker Genes and Decodes Sebocyte Differentiation [MERFISH]""}"
401	16	Alcoholic Liver Disease	Alcoholic_Liver_Disease.yaml	datasets	0		Single-cell RNA sequencing of liver tissue from patients with alcoholic liver disease.									geo:GSE236382							SINGLE_CELL_RNA_SEQ																		Dataset record: https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE236382					HiSeq X Ten (Homo sapiens)		PMID:39349248				5								Single-cell transcriptome characterization of the livers from patients with alcoholic liver disease			"{""accession"": ""geo:GSE236382"", ""data_type"": ""SINGLE_CELL_RNA_SEQ"", ""description"": ""Single-cell RNA sequencing of liver tissue from patients with alcoholic liver disease."", ""notes"": ""Dataset record: https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE236382"", ""platform"": ""HiSeq X Ten (Homo sapiens)"", ""publication"": ""PMID:39349248"", ""sample_count"": 5, ""title"": ""Single-cell transcriptome characterization of the livers from patients with alcoholic liver disease""}"	"{""conditions"": [""alcoholic liver disease""]}"	"{""accession"": ""geo:GSE236382"", ""conditions"": [""alcoholic liver disease""], ""data_type"": ""SINGLE_CELL_RNA_SEQ"", ""description"": ""Single-cell RNA sequencing of liver tissue from patients with alcoholic liver disease."", ""evidence"": [{""explanation"": ""The abstract describes single-cell RNA sequencing of liver samples including ALD patients."", ""reference"": ""PMID:39349248"", ""snippet"": ""We utilized single-cell RNA sequencing to analyze liver samples from healthy subjects and patients with MASLD and ALD."", ""supports"": ""SUPPORT""}], ""notes"": ""Dataset record: https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE236382"", ""organism"": {""preferred_term"": ""human"", ""term"": {""id"": ""NCBITaxon:9606"", ""label"": ""Homo sapiens""}}, ""platform"": ""HiSeq X Ten (Homo sapiens)"", ""publication"": ""PMID:39349248"", ""sample_count"": 5, ""sample_types"": [{""preferred_term"": ""liver tissue"", ""tissue_term"": {""preferred_term"": ""liver"", ""term"": {""id"": ""UBERON:0002107"", ""label"": ""liver""}}}], ""title"": ""Single-cell transcriptome characterization of the livers from patients with alcoholic liver disease""}"
513	22	Amyotrophic Lateral Sclerosis	Amyotrophic_Lateral_Sclerosis.yaml	datasets	0		Bulk RNA-seq from healthy cervical spinal cord to provide baseline expression for upper and lower motor neuron pathways affected in ALS.									gtex:GTEx_v8_Spinal_cord_cervical_c-1							BULK_RNA_SEQ																									PMID:33085325												GTEx v8 Spinal Cord (cervical c-1)			"{""accession"": ""gtex:GTEx_v8_Spinal_cord_cervical_c-1"", ""data_type"": ""BULK_RNA_SEQ"", ""description"": ""Bulk RNA-seq from healthy cervical spinal cord to provide baseline expression for upper and lower motor neuron pathways affected in ALS."", ""publication"": ""PMID:33085325"", ""title"": ""GTEx v8 Spinal Cord (cervical c-1)""}"	{}	"{""accession"": ""gtex:GTEx_v8_Spinal_cord_cervical_c-1"", ""data_type"": ""BULK_RNA_SEQ"", ""description"": ""Bulk RNA-seq from healthy cervical spinal cord to provide baseline expression for upper and lower motor neuron pathways affected in ALS."", ""evidence"": [{""explanation"": ""Clinical overview notes degeneration across spinal motor systems; spinal cord baseline controls contextualize transcriptomic changes in ALS."", ""reference"": ""PMID:33085325"", ""snippet"": ""ALS is a neurodegenerative disorder leading to weakness of the bulbar, thoracic, limb, and abdominal muscles with sparing of sensory function."", ""supports"": ""SUPPORT""}], ""organism"": {""preferred_term"": ""Homo sapiens"", ""term"": {""id"": ""NCBITaxon:9606"", ""label"": ""Homo sapiens""}}, ""publication"": ""PMID:33085325"", ""sample_types"": [{""preferred_term"": ""spinal cord"", ""term"": {""id"": ""UBERON:0002240"", ""label"": ""spinal cord""}}], ""title"": ""GTEx v8 Spinal Cord (cervical c-1)""}"
514	22	Amyotrophic Lateral Sclerosis	Amyotrophic_Lateral_Sclerosis.yaml	datasets	1		Bulk RNA-seq from healthy skeletal muscle to benchmark ALS-related denervation signatures and muscle atrophy pathways.									gtex:GTEx_v8_Skeletal_Muscle							BULK_RNA_SEQ																									PMID:33085325												GTEx v8 Skeletal Muscle			"{""accession"": ""gtex:GTEx_v8_Skeletal_Muscle"", ""data_type"": ""BULK_RNA_SEQ"", ""description"": ""Bulk RNA-seq from healthy skeletal muscle to benchmark ALS-related denervation signatures and muscle atrophy pathways."", ""publication"": ""PMID:33085325"", ""title"": ""GTEx v8 Skeletal Muscle""}"	{}	"{""accession"": ""gtex:GTEx_v8_Skeletal_Muscle"", ""data_type"": ""BULK_RNA_SEQ"", ""description"": ""Bulk RNA-seq from healthy skeletal muscle to benchmark ALS-related denervation signatures and muscle atrophy pathways."", ""evidence"": [{""explanation"": ""Muscle weakness and atrophy are primary clinical consequences in ALS; healthy muscle RNA-seq provides comparative background for ALS muscle involvement."", ""reference"": ""PMID:33085325"", ""snippet"": ""ALS is a neurodegenerative disorder leading to weakness of the bulbar, thoracic, limb, and abdominal muscles with sparing of sensory function."", ""supports"": ""SUPPORT""}], ""organism"": {""preferred_term"": ""Homo sapiens"", ""term"": {""id"": ""NCBITaxon:9606"", ""label"": ""Homo sapiens""}}, ""publication"": ""PMID:33085325"", ""sample_types"": [{""preferred_term"": ""skeletal muscle tissue"", ""term"": {""id"": ""UBERON:0001134"", ""label"": ""skeletal muscle tissue""}}], ""title"": ""GTEx v8 Skeletal Muscle""}"
674	28	Asthma	Asthma.yaml	datasets	0		Bronchial epithelial brushings from mild-to-moderate asthmatics (not on inhaled steroids) and healthy controls, stratified by Type 2 inflammation markers (POSTN, SERPINB2, CLCA1).									geo:GSE67472							MICROARRAY																		Identifies Type 2 inflammation gene signature. Useful for studying eosinophilic asthma endotypes.					Affymetrix Human Genome U133 Plus 2.0		PMID:25611785				105								Airway epithelial gene expression in asthma versus healthy controls			"{""accession"": ""geo:GSE67472"", ""data_type"": ""MICROARRAY"", ""description"": ""Bronchial epithelial brushings from mild-to-moderate asthmatics (not on inhaled steroids) and healthy controls, stratified by Type 2 inflammation markers (POSTN, SERPINB2, CLCA1)."", ""notes"": ""Identifies Type 2 inflammation gene signature. Useful for studying eosinophilic asthma endotypes."", ""platform"": ""Affymetrix Human Genome U133 Plus 2.0"", ""publication"": ""PMID:25611785"", ""sample_count"": 105, ""title"": ""Airway epithelial gene expression in asthma versus healthy controls""}"	"{""conditions"": [""mild-to-moderate asthma (n=62)"", ""healthy controls (n=43)""]}"	"{""accession"": ""geo:GSE67472"", ""conditions"": [""mild-to-moderate asthma (n=62)"", ""healthy controls (n=43)""], ""data_type"": ""MICROARRAY"", ""description"": ""Bronchial epithelial brushings from mild-to-moderate asthmatics (not on inhaled steroids) and healthy controls, stratified by Type 2 inflammation markers (POSTN, SERPINB2, CLCA1)."", ""notes"": ""Identifies Type 2 inflammation gene signature. Useful for studying eosinophilic asthma endotypes."", ""organism"": {""preferred_term"": ""human"", ""term"": {""id"": ""NCBITaxon:9606"", ""label"": ""Homo sapiens""}}, ""platform"": ""Affymetrix Human Genome U133 Plus 2.0"", ""publication"": ""PMID:25611785"", ""sample_count"": 105, ""sample_types"": [{""cell_type_term"": {""preferred_term"": ""bronchial epithelial cell"", ""term"": {""id"": ""CL:0002328"", ""label"": ""bronchial epithelial cell""}}, ""preferred_term"": ""bronchial epithelial cells"", ""tissue_term"": {""preferred_term"": ""bronchus"", ""term"": {""id"": ""UBERON:0002185"", ""label"": ""bronchus""}}}], ""title"": ""Airway epithelial gene expression in asthma versus healthy controls""}"
675	28	Asthma	Asthma.yaml	datasets	1		Bronchial epithelial cells from normal controls, mild-moderate, and severe asthmatic patients to identify severity-associated gene expression.									geo:GSE63142							MICROARRAY																							Agilent Whole Human Genome Microarray 4x44K						155								Asthma II			"{""accession"": ""geo:GSE63142"", ""data_type"": ""MICROARRAY"", ""description"": ""Bronchial epithelial cells from normal controls, mild-moderate, and severe asthmatic patients to identify severity-associated gene expression."", ""platform"": ""Agilent Whole Human Genome Microarray 4x44K"", ""sample_count"": 155, ""title"": ""Asthma II""}"	"{""conditions"": [""severe asthma (n=56)"", ""mild-moderate asthma (n=72)"", ""healthy controls (n=27)""]}"	"{""accession"": ""geo:GSE63142"", ""conditions"": [""severe asthma (n=56)"", ""mild-moderate asthma (n=72)"", ""healthy controls (n=27)""], ""data_type"": ""MICROARRAY"", ""description"": ""Bronchial epithelial cells from normal controls, mild-moderate, and severe asthmatic patients to identify severity-associated gene expression."", ""organism"": {""preferred_term"": ""human"", ""term"": {""id"": ""NCBITaxon:9606"", ""label"": ""Homo sapiens""}}, ""platform"": ""Agilent Whole Human Genome Microarray 4x44K"", ""sample_count"": 155, ""sample_types"": [{""cell_type_term"": {""preferred_term"": ""bronchial epithelial cell"", ""term"": {""id"": ""CL:0002328"", ""label"": ""bronchial epithelial cell""}}, ""preferred_term"": ""bronchial epithelial cells""}], ""title"": ""Asthma II""}"
676	28	Asthma	Asthma.yaml	datasets	2		Large cohort study of nasal epithelial cells comparing asthmatic and control subjects.									geo:GSE152004							MICROARRAY																													393								Transcriptomic profiles of the nasal epithelium from the Genes-environments & Admixture in Latino Americans (GALA) II study			"{""accession"": ""geo:GSE152004"", ""data_type"": ""MICROARRAY"", ""description"": ""Large cohort study of nasal epithelial cells comparing asthmatic and control subjects."", ""sample_count"": 393, ""title"": ""Transcriptomic profiles of the nasal epithelium from the Genes-environments & Admixture in Latino Americans (GALA) II study""}"	"{""conditions"": [""asthma (n=257)"", ""controls (n=136)""]}"	"{""accession"": ""geo:GSE152004"", ""conditions"": [""asthma (n=257)"", ""controls (n=136)""], ""data_type"": ""MICROARRAY"", ""description"": ""Large cohort study of nasal epithelial cells comparing asthmatic and control subjects."", ""organism"": {""preferred_term"": ""human"", ""term"": {""id"": ""NCBITaxon:9606"", ""label"": ""Homo sapiens""}}, ""sample_count"": 393, ""sample_types"": [{""preferred_term"": ""nasal epithelial cells"", ""tissue_term"": {""preferred_term"": ""nasal cavity mucosa"", ""term"": {""id"": ""UBERON:0001826"", ""label"": ""nasal cavity mucosa""}}}], ""title"": ""Transcriptomic profiles of the nasal epithelium from the Genes-environments & Admixture in Latino Americans (GALA) II study""}"
677	28	Asthma	Asthma.yaml	datasets	3		Single-cell RNA sequencing of airway epithelial cells from asthmatic patients revealing cell-type specific transcriptional changes.									geo:GSE164015							SINGLE_CELL_RNA_SEQ																		Reveals cell-type specific heterogeneity in asthmatic airways																			Epithelial miR-141 regulates IL-13-induced airway mucus production [single-cell RNA-seq]			"{""accession"": ""geo:GSE164015"", ""data_type"": ""SINGLE_CELL_RNA_SEQ"", ""description"": ""Single-cell RNA sequencing of airway epithelial cells from asthmatic patients revealing cell-type specific transcriptional changes."", ""notes"": ""Reveals cell-type specific heterogeneity in asthmatic airways"", ""title"": ""Epithelial miR-141 regulates IL-13-induced airway mucus production [single-cell RNA-seq]""}"	"{""conditions"": [""asthmatic patients""]}"	"{""accession"": ""geo:GSE164015"", ""conditions"": [""asthmatic patients""], ""data_type"": ""SINGLE_CELL_RNA_SEQ"", ""description"": ""Single-cell RNA sequencing of airway epithelial cells from asthmatic patients revealing cell-type specific transcriptional changes."", ""notes"": ""Reveals cell-type specific heterogeneity in asthmatic airways"", ""organism"": {""preferred_term"": ""human"", ""term"": {""id"": ""NCBITaxon:9606"", ""label"": ""Homo sapiens""}}, ""sample_types"": [{""cell_type_term"": {""preferred_term"": ""epithelial cell of tracheobronchial tree"", ""term"": {""id"": ""CL:0002202"", ""label"": ""epithelial cell of tracheobronchial tree""}}, ""preferred_term"": ""airway epithelial cells""}], ""title"": ""Epithelial miR-141 regulates IL-13-induced airway mucus production [single-cell RNA-seq]""}"
