descriptor_id	assertion_id	disorder_id	disorder_name	source_file	section	section_index	section_name	section_description	path	root_field	parent_path	parent_name	parent_description	preferred_term	term_id	term_label	description	raw_json	postcomp_located_in	postcomp_located_in_ids	postcomp_modifier	postcomp_therapeutic_agent	postcomp_therapeutic_agent_ids	qualifier_clinical_course	qualifier_clinical_course_ids	qualifier_clinical_course_predicate_ids	qualifier_has_participant	qualifier_has_participant_ids	qualifier_has_participant_predicate_ids	qualifier_immunologic_factor	qualifier_immunologic_factor_ids	qualifier_immunologic_factor_predicate_ids	qualifier_monoclonal_antibody_predicate_ids	qualifier_route_of_administration	qualifier_route_of_administration_ids	qualifier_route_of_administration_predicate_ids	qualifier_surgical_procedure	qualifier_surgical_procedure_ids	qualifier_surgical_procedure_predicate_ids	qualifier_therapeutic_agent	qualifier_therapeutic_agent_ids	qualifier_therapeutic_agent_predicate_ids	qualifier_therapeutic_procedure	qualifier_therapeutic_procedure_ids	qualifier_therapeutic_procedure_predicate_ids
169	157	8	Acne Vulgaris	Acne_Vulgaris.yaml	datasets	1		Spatial transcriptomics of healthy, non-lesional, comedonal, and pustular acne skin using a panel targeting sebaceous differentiation, lipid metabolism, and retinoid signaling.	organism	organism	$		Spatial transcriptomics of healthy, non-lesional, comedonal, and pustular acne skin using a panel targeting sebaceous differentiation, lipid metabolism, and retinoid signaling.	human	NCBITaxon:9606	Homo sapiens		"{""preferred_term"": ""human"", ""term"": {""id"": ""NCBITaxon:9606"", ""label"": ""Homo sapiens""}}"																											
170	158	8	Acne Vulgaris	Acne_Vulgaris.yaml	datasets	2		Spatial transcriptomics and MERFISH profiling of human facial sebaceous glands to map sebocyte differentiation stages.	organism	organism	$		Spatial transcriptomics and MERFISH profiling of human facial sebaceous glands to map sebocyte differentiation stages.	human	NCBITaxon:9606	Homo sapiens		"{""preferred_term"": ""human"", ""term"": {""id"": ""NCBITaxon:9606"", ""label"": ""Homo sapiens""}}"																											
440	401	16	Alcoholic Liver Disease	Alcoholic_Liver_Disease.yaml	datasets	0		Single-cell RNA sequencing of liver tissue from patients with alcoholic liver disease.	organism	organism	$		Single-cell RNA sequencing of liver tissue from patients with alcoholic liver disease.	human	NCBITaxon:9606	Homo sapiens		"{""preferred_term"": ""human"", ""term"": {""id"": ""NCBITaxon:9606"", ""label"": ""Homo sapiens""}}"																											
441	401	16	Alcoholic Liver Disease	Alcoholic_Liver_Disease.yaml	datasets	0		Single-cell RNA sequencing of liver tissue from patients with alcoholic liver disease.	sample_types[0]	sample_types	sample_types			liver tissue				"{""preferred_term"": ""liver tissue"", ""tissue_term"": {""preferred_term"": ""liver"", ""term"": {""id"": ""UBERON:0002107"", ""label"": ""liver""}}}"																											
442	401	16	Alcoholic Liver Disease	Alcoholic_Liver_Disease.yaml	datasets	0		Single-cell RNA sequencing of liver tissue from patients with alcoholic liver disease.	sample_types[0].tissue_term	sample_types	sample_types[0]			liver	UBERON:0002107	liver		"{""preferred_term"": ""liver"", ""term"": {""id"": ""UBERON:0002107"", ""label"": ""liver""}}"																											
584	513	22	Amyotrophic Lateral Sclerosis	Amyotrophic_Lateral_Sclerosis.yaml	datasets	0		Bulk RNA-seq from healthy cervical spinal cord to provide baseline expression for upper and lower motor neuron pathways affected in ALS.	organism	organism	$		Bulk RNA-seq from healthy cervical spinal cord to provide baseline expression for upper and lower motor neuron pathways affected in ALS.	Homo sapiens	NCBITaxon:9606	Homo sapiens		"{""preferred_term"": ""Homo sapiens"", ""term"": {""id"": ""NCBITaxon:9606"", ""label"": ""Homo sapiens""}}"																											
585	513	22	Amyotrophic Lateral Sclerosis	Amyotrophic_Lateral_Sclerosis.yaml	datasets	0		Bulk RNA-seq from healthy cervical spinal cord to provide baseline expression for upper and lower motor neuron pathways affected in ALS.	sample_types[0]	sample_types	sample_types			spinal cord	UBERON:0002240	spinal cord		"{""preferred_term"": ""spinal cord"", ""term"": {""id"": ""UBERON:0002240"", ""label"": ""spinal cord""}}"																											
586	514	22	Amyotrophic Lateral Sclerosis	Amyotrophic_Lateral_Sclerosis.yaml	datasets	1		Bulk RNA-seq from healthy skeletal muscle to benchmark ALS-related denervation signatures and muscle atrophy pathways.	organism	organism	$		Bulk RNA-seq from healthy skeletal muscle to benchmark ALS-related denervation signatures and muscle atrophy pathways.	Homo sapiens	NCBITaxon:9606	Homo sapiens		"{""preferred_term"": ""Homo sapiens"", ""term"": {""id"": ""NCBITaxon:9606"", ""label"": ""Homo sapiens""}}"																											
587	514	22	Amyotrophic Lateral Sclerosis	Amyotrophic_Lateral_Sclerosis.yaml	datasets	1		Bulk RNA-seq from healthy skeletal muscle to benchmark ALS-related denervation signatures and muscle atrophy pathways.	sample_types[0]	sample_types	sample_types			skeletal muscle tissue	UBERON:0001134	skeletal muscle tissue		"{""preferred_term"": ""skeletal muscle tissue"", ""term"": {""id"": ""UBERON:0001134"", ""label"": ""skeletal muscle tissue""}}"																											
733	674	28	Asthma	Asthma.yaml	datasets	0		Bronchial epithelial brushings from mild-to-moderate asthmatics (not on inhaled steroids) and healthy controls, stratified by Type 2 inflammation markers (POSTN, SERPINB2, CLCA1).	organism	organism	$		Bronchial epithelial brushings from mild-to-moderate asthmatics (not on inhaled steroids) and healthy controls, stratified by Type 2 inflammation markers (POSTN, SERPINB2, CLCA1).	human	NCBITaxon:9606	Homo sapiens		"{""preferred_term"": ""human"", ""term"": {""id"": ""NCBITaxon:9606"", ""label"": ""Homo sapiens""}}"																											
