sample_id,accession,dataset,organism,tissue,source_metadata,assigned_group,exclusion_reason
M10001,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M10031,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M10233,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M10282,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M10632,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M10730,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M10795,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M107983,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M11243,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M11371,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M1140,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M11526,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M11588,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M11589,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M11716,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M1176,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M118449,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M11938,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M1198,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M12047,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M12052,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M12314,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M12326,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M12479,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M12614,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
