curie,label,retrieved_at
ECTO:3000000,exposure to organism,2025-12-05T17:18:27.652134
ECTO:6000029,exposure to tobacco smoking,2025-12-05T17:18:27.652146
ECTO:0000516,exposure to hormone,2025-12-05T17:18:27.652149
ECTO:0000726,exposure to allergen,2025-12-05T17:18:27.652152
ECTO:8000036,exposure to air pollution,2025-12-05T17:18:27.652155
ECTO:0000231,exposure to chemical,2025-12-05T17:18:27.652157
ECTO:7000001,exposure to dust,2025-12-05T17:18:27.652159
ECTO:3000001,exposure to virus,2025-12-05T17:18:27.652162
ECTO:7000047,exposure to ionizing radiation,2025-12-05T17:18:27.652164
ECTO:0000006,exposure to ultraviolet radiation,2025-12-05T17:18:27.652167
ECTO:9000133,exposure to vitamin D,2025-12-05T17:18:27.652169
ECTO:9000097,exposure to radon,2025-12-05T17:18:27.652171
ECTO:0100005,exposure to cannabis,2025-12-05T17:18:27.652174
