pmid,year,evidence_type,stance,mechanistic_claim_tested,key_finding,disease_subtype_context,confidence_limitations
9096763,1997,human_clinical,support,FA intrinsically causes interstitial lung fibrosis via oxidative/cytokine injury,Single 38yo FA man with upper-lobe fibrosis/honeycombing; authors propose oxidative injury + cytokine anomalies,FA adult; non-transplant; smoker,Very low; n=1; mechanism is author conjecture; confounded by prednisone/TMP-SMX/32yr smoking; IFAR had no similar case
42121854,2026,review,support,FA cells have oxidative stress/ROS/mitochondrial dysfunction,FA cells show altered mitochondrial bioenergetics increased ROS defective redox-adaptive responses,FA cells (multiple models),Moderate for oxidative arm; review-level; hematopoietic emphasis; not lung
31472450,2019,model_organism,support,FA deficiency increases mitochondrial ROS,Fancd2-KO HSPCs show increased mitochondrial respiration and mitochondrial ROS,Mouse Fancd2-/- HSPC,Moderate; hematopoietic not lung
25534205,2015,in_vitro,support,FA cytokine dysregulation (TNF-alpha overproduction),p38 MAPK inhibition reduces TLR-driven TNF-alpha in primary FANCA-deficient monocytes,FANCA patient monocytes,Moderate for cytokine arm; hematopoietic not lung
22234699,2012,in_vitro,support,FA macrophages overproduce TNF-alpha via p38/MK2,FANCC/FANCA macrophages hypersensitive to TLR agonists overproduce TNF-alpha,FANCC/FANCA macrophages,Moderate; hematopoietic not lung
36441774,2022,model_organism,support,FA intrinsically hyperactivates TGF-beta (fibrogenic cytokine),TGFbeta pathway overexpressed in FA; TGFbeta-NHEJ axis hyperactive in Fancd2-/- embryos; TGFbeta inhibition rescues FA HSPC,Mouse Fancd2-/- ; FA HSPC,Moderate-high mechanistic bridge; not lung tissue
40555815,2025,in_vitro,support,FA downregulates anti-fibrotic miR-29a-3p and hyperactivates TGF-beta,miR-29a-3p downregulated in FANCA lymphoblasts/fibroblasts; drives TGF-beta and PI3K/AKT; reversible,FANCA lymphoblasts/fibroblasts,Moderate; not lung epithelium
20022886,2010,model_organism,qualifies,FA(FANCC) accelerates telomere attrition (link to telomere-fibrosis analogy),Fancc-/- accelerates telomere shortening under high cell turnover; short-telomere SCE,Mouse Fancc-/-,Supports analogy indirectly; hematopoietic; requires short-telomere background
24504062,2014,human_clinical,qualifies,Telomere-gene defects cause pulmonary fibrosis via alveolar epithelium,DKC1 mutation FIP; undetectably short telomeres in alveolar epithelial cells,Telomere biology disorder (not FA),Strong for analogy template; different disease
25539146,2015,human_clinical,qualifies,Telomere-binding protein defects cause familial pulmonary fibrosis; FA-like reversion,TINF2 mutations cause familial pulmonary fibrosis; somatic reversion analogous to FA,Telomere biology disorder,Strong for analogy; not FA lung
42035100,2026,human_clinical,qualifies,DDR defect in alveolar type II cells drives senescence/fibrosis,IPF ATII show increased gamma-H2AX impaired NHEJ DDR-driven senescence genomic instability,IPF (not FA),Strong conceptual template; different disease
39068977,2024,model_organism,qualifies,DDR->senescence/SASP->TGF-beta fibrosis axis is causal and reversible,CORM2 reduces gamma-H2AX/p53/p21 SASP and TGF-beta/collagen in bleomycin fibrosis,Mouse bleomycin IPF model,Strong for general axis; not FA
22240154,2012,in_vitro,qualifies,Oxidative stress drives lung EMT via TGF-beta1,H2O2 induces EMT in alveolar epithelial cells via TGF-beta1; blocked by antioxidants,Human alveolar/bronchial epithelium,Supports oxidative->fibrotic link generally; not FA cells
9276718,1997,model_organism,competing,Transplant conditioning (Cy+TBI) causes alveolar injury + pro-fibrotic cytokines,Cy exacerbates irradiation alveolar epithelial injury; increases TNF-alpha/IL-1beta/TGF-beta,Allogeneic BMT / IPS model,Strong competing mechanism; explains same cytokine axis without intrinsic FA
2671924,1989,human_clinical,competing,Post-transplant interstitial pneumonitis causes lung death incl FA patients,Interstitial pneumonitis leading cause of transplant death; FA among transplanted,Pediatric BMT incl 26 FA,Supports transplant/treatment competitor
26535538,2015,human_clinical,competing,FA lung disease is often infectious (neutropenia),Invasive pulmonary aspergillosis in neutropenic FA child,FA pediatric neutropenic,Strong alternative for FA lung involvement broadly
18300309,2008,human_clinical,competing,FA lung infiltrates can be neutrophilic (Sweet's), not fibrotic,Pulmonary Sweet's syndrome infiltrates in neutropenic FA adolescent,FA adolescent neutropenic,Alternative non-fibrotic pulmonary pathology
21792042,2011,human_clinical,competing,FA lung findings can be developmental/heterotopic,Incidental pulmonary glial heterotopia in FA child,FA pediatric,Rare; illustrates heterogeneity of FA lung findings
